title,author,genre,rating,ratingnum,preptime,cooktime,totaltime,additionaltime,cooltime,chilltime,baketime,standtime,servings,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,additionaltime...47,preptime...48,source,link
Cranberry Orange Cookies,MORDAVIA,Cranberry,4.7,1353,20 mins,15 mins,35 mins,NA,NA,NA,NA,NA,48 ,48 cookies,15,"1 cup unsalted butter, softened",1 cup white sugar,½ cup packed brown sugar,1 large egg,2 tablespoons orange juice,1 teaspoon grated orange zest,2 ½ cups all-purpose flour,½ teaspoon baking soda,½ teaspoon salt,2 cups chopped cranberries,½ cup chopped walnuts (Optional),",",1 ½ cups confectioners' sugar,3 tablespoons orange juice,½ teaspoon grated orange zest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/40180/cranberry-orange-cookies/
The Best Rolled Sugar Cookies,J Saunders,Sugar Cookie Recipes,4.5,11350,20 mins,10 mins,1 hr 30 mins,1 hr,NA,NA,NA,NA,60 ,60 cookies,7,2 cups white sugar,"1 ½ cups butter, softened",4 large eggs,1 teaspoon vanilla extract,5 cups all-purpose flour,2 teaspoons baking powder,1 teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10402/the-best-rolled-sugar-cookies/
Best Chocolate Chip Cookies,Dora,Chocolate Chip Cookie Recipes,4.6,19339,20 mins,10 mins,30 mins,NA,NA,NA,NA,NA,48 ,48 cookies,11,"1 cup butter, softened",1 cup white sugar,1 cup packed brown sugar,2 large eggs,2 teaspoons vanilla extract,1 teaspoon baking soda,2 teaspoons hot water,½ teaspoon salt,3 cups all-purpose flour,2 cups semisweet chocolate chips,1 cup chopped walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10813/best-chocolate-chip-cookies/
Shortbread Cookies,Sally,Shortbread Cookie Recipes,4.6,1094,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,12 ,2 dozen cookies,4,"2 cups butter, softened",1 cup white sugar,2 teaspoons vanilla extract,4 cups all-purpose flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10269/shortbread-cookies-ii/
Best Soft Christmas Cookies,Georgie Bowers,Sugar Cookie Recipes,4.6,1587,20 mins,15 mins,2 hrs 35 mins,2 hrs,NA,NA,NA,NA,48 ,4 dozen cookies,7,3 ¾ cups all-purpose flour,1 teaspoon baking powder,½ teaspoon salt,1 ½ cups white sugar,"1 cup butter or margarine, softened",2 large eggs,2 teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10110/soft-christmas-cookies/
Molasses Cookies,Brenda Hall,Molasses Cookie Recipes,4.6,1128,30 mins,20 mins,1 hr 50 mins,1 hr,NA,NA,NA,NA,30 ,5 dozen cookies,10,"1 ½ cups white sugar, divided","¾ cup butter or margarine, melted",1 large egg,¼ cup molasses,2 cups all-purpose flour,2 teaspoons baking soda,1 teaspoon ground cinnamon,½ teaspoon salt,½ teaspoon ground cloves,½ teaspoon ground ginger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9311/molasses-cookies/
Easy Sugar Cookies,Stephanie,Sugar Cookie Recipes,4.5,8919,20 mins,10 mins,30 mins,NA,NA,NA,NA,NA,48 ,4 dozen,7,2 ¾ cups all-purpose flour,1 teaspoon baking soda,½ teaspoon baking powder,"1 cup butter, softened",1 ½ cups white sugar,1  egg,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9870/easy-sugar-cookies/
Original Nestle Toll House Chocolate Chip Cookies,Nestle Toll House,Chocolate Chip Cookie Recipes,4.6,590,15 mins,10 mins,40 mins,15 mins,NA,NA,NA,NA,60 ,60 cookies,10,2 ¼ cups all-purpose flour,1 teaspoon baking soda,1 teaspoon salt,"1 cup butter, softened",¾ cup white sugar,¾ cup packed brown sugar,1 teaspoon vanilla extract,2 large eggs,2 cups semisweet chocolate chips (such as Nestlé Toll House),1 cup chopped nuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/174864/original-nestle-toll-house-chocolate-chip-cookies/
Pumpkin Cookies with Cream Cheese Frosting (The World's Best!),Sabattis,Pumpkin Cookie Recipes,4.7,142,30 mins,10 mins,1 hr 10 mins,30 mins,NA,NA,NA,NA,36 ,36 cookies,17,2 cups all-purpose flour,1 teaspoon baking powder,1 teaspoon ground cinnamon,½ teaspoon baking soda,½ teaspoon ground nutmeg,½ teaspoon ground ginger,"1 cup unsalted butter, softened",¾ cup white sugar,¾ cup brown sugar,2 teaspoons vanilla extract,1 large egg,1 (15 ounce) can pumpkin puree,",","1 (3 ounce) package cream cheese, softened","¼ cup unsalted butter, softened",1 teaspoon vanilla extract,2 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/229108/pumpkin-cookies-with-cream-cheese-frosting-the-worlds-best/
Pumpkin Chocolate Chip Cookies,Jennifer,Pumpkin Cookie Recipes,4.6,1856,10 mins,10 mins,20 mins,NA,NA,NA,NA,NA,24 ,2 dozen cookies,13,1 cup canned pumpkin,1 cup white sugar,½ cup vegetable oil,1 large egg,1 teaspoon baking soda,1 teaspoon milk,2 cups all-purpose flour,2 teaspoons baking powder,2 teaspoons ground cinnamon,½ teaspoon salt,2 cups semisweet chocolate chips,½ cup chopped walnuts (Optional),1 tablespoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10740/pumpkin-chocolate-chip-cookies-iii/
Chocolate Chocolate Chip Cookies,KATHY,Double Chocolate,4.8,4257,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,48 ,48 cookies,10,1 ½ cups white sugar,"1 cup butter, softened",2 large eggs,2 teaspoons vanilla extract,2 cups all-purpose flour,⅔ cup cocoa powder,¾ teaspoon baking soda,¼ teaspoon salt,2 cups semisweet chocolate chips,½ cup chopped walnuts (Optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9827/chocolate-chocolate-chip-cookies-i/
