title,author,rating,ratingnum,cuisine,category1,category2,preptime,cooktime,customtime,totaltime,totaltime2itsaproblemifthisisdifferentfromtotaltime1otherwiseignore,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Icebox Cookies,Amanda Davis,5, 1 ,American,Desserts,"Cookies, Brownies, & Bars",NA,18 minutes,NA,48 minutes,48 minutes,36 cookies,14,"Toast one cup of sweetened flaked coconut in a dry skillet over medium heat. Stir continuously until the coconut begins to turn light brown.
Watch it carefully, it can burn quickly. Turn the coconut out onto a piece of paper towel and let it cool.
Combine the flour and salt in a large bowl and whisk until evenly combined. Toss in the coconut until combined.
In a medium bowl, using your fingers, rub the orange zest into the granulated sugar. It will be fragrant and moist.
Add the brown sugar and toss to combine.
Using a stand mixer fitted with a paddle attachment beat together butter and sugars over medium-high speed until light and fluffy, about 2 minutes. Add the egg and beat for about 2 more minutes. Add the vanilla and mix until just combined.
Reduce the speed to low and add the flour mixture, beating just until evenly combined. If you have to, use a wooden spoon or rubber spatula to combine any remaining flour.
Lay 2 large pieces of parchment paper on a clean work surface and put half of the dough along the center of each piece. Shape the dough into 2 logs measuring about 1 1/2-inches in diameter and 10-inches long. Roll logs up in the parchment and refrigerate for at least 1 hour.
Preheat oven to 350 F and position rack in the center of the oven.
Cut the logs into 1/2-inch slices. Roll the edges of the cookies in sugar to coat and shake off excess. Arrange on a baking sheet, leaving 1/2-inch between the cookies. 
Bake until set and golden on the edges, about 13 to 18 minutes. Place parchment paper underneath wire cooling racks, then transfer the cookies to the racks to cool completely. 
Place the chopped chocolate and shortening in a glass or metal bowl and place it over a pot of simmering water (about an inch or so of water). The bowl should not touch the water. 
Stir chocolate and shortening with a rubber spatula until smooth. Dip half of each cookie into the chocolate, shake off excess, and set on a cooling rack. Now is the time to add optional garnishes such as extra orange zest or toasted coconut.
Allow the chocolate dipped cookies to harden at room temperature. If you are short on time, you can pop them in the refrigerator for at least 15 minutes to help them set up quickly. ",11,▢ 1 cup sweetened coconut flaked. plus extra for garnish if desired,▢ 8.5 ounces all-purpose flour 2 cups,▢ ½ teaspoon table salt,▢ 2 Tablespoons packed orange zest plus extra for garnish if desired,"▢ 3.5 ounces granulated sugar 1/2 cup, plus extra for rolling cookies",▢ 1.5 ounces packed light brown sugar 1/4 cup,▢ 1 cup unsalted butter at room temperature,▢ 1 large egg at room temperature,▢ 1 teaspoon vanilla extract,▢ 6 ounces semisweet chocolate roughly chopped,▢ 1 ½ Tablespoons shortening,Amanda's Cookin,https://amandascookin.com/icebox-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Cake Mix Cookies,Amanda Davis,NA,NA,American,Desserts,"Cookies, Brownies, & Bars",NA,12 minutes,NA,57 minutes,57 minutes,24 cookies,6,"Preheat oven to 350 F and line an insulated baking sheet with parchment paper.
Combine dry cake mix, oil, and eggs in a large bowl. Mix on medium-low for 2 minutes, dough will begin to stiffen.
Using a rubber spatula, fold in the white chocolate chips.
Cover bowl with plastic wrap and chill dough for 30 minutes.We chill the dough before baking because cake mix cookie dough is very sticky. It’s easier to handle when chilled.
Using a 2-tablespoon cookie scoop, place cookies 2 inches apart on prepared baking sheet. If you like, now is the time to dot the tops of the cookies with additional white chocolate chips, 2-4 per cookie works great.
Bake 9-12 minutes. Remove from oven and cool on baking sheet for 5 minutes. Move cookies to wire racks to cool completely.",4,"▢ 1 box red velvet cake mix 13-16 ounces, dry mix only",▢ ½ cup vegetable oil,▢ 2 large eggs,▢ 1 ½ cups white chocolate chips plus extra white chocolate chips for dotting on top,NA,NA,NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/red-velvet-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Pie Bars,Amanda Davis,5, 1 ,American,Holidays & Seasons,Thanksgiving,NA,40 minutes,NA,5 minutes,5 minutes,24 bars,6,"Preheat oven to 350 F. Line a 13×9 baking pan with foil, spray the foil generously with cooking spray.
Whisk together flour, powdered sugar, salt, and baking powder. Drop the butter into the flour mixture and work it with your fingers until mixture resembles coarse crumbs and begins to stick together.
Press evenly into prepared pan and bake for 15 minutes, or until lightly browned. Remove from oven and place on cooling rack.
Whisk eggs in a large bowl until lightly beaten. Add sugar and brown sugar and beat well. Whisk in the corn syrup gradually and then beat in vanilla and melted butter. Fold in 1-1/4 cups of the pecans. Pour filling over the crust in the pan, sprinkle with remaining 1/2-cup pecans.
Bake 35-45 minutes, or until filling is set. Remove from oven and cool on a wire rack.
Once completely cooled, lift the bars from the pan using the foil and cut into bars.",12,▢ 8.5 ounces all purpose flour 2 cups,▢ 2 ounces powdered sugar 1/2 cup,▢ ¼ teaspoon salt,▢ ¼ teaspoon baking powder,▢ ⅔ cup unsalted butter cut into cubes,▢ 3 large eggs,▢ 4 ounces packed brown sugar 1/2 cup,▢ 2.5 ounces granulated sugar 1/3 cup,▢ 8 ounces light corn syrup 1 cup,▢ 2 tablespoons unsalted butter melted and cooled,▢ 2 teaspoons vanilla extract,Amanda's Cookin,https://amandascookin.com/pecan-pie-bars-recipe/,▢ 8 ounces chopped pecans divided. 1 3/4 cups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cheesecake Brownies,Amanda Davis,NA,NA,American,Desserts,"Cookies, Brownies, & Bars",NA,45 minutes,NA,15 minutes,15 minutes,16 servings,14,"Preheat oven to 350 F and line a 9×9 baking pan with parchment paper. Allow parchment to hang over the sides to use as handles later.
In a large bowl with a hand mixer, beat the cream cheese with sugar until smooth. Scrape down sides of bowl.
Beat in pumpkin puree, vanilla, pumpkin pie spice, and flour until well mixed.
Gently stir in egg until well mixed. Set aside.
Melt the butter, and while it’s still hot pour over chocolate chips in a bowl. Allow to sit for a minute to soften chocolate. Stir with rubber spatula.
Add eggs, cocoa, sugar and vanilla and stir.
Stir in the flour just until no more traces of flour remain.
Remove 1 heaping cup of the brownie batter and set aside.
Spread the remaining brownie batter into the prepared pan.
Pour the pumpkin cheesecake batter over the brownie batter and spread out evenly.
Soften the remaining brownie batter by microwaving it for 5-10 seconds. That’s long enough! You don’t want to scorch it, just soften it a little.
Drop softened batter by spoonfuls across the top of the pumpkin layer. Drag a butter knife gently through the brownie batter in straight lines, going up then back down, I also go across those first lines.TIP: Just be careful not to drag the knife too much or everything will begin to bleed together. You just want some nice marbling.
Bake for 40-45 minutes, or until a toothpick inserted in the center comes out with moist crumbs but not wet batter.
Remove from oven to a wire cooling rack. Allow brownies to cool completely in the pan. Once cooled, use the parchment handles to lift the brownies out.If you try to remove the brownies from the pan before they are cooled, the cheesecake will “bend” leaving you with an ugly mark in your pretty marble swirl. Of course, it doesn’t affect the taste, just the appearance.",14,▢ 8 ounces cream cheese softened at room temperature,"▢ 3.5 ounces granulated sugar 100g, 1/2 cup","▢ 4.3 ounces pumpkin puree 122g, 1/2 cup",▢ ½ teaspoon vanilla extract,▢ 1 teaspoon pumpkin pie spice,▢ ½ Tablespoon all purpose flour,▢ 1 large egg,▢ 12 Tablespoons unsalted butter 3/4 cup. melted,"▢ 4.8 ounces semi-sweet chocolate chips 136g, 2/3 cup",▢ 3 large eggs,"▢ 1.5 ounces unsweetened cocoa powder 43g, 1/2 cup",Amanda's Cookin,https://amandascookin.com/pumpkin-cheesecake-brownies/,"▢ 10.5 ounces granulated sugar 297g, 1 1/2 cups",▢ 1 teaspoon vanilla extract,"▢ 4.2 ounces all purpose flour 119g, 7/8 cup",NA,NA,NA,NA,NA,NA,NA,NA
Zucchini Brownies,Amanda Davis,5, 1 ,American,Desserts,"Cookies, Brownies, & Bars",NA,30 minutes,NA,50 minutes,50 minutes,24 squares,8,"Preheat oven to 350 F and line a 13×9 baking dish with parchment paper, allowing extra to hang over the sides to use as handles.
With mixer at medium speed, combine the vegetable oil, sugar, and vanilla until moist crumbs form.
To a medium bowl, add the flour, cocoa, baking soda, and Kosher salt. Whisk together until thoroughly combined then add to the oil/sugar mixture. Beat on low speed until completely combined and a fine dry crumb is formed. Mixture will be very dry at this stage.
Using a rubber spatula, fold in the shredded zucchini until completely combined and mixture is moistened. Allow to rest for 5-10 minutes. During the rest, the zucchini will release its liquid and the mixture will now look like batter.
Stir the 1 cup of chopped chocolate into the batter and scrape the batter into the prepared pan. Spread out to an even layer.
If using, sprinkle the 1/2 cup chopped chocolate over the top of the batter.
Bake for 25-35 minutes, or until a toothpick comes out fairly clean. Crumbs may still stick to the toothpick but it should not be wet.
Remove pan from oven and place on wire rack. Allow to cool completely, then use parchment paper handles to remove brownies from the pan.",10,"▢ 4 ounces vegetable oil 1/2 cup, 100g","▢ 12 ounces granulated sugar 1 1/2 cups, 340g","▢ 2 teaspoons vanilla extract .32 ounce, 9g","▢ 11 ounces all purpose flour 2 1/4 cups, 312g",▢ 2 ounces unsweetened baking cocoa 1/2 cup + 2 Tablespoons. 57g,"▢ 1 ½ teaspoons baking soda .3 ounces, 9g","▢ 1 teaspoon Kosher salt .25 ounces, 7g","▢ 16 ounces shredded zucchini packed and undrained. 2 1/2 cups, 455g","▢ 5.5 ounces chopped baking chocolate 1 cup, 140g",▢ 2.5 ounces chopped baking chocolate optional for the top. A scant 1/2 cup or 70g,NA,Amanda's Cookin,https://amandascookin.com/zucchini-brownies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackberry Pie Squares,Amanda Davis,4.67, 3 ,American,Desserts,"Cookies, Brownies, & Bars",NA,45 minutes,NA,15 minutes,15 minutes,16 squares,7,"Preheat oven to 350 F.
Cream sugar and butter in mixer on medium speed until fluffy. Add eggs, one at a time, until incorporated. Add the vanilla and beat well.
Whisk together flour and baking powder. Turn mixer speed down to lowest setting and slowly add flour mixture until completely combined.
Spread half of the mixture (I weigh mine to get even halves) onto an ungreased 15×10 jelly roll pan. Spread pie filling over the top of the batter. Drop remaining batter onto the pie filling layer by spoonfuls.
Bake for 45 minutes or until golden brown. Do not under bake. Remove to a wire rack.
Combine powdered sugar, melted butter, and lemon juice. Drizzle over warm bars.
Allow to cool completely before cutting into squares.",10,▢ 1 ¾ cups granulated sugar 400g,▢ 1 cup unsalted butter 2 sticks,▢ 4 eggs,▢ 1 teaspoon pure vanilla extract,▢ 3 cups unbleached all purpose flour 395g,▢ 1 ½ teaspoons baking powder 5g,▢ 21 ounces blackberry pie filling,▢ 1 ¼ cups powdered sugar 140g,▢ 1 Tablespoon unsalted butter melted,▢ 2-3 Tablespoons lemon juice fresh,NA,Amanda's Cookin,https://amandascookin.com/blackberry-pie-squares/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Brownie Skillet,Amanda Davis,5, 1 ,American,Desserts,"Cookies, Brownies, & Bars",NA,NA,NA,20 minutes,20 minutes,12 servings,9,"Preheat the oven to 325 F. Lightly grease the bottom and sides of a 10"" cast iron skillet.
In a mixer at medium speed, cream together cream cheese, peanut butter, and sugar. Beat for 2 minutes. Add eggs, one at a time, beating well after each addition. Beat in vanilla. Cover and set aside.
To make the brownie layer, cut butter into 6 chunks. Place butter and chopped chocolate into a bowl and melt in the microwave. Add both sugars to melted chocolate and stir until everything is combined. 
Add eggs, one at a time, stirring well after each addition. Add vanilla, stir well. Add flour and salt and stir until there are no traces of flour left.
Reserve one cup of the brownie batter and set aside. Pour remaining brownie batter into prepared skillet.
Spread the peanut butter mixture over the brownie batter.
Spoon the remaining one cup of brownie batter in dollops onto the top of the peanut butter mixture.
Insert an icing spatula or butter knife into the batter (spatula should be straight up and down) and swirl the mixture. Do not overdo it, start from one side and finish at the other, no need to go over it again.
Bake in preheated oven for 55-65 minutes (mine was 63). The center will puff up a bit and the edges will pull away from the sides of the pan. Allow to cool in pan on a wire rack until completely cooled.",14,▢ 6 ounces cream cheese softened. 168g,▢ ⅔ cup creamy peanut butter 178g,▢ ⅓ cup granulated sugar 73g,▢ 2 large eggs,▢ ½ teaspoon pure vanilla extract,▢ ¾ cup unsalted butter 1.5 sticks or 169g,▢ 3 ounces unsweetened baking chocolate coarsely chopped. 86g,▢ 1 cup light brown sugar firmly packed . 217g,▢ ½ cup granulated sugar 109g,▢ 3 large eggs,▢ 1 teaspoon pure vanilla extract,Amanda's Cookin,https://amandascookin.com/peanut-butter-marbled-brownie-skillet/,▢ ¾ cup unbleached all purpose flour 119g,▢ ¼ teaspoon salt,▢ vanilla ice cream optional for topping,NA,NA,NA,NA,NA,NA,NA,NA
Fudge Frosted Espresso Brownies,Amanda Davis,5, 1 ,American,Desserts,"Cookies, Brownies, & Bars",NA,30 minutes,NA,45 minutes,45 minutes,16 brownies,10,"Preheat oven to 350 F.
Melt butter, bittersweet chocolate and unsweetened chocolate in a microwave safe bowl, heating in 30 second increments until smooth. Allow chocolate to cool.
Prepare an 8×8 baking pan by lining it with foil. Spray the foil with cooking spray. Set aside.
When chocolate has cooled, stir in the sugar until well blended. Add the eggs, one at a time, stirring well with a wooden spoon, just until combined. Add in the espresso powder and vanilla and stir until combined.
In another bowl, whisk together flour, baking soda, and salt. Add flour mixture to the chocolate mixture and stir until just combined. Stir in miniature chocolate chips. Spread batter evenly into prepared pan.
Bake for 30 minutes. Remove from oven and cool completely in pan on a wire rack.
Melt the chocolate in the microwave – 2 to 3 minutes on medium – or in a bowl sitting over a pan of simmering water, and let cool slightly.
In another bowl beat the butter until it’s soft and creamy and then add the sifted confectioners’ sugar and beat again until everything’s light and fluffy. Gently add the vanilla and chocolate and mix together until everything is combined.
Spread frosting on the cooled brownies in the pan.
Lift brownies out of the pan using the foil as handles. Cut brownies into bars.",15,"▢ ½ cup unsalted butter 1 stick, softened",▢ 4 ounces bittersweet chocolate chopped,▢ 3 ounces unsweetened chocolate chopped,▢ 1 cup granulated sugar,▢ 2 eggs,▢ 1 Tablespoon instant espresso powder,▢ 1 teaspoon vanilla extract,▢ ⅔ cup unbleached all purpose flour,▢ ¼ teaspoon baking soda,▢ ⅛ teaspoon salt,▢ 1 cup miniature semi sweet chocolate chips,Amanda's Cookin,https://amandascookin.com/fudge-frosted-espresso-brownies/,▢ 6 ounces bittersweet chocolate minimum 70 percent cocoa solids,"▢ 1 cup unsalted butter plus 2 tablespoons, softened at room temp",▢ 1 ¾ cups confectioners’ sugar sifted,▢ 1 Tablespoon vanilla extract,NA,NA,NA,NA,NA,NA,NA
Chocolate Peanut Butter Cookies,Amanda Davis,4.92, 619 ,American,Desserts,"Cookies, Brownies, & Bars",NA,8 minutes,NA,23 minutes,23 minutes,36 cookies,5,"Preheat oven to 375 degrees F.
Combine shortening, peanut butter, brown sugar, milk and vanilla in large bowl. Beat with electric mixer at medium speed until well blended. Add egg. Beat just until blended.
Combine flour, cocoa, salt and baking soda. Add to creamed mixture at low speed. Mix just until blended.
Drop by heaping tablespoonsful (using a cookie scoop works great) 2 inches apart onto ungreased baking sheet. Flatten slightly in crisscross pattern with tines of fork.
Bake for 7 to 8 minutes, or until set and just beginning to brown. DO NOT OVERBAKE. Cool 2 minutes on baking sheet. Remove cookies to racks to cool completely.",10,▢ ½ cup shortening or butter flavored shortening,▢ ¾ cup creamy peanut butter,▢ 1 ¼ cups firmly packed light brown sugar,▢ 3 Tablespoons milk,▢ 1 teaspoon vanilla,▢ 1 large egg,▢ 1 ¼ cups all purpose flour,"▢ ½ cup unsweetened cocoa DO NOT pack into measuring cup, scoop and sweep only",▢ ¾ teaspoon salt,▢ ¾ teaspoon baking soda,NA,Amanda's Cookin,https://amandascookin.com/chocolate-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Streusel Squares,Amanda Davis,4.96, 23 ,American,Desserts,"Cookies, Brownies, & Bars",NA,40 minutes,NA,55 minutes,55 minutes,12 bars,6,"Preheat oven to 350 F and grease a 9×9 square baking pan.
In bowl of your food processor, pulse to combine flour and sugar. Add vanilla extract and pulse two or three times to combine. Add butter all at once and process until coarse crumbs are formed, just as the dough begins to come together. Dump two-thirds of the crumb mixture into prepared pan and press evenly. Set remaining crumb mixture aside for the topping.
Spread lemon curd over the crumb crust. Sprinkle remaining topping over the curd.
Bake in preheated oven for 35-40 minutes or until edges are lightly browned.
Remove from oven to wire rack and allow to cool completely before cutting into squares.
For the glaze, add lemon extract, melted butter and one tablespoon of the milk to the powdered sugar. Stir to combine and add small amounts of remaining milk, as needed, until you reach a thick drizzling consistency. Drizzle over individual squares. Allow glaze to set before serving.",9,▢ 2 ½ cups unbleached all purpose flour 330g,▢ ⅔ cup sugar 155g,▢ 1 teaspoon vanilla extract,▢ 1 cup cold unsalted butter 2 sticks,▢ 12 oz jar lemon curd,▢ 1 cup powdered sugar sifted,▢ ¼ teaspoon lemon extract,▢ ½ Tablespoon unsalted butter melted,▢ 1-2 Tablespoons milk,NA,NA,Amanda's Cookin,https://amandascookin.com/lemon-streusel-squares/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
