title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,source,link,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34
Chocolate Pistachio Cookies,Emily Leary,NA,NA,Cookies,American,Prep Time20 minutes mins,Cook Time12 minutes mins,NA,Total Time32 minutes mins,20 cookies,12,"Preheat the oven to 150C / 300F (130C fan-assisted).
Spread the pistachios on a tray and toast for 10 minutes. You can skip this step if you like, but it helps bring out the pistachio flavour and give them a bit of extra crunch. Tip onto a plate and set aside to cool.
Turn the oven up to 180C / 350F (160C fan-assisted).
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg and the vanilla until well combined.
Add the flour and the baking powder and mix well – you should now have a sticky, light dough.
Fold in the milk chocolate chips and pistachios.
Use a large ice cream scoop the dough, flattening off against the side of the bowl, then roll the dough into a ball with your hands. It’s an easy way to get 20 equally sized cookies. Alternatively, you can weigh the dough - each ball will weigh about 55g each.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread. Squash each of them a little with the flat of your hand.
Bake for 8-10 minutes until golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
While still hot, place a tumbler over a cookie and gently move it in small circles to bring the cookie into a neat circle. Repeat with all of the cookies - this only works when they are fresh from the oven and soft.
When cooled enough to firm up a little, transfer to a wire rack to cool completely.",18,130 g (4.6 oz) salted butter softened,1 tbsp golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar) superfine sugar,1 tsp vanilla extract,1 medium free range egg,235 g (8.3 oz) plain white flour (all purpose flour) all purpose flour,1 tsp baking powder,300 g (10.6 oz) milk chocolate chips,250 g (8.8 oz) shelled pistachios,130 g (4.6 oz) salted butter softened,1 tbsp golden syrup,160 g (5.6 oz) white caster sugar (superfine sugar) superfine sugar,1 tsp vanilla extract,1 medium free range egg,235 g (8.3 oz) plain white flour (all purpose flour) all purpose flour,1 tsp baking powder,300 g (10.6 oz) milk chocolate chips,250 g (8.8 oz) shelled pistachios,A Mummy Too,https://www.amummytoo.co.uk/chocolate-pistachio-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Cranberry Shortbread,Emily Leary,NA,NA,Cookies,Scottish,Prep Time15 minutes mins,Cook Time25 minutes mins,NA,Total Time40 minutes mins,30 biscuits,10,"Put the sugar in a bowl and add the finely grated orange zest. Rub together with your hands to help release the oils.
Add the flour and cold, cubed butter and rub together until you have an even crumb.
Add 1 tbsp of cold water and cut through with a cutlery knife. Give a little bit of the mixture a squeeze. If it comes together, it’s ready. If it’s dry and sandy, cut in up to another 1 tbsp cold water.
Sprinkle the cranberries into the bowl. Mix lightly.
Gather up the dough and knead together only as much as it takes to get a smooth ball of dough.
Roll the dough into a cylinder with a length of 30cm (12 inches) and a diameter of 5cm (2 inches). Wrap in greaseproof paper or plastic wrap and place in the fridge to rest and chill for 15 minutes.
While the dough chills, preheat the oven to 170C (150C fan / 340F).
Slice the dough into 1 cm cookies.
Place them on a lined baking tray and prick each one a few times with a fork.
Bake for 20-25 minutes until they've taken on just a very slight golden colour.",10,75 g (2.6 oz) white caster sugar (superfine sugar),2 oranges finely zested,250 g (8.8 oz) plain white flour (all purpose flour) sifted,125 g (4.4 oz) salted butter cold and cubed,100 g (3.5 oz) dried cranberries,75 g (2.6 oz) white caster sugar (superfine sugar),2 oranges finely zested,250 g (8.8 oz) plain white flour (all purpose flour) sifted,125 g (4.4 oz) salted butter cold and cubed,100 g (3.5 oz) dried cranberries,NA,NA,NA,NA,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/orange-cranberry-shortbread/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Lemon Shortbread Biscuits,Emily Leary,NA,NA,Cookies,Scottish,Prep Time15 minutes mins,Cook Time25 minutes mins,NA,Total Time40 minutes mins,25 cookies,10,"Put the sugar in a bowl (reserving 2 tbsp for later) and add the finely grated lemon zest. Rub together with your hands to help release the lemon oils.
Add the flour and cold, cubed butter and rub together until you have an even crumb.
Add 1 tbsp of cold water and cut through with a cutlery knife. Give a little bit of the mixture a squeeze. If it comes together, it’s ready. If it’s dry and sandy, cut in up to another 1 tbsp water.
Gather up the pieces and knead together only as much as it takes to get a smooth ball of dough.
Roll the dough into a  cylinder with a length of 25cm and a diameter of 4cm. Wrap in greaseproof paper or plastic wrap and place in the fridge to rest and chill for 15 minutes. 
While the dough chills, preheat the oven to 170C (150C fan / 340F).
Slice the dough into 1 cm cookies.
Place them on a lined baking tray and prick each one a few times with a fork.
Bake for 20-25 minutes until they've taken on just a very slight golden colour.
As soon as they’re out of the oven, sprinkle with the reserved sugar and allow to cool for 5 minutes. Transfer to a wire rack to cool completely.",8,"75 g (2.6 oz) white caster sugar superfine sugar,",2 lemons finely zested,"250 g (8.8 oz) plain white flour all purpose flour, sifted",125 g (4.4 oz) salted butter cold and cubed,"75 g (2.6 oz) white caster sugar superfine sugar,",2 lemons finely zested,"250 g (8.8 oz) plain white flour all purpose flour, sifted",125 g (4.4 oz) salted butter cold and cubed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/easy-lemon-shortbread-biscuits/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Sugar Cookies,Emily Leary,5, 1 ,Cookies,American,Prep Time20 minutes mins,Cook Time8 minutes mins,NA,Total Time28 minutes mins,25 cookies,11,"Cut a piece of greaseproof to about the same size as the base of your tray. Fold it in half 3-4 times to create a thin triangle. Make holes with a skewer or hole punch and unfold.
Put the butter, sugar, eggs and vanilla in a mixing bowl. Whisk until fluffy and pale.
Sift in the flour, baking powder, salt and bicarbonate of soda. Stir until fully combined and clumpy.
Gather up the pieces and knead together only as much as it takes to get a smooth ball of dough.
Roll the dough into a rough cylinder with a length of 25cm and a diameter of 4cm. 
Wrap in greaseproof paper or plastic wrap, smoothing the dough into an even cylinder.
Place in the fridge to rest and chill for 15 minutes. Bonus tip! If your dough has warmed, it may tend towards flattening against the counter. To avoid this, you can use a couple of kitchen roll tubes and a little tape to hold the cylinder in shape.
Slice the cylinder into 1cm discs with a sharp knife. You should get 25 cookies in total.
Place 6-8 cookies in your lined air fryer basket. They don't need to be spaced more than a centimetre or two (half inch) apart as they only spread a little bit.
Set the air fryer to 170C and bake the cookies for 8 minutes or until pale golden at the edges.
Cool briefly on the tray to allow them to firm up, then transfer to a cooling rack with a spatula.",16,110 g (3.9 oz) salted butter,100 g (3.5 oz) white caster sugar,1 medium free range eggs,½ tsp (0.5 tsp) vanilla extract,250 g (8.8 oz) plain white flour,¼ tsp (0.3 tsp) bicarbonate of soda,¼ tsp (0.3 tsp) baking powder,¼ tsp (0.3 tsp) salt,110 g (3.9 oz) salted butter,100 g (3.5 oz) white caster sugar,1 medium free range eggs,½ tsp (0.5 tsp) vanilla extract,250 g (8.8 oz) plain white flour,¼ tsp (0.3 tsp) bicarbonate of soda,¼ tsp (0.3 tsp) baking powder,¼ tsp (0.3 tsp) salt,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/air-fryer-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Oatmeal Raisin Cookies,Emily Leary,NA,NA,Cookies,American,Prep Time20 minutes mins,Cook Time15 minutes mins,NA,Total Time35 minutes mins,20 cookies,9,"Cut a piece of greaseproof to about the same size as the base of your tray. Fold it in half 3-4 times to create a thin triangle. Make holes with a skewer or hole punch and unfold.
Put the butter and sugar in a large bowl and mix until fluffy.
Add the milk, egg  and vanilla extract and whisk together.
Sift in the flour, add the oats and fold to combine.
Add the raisins and mix again.
Divide your dough into 20 portions of dough, rolled into balls. You can eyeball this, or if you want to be super accurate, you can divide the dough into 20 x 34g portions.
Place 4-5 at a time into your lined tin, spaced apart to allow them to spread.
Set the air fryer to 140C/285F and bake the cookies for 15 minutes until golden.
Cool briefly on the tray to allow them to firm up, then transfer to a cooling rack with a spatula.",16,125 g (4.4 oz) salted butter,150 g (5.3 oz) golden granulated sugar,1 medium free range egg,1/2 tsp (0.5 tsp) vanilla extract,1 tbsp milk,140 g (4.9 oz) rolled oats,110 g (3.9 oz) self-raising white flour,100 g (3.5 oz) raisins,125 g (4.4 oz) salted butter,150 g (5.3 oz) golden granulated sugar,1 medium free range egg,1/2 tsp (0.5 tsp) vanilla extract,1 tbsp milk,140 g (4.9 oz) rolled oats,110 g (3.9 oz) self-raising white flour,100 g (3.5 oz) raisins,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/air-fryer-oatmeal-raisin-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Peanut Butter Cookies,Emily Leary,NA,NA,Cookies,American,Prep Time20 minutes mins,Cook Time7 minutes mins,NA,Total Time27 minutes mins,20 cookies,7,"Cut a piece of greaseproof to about the same size as the base of your tray. Fold it in half 3-4 times to create a thin triangle. Make holes with a skewer or hole punch and unfold.
Put all of the ingredients in a large bowl and mix until you have an even, loose dough.
Cover and place in the fridge to chill for 30 minutes.
Divide your dough into 20 portions of dough, rolled into balls. You can eyeball this, or if you want to be super accurate, you can divide the dough into 20 x 23g portions.
Place 4-5 at a time into your lined tin at least 2 inches apart, pressing down with a fork to create the classic cross hatch pattern.
Set the air fryer to 170C and bake the cookies for 7 minutes until golden.
Cool briefly on the tray to allow them to firm up, then transfer to a cooling rack with a spatula.",10,"200 g crunchy peanut butter gluten free, if required",175 g light brown sugar,1 large free range egg,¼ tsp fine sea salt if your peanut butter is unsalted,1 tsp vanilla extract if you like,"200 g crunchy peanut butter gluten free, if required",175 g light brown sugar,1 large free range egg,¼ tsp fine sea salt if your peanut butter is unsalted,1 tsp vanilla extract if you like,NA,NA,NA,NA,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/air-fryer-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Shortbread Cookies,Emily Leary,NA,NA,Cookies,Scottish,Prep Time10 minutes mins,Cook Time25 minutes mins,NA,Total Time35 minutes mins,10 cookies,9,"Put a liner on top of the grill tray in your air fryer. If you don’t have one, cut a piece of greaseproof paper to about the same size as the base of your tray. Fold it in half 3-4 times to create a thin triangle. Make holes with a skewer or hole punch and unfold.
Put the sugar, flour and cold, cubed butter in a bowl and rub together until you have an even crumb.
Add 1 1/2 tsp of cold water and cut through with a cutlery knife. Give a little bit of the mixture a squeeze. If it comes together, it’s ready. If it’s dry and sandy, cut in up to another 1 tbsp water.
Gather and knead the mixture just enough to bring it together as a smooth dough. Be careful not to overwork it.
Gently shape the dough into a rectangular length - about 10cm long x 2.5 cm tall x 5cm wide (4 inches long x 1 inch tall x 2 inches wide). Wrap in cling film and place in the freezer for 15 minutes.
Once the dough is very firm, unwrap and cut into 1 cm (1/2 inch) cookies. Prick each one all over with a fork.
Place the cookies in the air fryer basket, with about 2cm / ¾ inch between them.
Set air fryer to 130C fan / 265F and bake for 20-25 minutes until they've taken on just a very slight golden colour.
As soon as they’re out of the air fryer, sprinkle with the remaining sugar and allow to cool for 5 minutes, then transfer to a wire rack to cool completely.",6,"50 g (1.8 oz) white caster sugar superfine sugar, plus 2 tsp to sprinkle","120 g (4.2 oz) plain white flour all purpose flour, sifted",60 g (2.1 oz) salted butter cold and cubed,"50 g (1.8 oz) white caster sugar superfine sugar, plus 2 tsp to sprinkle","120 g (4.2 oz) plain white flour all purpose flour, sifted",60 g (2.1 oz) salted butter cold and cubed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/air-fryer-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Chocolate Chip Cookies,Emily Leary,5, 1 ,Desserts and sweet treats,American,Prep Time8 minutes mins,Cook Time15 minutes mins,NA,Total Time20 minutes mins,20 cookies,11,"Cut a piece of greaseproof to about the same size as the base of your tray. Fold it in half 3-4 times to create a thin triangle. Make holes with a skewer or hole punch and unfold.
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg and the vanilla until well combined.
Add the flour and the baking powder and mix until just combined – you should now have a sticky, light dough.
Fold in the chocolate chips.
Divide your dough into 20 portions of dough, rolled into balls. You can eyeball this, or if you want to be super accurate, you can divide the dough into 20 x 50g portions.
Place the cookie dough balls on a tray in the freezer for 15 minutes until very firm – this will help the cookies hold their shape.
Place 4 cookie dough balls, evenly spaced in your air fryer basket lined with the holey paper you made earlier. If they look more crowded than in the pictures, you may have a smaller air fryer tray and need to cook fewer at a time.
Set the air fryer to 140C/285F and bake the cookies for 15 minutes until golden.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.
Repeat to cook as much of the cookie dough as you wish – you can store any dough you’re not ready to cook in a Ziplock bag.",16,130 g salted butter,1 tbsp golden syrup,160 g white caster sugar,1 tsp vanilla extract,1 medium free range egg,235 g plain white flour,1 tsp baking powder,400 g milk chocolate chips,130 g salted butter,1 tbsp golden syrup,160 g white caster sugar,1 tsp vanilla extract,1 medium free range egg,235 g plain white flour,1 tsp baking powder,400 g milk chocolate chips,NA,NA,A Mummy Too,https://www.amummytoo.co.uk/air-fryer-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff Chocolate Cookies Recipe,Emily Leary,5, 1 ,"Cookies, Desserts and sweet treats",American,Prep Time15 minutes mins,Cook Time15 minutes mins,NA,Total Time30 minutes mins,18 cookies,10,"Preheat the oven to 180C/350F (160C/320F fan-assisted).
In a large bowl, beat together the butter, Biscoff spread, golden syrup, vanilla and sugar until fluffy.
Add the flour, cocoa and baking powder and mix well – you should now have a sticky, light dough.
Add the chocolate chips and fold through.
Use a large ice cream scoop the dough, flattening off against the side of the bowl, then roll the dough into a ball with your hands. This is the best way to get 12 equally sized cookies.
Place the balls of dough on baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Snap the Biscoff cookies in half and push one half on top of each ball of cookie dough, pressing down slightly.
Bake for 12-14 minutes until golden at the edges. Get them out of the oven while they're soft will ensure they stay crisp at the edges but soft and chewy in the middle when cool.
If the cookies lose their shape at all during cooking, you can reshape them while they're still hot. Place a tumbler over a cookie and gently move it in small circles to bring the cookie into a neat circle. Repeat with all of the cookies - this only works when they are fresh from the oven and soft.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.",20,130 g (½ cup + 1tbsp) salted butter softened,150 g (½ cup) Lotus biscoff spread,1 tbsp golden syrup,1 tsp vanilla extract,160 g (1 cup) soft dark brown sugar,225 g (1½ cups) plain white flour (all purpose flour),2 tbsp cocoa powder (dutch processed),1 tsp baking powder,300 g (1½ cups) chocolate chips,9 Lotus biscoff caramelised biscuits,130 g (½ cup + 1tbsp) salted butter softened,150 g (½ cup) Lotus biscoff spread,1 tbsp golden syrup,1 tsp vanilla extract,160 g (1 cup) soft dark brown sugar,225 g (1½ cups) plain white flour (all purpose flour),2 tbsp cocoa powder (dutch processed),1 tsp baking powder,A Mummy Too,https://www.amummytoo.co.uk/biscoff-chocolate-cookies-recipe/,300 g (1½ cups) chocolate chips,9 Lotus biscoff caramelised biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baileys Irish Cream Cookies Recipe,Emily Leary,5, 1 ,"Dessert, Snack",American,Prep Time16 minutes mins,NA,14 minutes mins,Total Time30 minutes mins,18 cookies,11,"Preheat the oven to 180C (160C fan-assisted).
In a large bowl, beat together the butter, golden syrup and sugar until fluffy.
Beat in the egg and the Baileys until well combined.
Add the flour, cocoa and the baking powder and mix well – you should now have a sticky, light dough.
Fold in the dark chocolate chunks, keeping a handful (about 50g) back to go on top later.
Use a large ice cream (this is the best way to get equally sized cookies) scoop the dough, flattening off against the side of the bowl, and drop onto a baking sheets lined with greaseproof paper, being sure to place each cookie at least an inch apart so that they don’t stick together when they spread.
Press the cookies down with the heel of your hand so that they're 2 cm (3/4 inch) thick.
Bake for 12-14 minutes until golden at the edges. Get them out of the oven before they’re fully browned so that they stay chewy when cool.
While still hot, place a tumbler over a cookie and gently move it in small circles to bring the cookie into a neat circle. Repeat with all of the cookies - this only works when they are fresh from the oven and soft.
Top with the remaining dark chocolate chunks.
Allow to cool on the tray until firm enough to transfer to a wire rack to cool completely.",18,130 g salted butter softened,1 tbsp golden syrup,160 g white caster sugar (superfine sugar),3 tbsp Baileys,1 large free range egg,235 g plain white flour (all purpose flour),1 tbsp cocoa powder,1 tsp baking powder,400 g dark chocolate chunks,130 g salted butter softened,1 tbsp golden syrup,160 g white caster sugar (superfine sugar),3 tbsp Baileys,1 large free range egg,235 g plain white flour (all purpose flour),1 tbsp cocoa powder,1 tsp baking powder,400 g dark chocolate chunks,A Mummy Too,https://www.amummytoo.co.uk/baileys-irish-cream-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
