title,author,rating,ratingnum,cuisine,preptime,cooktime,totaltime,servings,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Oreo Cookies Recipe,Sharon Best,NA,NA,American,Prep Time 30 minutes mins,Cook Time 9 minutes mins,Total Time 1 hour hr 39 minutes mins,15 sandwich cookies,15,13,1 1/4 cups all-purpose flour,1/2 cup unsweetened cocoa powder,1 1/4 teaspoons baking soda,1 pinch kosher salt,1/2 cup unsalted butter softened,1/2 cup granulated sugar,1/2 cup light brown sugar packed,1 large egg at room temperature,1 1/4 teaspoons vanilla extract,1/4 cup unsalted butter softened,1/4 cup vegetable shortening,1 3/4 cups powdered sugar sifted,1/2 teaspoon vanilla extract,Baked Bree,https://bakedbree.com/oreo-cookies-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Crescents,Sharon Best,NA,NA,American,Prep Time 20 minutes mins,Cook Time 20 minutes mins,Total Time 1 hour hr 15 minutes mins,24 cookies,10,6,1 cup unsalted butter softened,1/2 cup powdered sugar plus more for rolling,1/4 teaspoon salt,2 teaspoons vanilla extract,2 cups all-purpose flour,2 cups pecans finely chopped,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/pecan-crescents-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Sheet Cake Cookies,Diane Goodman,NA,NA,American,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 30 minutes mins,16 cookies,6,8,1 package chocolate cake mix (15.25 ounces),2 eggs,5 tablespoons vegetable oil,1/2 cup butter softened,2 tablespoons unsweetened cocoa powder,2 1/2 tablespoons milk,1/2 teaspoon vanilla extract,2 1/2 cups powdered sugar,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/texas-sheet-cake-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polvorones Mexican Cookies,Sharon Best,NA,NA,Mexican,Prep Time 20 minutes mins,Cook Time 18 minutes mins,Total Time 1 hour hr 13 minutes mins,24 cookies,9,7,1 cup unsalted butter softened to room temperature,1/2 cup powdered sugar,3/4 teaspoon vanilla extract,2 cups all-purpose flour,1 teaspoon ground cinnamon,1 pinch kosher salt,"Cinnamon sugar 1/2 cup powdered sugar plus 1 teaspoon cinnamon, for rolling",NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/polvorones-mexican-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Cookies,Sharon Best,NA,NA,American,Prep Time 35 minutes mins,Cook Time 15 minutes mins,Total Time 1 hour hr 55 minutes mins,24 cookies,15,11,1/2 cup creamy peanut butter,1/2 cup powdered sugar,1 cup butter at room temperature,1/4 cup brown sugar,3/4 cup granulated sugar,1 large egg yolk,3/4 teaspoon vanilla extract,2 cups all-purpose flour,1/2 cup unsweetened cocoa powder,1/4 teaspoon salt,"4 ounces semisweet baking chocolate chopped, or 4 ounces semisweet chocolate chips",NA,NA,Baked Bree,https://bakedbree.com/buckeye-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Bread Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 35 minutes mins,20 cookies,6,15,2 ripe bananas mashed,1/2 cup unsalted butter softened,1/4 cup granulated sugar,1/4 cup light brown sugar packed,1 large egg at room temperature,3/4 teaspoon vanilla extract,1 1/2 cups all-purpose flour,1/2 cup quick oats,1/2 teaspoon baking soda,1/2 teaspoon baking powder,1/4 teaspoon salt,2 ounces cream cheese softened,1 cup powdered sugar,Baked Bree,https://bakedbree.com/banana-bread-cookies,1 to 2 teaspoons milk more if needed,"Chopped pecans or walnuts for garnish, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 27 minutes mins,20 cookies,6,10,2 1/2 cups freeze-dried strawberries,1 cup unsalted butter softened,3/4 cup granulated sugar,1/4 cup brown sugar,"Pink food coloring as needed, optional",1 large egg,3/4 teaspoon vanilla extract,1 3/4 cups all-purpose flour,1/2 teaspoon baking soda,1/4 teaspoon salt,NA,NA,NA,Baked Bree,https://bakedbree.com/strawberry-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate-Dipped Oreos,Jonathan Porter,NA,NA,American,Prep Time 20 minutes mins,NA,Total Time 20 minutes mins,24 cookies,3,4,8 ounces white chocolate candy melts,1 package Oreo cookies about 24 cookies,8 ounces dark chocolate candy melts,Sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-dipped-oreos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate-Covered Ritz Crackers,Jonathan Porter,NA,NA,American,Prep Time 15 minutes mins,NA,Total Time 35 minutes mins,NA,4,5,1/2 cup smooth peanut butter,24 Ritz crackers,12 ounces semisweet chocolate chips or wafers,"1/2 teaspoon vegetable oil plus more, if needed",Sprinkles or flaky sea salt for garnish optional,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-covered-ritz-crackers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter-Stuffed Cookies,Amy Golden,NA,NA,American,Prep Time 20 minutes mins,Cook Time 13 minutes mins,Total Time 1 hour hr 3 minutes mins,24 cookies,5,11,1 cup unsalted butter softened,1 cup granulated sugar,3/4 cup light brown sugar packed,2 cups creamy peanut butter divided,2 large eggs at room temperature,1 1/2 teaspoons vanilla extract,3 cups all-purpose flour spooned and leveled,1 1/4 teaspoons baking powder,1/2 teaspoon baking soda,1/2 teaspoon salt,1/2 cup granulated sugar for rolling,NA,NA,Baked Bree,https://bakedbree.com/peanut-butter-stuffed-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
