title,author,rating,ratingnum,cuisine,category1,category2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,source,link,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Bat Sugar Cookies,Angela Latimer,5,4,American,Halloween,NA,10 minutes,6 minutes,NA,16 minutes,36 cookies,16,"Cream together the ¾ cup butter and 1 cup sugar in a large mixing bowl or the bowl of your stand mixer. Then, add the 2 large eggs, 1 teaspoon vanilla extract, 1 teaspoon baking powder, and ½ teaspoon salt. Mix until thoroughly combined. 
Stir in the 2½ cups all-purpose flour until it is evenly distributed throughout your sugar cookie dough. *If you plan to roll out your sugar cookies soon, place the bowl of dough in the refrigerator to chill for at least 1 hour. 
If you don't plan on rolling your cookies out for a while (up to 3 days), wrap the cookie dough in cling wrap to refrigerate and chill.
Preheat your oven to 375°F (190°C/Gas Mark 5) and line your baking sheet(s) with parchment paper.
Once your dough has chilled, separate small portions of the dough to work with on a floured surface. Roll out the dough until ¼-½ inch thick and cut into bats with your bat cookie cutter.  
Transfer your cookies to your prepared baking sheet and bake for 6-9 minutes.
Remove the cookies from the oven before the bottom edges become golden. Let them sit on on the baking sheet for 5-6 minutes before you transfer them to a wire cooling rack to cool off completely.
Add the 4 cups confectioners sugar, 3 tablespoon meringue powder, optional ⅓ cup cocoa powder, to a medium mixing bowl or the bowl of your stand mixer. Whisk to combine. 
Pour the ½ cup water into the bowl and mix (on low speed if using a mixer) until combined.
Drag a knife through the icing to test the consistency. If the gap in the icing closes quickly (in less than 10 seconds) continue to mix until it thickens.
If it takes more than 20 seconds for the gap to close, it is too thick. Add a small amount of water (a few drops) and mix briefly. Repeat the testing process until it reaches the desired consistency.
Add the 2-4 teaspoon black gel food coloring to the icing and mix it together by hand. If the icing is grey, add more black food coloring and mix until it is dark black in color. *Your icing will get truly black when refrigerated overnight.
Add the icing to a piping bag or Ziploc with the corner cut off. Begin by outlining your bats in black icing before filling in the inside. 
Allow the bat sugar cookies to dry overnight before adding the white eyes, if desired.
Combine ½ cup powdered sugar and ½ tablespoon milk in a mixing bowl and combine thoroughly. If icing is too thick, add small amounts of milk as needed until it reaches desired consistency.
Use a piping bag or Ziploc bag with a very small corner cut off to pipe the tiny eyes onto the face of each bat. You may also use a toothpick to dab and dot the eyes, or try 72 candy eyes.",15,"▢ ¾ cup butter (1 ½ sticks softened, at room temperature)",▢ 1 cup sugar,▢ 2 large eggs,▢ 1 teaspoon vanilla extract (or extract of your choice),▢ 1 teaspoon baking powder,▢ ½ teaspoon salt (use 1 teaspoon salt with unsalted butter),▢ 2½ cups all-purpose flour,▢ 4 cups confectioners sugar (powdered sugar),▢ 3 tablespoon meringue powder,▢ ½ cup water,▢ ⅓ cup cocoa powder (optional),▢ 2-4 teaspoon black gel food coloring,▢ ½ cup powdered sugar,▢ ½ tablespoon milk (or more as needed to reach desired consistency),"▢ 72 candy eyes (optional, instead of making the icing)",Bake It With Love,https://bakeitwithlove.com/bat-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA
Cake Mix Monster Eye Cookies,Angela Latimer,5,3,American,Halloween,NA,10 minutes,8 minutes,NA,18 minutes,24 cookies,7,"Preheat oven to 350°F (175°C/Gas Mark 4) and line baking sheets with parchment.
Combine 15.25 oz white cake mix, ½ cup vegetable oil or butter, and 2 large eggs in a large bowl; mix until smooth.
Divide dough into portions. Add 3-4 drops of gel food coloring to each and mix until desired color is achieved.
Scoop 1-2 tablespoons of dough onto lined baking sheets (2 inches apart). Roll in optional sprinkles. Flatten the dough balls slightly.
Bake at 350°F (175°C/Gas Mark 4) for 8-10 minutes, or until bottoms are lightly golden and cookies are set.
Remove from oven. Immediately press candy eyes onto warm cookies.
Cool on baking sheet for 5 minutes, then transfer to a wire rack to cool completely.",6,"▢ 15.25 oz white cake mix (see recipe, or use your favorite brand)","▢ ½ cup vegetable oil (use ⅓ cup to a scant ½ cup oil, or 7 tablespoons melted butter)",▢ 2 large eggs (at room temperature),▢ gel food coloring (pick your desired colors),▢ candy eyes (assorted sizes),"▢ sprinkles (optional, sanding sugar can also be used)",NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/cake-mix-monster-eye-cookies/,NA,NA,NA,NA,NA,NA,NA
Candy Corn Pinwheel Cookies,Angela Latimer,5,1,American,Halloween,NA,20 minutes,10 minutes,30 minutes,NA,15 cookies,6,"Cream ¾ cup butter and ¾ cup sugar until fluffy. Mix in 1 large egg, 1 teaspoon orange extract, ½ teaspoon baking powder, and ½ teaspoon salt. Stir in 2 cups all-purpose flour until just combined.
Divide dough into 3 equal portions. Leave one plain. Color one orange and one yellow with orange and yellow gel food coloring. Chill all three portions for at least 30 minutes.
Roll out the orange dough, then stack the yellow dough on top, followed by the plain dough. Roll the three layers together lightly to get the best spirals.
Starting from one end, tightly roll the stacked dough into a log. If desired, roll the log in sprinkles. Wrap and chill for 30 minutes.
Preheat oven to 400°F (205°C/Gas Mark 6) and line your baking sheet with parchment paper. Slice dough into ½-inch pinwheels and place on a parchment-lined baking sheet. Bake for 10 minutes, or until edges are lightly golden.
Let cool on the baking sheet for 5 minutes, then transfer to a wire rack to cool completely.",8,▢ ¾ cup butter (at room temperature),▢ ¾ cup sugar,▢ 1 large egg (at room temperature),▢ 1 teaspoon orange extract (or other clear extract flavoring),▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 2 cups all-purpose flour (spooned and leveled),▢ orange and yellow gel food coloring,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/candy-corn-sugar-cookie-pinwheels/,NA,NA,NA,NA,NA,NA,NA
Pistachio Macarons,Angela Latimer,5,1,French,Macarons,NA,30 minutes,15 minutes,NA,45 minutes,26 macarons,29,"Place 226 grams white chocolate and 120 grams heavy cream into a microwave-safe bowl. Heat for 1 minute. 
Remove the bowl from the microwave and leave it undisturbed for 5 minutes. 
Add 1 tablespoon pistachios and stir until completely combined. 
Transfer the ganache to the fridge to set for at least 2 hours, or until firm. 
Into the bowl of your food processor, add 200 grams confectioners sugar, 95 grams almond flour, and 15 grams pistachio flour. 
Pulse the mixture a few times until you have a really fine powder. 
Use a sieve to sift the flour mixture into a bowl, using a spoon to break up any large chunks. If you have any larger almond chunks remaining that can't pass through the sieve (no more than a tablespoon), you can toss them out. Set the bowl aside. 
Place your 100 grams egg whites into the bowl of your stand mixer and beat using the whisk attachment at medium speed until foamy. 
Add ¼ teaspoon cream of tartar and beat again at medium speed until soft peaks have formed. 
Very slowly, add 60 grams sugar in small increments, giving the mixer about 5 seconds in between each addition to fully incorporate it. 
Once the sugar has all been added, add ¼ teaspoon vanilla extract and the optional green gel food coloring  and beat until stiff peaks have formed (this could take several minutes). 
After you have reached stiff peaks, use a silicone spatula to transfer ⅓ of your meringue into your flour mixture. 
Use a slow, folding motion to gently incorporate the meringue into the dry ingredients. 
Once fully incorporated, repeat this process two more times with the remaining meringue.
After all of the meringue has been added, continue folding the mixture by making a J shape through the batter, rotating the bowl 90°, and repeating. Continue slowly folding until the batter moves similarly to lava and falls off your spatula in a ribbon just long enough to form a figure 8. 
Prepare your baking sheet(s) with parchment paper or a silicone baking mat and place a large tip into a piping bag (like a Wilton #12).
Transfer the macaron batter to the piping bag. Place your tip about ¼-inch above the baking sheet at a 90° angle (in the center of the circle, if using a template) and firmly squeeze until the batter fills the inner circle of the template. Stop squeezing and make a quick C shape to break off the batter. 
Pipe the rest of your macarons and then lift the baking sheet about 5 inches above the counter. Firmly bang it on the counter 8-10 times to bring any air bubbles to the surface.
Use a toothpick to pop any lingering air bubbles. 
Leave the macarons to rest for 30-60 minutes, or until they are no longer tacky when touched. 
Meanwhile, preheat your oven to 300°F (150°C/Gas Mark 2).
After the macarons are done resting, bake one sheet at a time for 15-18 minutes, or until they don't move on their feet when nudged slightly. 
Remove them from the oven and let them cool on the baking sheet for 10 minutes before moving them. 
Match up your macaron shells so that the ones closest in size make a pair. Then, flip one over. 
If desired, decorate the top shell with a little melted white chocolate and a sprinkle of pistachios.
Once your ganache is firm, transfer it to a piping bag with a large round tip or the corner cut off. 
Onto the bottom shell, piped the pistachio white chocolate ganache. Then, add a sprinkle of more crushed pistachios. 
Place the top shell on top and gently press together to form the completed sandwich. 
For best results, place your macarons into a sealed container in the refrigerator to bloom for 24 hours. Let them come to room temperature before serving. ",13,▢ 226 grams white chocolate (baking bars or chocolate chips),▢ 120 grams heavy cream,▢ 1 tablespoon pistachios (crushed),▢ 200 grams confectioners sugar,▢ 95 grams almond flour,▢ 15 grams pistachio flour (*see note),▢ 100 grams egg whites (room temperature),▢ ¼ teaspoon cream of tartar,▢ 60 grams sugar,▢ ¼ teaspoon vanilla extract,▢ green gel food coloring (optional),"▢ white chocolate (melted, optional for topping)","▢ pistachios (crushed, optional for topping)",NA,NA,Bake It With Love,https://bakeitwithlove.com/pistachio-macarons/,NA,NA,NA,NA,NA,NA,NA
Champagne Macarons,Angela Latimer,5,1,French,Macarons,NA,30 minutes,15 minutes,30 minutes,15 minutes,20 macarons,29,"Pour ½ cup champagne into a small saucepan and bring it to a simmer over medium-high heat. 
Once simmering, reduce the heat to medium and let the champagne simmer for about 10 minutes, or until it has reduced by half. 
Remove the saucepan from the heat and allow the champagne to cool completely while you make the macarons. 
In the bowl of your food processor, add the 125 grams almond flour and 125 grams confectioners sugar.
Blend with the food processor on low speed until the mixture has become extra-fine. Then, use a fine-mesh sieve to sift the mixture into a large mixing bowl. Set aside.
In the bowl of your stand mixer, use the whisk attachment to beat 100 grams egg whites at medium speed until foamy. 
Add ¼ teaspoon cream of tartar and keep beating until you have soft peaks. 
Very gradually add 80 grams sugar while continuing to mix. 
Once all of the sugar has been incorporated, add the ½ teaspoon vanilla extract and continue mixing at medium-high speed until you have stiff peaks. 
Scoop ⅓ of the whipped egg mixture into your flour mixture and use a rubber spatula to gently fold it in until it is combined.
Repeat this process with the remaining ⅔ of the egg whites, only adding ⅓ at a time, and gently folding in between each addition.
After the last bit of the egg mixture has been added, continue to gently and slowly fold the macaron batter until the batter falls from the spatula in ribbons. *The consistency should be similar to honey or lava. If you let the batter fall from your spatula, it should only take about 10 seconds to sink back into itself.
Once you have reached the perfect consistency, transfer the batter into a piping bag that has been fitted with a round tip (or a storage bag with the corner cut off).
Pipe the macarons onto your parchment paper (or mat) in 1½-inch circles, making sure to space them at least ½-inch apart from each other.
Firmly tap the baking sheet on the counter 5 times to get rid of any air bubbles. Then, use a toothpick to pop any remaining bubbles that you might see.
Sprinkle with gold sugar sprinkles if desired. 
Allow the macarons to rest on the counter at room temperature for 30-60 minutes, or until they are dry to the touch and no longer tacky.
While the macarons are resting, go ahead and preheat your oven to 300˚F (140˚C/Gas Mark 2).
Once ready, bake the macarons for 15-18 minutes, or until the macarons don't move if you tap on them slightly.
Remove the macarons from the oven and let them cool on the baking sheet completely before removing them. 
In a large mixing bowl, add ½ cup butter. I recommend butter that is between 68-70°F (20-21°C), and not so soft that you can easily indent it with your fingertip. 
Use a hand mixer or stand mixer to beat it for 1 minute until the butter has become light and fluffy.
Add 1¾ cup confectioners sugar, ½ teaspoon vanilla extract, and 1 pinch salt and mix until thoroughly combined. 
Pour in a small amount of your 1-2 tablespoon champagne reduction and mix until combined. Keep adding more of the champagne reduction until you meet your desired consistency. 
Beat at medium-high speed for another minute.
Scoop the buttercream into a piping bag with a round tip (or a storage bag with the corner cut off).
Take one cooled macaron shell and pipe some buttercream into the center. Place a second macaron shell on top and gently press them together, forming a sandwich.
Repeat this process with your remaining macaron shells and champagne buttercream.
For best results, place the macarons into an airtight container in the fridge for 24 hours. Then, allow them to come up to room temperature and serve.",19,▢ 125 grams almond flour,▢ 125 grams confectioners sugar,▢ 100 grams egg whites (room temperature),▢ ½ teaspoon vanilla extract,▢ ¼ teaspoon cream of tartar,▢ 80 grams sugar,▢ gold sugar sprinkles (optional for decoration),"▢ ½ cup champagne (or prosecco, or sparkling wine)",▢ ½ cup butter (room temperature),▢ 1¾ cup confectioners sugar,▢ ½ teaspoon vanilla extract,▢ 1 pinch salt,"▢ 1-2 tablespoon champagne reduction (or more, if needed)",▢ 1 cup berries (cleaned and mashed),▢ ½ cup champagne,Bake It With Love,https://bakeitwithlove.com/champagne-macarons/,▢ 4-5 tablespoon sugar,▢ 1⅓ cup white chocolate chips (or chopped white chocolate),▢ ½ cup heavy cream,▢ 1-2 teaspoon vanilla extract,NA,NA,NA
Polar Bear Paw Print Cookies,Angela Latimer,5,12,American,Cookies & Bars,NA,15 minutes,7 minutes,NA,22 minutes,24 cookies,10,"To make the chocolate cookies, start off by preheating your oven to 350°F (175°C) and line a cookie sheet with some parchment paper.
In a large mixing bowl, cream together your butter, granulated white sugar, and light brown sugar until the mixture is smooth and everything is combined.
Next, mix in the egg, vanilla, baking soda, and salt until smooth. Then, slowly incorporate the flour and sifted cocoa powder until you have soft cookie dough.
Scoop out some cookie dough and roll it in between your hands, forming a smooth ball. Place the ball onto your prepared baking sheet and use the bottom of a cup to gently press them down. Once pressed, you want your cookies to be about 3-inches across. Repeat with the remaining cookie dough.
Place the cookies on the center oven rack and bake them at 350°F (175°C) for 7-9 minutes, or until they are no longer shiny and have puffed up.
Remove the cookies from the oven and allow them to cool completely.
Once your cookies are completely cool, use a knife to generously spread the vanilla frosting evenly over the top of each cookie.
Pour your shredded coconut onto a plate or shallow dish and gently press each cookie into the coconut with the frosting facing down. 
After the shredded coconut has been added, you can form the paw print by placing one peppermint patty in the lower center edge of the cookie and using 4 brown M&Ms to mark the toe pads. Repeat with all of the cookies.
Enjoy immediately or store for later.",13,"▢ ¾ cup butter (softened, at room temperature)",▢ ½ cup sugar,▢ ½ cup light brown sugar (packed),▢ 1 large egg (at room temperature),▢ 1 tablespoon vanilla extract,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1¾ cups all-purpose flour (spoon and leveled),▢ ½ cup dark chocolate cocoa powder (sifted),▢ 24 Peppermint Patties (1 per cookie),"▢ 96 M&Ms candies (brown, 4 per cookie)",▢ 16 oz vanilla frosting,▢ 14 oz shredded coconut,NA,NA,Bake It With Love,https://bakeitwithlove.com/polar-bear-paw-print-cookies/,NA,NA,NA,NA,NA,NA,NA
Apple Cobbler Bars,Angela Latimer,5,15,American,Cookies & Bars,NA,15 minutes,30 minutes,NA,45 minutes,18 servings,8,"Preheat your oven to 350°F (175°C) and lightly grease a 9x13 baking pan with butter or non-stick cooking or baking spray.
In a large mixing bowl cream together the softened butter, granulated sugar, salt, and apple pie spice (or cinnamon).
Add the eggs one at a time, starting with the first egg and vanilla extract, and mixing between each addition (add a tablespoon or two of ap flour if your mixture starts to curdle). 
Mix in the all-purpose flour just until the dough is combined. Reserve 1 cup of the dough for the topping, set it aside.
Spread the dough in an even layer over the bottom of your greased baking pan then top with apple pie filling. Drop the reserved dough in rounded spoonfuls over the top of the apple pie filling.
Bake at 350°F (175°C) for 30-35 minutes, or until the cobbler bars are golden and the topping is set (no longer doughy). Remove from the oven when done, set the pan on a wire cooling rack, and allow to cool before topping with icing.
In a small bowl combine the glaze ingredients until smooth. Adjust the thickness as needed to reach a drizzling consistency that clings well to your spoon, but drizzles easily.
Drizzle the glaze over your cooled apple cobbler bars, cut, and serve or allow the glaze to set before cutting. ",11,"▢ ¾ cup butter (softened - 12 tablespoons, or 1½ sticks butter)",▢ 1½ cups sugar,▢ ½ teaspoon salt,▢ ½ teaspoon apple pie spice (or ground cinnamon),▢ 3 large eggs (at room temperature),▢ 1½ teaspoon vanilla extract,▢ 2¼ cups all-purpose flour,▢ 21 oz apple pie filling (1 21-ounce can or see my recipe),▢ ½ cup confectioners' sugar,"▢ 1 tablespoon heavy cream (or whole milk, or half & half)",▢ ½ teaspoon vanilla extract,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/apple-cobbler-bars/,NA,NA,NA,NA,NA,NA,NA
Hot Chocolate Cookies,Angela Latimer,5,1,American,Cookies & Bars,NA,15 minutes,15 minutes,30 minutes,NA,10 cookies,14,"Add ¾ cup milk to a microwave-safe bowl. 
Heat in the microwave for 1 minute and 45 seconds.
Stir in ¼ cup hot chocolate mix and then place the bowl into the fridge to chill while you prepare the cookies. 
Using your stand mixer, beat 1 cup butter until smooth and light in color. 
Add 1 cup light brown sugar and ½ cup sugar and mix again until thoroughly combined. 
Mix in the 1 large egg and ½ tablespoon vanilla extract. Then add the cold hot chocolate and mix well.
Place a sieve over the mixing bowl and sift 3½ cups all-purpose flour, ½ cup unsweetened dark cocoa powder, 1 tablespoon cornstarch, ½ teaspoon baking soda, ½ teaspoon salt, and ¼ teaspoon cream of tartar into the bowl with the wet ingredients. Mix on low speed until just combined. 
Gently fold in ¾ cup mini chocolate chips using a silicone spatula. 
Transfer the bowl to the fridge to chill for at least 30 minutes.
Preheat your oven to 350°F (175°C/Gas Mark 4) and line a baking sheet with parchment paper or a silicone baking mat. 
Use a scale to portion the cookie dough into 4.5 ounce balls, spacing them apart on the baking sheets by several inches.
Top with more chocolate chips and some of your ½ cup mini dried marshmallow bits. 
Bake in the oven at 350°F (175°C/Gas Mark 4) for 13-15 minutes, or until no longer shiny. 
Remove from the oven and let the cookies cool on the baking sheet for 5 minutes before transferring them to a wire cooling rack to finish cooling. ",15,▢ ¾ cup milk,▢ ¼ cup hot chocolate mix,▢ 1 cup butter (at room temperature),▢ 1 cup light brown sugar (packed),▢ ½ cup sugar,▢ 1 large egg,▢ ½ tablespoon vanilla extract,▢ 3½ cups all-purpose flour (spooned and leveled),▢ ½ cup unsweetened dark cocoa powder,▢ 1 tablespoon cornstarch,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ ¼ teaspoon cream of tartar,▢ ¾ cup mini chocolate chips (plus more for topping),▢ ½ cup mini dried marshmallow bits,Bake It With Love,https://bakeitwithlove.com/hot-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA
Grinch Cookies,Angela Latimer,5,1,American,Christmas Cookies & Desserts,NA,5 minutes,10 minutes,NA,15 minutes,26 cookies,10,"Preheat your oven to 375°F (190°C/Gas Mark 5) and line a couple of baking sheets with parchment paper. 
Use a stand mixer or hand mixer to cream ½ cup butter until smooth and fluffy. 
Add 15.25 oz vanilla cake mix, 2 large eggs, and 1 teaspoon vanilla extract and mix until well combined. 
Mix in the green food coloring until you reach your desired shade. 
In a small bowl, use a fork or whisk to mix together ¼ cup confectioners sugar and 3 tablespoon cornstarch. 
Use a 1½ tablespoon cookie scoop to scoop the dough and drop it directly into the bowl of confectioners sugar and cornstarch. Move the dough around until fully coated. 
Place the coated cookies onto your prepared baking sheet, leaving a few inches in between each one. 
Bake in the oven at 375°F (190°C/Gas Mark 5) for 10-12 minutes, or until the edges are set. 
Remove the baking sheet from the oven and immediately top each cookie with a red heart sprinkles, pressing down only slightly. 
Let the cookies cool on the baking sheet for 5 minutes before transferring them to a wire cooling rack to finish cooling. ",8,▢ ½ cup butter (at room temperature),▢ 15.25 oz vanilla cake mix (or white cake mix),▢ 2 large eggs (at room temperature),▢ 1 teaspoon vanilla extract,▢ green food coloring,▢ ¼ cup confectioners sugar,▢ 3 tablespoon cornstarch,▢ red heart sprinkles,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/grinch-cookies/,NA,NA,NA,NA,NA,NA,NA
Birthday Cake Macarons,Angela Latimer,5,1,French,Macarons,NA,30 minutes,17 minutes,30 minutes,17 minutes,20 macarons,26,"In the bowl of your food processor, add the 125 grams almond flour and 125 grams confectioners sugar.
Blend with the food processor on low speed until the mixture has become extra-fine. Then, use a fine-mesh sieve to sift the mixture into a large mixing bowl. Set aside.
In a separate large mixing bowl, use a hand mixer or stand mixer with the whisk attachment to beat the 100 grams egg whites until foamy. 
Add ¼ teaspoon cream of tartar and continue beating until you have soft peaks.
Gradually add 80 grams sugar to the egg whites while continuing to mix, until everything is fully distributed.
Pour in ½ teaspoon vanilla extract and the optional gel food coloring and continue mixing on medium-high speed until you have stiff peaks. 
Scoop ⅓ of the whipped egg mixture into your flour mixture and use a rubber spatula to gently fold it in until it is combined.
Repeat this process with the remaining ⅔ of the egg whites, only adding ⅓ at a time, and gently folding in between each addition.
After the last bit of the egg mixture has been added, continue to gently and slowly fold the macaron batter until the batter falls from the spatula in ribbons. *The consistency should be similar to honey or lava. If you let the batter fall from your spatula, it should only take about 10 seconds to sink back into itself.
Once you have reached the perfect consistency, transfer the batter into a piping bag that has been fitted with a round tip (or a storage bag with the corner cut off). Line your baking sheets with parchment paper or silicone mats. 
Pipe the macarons onto your parchment paper (or mat) in 1½-inch circles, making sure to space them at least ½-inch apart from each other.
Firmly tap the baking sheet on the counter 5 times to get rid of any air bubbles. Then, use a toothpick to pop any remaining bubbles that you might see.
Sprinkle the macarons with rainbow nonpareil sprinkles if desired. 
Allow the macarons to rest on the counter at room temperature for 30-60 minutes, or until they are dry to the touch and no longer tacky.
While the macarons are resting, go ahead and preheat your oven to 300˚F (140˚C/Gas Mark 2).
Once ready, bake the macarons for 15-18 minutes, or until the macarons don't move if you tap on them slightly.
Remove the macarons from the oven and let them cool completely before removing them from the baking mat. 
In a large mixing bowl, add ½ cup butter. I recommend butter that is between 68-70°F (20-21°C), and not so soft that you can easily indent it with your fingertip. 
Use a hand mixer or stand mixer to beat it for 1 minute until the butter has become light and fluffy.
Add half of your 2 cups confectioners sugar, 1½ teaspoon vanilla extract, and ½ teaspoon almond extract and continue mixing until well combined. 
Add the remaining confectioners sugar and 1 tablespoon heavy cream and beat at medium-high speed until combined and fluffy. Taste and add 1 pinch salt if the frosting is overly sweet.
Pour in 2 tablespoon rainbow nonpareil sprinkles and mix until combined.
Scoop the buttercream into a piping bag with your preferred tip. 
Match the macarons up based on size and pipe the buttercream onto half of the shells. 
Gently press the top shell on to form a sandwich and repeat with all of your macarons. 
For best results, place the macarons into an airtight container in the fridge for 24 hours. Then, allow them to come up to room temperature and serve.",15,▢ 125 grams almond flour,▢ 125 grams confectioners sugar,▢ 100 grams egg whites (at room temperature),▢ ½ teaspoon vanilla extract,▢ ¼ teaspoon cream of tartar,▢ 80 grams sugar,▢ rainbow nonpareil sprinkles (optional),▢ gel food coloring (optional),▢ ½ cup butter (at room temperature),▢ 2 cups confectioners sugar,▢ 1½ teaspoon vanilla extract,▢ ½ teaspoon almond extract,▢ 1 tablespoon heavy cream,"▢ 1 pinch salt (optional, as needed to reduce sweetness)",▢ 2 tablespoon rainbow nonpareil sprinkles,Bake It With Love,https://bakeitwithlove.com/birthday-cake-macarons/,NA,NA,NA,NA,NA,NA,NA
