title,author,date,rating,ratingnum,cuisine,course,categories1,categories2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Thin Crispy Chocolate Chip Cookies,Ashley Manila,"December 17, 2025",4.79,76,American,Dessert,"Filed Under: Chocolate, Christmas, Cookies, Fall Recipes, Recipes","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, cookies, how to make chocolate chip cookies",20 minutes,11 minutes,NA,51 minutes,3 dozen cookies,8,"Preheat oven to 350 degrees (F). Line 2 large baking sheets with parchment paper and set aside.
In a medium sized bowl whisk together the flour, baking soda, and salt; set aside.
In the bowl of a stand mixer fitted with the paddle attachment, beat the butter and both sugars on medium-speed for about 2 minutes, or until light and fluffy, scraping the bowl as needed. 
Add in the vanilla and beat smooth. Add the eggs, one at a time, beating well after each addition. Beat in the milk. 
On low speed, add the flour mixture, beating until just combined. Beat in the chocolate chips.
Drop 1 tablespoon sized balls of dough onto the prepared baking sheets, leaving 2-inches between each cookie for inevitable spreading.
Bake, one tray at a time, for 12 to 14 minutes, rotating the baking tray halfway through baking.
Let cookies cool for 15 minutes on the baking sheet before using a thin spatula to transfer them to a wire rack to cool completely. Repeat with all cookie dough. ",10,2 and 1/4 cups (270g) all-purpose flour,3/4 teaspoon baking soda,3/4 teaspoon sea salt,10 ounces unsalted butter room temperature,1 and 1/3 granulated sugar,"1/4 cup light brown sugar, packed",2 teaspoons vanilla extract,2 large eggs room temperature,1 Tablespoon milk room temperature,2 cups semi-sweet chocolate chips,Baker By Nature,https://bakerbynature.com/thin-crispy-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Everyday Chocolate Chip Cookies,Ashley Manila,"December 17, 2025",4.94,76,"Baking, Chocolate, Cookies",Dessert,"Filed Under: Chocolate, Christmas, Cookies, Recipes","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, how to make chocolate chip cookies",15 minutes,10 minutes,NA,25 minutes,2 dozen cookies,9,"Place the butter in a small sauce pan over medium-high heat and cook for about 2 minutes – stirring almost constantly – until the butter has completely melted and lightly browned.
Remove from heat and scrape butter (and any brown specks) into a heatproof bowl. Place the bowl in the refrigerator and bring the butter back to room temperature; this will take about an hour to an hour and a half. 
Once the butter is at room temperature…
Preheat oven to 375 degrees (F). Line 2 large baking sheets with parchment paper and set aside.
In a medium sized bowl whisk together the flour, baking soda, and sea salt; set aside.
In the bowl of a stand mixer fitted with the paddle attachment, add the chilled brown butter and both sugars; beat on medium speed for about 2 minutes, or until light and fluffy. Add in the vanilla and beat smooth. Add the eggs, one at a time, beating well after each addition. Turn the mixer off.
Gently fold in the flour mixture with a wooden spoon, stirring only until the flour begins to disappear. Fold in chocolate chips.
Roll 3 tablespoon sized balls of dough between your palms to form a ball (they should be big; almost a 1/4 cup), then place on prepared sheet (make sure to leave enough room in between each cookie for inevitable spreading). Continue this process until all the dough has been rolled. Place baking sheets in preheated oven – one at a time – and bake for 11 minutes, or until golden at the edges but still soft in the middle.
Let cookies cool for 10 to 12 minutes on the sheet before transferring to a wire wrack to cool completely.
Note: Some readers prefer to bake at 350, and that's fine. Your cookies will bake up paler in color if you bake at 350, but still delicious!",11,14 tablespoons (196g) salted butter,2 and 1/2 (300g) cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon flaky sea salt,1 cup (213g) dark brown sugar packed,1/2 cup (99g) granulated sugar,2 teaspoons vanilla,2 large eggs room temperature,1 cup milk chocolate chips,3/4 cup dark chocolate chips,Baker By Nature,https://bakerbynature.com/everyday-chocolate-chip-cookies/,1/2 cup bittersweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Ingredient Raspberry Cheesecake Thumbprint Cookies,Ashley Manila,"December 15, 2025",4.91,137,American,Dessert,"Filed Under: Christmas, Christmas in July, Cookies, Fruit Desserts, Holiday, Raspberry Recipes, Recipes","Tagged With: 5 ingredients, cheesecake, Christmas cookies, cookie recipe, cookies, dessert, raspberry",10 minutes,12 minutes,NA,7 minutes,2 dozen,9,"In the body of a stand mixer fitted with a paddle attachment, beat cream cheese and butter until light and fluffy, scraping down the sides as needed.
Add the sugar and beat well.
Add in flour, a small bit at a time, beating in on low speed, just until incorporated.
Cover bowl with plastic wrap and place in the refrigerator for at least 45 minutes, and up to 2 hours.
30 minutes prior to baking, preheat oven to 375 degrees (F).
Line a large baking sheet with parchment paper.
Using a cookie scoop, scoop out 1 tablespoon sized balls of dough, roll them into rounds, and place them on the cookie sheet. Lightly press your thumb in the center of each round. Fill each indentation with a 1/2 teaspoon of jam.
Place pan in the oven to bake for 11 to 12 minutes, or until just golden at the edges. They will still be very soft when you remove them from the oven – that’s a good thing!
Cool on the baking sheet for 10 full minutes, then very carefully transfer to a cooling rack to cool completely.",5,"4 ounces cream cheese, softened","8 tablespoons salted butter, at room temperature",1/2 cup + 3 tablespoons sugar,1 cup + 3 tablespoons flour,1/4 cup raspberry preserves,NA,NA,NA,NA,NA,Baker By Nature,https://bakerbynature.com/5-ingredient-raspberry-cheesecake-thumbprint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bourbon Molasses Cookies,Ashley Manila,"December 14, 2025",4.79,33,American,Dessert,"Filed Under: Boozy Recipes, Bourbon, Christmas, Cookies, Recipes",Tagged With: bourbon recipes,20 minutes,10 minutes,NA,30 minutes,2 dozen,8,"In a medium mixing bowl, whisk together flour, baking soda, ground ginger, cinnamon, cloves, allspice, black pepper, and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat together the butter and brown sugar on medium-high speed until the mixture is light and fluffy, about 2 minutes, scraping down the sides as needed. Add in the vanilla and orange zest and beat until combined. Reduce the mixer speed to medium-low. Add in the eggs, one at a time, beating well after each addition. Add in the molasses and bourbon and beat until combined. Gradually add in the dry ingredients and beat until it’s evenly incorporated.
Cover the bowl and refrigerate for at least 4 hours, and up to 3 days.
Preheat oven to 350 (F). Line two large baking sheets with parchment paper; set aside.
Roll the dough into 3 Tablespoon sized balls. Fill a small and shallow bowl with granulated sugar. Roll each ball in the sugar until it’s completely coated. Place the sugar coated cookie dough balls on the prepared baking sheets, leaving 2 inches between each ball for spreading.
Bake, one tray at a time, for 8 to 10 minutes, or until the cookies have puffed up and have begun to slightly crack on top. (They will crack more as they cool, so don’t over bake!)
Remove from the oven and place the pan on a cooling rack. Cool cookies for 5 minutes on the baking sheet, then carefully transfer the cookies to a separate cooling rack to cool completely. Repeat with remaining cookie dough.
Serve cookies warm, or completely cool them and store them in an airtight container for up to 4 days. Cookies may also be frozen for up to 3 months.",16,6 and 1/4 cups (750g) all-purpose flour,3 teaspoons baking soda,1 and 1/2 Tablespoons ground ginger,1 and 1/2 teaspoons ground cinnamon,1 teaspoon ground cloves,1/2 teaspoon ground allspice,1 TINY pinch finely ground black pepper,1/2 teaspoon salt,"12 ounces unsalted butter, at room temperature","2 and 1/4 cups (479g) light brown sugar, packed",Baker By Nature,https://bakerbynature.com/bourbon-molasses-cookies/,2 teaspoons vanilla extract,1/2 teaspoon finely grated orange zest,2 large eggs room temperature,1/2 cup molasses (not blackstrap variety),3 Tablespoons bourbon optional,1/2 cup granulated sugar (for rolling the cookie dough),NA,NA,NA,NA,NA,NA,NA
Perfect Peanut Butter Cookies,Ashley Manila,"December 5, 2025",4.94,15,"American, Baking, Cookies",Dessert,"Filed Under: Christmas, Cookies, Peanut Butter, Recipes","Tagged With: christmas baking, cookies, peanut butter cookies, peanut butter recipes",40 minutes,12 minutes,NA,52 minutes,2 dozen cookies,12,"In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl using a handheld electric mixer, beat the butter until smooth and creamy.
Add in the peanut butter and vanilla and beat until smooth; about 2 minutes. Add in both sugars and beat until light and fluffy, scraping down the sides as needed, about 2 minutes.
Add in the eggs, one at a time, beating well after each addition. Turn mixer off.
Add in the flour, baking soda, baking powder, and salt. Whisk the ingredients together lightly before turning the mixer back on low and mixing in the dry ingredients until just combined. Be sure not to over mix here.
Cover the bowl and place it in the fridge for 2 hours. (If you refrigerate the cookie dough for more than 2 hours, you may need to let it thaw a little before scooping.)
Preheat oven to 350 degrees (F). Line a large baking sheet with parchment paper.
Scoop two tablespoon sized mounds of dough onto the prepared cookie sheet, leaving a few inches between each cookies for spreading.
Use a fork to make crosshatch marks on the top of each cookie, if desired. Bake for 11-13 minutes, or until the edges are golden and the centers have set. Cool cookies on the baking sheet for 5 minutes before transferring them to a cooling rack.
In a double boiler, melt the chocolate and coconut oil. Stir until smooth and evenly combined. 
Carefully pour the melted chocolate into a small but deep bowl. 
Dunk the cookies halfway into the melted chocolate, then place them on a parchment paper lined baking sheet.
Sprinkle the wet chocolate with peanuts and sea salt. Set aside – or refrigerate – until the chocolate has set. ",14,1 cup (227g) unsalted butter room temperature,1 cup (227g) creamy peanut butter room temperature,1 and 1/2 teaspoons pure vanilla extract,1 and 1/2 cups (319g) light brown sugar packed,3/4 cup (149g) granulated sugar,2 large eggs room temperature,2 and 3/4 cups (330g) all-purpose flour,3/4 teaspoon baking soda,1 and 1/2 teaspoons baking powder,1/2 teaspoon salt (kosher or table salt),Baker By Nature,https://bakerbynature.com/perfect-peanut-butter-cookies/,8 ounces semi-sweet or dark chocolate coarsely chopped,1 and 1/2 tablespoons refined coconut oil,1/2 cup honey roasted peanuts coarsely chopped,flaky sea salt for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Best Christmas Cookies Recipe,Ashley Manila,"December 5, 2025 | Leave a Comment",5,8,"Baking, Cookies",Dessert,"Filed Under: Christmas, Cookies, Holiday","Tagged With: Christmas, christmas baking, Christmas cookies, Christmas recipes, Cookie recipes, cookies",15 minutes,12 minutes,NA,NA,2 dozen cookies,27,"In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat the butter and sugar on medium-speed until combined. Increase to medium-high speed and continue beating until pale and fluffy, about 1 minute.
Reduce to medium-speed, then add in the egg, and egg yolks, beating until well combined, and scraping down the sides and bottom of the bowl as needed. Beat in the vanilla.
On low speed, gradually add in the flour and salt, and beat until combined. Your dough should be stiff.
Sprinkle 2 Tablespoons of flour on a clean work surface. Scrape the cookie dough onto the surface and gently knead for 30 seconds. Divide the dough in half, (443 grams each disc). Press each portion of cookie dough into a 6”-inch disc. 
Wrap dough tightly in plastic wrap and refrigerate for at least 3 hours (or up to 2 days).
When you're ready to bake, preheat the oven to 350 degrees (F). Line two large baking sheets with parchment paper.
Working with one disc at a time, unwrap the dough and transfer to a lightly floured surface. Use a rolling pin to roll the disc out to ¼” thickness. Then use cookie cutters to cut out as many shapes as you can. 
Carefully transfer the shapes to the prepared baking sheet, leaving 1” between cookies. Bake for 12 minutes, or until lightly golden.
Cool cookies on the baking sheet for 15 minutes before transferring to a cooling rack to cool completely. Repeat with remaining dough. Any dough scraps can be chilled and carefully rolled out again. 
Once the cookies are cool, glaze and decorate! 
In a wide, shallow bowl, whisk together the confectioners’ sugar and milk until well combined. You’re looking for a thick but pourable consistency. 
Dip the top of a fully cooled cookie into the glaze, allowing excess glaze to drip back into the bowl before transferring it to a cooling rack. 
Sprinkle with crushed candy canes, nuts, or sprinkles. Repeat with as many cookies as desired. Allow the glaze to set for at least 1 hour before serving. 
Melt the chopped chocolate in a double boiler or in the microwave. If using the microwave method, place the chopped chocolate in a medium heat-proof bowl. Melt in the microwave, on low power, in 15 second increments, stirring after each increment until completely melted and smooth.
Dip the cookies halfway into the melted chocolate, allowing excess chocolate to drip back into the bowl, before transferring it to a cooling rack. Sprinkle with crushed candy canes, nuts, or sprinkles. Repeat with as many cookies as desired. You can also dip the top fully in chocolate for a different look.
Allow the chocolate to fully set before serving, about 1 hour. 
At step 4, roll each portion of dough into a log that’s roughly 2”-inches in diameter. 
Wrap the dough tightly in plastic wrap and refrigerate for at least 3 hours (or up to 2 days). 
Use a sharp knife to slice the logs of cookie dough into 1/4"" rounds. Place the cookies 1/2"" apart on the prepared baking sheet, and bake at 350 for 12 minutes, or until lightly golden.
Cool for 15 minutes on the baking sheet, then transfer to a cooling rack to cool completely. Dip half of each cookie in the chocolate coating, if desired, and sprinkle with candy, sprinkles, or nuts.
After making the dough, use a small spring loaded spoon to scoop out a heaping Tablespoon (about 30 grams) of the dough. Roll it into a ball and transfer to the prepared baking sheet. Repeat with all dough, leaving 2-inches between each cookie for spreading. 
Use your thumb to make an indentation in the center of each cookie and bake for 10 minutes. 
Remove from the oven and fill each indentation with a teaspoon of jam, then bake for 5 more minutes, or until lightly golden brown. Cool for at least 1 hour on the baking sheet before serving. 
Follow instructions for slice and bake cookies, but roll the dough out slightly thinner, getting it to ⅛” thickness. Use round or scalloped round cookie cutters to cut out an even amount of rounds. 
Carefully transfer the rounds to the prepared baking sheet, leaving 1” between cookies. Bake for 8 minutes, or until lightly golden.
Cool cookies on the baking sheet for 30 minutes before transferring to a cooling rack to cool completely. 
Once completely cool, spread one cookie with a teaspoon or two of nutella or raspberry jam. Sandwich another cookie on top and lightly press together. Repeat with all cookies. ",17,1 cup (227g) unsalted butter room temperature,1 cup (199g) granulated sugar,1 large egg room temperature,2 large egg yolks room temperature,3 teaspoons vanilla extract,3 and 1/4 cups (380g) all-purpose flour,1/4 teaspoon salt,1 cup (114g) confectioners' sugar sifted,2 Tablespoons (28ml) milk,8 ounces semi-sweet chocolate finely chopped,Baker By Nature,https://bakerbynature.com/the-best-christmas-cookies-recipe/,crushed candy canes,chopped pistachios,"sprinkles: red and green, blue, silver, white, gold, etc",red and green nonpareils,raspberry jam,Nutella,confectioners' sugar,NA,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies,Ashley Manila,"December 5, 2025",5,7,"Baking, Chocolate, Cookies",Dessert,"Filed Under: Chocolate, Chocolate Chip Cookies, Christmas, Cookies, Dessert Recipes, Holiday, Recipes","Tagged With: chocolate, chocolate chip cookie recipe, chocolate chip recipes, chocolate recipes, christmas baking, Christmas cookies",20 minutes,12 minutes,NA,NA,2 dozen cookies,10,"In a medium bowl, whisk together the flour, cocoa powder, baking powder, and salt. Set aside until needed. 
In a large, microwave safe bowl, combine the chocolate and the butter. Heat in the microwave, on low power, in 15 second increments, mixing in between each, until butter and chocolate are completely melted and can easily be whisked smooth. Set aside to cool briefly. 
In a large bowl whisk together both sugars and the eggs, beating until well combined. Beat in sour cream, oil, and vanilla. Then fold in the melted chocolate, stirring until evenly combined. 
Using a rubber spatula, fold the dry ingredients into the wet ingredients, stirring just until combined. Do not over mix here! Fold in the mini chocolate chips, stirring until everything is just combined. 
Refrigerate for 2 hours. 30 minutes before baking, preheat the oven to 325 degrees (F). Line two large baking sheets with parchment paper, lightly spray them with non-stick spray, and set aside
Using a medium spring-loaded cookie scoop, scoop out level mounds of the cookie dough (about 65 grams each), and your hands to roll them into balls. 
Roll each ball into the granulated sugar first, then roll in the confectioners’ sugar, making sure each ball of cookie dough is well coated. Place balls of cookie dough onto the prepared baking sheets, leaving 2-inches in between each cookie for spreading.
Bake, one tray at a time, for 12 to 14 minutes, or until cookies are puffed and the tops begin to crack. Allow the cookies to cool completely – at least 20 minutes – on the baking sheets before removing. 
Pour the granulated sugar into a shallow bowl, set aside until needed.
Pour the confectioners' sugar into a shallow bowl, set aside until needed.",15,2 cups (240g) all-purpose flour,1/4 cup (21g) unsweetened 100% cocoa powder *not Dutch-processed,1 and 1/2 teaspoons baking powder,1/2 teaspoon salt,12 ounces 60% cocoa dark chocolate finely chopped,12 Tablespoons (169g) unsalted butter,3/4 cup (159g) light brown sugar packed,1/2 cup (99g) granulated sugar,4 large eggs room temperature,1/3 cup (76g) sour cream,Baker By Nature,https://bakerbynature.com/chocolate-crinkle-cookies/,1/4 cup (57ml) neutral oil vegetable or canola oil recommended,2 teaspoons vanilla extract,2 cups mini chocolate chips,1 cup (199g) granulated sugar,1 cup (114g) confectioners' sugar sifted,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Pumpkin Chocolate Chip Cookies,Ashley Manila,"October 31, 2025",4.92,56,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Fall Recipes, Pumpkin, Recipes, Thanksgiving","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, how to make chocolate chip cookies, pumpkin recipes, vegan, vegan recipes",20 minutes,10 minutes,NA,NA,16 cookies,5,"Preheat oven to 375 degrees (F). Line a large baking sheet with parchment paper; set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, beat the coconut oil, both sugars, and vanilla on medium-speed until smooth; about 2 minutes. Add in the molasses, coconut milk and pumpkin puree and beat on low speed until well combined. Turn mixer off.
In a separate bowl combine the flour, baking soda, salt, and pumpkin pie spice; whisk well to combine.
Add the dry ingredients into the wet mixture and, with the mixer on low speed, beat until ingredients are combined. The batter will be very thick! Fold in 1 and 1/4 cups of the chocolate chips.
Scoop three tablespoon sized mounds of dough onto the prepared cookie sheet, leaving a few inches between each cookie. Bake for 9 to 10 minutes, or until the edges are golden and the centers are soft but set. Press remaining chocolate chips on top of warm cookies, and sprinkle with sea salt, if using. Cool cookies on the baking sheet for 30 minutes before transferring them to a cooling rack.",13,"1/2 cup (113g) coconut oil, solid (be sure it’s not melted at all)","3/4 cups (159g) dark brown sugar, packed",1/2 cup (99g) granulated sugar,2 teaspoons vanilla extract,2 Tablespoons (40ml) unsulphured molasses,2 Tablespoons (28ml) unsweetened coconut milk (almond or soy milk will also work),1/3 cup pumpkin puree (not pumpkin pie mix!),2 and 1/4 cups (275g) cups all-purpose flour (be sure not to pack your flour),1 teaspoon baking soda,1/2 teaspoon salt,Baker By Nature,https://bakerbynature.com/vegan-pumpkin-chocolate-chip-cookies/,2 and 1/2 teaspoons pumpkin pie spice,1 and 1/2 cups chocolate chips (use vegan chocolate chips if vegan) divided,Flaky sea salt optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Chocolate Chip Cookies,Ashley Manila,"June 3, 2025",4.83,41,American,Dessert,"Filed Under: Chocolate, Cookies, Recipes","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, cookies, how to make chocolate chip cookies, marshmallow, s'mores",18 minutes,12 minutes,NA,30 minutes,2 dozen,3,"Preheat oven to 375 degrees (F). Line 2 large baking sheets with parchment paper and set aside. In a medium-sized bowl whisk together the flour, graham cracker crumbs, baking soda, and salt; set aside.
In the bowl of a stand mixer fitted with the paddle attachment, add the butter and both sugars; beat on medium-speed for 2 to 3 minutes, or until light and fluffy. Add the vanilla and beat smooth. Beat in the eggs, one at a time, beating well after each addition. Reduce mixer speed to low and gradually add in the flour mixture. Be sure not to over beat here! Turn mixer off. Using a sturdy spatula or wooden spoon, fold in chocolate chips, marshmallows, and graham crackers.
Roll 3 tablespoon sized portions of dough between your palms to form a ball (they should be big; almost a 1/4 cup), then place on prepared sheet (make sure to leave 2″ between each cookie for inevitable spreading). Continue this process until all the dough has been rolled. Place baking sheets in preheated oven, one at a time, and bake for 11 to 12 minutes, or until golden at the edges but still soft in the middle. Let cookies cool for 10 minutes on the sheet before transferring to a wire wrack to cool completely.",12,2 and 1/3 cups all-purpose flour,"1/2 cup graham cracker crumbs, very finely crushed (see post for more on this)",1 teaspoon baking soda,1/2 teaspoon salt,"2 sticks (8 ounces) unsalted butter, at room temperature","1 cup light brown sugar, packed",1/2 cup granulated sugar,2 teaspoons vanilla,"2 large eggs, at room temperature",2 cups semi-sweet chocolate chips,Baker By Nature,https://bakerbynature.com/smores-chocolate-chip-cookies/,1 cup mini marshmallows,"2 sheets graham crackers, roughly chopped (about 1/2 cup)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberries and Cream Cookies,Ashley Manila,"May 20, 2025",4.84,6,"American, Baking, Cookies",Dessert,"Filed Under: Christmas in July, Cookies, Easter, Fruit Desserts, Mother's Day, Recipes, Spring Recipes, Strawberry Recipes, Summer Recipes, Valentine's Day","Tagged With: Cookie recipes, cookies, strawberries and cream, strawberry recipes",15 minutes,13 minutes,NA,NA,2 dozen,9,"Preheat the oven to 325°F. Line two large baking sheets with parchment paper and set them aside. 
In a large bowl, whisk together the flour, baking soda, and salt. Set it aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl using a handheld electric mixer, combine the butter and both sugars and beat on medium speed for about 3 minutes, until light and fluffy, scraping down the bottom and sides of the bowl as needed. Beat in the vanilla extract.
Reduce the mixer speed to medium-low and beat in the eggs, one at a time, beating well after each addition, and scraping down the sides and bottom of the bowl as needed. 
Reduce the mixer speed to low and add the flour mixture, beating until just combined. Mix in the white chocolate chips and dried strawberries, just until evenly combined.
Using a large spring-loaded cookie scoop, scoop 3 tablespoons (75 g) of cookie dough and roll it into a ball. Place the dough ball on the prepared sheet, with the side up that has the most white chocolate chips and strawberry pieces showing (this will create the prettiest cookie tops). Repeat with all dough, leaving 2 inches between each cookie.
Bake one sheet at a time for 12 minutes to 13 minutes, or until golden at the edges but still soft in the middle.
Remove the cookies from the oven and, using a spatula, carefully tuck in any edges that may have spread too much while baking, creating a perfectly round cookie.
Press extra white chocolate chips on top, if desired. Cool cookies on the baking sheet, placed on a wire rack, for 20 minutes before serving/moving. ",10,3 cups (360 g) all-purpose flour weighed with a digital scale or lightly spooned into the measuring cup and leveled off with a knife (don't pack!),3/4 teaspoon baking soda,1/2 teaspoon salt,1 cup (227 g) unsalted butter room temperature,1 and 1/4 cups (248 g) granulated sugar,1/4 cup (53 g) light brown sugar packed,1 Tablespoon (14 ml) vanilla extract,2 large eggs room temperature,11 ounces white chocolate chips,2 1.2 ounce bags (68 g) freeze-dried strawberries,Baker By Nature,https://bakerbynature.com/strawberries-and-cream-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
