title,author,rating,ratingnum,categories,INFOCARD,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31
Vintage chocolate chip cookies,Valerie Barrett,4.8,5,"Freezable
Nut-free
Vegetarian","Makes 30
Easy
Prep: 15 mins
Cook: 10 mins",9,150g salted butter softened,80g light brown muscovado sugar,80g granulated sugar,2 tsp vanilla extract,1 large egg,225g plain flour,½ tsp bicarbonate of soda,¼ tsp salt,200g plain chocolate chips or chunks,BBC Good Food,https://www.bbcgoodfood.com/recipes/vintage-chocolate-chip-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy chocolate chip cookies,Sophie Godwin – Cookery writer,4.2,5,"Freezable
Vegetarian","Makes 10
Easy
Prep: 20 mins
Cook: 12 mins",8,120g butter softened,75g light brown sugar,75g golden caster sugar,1 medium egg,1 tsp vanilla extract,180g plain flour,½ tsp bicarbonate of soda,150g dark chocolate cut into chunks,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-chunk-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best chewy chocolate chip cookies,Good Food team,4.3,5,"Freezable
Nut-free
Vegetarian","Makes 12
Easy
Prep: 10 mins
Cook: 10 mins
plus overnight chilling (optional but it makes them taste better)",7,150g butter softened,"150g soft brown sugar golden caster sugar, or ideally half of each",1 egg,1 tsp vanilla extract,180-200g  plain flour (see tip below),½ tsp  baking powder,200g chocolate chips or chopped chocolate,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chewy-chocolate-chip-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut butter cookies,Cassie Best,4.5,5,"Freezable (uncooked dough only)
Dairy-free
Gluten-free
Vegetarian","Makes 16
Easy
Prep: 15 mins
Cook: 12 mins",4,200g peanut butter (crunchy or smooth is fine),175g golden caster sugar,¼ tsp fine table salt,1 large egg,NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/peanut-butter-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basic cookies,bendickson,3.8,5,"Freezable (Cookie dough only)
Egg-free
Nut-free
Vegetarian","Makes 25
Easy
Prep: 20 mins
Cook: 12 mins",5,225g butter softened ,110g caster sugar,275g plain flour,1 tsp cinnamon or other spices (optional) ,75g white or milk chocolate chips (optional),NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/basic-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas cookies,Lesley Waters,4.3,5,"Freezable (uncooked dough only)
Nut-free
Vegetarian","Makes 20 biscuits
Easy
Prep: 10 mins
Cook: 12 mins
Plus chilling time",9,140g icing sugar sieved,1 tsp vanilla extract,1 egg yolk,250g butter cut into small cubes,375g plain flour sieved,200g icing sugar sieved,edible food colouring optional,edible gold and silver balls,approx 2m thin ribbon cut into 10cm lengths,BBC Good Food,https://www.bbcgoodfood.com/recipes/sparkling-vanilla-christmas-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas crinkle cookies,Liberty Mendez,4.7,5,"Freezable (dough only)
Nut-free
Vegetarian","Makes 30 cookies
Easy
Prep: 20 mins
Cook: 10 mins
plus 1 hr optional chilling",10,60g cocoa powder sieved,200g caster sugar,60ml vegetable oil,2 large eggs,180g plain flour,1 tsp baking powder,2 oranges zested,2 tsp mixed spice,1 tsp cinnamon,BBC Good Food,https://www.bbcgoodfood.com/recipes/christmas-crinkle-cookies,50g icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Next level chocolate chip cookies,Barney Desmazery,4.6,5,Vegetarian,"Makes 12
More effort
Prep: 20 mins
Cook: 20 mins
plus 3-4 hrs chilling",11,125g unsalted butter,100g plain flour,100g rye flour,"1 tsp sea salt flakes, plus extra for sprinkling",1 tsp baking powder,¼ tsp bicarbonate of soda,200g light brown soft sugar,100g golden caster sugar,1 large egg plus 2 large yolks,BBC Good Food,https://www.bbcgoodfood.com/recipes/next-level-chocolate-chip-cookies,1 tsp vanilla extract,"200g chocolate chopped into small chunks (choose dark or milk, or a mixture of the two)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy cookies,Cassie Best,3.8,5,"Freezable
Healthy
Vegetarian","12 cookies
Easy
Prep: 10 mins
Cook: 20 mins",5,2 ripe  bananas mashed,150g porridge oats,2 tbsp ground  almonds,1⁄2 tsp  cinnamon,100g raspberries (fresh or frozen),NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/raspberry-almond-oat-breakfast-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread cookies,Esther Clark,4.6,5,Vegetarian,"Makes 20 cookies
Easy
Prep: 20 mins
Cook: 12 mins
plus chilling",11,120g unsalted butter softened,1½ tbsp black treacle,170g soft light brown sugar,½ tsp fine sea salt,1 medium egg,200g plain flour,¼ tsp bicarbonate of soda,¼ tsp ground cloves,1½ tsp ground ginger,BBC Good Food,https://www.bbcgoodfood.com/recipes/gingerbread-cookies,½ tsp ground cinnamon,60g golden caster sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
