title,author,datelisted,rating,ratingnum,category,cuisine,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,source,link
Poppy Seed Lemon Curd Cookies,Bianca Fernandez,"June 20, 2024_July 9, 2024",5,1,Chick,American,Dessert,20 minutes,11 minutes,NA,31 minutes,12 cookies,13,"In a medium bowl, stir together all of the dry ingredients: 1 ¾ cups all-purpose flour, ¼ teaspoon baking powder, ½ teaspoon baking soda, and ¾ teaspoon table salt.
In a large bowl, use fingers to massage ½ cup granulated sugar, ⅓ cup light or dark brown sugar, and 1 tablespoon lemon zest until fragrant. This releases the oils from the zest, enhancing the lemon flavor in the cookies.
Using your silicone spatula, stir in melted ½ cup unsalted butter until smooth.
Add 2 tablespoons lemon juice, 1 egg, and 1 tablespoon vanilla extract. Mix until combined.
Dump in 1 ½ tablespoons poppy seeds and all of the dry ingredients. Mix until no dry spots remain.
Plop large random blobs of lemon curd on top of your dough. Very lightly stir this into your cookie dough. Try to keep some streaks of lemon curd in it.
Preheat oven to 350°F/177°C and line two baking trays with parchment paper.
For regular cookies, use medium cookie scoop to gather 2-3 tablespoons of dough into a ball. Place on lined baking tray, spacing cookies about 3-4 inches apart.
For chick design, add two ~½ tsp balls of dough (make one slightly larger than the other) on top of each cookie dough ball. These will be the tufts of hair.
Bake for 11-13 minutes, or until edges are set and golden brown. Let cool on pan for about 5 minutes, then transfer to wire rack. Let cool completely.
Note: You can a piping bag, toothpick, or cookie scribe to add on the details. I used piping bags.
Melt 3 tablespoons white chocolate melting wafers in a small microwave-safe bowl. Mix in orange oil-based food coloring and use this for the beaks.
If you don't have oil-based food coloring, then the chocolate will seize/become lumpy. To counter this, stir in a tsp of neutral oil (canola, vegetable) at a time, until it becomes smooth again.
Dye any remaining orange food coloring with red oil-based food coloring. Use this for the blush.
Add 1 tbsp milk/dark chocolate melting wafers to another small microwave-safe bowl and microwave in 30-second intervals, stirring in between, until fully melted. Use this this to draw on eyes.
Enjoy!",16,▢ 1 ¾ cups (218.75 g) all-purpose flour,▢ ½ teaspoon (2 g) baking soda,▢ ¼ teaspoon (1 g) baking powder,▢ ¾ teaspoon (4.5 g) table salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ½ cup (100 g) granulated sugar,▢ ⅓ cup (73.33 g) light or dark brown sugar packed,▢ 1 tablespoon (6 g) lemon zest from 1 small lemon,▢ 2 tablespoons (30 g) lemon juice from 1 small lemon,▢ 1 (1) egg room temperature,▢ 1 tablespoon (13 g) vanilla extract,▢ ½ cup (120 g) lemon curd,▢ 1 ½ tablespoons (13.5 g) poppy seeds,▢ 3 tablespoons (44.36 g) white chocolate melting wafers can sub 1:1 white chocolate chips,▢ 1 tbsp (14.79 g) milk/dark chocolate melting wafers can sub 1:1 milk/dark chocolate chips,▢ orange and red oil-based food coloring see decorating steps,Bites By Bianca,https://bitesbybianca.com/poppy-seed-lemon-curd-cookies/
Chipless Cookies,Bianca Fernandez,"November 17, 2024_November 21, 2024",5,3,Cookies,American,Dessert,5 minutes,9 minutes,NA,44 minutes,12 cookies,8,"In a large bowl, use silicone spatula to mix melted ½ cup unsalted butter, ⅓ cup granulated sugar, and ⅔ cup light or dark brown sugar until smooth.
Mix in 1 egg, 1 egg yolk, and 1 tablespoon vanilla until smooth.
Add in all of the dry ingredients: 1 ½ cups all-purpose flour, ½ teaspoon baking soda, and 1 teaspoon table salt. Mix until no dry spots remain.
Cover the dough with plastic wrap and refrigerate for 30-60 minutes.
Preheat oven to 375°F/190°C and line two baking trays with parchment paper.
Use cookie dough scoop to gather dough (2-3 tablespoons). Place on lined baking tray, spacing cookies about 3-4 inches apart.
Bake one tray at a time for about 6 minutes, or until cookies are puffed. Take tray and bang it against the counter to deflate them (this will make them chewier and give them that ripple effect!).
Bake for 2 minutes, bang the tray again, then bake for another 2 minutes, or until edges are golden and middles are mostly set.
Remove from oven, bang tray one last time, and immediately sprinkle with flaky sea salt. Let completely cool on tray while you bake your second batch. Enjoy!!!
TIP: For rounder cookies, place a large circular cutter or mug on top of a freshly baked, warm cookie. Move it around in a circular motion until your cookie is perfectly round! This step is totally optional and purely for plating purposes! 🙂",10,▢ 1 ½ cups (187.5 g) all-purpose flour,▢ ½ teaspoon (2 g) baking soda,▢ 1 teaspoon (6 g) table salt or table salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ⅔ cup (146.67 g) light or dark brown sugar packed,▢ ⅓ cup (66.67 g) granulated sugar,▢ 1 (1) egg room temperature,▢ 1 (1) egg yolk room temperature,▢ 1 tablespoon (13 g) vanilla extract or paste,▢ flaky sea salt,NA,NA,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/chipless-cookies/
Chocolate Sugar Cookies,Bianca Fernandez,"October 21, 2024",5,2,Cookies,American,Dessert,10 minutes,9 minutes,NA,19 minutes,12 cookies,8,"In a large bowl, use silicone spatula to mix melted ½ cup unsalted butter and ½ cup cocoa powder until combined.
Mix in ½ cup granulated sugar and ¼ cup brown sugar until smooth.
Stir in 1 egg and 1 tablespoon vanilla until fully combined.
Add in all of the dry ingredients: 1 ¼ cups all-purpose flour, ½ teaspoon baking powder, ½ teaspoon baking soda, and ½ teaspoon table salt. Mix until no dry spots remain.
Preheat oven to 325°F/162°C and line two baking trays with parchment paper.
In a small bowl or plate, add 4 tablespoons granulated sugar for rolling the dough.
Use cookie dough scoop to gather dough (2-3 tablespoons). Roll into granulated sugar and place on lined baking tray, spacing cookies about 3-4 inches apart.
Bake for 9-11 minutes, or until edges are set and middles are mostly cooked. Cool cookies on pan for 5 minutes, then transfer cookies to wire rack to cool completely. Enjoy!
TIP: For rounder cookies, place a large circular cutter or mug on top of a freshly baked, warm cookie. Move it around in a circular motion until your cookie is perfectly round! This step is totally optional and purely for plating purposes! 🙂",11,▢ 1 ¼ cups (156.25 g) all-purpose flour,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (3 g) table salt or fine sea salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ½ cup (48 g) cocoa powder,▢ ½ cup (100 g) granulated sugar,▢ ¼ cup (55 g) brown sugar packed; light or dark,▢ 1 (1) egg room temperature,▢ 1 tablespoon (13 g) vanilla extract or paste,▢ 4 tablespoons (48 g) granulated sugar,NA,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/chocolate-sugar-cookies/
Mini Sugar Cookies,Bianca Fernandez,"January 27, 2024_March 20, 2024",5,1,Cookies,American,Dessert,20 minutes,7 minutes,NA,27 minutes,60 cookies,15,"In a medium bowl, whisk together all of the dry ingredients: 1 ½ cup all-purpose flour, 1 tsp cornstarch, 1 tsp baking soda, and ¾ tsp salt.
In a large bowl (can also use bowl of stand mixer fitted with paddle attachment), whisk the ½ cup melted butter, ⅓ cup granulated sugar, and ¼ cup brown sugar until combined. Scrape bottom of bowl.
Add 1 tbsp vanilla and egg and mix again until smooth.
Dump in all of the dry ingredients and use silicone spatula to mix until no dry spots remain.
Preheat oven to 325°F/163°C and line two baking trays with parchment paper or silicone mats. Add 4 tbsp granulated sugar to small bowl.
Use a small cookie scoop to gather dough into a 1 ½ tbsp ball.
Split the ball into 3 equally sized balls (about 1 ½ tsp each), and roll each into granulated sugar. Place on lined baking sheet, about 2-3 inches apart.
To make bears (optional): For the ears, take about 1 tsp of dough, split it in 2, and roll them in sugar. Place them on top left and right sides of a cookie dough ball on the baking sheet.
Repeat with remaining dough, shaping them into regular balls or bears!
Bake for 5-7 minutes, or until edges are set/firm. Middles should look slightly underbaked. But don't worry—they will finish baking on the cookie sheet while the pan is still hot!
Optional: For rounder, more aesthetic cookies, take a something circular and larger than your cookies (cookie cutter, mug, cup), and place it on top of a warm, freshly baked cookie. Move the circular object around to shape the edges of the cookie until it becomes rounder.
Let cool on pan for about 5-10 minutes, then transfer cookies to wire rack. Let cool completely.
Note: You can a piping bag, toothpick, or cookie scribe to add on the details. I used piping bags.
Add white chocolate to small microwave-safe bowl and microwave in 30-second intervals, stirring in between, until fully melted.
Leave about a tablespoon of melted white chocolate and transfer the rest to a piping bag. Use this for the snouts and ears.
To the remaining white chocolate, add a drop of oil-based pink food coloring. Transfer to piping bag and use this for the blush.
If you don't have oil-based food coloring, then the chocolate will seize/become lumpy. To counter this, stir in a tsp of neutral oil (canola, vegetable) at a time, until it becomes smooth again.
Melt dark or milk chocolate in another bowl, transfer to piping bag, and use this to draw on the eyes and nose.
Enjoy!",13,▢ 1 ½ cups (187.5 g) all-purpose flour,▢ 1 teaspoon (2 g) cornstarch,▢ ½ teaspoon (2 g) baking soda,▢ ¾ teaspoon (4.5 g) table salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ⅓ cup (66.67 g) granulated sugar,▢ ¼ cup (55 g) light or dark brown sugar packed,▢ 1 tablespoon (13 g) vanilla extract,▢ 1 (1) egg,▢ 4 tablespoons (48 g) granulated sugar,▢ 2 tablespoons (30 g) melted milk or dark chocolate,▢ 3 tablespoons (44.36 g) melted white chocolate,"▢ oil-based food coloring, see steps (pink)",NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/mini-sugar-cookies/
Easy Brown Butter Recipe,Bianca Fernandez,"December 19, 2023_March 20, 2024",5,2,No-bake,American,Dessert,NA,5 minutes,NA,5 minutes,1 batch,4,"Make sure you have your heatproof bowl ready! Browning butter can go from 0 to 100 reaaally quickly, aka it's easy to burn it if you keep your eyes off of it.
So, have the bowl handy so you can transfer the finished brown butter to it ASAP.
Add all of the sliced butter into your pan over a stovetop. Turn the heat to medium and stir frequently with your silicone spatula.
First, the butter will melt, then it will start to foam. Soon, the bubbles will subside and brown bits will start to form at the bottom of the pan. Keep stirring, often scraping the bottom, until the butter is deep golden brown and there are a bunch of brown specks. It should smell nutty, toasty, and sweet.
Immediately transfer the brown butter to your heatproof bowl. This prevents the butter from continuing to cook in the pan and burn.
Depending on the recipe you are using the brown butter for, you can use it immediately, let it cool, or refrigerate/freeze for later use.",1,▢ 8 tablespoons (113 g) butter cut into tablespoons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/easy-brown-butter-recipe/
Chocolate Chip Teddy Bear Cookies,Bianca Fernandez,"August 30, 2022_July 3, 2024",4.88,41,Cookies,American,Dessert,15 minutes,13 minutes,NA,33 minutes,12 bear cookies,14,"In a medium bowl, stir together all of the dry ingredients: 1 ½ cup all-purpose flour, ¼ tsp baking powder, ½ tsp baking soda, and ¾ tsp table salt.
In a large bowl, use a silicone spatula to mix melted ½ cup unsalted butter, ⅓ cup brown sugar, and ½ cup granulated sugar until combined.
Add 1 egg and 1 tsp vanilla extract to the mixture. Stir until smooth.
Dump in all of the dry ingredients and 1 cup chocolate chips. Mix until on dry spots remain.
Place oven rack in the middle of the oven. Preheat the oven to 350°F/177°C. Line two baking sheets with parchment paper/silicone mat.
Use a medium cookie dough scoop to gather dough (about 2-3 tablespoons each) and plop onto lined baking tray, about 3-4 inches apart.
For the ears, place 1 tsp dough balls on top left and right sides of each cookie.
Bake for 11-13 minutes, or until edges are set and golden brown. Let cool on pan for about 5 minutes, then transfer to wire rack.
Optional: For rounder bears, use a silicone spatula to push the edges around of your freshly baked, warm cookies. This will only work when the cookies are still hot.
Note: You can a piping bag, toothpick, or cookie scribe to add on the details. I used piping bags. For the following steps, I use this one-bowl method to make the icing to limit how many dishes I need to clean! I started off with lighter colors and end with black.
In a small bowl, add 4 tbsp powdered sugar. Add ¼ tsp water at a time, mixing until you get a pipeable consistency. You may need up to 2 ½ tsp of water.
If it's too liquidy, add more powdered sugar. If it's too stiff, add more water.
Pour half of the mixture into a piping bag. This will be the white color for the snout and ears.
To the remaining icing, add a drop of pink or red food coloring. Mix until combined, then add half of this mixture to another piping bag. This will be the blush.
To the rest of the icing, add black food coloring. Mix until combined, then transfer all of the icing to another piping bag. This will be for the nose and eyes.
Snip the very ends of the piping bags. First, pipe the snouts and ears using the white icing. Once the snouts are semi-dry, pipe the noses and eyes using the black icing. Finish with the pink icing for the blush.
Enjoy! 🙂",13,▢ 1 ½ cup (187.5 g) all-purpose flour,▢ ¼ tsp (1 g) baking powder,▢ ½ tsp (2 g) baking soda,▢ ¾ tsp (4.5 g) table salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ⅓ cup (73.33 g) brown sugar packed,▢ ½ cup (100 g) granulated sugar,▢ 1 (1) egg,▢ 1 tsp (4 g) vanilla extract,▢ 1 cup (180 g) chocolate chips,▢ 4 tbsp (32 g) powdered sugar,▢ 1-2½ tsp (7.5-18.75 g) water,▢ food coloring black and pink or red,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/teddy-bear-chocolate-chip-cookies-with-easy-icing-recipe/
The Best Mini Chocolate Chip Cookie Recipe,Bianca Fernandez,"December 23, 2023_March 20, 2024",4.73,11,Cookies,American,Dessert,30 minutes,7 minutes,NA,37 minutes,70 mini chocolate chip cookies,8,"In a medium bowl, stir together all of the dry ingredients: 1 ½ cups all-purpose flour, 1 teaspoon cornstarch, ½ teaspoon baking soda, and ¾ teaspoon table salt.
In a large mixing bowl, stir the melted ½ cup unsalted butter, ¾ cup light or dark brown sugar, and ⅓ cup granulated sugar with a silicone spatula until smooth.
Add 1 egg and 1 tablespoon vanilla extract. Mix until smooth.
Dump in all of the dry ingredients and ¾ cup mini chocolate chips. Mix until no dry spots remain.
Preheat oven to 350°F/177°C and line two baking trays with parchment paper or silicone mats.
Use mini cookie scoop to scoop 1 tsp cookie dough balls. Place on lined baking sheet, about 3 inches apart. Repeat with remaining cookie dough.
Bake for 8-10 minutes, or until edges are set, cookies look lightly golden brown, and middles look very slightly underbaked. Don't worry—they will finish baking on the cookie sheet while cooling!
Immediately sprinkle flaky sea salt on top.
Optional: For rounder, more aesthetic cookies, take a something circular (cookie cutter, mug, cup) and larger than your cookies, and place it on top of a warm, freshly baked cookie. Move the circular object around to shape the edges of the cookie until it becomes rounder. Then, top with a few more mini chocolate chips.
Let cool on pan for about 5 minutes, then transfer to wire rack. Bake any remaining cookies. Enjoy!",11,▢ 1 ½ cups (187.5 g) all-purpose flour,▢ 1 teaspoon (2 g) cornstarch,▢ ½ teaspoon (2 g) baking soda,▢ ¾ teaspoon (4.5 g) table salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ¾ cup (165 g) light or dark brown sugar packed,▢ ⅓ cup (66.67 g) granulated sugar,▢ 1 (1) egg room temp,▢ 1 tablespoon (13 g) vanilla extract,▢ ¾ cup (135 g) mini chocolate chips plus more for topping,▢ flaky sea salt,NA,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/mini-chocolate-chip-cookies/
Sugar Cookies (Soft & Chewy),Bianca Fernandez,"December 5, 2024",5,3,Cookies,American,Dessert,5 minutes,9 minutes,NA,44 minutes,12 sugar cookies,8,"In a large bowl, use silicone spatula to mix melted ½ cup unsalted butter, ½ cup granulated sugar, and ¼ cup light or dark brown sugar until smooth.
Mix in 1 egg and 1 tablespoon vanilla until smooth.
Add in all of the dry ingredients: 1 ½ cups all-purpose flour, ½ teaspoon baking powder, ½ teaspoon baking soda, and ½ teaspoon fine sea salt. Mix until no dry spots remain.
Cover the dough with plastic wrap and refrigerate for 30 minutes or up to 2 days.
Preheat oven to 350°F/177°C and line two baking trays with parchment paper.
In a small bowl or plate, add 4 tablespoons granulated sugar for rolling the dough.
Use cookie dough scoop to gather dough (2-3 tablespoons). Roll into granulated sugar and place on lined baking tray, spacing cookies about 3-4 inches apart.
Bake one tray at a time for 9-11 minutes, or until edges are slightly golden brown and middles are mostly set. Cool cookies on pan for 5 minutes, then transfer cookies to wire rack to cool completely. Enjoy!
Tip (highly recommended!): For rounder cookies, place a large circular cutter or mug on top of a freshly baked, warm cookie. Move it around in a circular motion until your cookie is perfectly round.",10,▢ 1 ½ cups (187.5 g) all-purpose flour,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (2 g) baking powder,▢ ½ teaspoon (3 g) fine sea salt or table salt,▢ ½ cup (113.5 g) unsalted butter melted and cooled,▢ ½ cup (100 g) granulated sugar,▢ ¼ cup (55 g) light or dark brown sugar packed,▢ 1 tablespoon (4 g) vanilla extract or paste,▢ 1 (1) egg room temperature,▢ 4 tablespoons (48 g) granulated sugar,NA,NA,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/sugar-cookies-soft-chewy/
Peanut Butter Cookies,Bianca Fernandez,"February 6, 2025",NA,NA,Cookies,American,Dessert,5 minutes,9 minutes,NA,44 minutes,12 peanut butter cookies,8,"In a large bowl, use silicone spatula to mix melted ¼ cup unsalted butter, ¾ cup creamy peanut butter, ¼ cup granulated sugar, and ¾ cup light or dark brown sugar until combined.
Mix in 1 egg, 1 egg yolk, and 1 tablespoon vanilla until smooth.
Add in all of the dry ingredients: ¾ cups all-purpose flour, ½ teaspoon baking soda, and ½ teaspoon fine sea salt. Mix until no dry spots remain.
Cover the dough with plastic wrap and refrigerate for 30 minutes or up to 2 days.
Preheat oven to 350°F/177°C and line two baking trays with parchment paper. Add ¼ cup granulated sugar to a small plate or bowl.
Use cookie dough scoop to gather dough (2-3 tablespoons) and roll into granulated sugar. Place on lined baking tray, spacing cookies about 3-4 inches apart.
Bake one tray at a time for 9-11 minutes, or until edges are slightly golden brown and middles are mostly set. Immediately sprinkle on flaky sea salt.
For the perfectly aesthetic cookie (optional!), place a large circular cutter or mug on top of a freshly baked, warm cookie. Move it around in a circular motion until your cookie is perfectly round.
Cool cookies on pan for 5 minutes, then transfer cookies to wire rack to cool completely. Enjoy!",12,▢ ¾ cups (93.75 g) all-purpose flour,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (3 g) fine sea salt or table salt,▢ ¼ cup (56.75 g) unsalted butter melted and cooled,▢ ¾ cup (193.5 g) creamy peanut butter,▢ ¾ cup (165 g) light or dark brown sugar packed,▢ ¼ cup (50 g) granulated sugar,▢ 1 tablespoon (13 g) vanilla extract or paste,▢ 1 (1) egg room temperature,▢ 1 (1) egg yolk room temperature,▢ ¼ cup (50) granulated sugar,▢ flaky sea salt,NA,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/peanut-butter-cookies/
Chunky Ube Cookies with White Chocolate & Coconut,Bianca Fernandez,"August 4, 2021_August 10, 2024",4.60,60,Beginner,Filipino,Dessert,20 minutes,10 minutes,NA,NA,5 cookies,10,"In a medium bowl, whisk together all of the dry ingredients: ½ cup cake flour, 1 cup all-purpose flour, 2 teaspoons cornstarch, ¾ teaspoon baking powder, ½ teaspoon baking soda, and ½ teaspoon table salt.
*If you are using ube halaya, use lower amount of brown sugar because of how sweet ube halaya is. If using mashed or rehydrated ube powder, use higher amount of brown sugar.
In a stand mixer using the paddle attachment, mix the ½ cup butter and ¼ or ½ cup light or dark brown sugar on medium speed until completely smooth, about 2-4 minutes.
Using your silicone spatula, scrape down the sides and bottom of the bowl in the stand mixer. Add 1 egg, ½ cup ube halaya, and 1 ½ teaspoons ube extract to the bowl. Mix until combined, about 10-20 seconds.
Scrape down the sides and bottom of the bowl again. Add all of the dry ingredients, ¾ cup white chocolate chips, and ½ cup shredded unsweetened coconut. Mix until combined and no dry spots remain.
Divide the dough into 5 pieces, about 5-6oz each. Roughly shape the dough into slightly tall mounds using your hands.
Place ube cookie mounds on a lined baking sheet or plate, and freeze for at least 1 hour. Freezing ensures that they do not spread out while baking.
Note: You can store the frozen dough in an airtight container in the freezer for up to 3 months. You can bake them right from the freezer, but you will have to increase the baking time by 2-3 minutes.
Place oven rack in the middle of the oven. Preheat the oven to 350°F/177°C.
Line a baking sheet with parchment paper. Place each dough mound about 3 inches apart on one baking sheet. Bake for 10-13 minutes. They are done when the edges are a little brown and set.
Remove baked cookies from oven. Immediately sprinkle with flaky sea salt and top with additional white chocolate chips.
Allow them to cool completely on the baking sheet for about 10 minutes—they will continue cooking on the sheet! They are very soft/delicate right after baking and need to set.
Enjoy! For warm cookies, you can reheat them by baking them at 350° for 2-4 minutes or popping them in the microwave for 10 seconds.",13,▢ ½ cup (62.5 g) cake flour,▢ 1 cup (125 g) all-purpose flour,▢ 2 teaspoons (2 g) cornstarch,▢ ¾ teaspoon (3 g) baking powder,▢ ½ teaspoon (2 g) baking soda,▢ ½ teaspoon (3 g) table salt,▢ ½ cup (113.5 g) butter softened and cut into tablespoons,"▢ ¼ or ½ cup (55 g) light or dark brown sugar packed, see steps",▢ 1 (1) egg,"▢ ½ cup (118.29 g) ube halaya homemade/store-bought, can also sub rehydrated ube powder or mashed ube",▢ 1 ½ teaspoons (7.5 g) ube extract see notes,▢ ¾ cup (135 g) white chocolate chips plus more for topping,▢ ½ cup (40 g) shredded unsweetened coconut,NA,NA,NA,Bites By Bianca,https://bitesbybianca.com/levain-style-white-chocolate-coconut-ube-cookies-small-batch-recipe/
