title,author,date,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Easy Chocolate Mousse,Sofi | Broma Bakery,"Jan 10, 2024",5,6,No Bake,15 minutes,0 minutes,NA,1 hour 15 minutes,NA,4,"Place the finely chopped chocolate, espresso powder, and the egg in an high powder blender. In a sauce pan heat 1/4 cup of water until boiling. Pour the boiling water into the chocolate and blend on high speed until smooth.
Heat 2/3 cup of the heavy cream until very warm, but NOT boiling (you can do this in the same pan you boiled the water!). Stream the cream into the chocolate mixture as you blend. Add the vanilla extract and salt, and blend on high speed for 1 minute. The mixture should be creamy and smooth with no pieces of chocolate remaining.
In a separate bowl whisk the last 1/2 cup of cold heavy whipping cream until soft peaks form. Pour the chocolate mixture into the whipped cream and gently fold until completely combined and no pockets of unmixed whipped cream remains.
Spoon the mixture into 4 to 6 individual containers depending on how big you want your servings to be. Refrigerate for at least 3 hours to set before serving with fresh whipped cream, berries, and chocolate shavings!",7,"1 egg, room temperature","8 ounces semisweet chocolate, finely chopped*",1 teaspoon espresso powder,1/4 cup water,2 teaspoons vanilla extract,"2/3 cup + 1/2 cup heavy cream, divided",pinch of sea salt,Broma Bakery,https://bromabakery.com/easy-chocolate-mousse/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The BEST Chocolate Chip Cookies,Sofi | Broma Bakery,"Jan 21, 2026",5,527,Cookies,20 minutes,11 minutes,NA,1 hour 31 minutes,NA,6,"Place the butter in a small saucepan and set over medium low heat. Low heat is key to an even, golden browning! Use a silicone spatula to stir and scrape the butter from the bottom and sides of the pan every 10 to 15 seconds. At first, the butter will melt and foam, then over time the foam bubbles will get smaller and the butter will begin to emit a warm, nutty aroma. Continue to cook the butter, occasionally stirring and scraping with your spatula, until the butter begins to take on color and you see small floating brown bits, about 5 to 7 minutes (these are the milk solids in your butter separating and toasting). Once the butter is golden brown, remove it from the heat and allow it to cool in the saucepan for about 5 minutes. You want it to cool down enough that it’s pretty warm, but not scalding hot to the touch.
In a large mixing bowl, combine the brown butter, brown sugar, and granulated sugar. Use a silicone spatula to mix together. Add the egg, extra egg yolk, and vanilla and mix well.
Add in the flour, baking soda, salt and fold until no streaks of flour remain, being careful not to overmix your batter. The dough should be soft but not sticky, so when you touch it with your finger, it gives just a little. 
Fold in the chocolate chips until evenly distributed. Do not over mix. Cover the bowl and place it in the fridge to chill for at least 1 hour (and up to overnight).
Preheat the oven to 350°F. Line two baking sheets with parchment paper. Remove the dough from the fridge and allow it to soften at room temperature until it’s scoopable (about 20 minutes). Use a 1 ½ ounce cookie scoop to portion out equal amounts of dough. Place on the prepared baking sheets, spacing the dough 2 inches apart. 
Bake until the cookies have puffed up and are light golden brown around the edges but still somewhat soft in the middle, 12 to 13 minutes. Remove the baking sheet from the oven, sprinkle with flaky sea salt (if using), and allow the cookies to cool slightly on the baking sheet before serving.",9,3/4 cup (168g) unsalted butter*,1 cup (212g) packed light brown sugar,1/4 cup (50g) granulated sugar,"1 large egg + 1 large egg yolk, at room temperature",1 tablespoon pure vanilla extract,1 3/4 cup (220g) all-purpose flour,3/4 teaspoon baking soda,Broma Bakery,https://bromabakery.com/best-chocolate-chip-cookies/,3/4 teaspoon kosher salt + more flaky seat salt for sprinkling,1 1/4 cups (210g) semisweet or bittersweet chocolate chips (or roughly chopped chocolate),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blueberry Streusel Muffins,Sofi | Broma Bakery,"Dec 12, 2023",4.9,35,Muffins,15 minutes,20 minutes,NA,35 minutes,NA,8,"Preheat oven to 425°F. Grease 10 standard size muffin tins and line with cupcake liners. Set aside.
In a small mixing bowl, combine all the ingredients for the streusel, using a fork or a pastry cutter to stir together until the mixture resembles wet sand.
In a large mixing bowl combine the melted butter and granulated sugar, beating until combined. Add the eggs in one at a time. Add the greek yogurt, buttermilk, and vanilla extract.
Add 2 cups flour, baking powder, and salt. Mix until it begins to come together (not fully incorporated). Toss the blueberries with the additional two Tablespoons of flour. Fold the blueberries into the batter, mixing only until combined. Batter will be thick.
Scoop batter into prepared muffin tins, filling about 3/4 of the way. You can use a large cookie scoop or a 1/4 cup measure to keep things consistent.
Sprinkle the tops of each muffin with about 2 Tablespoons of the streusel mixture, pressing the streusel gently into the batter so it sticks.
Bake for 5 minutes at 425°F, then turn oven down to 375°F and bake for an additional 15 minutes, until muffins are golden brown and spring back to the touch.
Remove from oven and allow to cool for at least 15 minutes before eating!",13,"1/2 cup unsalted butter, melted",1 cup granulated sugar,"2 eggs, room temperature",1 teaspoon vanilla extract,6 Tablespoons greek yogurt,6 Tablespoons buttermilk,1 Tablespoon baking powder,Broma Bakery,https://bromabakery.com/blueberry-streusel-muffins/,1/2 teaspoon salt,2 cups + 2 tablespoons all purpose flour,"2 cups blueberries, fresh or frozen","1/4 cup unsalted butter, melted",1/3 cup granulated sugar,2/3 cup all purpose flours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Bread Chocolate Chip Cookies,Sofi | Broma Bakery,"Dec 14, 2025",4.8,156,Cookies,10 minutes,12 minutes,NA,22 minutes,NA,6,"In a large bowl, combine the melted butter, brown sugar, and mashed banana. Mix to combine.
Add the egg yolk and vanilla extract. Mix well.
Add the flour, salt, baking soda, and cinnamon. Stir until combined and no streaks of flour remain.
Last, fold in the chocolate chips. Cover and set aside to let the flour hydrate in the dough while the oven preheats, about 15 minutes.
Line a cookie sheet with parchment paper and preheat the oven to 350°F. Once the oven is preheated use a 1 ounce cookie scoop or a spoon to scoop out about dough balls, placing them about 2 inches apart on the prepared cookie sheet. The dough will be a little wet! Bake for 10 to 11 minutes or until the edges are set and the cookies have puffed up, but the middles are still underbaked.
Allow to cool before eating!",10,"1 small overripe banana, mashed (it should measure 1/4 cup--if it's more just discard the overflow)",1/2 cup vegetable oil or melted butter,"1 cup light brown sugar, packed",1 egg yolk*,1 teaspoon vanilla extract,1 1/3 cups all purpose flour,1/2 teaspoon baking soda,Broma Bakery,https://bromabakery.com/banana-bread-chocolate-chip-cookies/,2 teaspoons ground cinnamon,1/2 teaspoon salt,2/3 cup chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The BEST Sugar Cookies,Sofi | Broma Bakery,"May 15, 2025",4.9,27,Cookies,10 minutes,10 minutes,NA,1 hour and 30 minutes,NA,5,"In a stand mixer fitted with the paddle attachment combine the butter and sugar and beat until just combined, about 45 seconds. Add in the egg, vanilla, and almond extract and beat well, about 1 minute.
Scrape down the sides of the bowl and add the flour and salt, mixing until combined and no streaks of flour remain. Form a flat, oval disk and wrap in plastic wrap. Refrigerate for at least an hour or overnight.
Preheat the oven to 350°F and line 2 baking sheets with parchment paper.
On a floured surface, roll out the cookie dough with a rolling pin to 1/4 inch thickness. Cut out shapes and carefully transfer to the prepared baking sheets. If you want to sprinkle the cookies with colored sugar do so now! Depending on the size of your cookies, bake for 8 to 12 minutes or until the edges are just golden brown. It totally depends on the size of your cookies–for mini cookies usually about 8 minutes, for medium size about 10 and for larger cookies about 12.
Allow the cookies to cool completely before transferring to a wire rack. Allow to cool completely before frosting or enjoy plain!",7,"1/2 cup unsalted butter, at room temperature",1 cup granulated sugar,"1 large egg, at room temperature",1 1/2 teaspoon vanilla extract,1/4 teaspoon almond extract,1 3/4 cup all-purpose flour,1/2 teaspoon salt,Broma Bakery,https://bromabakery.com/sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Chip Cookies,Sofi | Broma Bakery,"Nov 22, 2023",4.9,41,Cookies,10 minutes,11 minutes,NA,21mins,NA,7,"Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
Place the softened butter and brown sugar in a stand mixer fit with the paddle attachment. Beat on medium high speed until fluffy, about 2 minutes.
Scrape down the sides of the bowl and add the egg and vanilla extract. Mix until combined.
Scrape down the bowl and add the cocoa powder, espresso powder, flour, baking soda and salt. Mix on low speed, gradually increasing to medium. Mix until just combined and no streaks of flour remain.
Fold in chocolate chips until evenly distributed.
Use a 2 ounce cookie scoop to drop the cookie dough onto your prepared cookie sheet 2 inches apart.
Bake at 350°F for 11 minutes or until the edges are set but the centers are still gooey. Allow to cool for 10 minutes on the baking sheet until set. Enjoy!",10,"1/2 cup unsalted butter, room temperature","1 cup brown sugar, packed","1 egg, room temperature",2 teaspoons vanilla extract.,1/3 cup cocoa powder,1 teaspoon espresso powder,1 cup all purpose flour,Broma Bakery,https://bromabakery.com/double-chocolate-chip-cookies/,1/2 teaspoon baking soda,1/2 teaspoon salt,1 cup chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Cheesecake Cookies,Sofi | Broma Bakery,"Mar 12, 2024",5,5,Cookies,1 hour,15 minutes,NA,3 hours,NA,7,"First, make the cheesecake filling. In a medium mixing bowl combine the softened cream cheese, powdered sugar, flour, vanilla and salt. Use a hand mixer (or do it in a stand mixer!) to mix together and smooth and creamy, about 1 minute. Transfer the mixture to a piping bag and snip off the tip. Pipe about 2 teaspoons worth of batter into round discs on a cookie sheet lined with parchment paper and place in the freezer to set, at least 1 hour.
Once the cheesecake centers are set, make the cookies. Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
In a stand mixer fit with the paddle attachment, combine the butter, brown sugar and granulated sugar. Mix on medium speed until light and fluffy. Use a rubber spatula to scrape down the sides of the bowl and add the egg, egg yolk and vanilla extract. Mix well. Add the red food coloring and mix to combine.
Add the cocoa powder, flour, baking powder, baking soda and salt. Mix until just combined and no streaks of flour remain.
 Use a 1.5 ounce cookie scoop (or tablespoon) to scoop a cookie dough ball. Flatten the ball slightly between your palms into a thick pancake. Take one of the frozen cheesecake centers and place on the flatted dough. Fold the edges of the dough up and over the center, pinching together to form a sealed ball of cookie dough around the cheesecake.
Place the 1/2 cup of granulated sugar in a small bowl if coating your cookies in sugar! Roll the cookie dough balls in the granulated sugar and place on the prepared cookie sheet 2 inches apart. Bake until the cookies have puffed up and crinkled and are set on the edges, but still gooey in the middle, 14 to 16 minutes.
Allow to cool slightly before transferring to a cooling rack to cool completely before devouring!",16,"6 ounces cream cheese, at room temperature",1/2 cup powdered sugar,2 tablespoons flour,1/2 teaspoon vanilla extract,"1/2 cup unsalted butter, at room temperature",1/2 cup light brown sugar,1/2 cup granulated sugar,Broma Bakery,https://bromabakery.com/red-velvet-cheesecake-cookies/,"1 large egg + 1 large egg yolk, at room temperature",2 teaspoons vanilla extract,1 teaspoon red gel food coloring,1/3 cup Dutch processed cocoa powder,1 3/4 cup all-purpose flour,1 teaspoon baking powder,1/4 teaspoon baking soda,1/2 teaspoon salt,"1/2 cup granulated sugar, optional for rolling",NA,NA,NA,NA,NA,NA,NA
Maple Pecan Crumble Cookies,Sofi | Broma Bakery,"Dec 29, 2023",5,4,Cookies,30 minutes,15 minutes,NA,45 minutes,NA,9,"Preheat your oven to 350°F and line a cookie sheet with parchment paper. Set aside.
First, make the cinnamon sugar mixture. Combine the brown sugar and cinnamon in a small bowl and stir to combine. Set aside.
In a stand mixer fit the paddle attachment, beat the butter and brown sugar sugar together until light and airy, about 2 minutes.
Use a rubber spatula to scrape down the sides of the bowl and add the maple syrup, egg, vanilla extract and maple extract if using. Beat until smooth and fluffy, about 2 minutes.
Add the flour, baking powder, baking soda and salt. Mix on low speed, gradually increasing to high. Mix until no streaks of flour remain. Do not over mix.
Add the brown sugar cinnamon mixture to the mixing bowl and fold the mixture one or two times to mix in the sugar a little bit–you don’t want to over mix it. You want the cinnamon sugar to stay mostly separate from the cookie so you get nice big swirls!
In a separate bowl, combine all the ingredients for the streusel topping and use a fork to mixture until crumbly and clumping together.
Use a 1.5 ounce cookie scoop to scoop out the dough onto your prepared baking sheet. Lightly flatten the top of cookie dough balls so that the streusel has a flat surface to stick to. Top with a heaping spoonful of the streusel topping, really pressing it into the dough.
Bake the cookies for 12 to 15 minutes or until the edges are set, but the centers are still a little doughy. Allow to cool completely before eating!",18,"1/4 cup light brown sugar, packed",2 teaspoons ground cinnamon,"1/2 cup unsalted butter, at room temperature",3/4 cup light brown sugar,2 tablespoons pure maple syrup,"1 egg, room temperature",2 teaspoons vanilla extract,Broma Bakery,https://bromabakery.com/maple-pecan-crumble-cookies/,1 teaspoon maple extract,1 3/4 cups all-purpose flour,1/2 teaspoon salt,1/2 teaspoon baking powder,1/4 teaspoon baking soda,"1/4 cup unsalted butter, melted","3 tablespoons light brown sugar, packed",1 teaspoon pure maple syrup,1/2 cup all-purpose flour,3 tablespoons chopped pecans,pinch of salt,NA,NA,NA,NA,NA
Fudgy Peppermint Brownie Cookies,Sofi | Broma Bakery,"Dec 2, 2022",4.9,8,Cookies,15 minutes,10 minutes,NA,25mins,NA,8,"Preheat the oven to 350°F and line 2 cookie sheets with parchment paper.
In a microwave safe bowl, combine the butter and finely chopped chocolate. Microwave in 15 second increments, stirring well between each until the chocolate is completely smooth and melted. Do not overheat the chocolate as this can burn it. Set aside.
In a stand mixer fit with the whisk attachment, combine the eggs and sugars. Beat on high speed until light and pale yellow in color, about 3 minutes.
With the mixer on low, slowly add in the chocolate and butter mixture, mixing until completely homogenous. Stop the mixer.
Add the peppermint and vanilla extract and mix to combine.
Add the flour, cocoa powder, salt, and espresso powder. Mix until combined. The dough will be soft.
To get the distinct glossy tops, do not let the dough sit! As soon as the dough is mixed, use a standard size cookie scoop to scoop out the cookies onto the prepared cookie sheets, dropped about 2 inches apart. Bake for 10 minutes or until the cookies have crackled and are set on the edges, but still gooey in the middle.
As soon as the cookies come out of the oven top with crushed up candy canes.
Allow to cool before eating!",12,"8 ounces bittersweet chocolate, chopped",6 Tablespoons unsalted butter,3/4 cup brown sugar,1/4 cup white sugar,"2 eggs, room temperature",1 teaspoon vanilla extract,1 teaspoon peppermint extract,Broma Bakery,https://bromabakery.com/fudgy-peppermint-brownie-cookies/,3/4 cup all purpose flour,1/4 cup cocoa powder,1/4 teaspoon salt,2 teaspoons espresso powder,"3 candy canes, crushed (about 1/4 cup)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Gingerbread Cookies,Sofi | Broma Bakery,"Nov 18, 2025",4.9,19,Cookies,10 minutes,12 minutes,NA,22mins,NA,8,"Preheat the oven to 350°F and line two cookie sheets with parchment paper. Set aside.
In a stand mixer fit with the paddle attachment, beat the butter and sugar together until light and fluffy, about 2 minutes.
Add the molasses and vanilla extract and mix until combined.
Add the egg. Beat well.
In a separate bowl, stir together the flour, baking soda, baking powder, 2 teaspoons of the cinnamon, ginger, cloves, nutmeg and salt.
Add the dry ingredients to the wet and beat until combined and no streaks of flour remain.
Use a medium size cookie scoop to scoop out rounded cookies. Roll the cookies in the additional sugar if desired and place two inches apart onto the prepared cookie sheets.
Bake for 12 minutes, or until the cookies have puffed up and crinkled and are set on the edges but still gooey in the middle. Allow to cool completely before using a spatula to transfer to a wire rack. Enjoy!",13,"3/4 cup unsalted butter, room temperature",3/4 cup packed light brown sugar,1/3 cup molasses,2 teaspoons pure vanilla extract,"1 large egg, room temperature",2 1/3 cups all-purpose flour,1/2 teaspoon baking soda,Broma Bakery,https://bromabakery.com/chewy-gingerbread-cookie/,1/4 teaspoon baking powder,2 teaspoons ground cinnamon,2 teaspoons ground ginger,1/2 teaspoon ground cloves,1/4 teaspoon ground nutmeg,1/2 teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
