title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,yield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Classic Meringue Cookies,Michelle Lettrich,5,13 ,Dessert,American,15 minutes,NA,NA,1 hour hr 15 minutes mins,72 cookies,7,"Preheat oven to 225 degrees F. Line a large baking sheet with parchment paper; set aside.
Using an electric mixer with the whisk attachment (or a hand mixer), beat the egg whites on medium speed until frothy, then add the cream of tartar, salt, and vanilla extract.
Increase the mixer speed to medium-high and beat to soft peaks. While continuing to beat the egg whites, gradually add the granulated sugar and beat until glossy and stiff peaks form.
Fit a pastry bag with a large star tip (I use the Ateco #827 for an open star, the Ateco #864 for a French star) and fill it with meringue.
Pipe the cookies onto the prepared baking sheet. You do not need to leave much room between the cookies, as they will not spread.
Bake the cookies for 1 hour, or until firm to the touch. Turn the oven off and prop the oven door open with a wooden spoon until the cookies are completely cool. (I usually bake them in the evening and then leave them in the propped-open oven overnight to cool and set up completely.)
Carefully remove from the parchment and store in an airtight container at room temperature, keeping them away from excess heat or moisture (it will cause them to become chewy).",5,"▢ 4 egg whites, at room temperature",▢ ½ teaspoon cream of tartar,▢ 1 teaspoon vanilla extract,▢ Pinch of salt,▢ 1 cup (198 g) granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/classic-meringue-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Gobs (aka Whoopie Pies),Michelle Lettrich,4.43,47 ,Dessert,American,30 minutes,10 minutes,NA,40 minutes mins,18 to 24 gobs,6,"Preheat oven to 450 degrees F. Line two baking sheets with parchment paper; set aside.
In a medium bowl, whisk together the flour, cocoa powder, baking soda and salt; set aside.
Using an electric mixer, cream together the shortening and sugar on medium speed until light and fluffy, about 3 minutes. Add the egg, egg yolk and vanilla extract and beat for another 1 to 2 minutes, or until completely smooth and combined. Reduce the mixer speed to low, add one-third of the flour mixture and beat until just combined. Add the buttermilk and mix again, followed by another third of the flour mixture, the hot water, and then the remaining flour mixture. Give the batter a few quick folds with a rubber spatula to ensure all of the ingredients are incorporated.
Drop the dough onto the parchment-lined baking sheets using a medium cookie scoop (about 1½ tablespoons of dough). Bake in the preheated oven for 5 to 6 minutes. The cookies should look puffed and completely set. Let cool on the baking sheets for about 5 minutes, then transfer to a wire rack to cool completely.
Make the Filling: Cream together the marshmallow fluff and shortening on medium speed until light and fluffy, about 3 minutes. Reduce the speed to low and add the powdered sugar, salt, and vanilla extract; mix until all of the sugar has been incorporated, then increase the speed to medium and beat for another 3 to 5 minutes, until the mixture is light and fluffy.
Assemble the Gobs: Using a pastry bag with round decorating tip, or a spoon, spread some of the filling onto the bottom side of half of the cookies. Top with the remaining cookies. The gobs can be stored at room temperature in an airtight container for up to 4 days.",16,▢ 2 cups (260 g) all-purpose flour,▢ ½ cup (42 g) unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ ½ cup (92 g) vegetable shortening,Brown Eyed Baker,https://www.browneyedbaker.com/gobs-whoopie-pies-recipe/,▢ 1 cup (198 g) granulated sugar,▢ 1 whole egg,▢ 1 egg yolk,▢ 1 teaspoon vanilla extract,▢ ½ cup (120 ml) buttermilk,▢ ½ cup (120 ml) hot water,▢ 1½ cups (192 g) marshmallow fluff,▢ 1¼ cups (283 g) vegetable shortening,▢ 1 cup (113 g) powdered sugar,▢ Pinch of salt,▢ 1 tablespoon vanilla extract,NA,NA,NA,NA,NA,NA,NA
Peanut Butter-Oatmeal Chocolate Chip Cookies,Michelle Lettrich,4.96,67 ,Snack,American,15 minutes,10 minutes,NA,25 minutes mins,16 cookies,4,"Preheat oven to 350 degrees F. Line two baking sheets with parchment paper and set aside.
Whisk together the flour, baking soda and salt; set aside.
On medium speed, cream together the butter, peanut butter, granulated sugar, brown sugar and vanilla extract, about 3 minutes. Add the egg and beat to combine. On low speed, gradually add the flour until just combined. Stir in the oats, and then the chocolate chips.
Use a large cookie scoop (3 tablespoons) and drop dough onto prepared baking sheets about 2 inches apart. Bake for 10 minutes, or until the cookies are lightly golden. Cool completely on the baking sheet and then store in an airtight container at room temperature.",11,▢ 1 cup (130 g) all-purpose flour,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,"▢ ½ cup (113 g) unsalted butter, at room temperature",▢ ½ cup (135 g) creamy peanut butter,Brown Eyed Baker,https://www.browneyedbaker.com/peanut-butter-oatmeal-chocolate-chip-cookies/,▢ ½ cup (99 g) granulated sugar,▢ ⅓ cup (71 g) light brown sugar,▢ ½ teaspoon vanilla extract,▢ 1 egg,▢ ½ cup (45 g) rolled oats,▢ 1 cup (170 g) semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 Essential Cookie Baking Tools & Equipment,NA,5,258 ,NA,NA,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,Brown Eyed Baker,https://www.browneyedbaker.com/cookie-baking-tools/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best-Ever Cut-Out Sugar Cookies,Michelle Lettrich,4.84,198 ,"Dessert, Snack",American,30 minutes,10 minutes,NA,40 minutes mins,24 to 26 (2½-inch) cookies,7,"Preheat oven to 350 degrees F. Line two baking pans with parchment paper and set aside.
Using an electric mixer on medium speed, beat the butter and sugar together until light and fluffy, about 2 minutes.
Add the egg, vanilla, baking powder, and salt, and mix until combined and smooth, scraping the sides of the bowl as needed.
Reduce the mixer speed to low and gradually add the flour, only mixing until the dough just comes together. Give it a final mix with a rubber spatula, folding and pressing it together, to ensure all of the flour is mixed in.
Separate the dough in half and work with one piece at a time, roll the dough ¼-inch thick. Cut out shapes as desired and place them on the prepared baking sheets, leaving at least 1 inch of space between cookies. 
Bake until the cookies look set and are slightly firm to the touch but still pale, about 10 to 12 minutes.
Cool on the baking sheet for 5 minutes, then remove to a wire rack to cool completely.",7,"▢ 1 cup (227 g) unsalted butter, chilled and cubed",▢ 1 cup (198 g) granulated sugar,▢ 1 egg,▢ 2 teaspoons vanilla extract,▢ 1½ teaspoons baking powder,Brown Eyed Baker,https://www.browneyedbaker.com/go-pens-with-all-occasion-sugar-cookies/,▢ ½ teaspoon salt,▢ 3 cups (390 g) all-purpose flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"No Bake Cookies with Chocolate, Peanut Butter & Oats",Michelle Lettrich,4.91,123 ,Dessert,American,15 minutes,NA,NA,45 minutes mins,36 cookies,6,"Add the butter, sugar, milk, cocoa powder, and salt to a 4-quart saucepan.
Bring to a rapid boil and let boil for 1 minute.
Remove from heat.
Stir in the peanut butter and vanilla extract until smooth, then stir in the oats.
Using a medium cookie scoop (or 2 tablespoonfuls), drop onto parchment-lined baking sheets.
Let cool until set, about 30 minutes. Cookies can be stored in an airtight container at room temperature for up to 5 days or in the refrigerator for up to 2 weeks.",8,▢ ½ cup (113 g) unsalted butter,▢ 2 cups (396 g) granulated sugar,▢ ½ cup (120 ml) whole or 2% milk,▢ 4 tablespoons (21 g) unsweetened cocoa powder,▢ Pinch of salt,Brown Eyed Baker,https://www.browneyedbaker.com/no-bake-chocolate-peanut-butter-oatmeal-cookies/,▢ ½ cup (135 g) peanut butter,▢ 2 teaspoons vanilla extract,▢ 3 cups (267 g) quick-cooking oats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cowboy Cookies,Michelle Lettrich,4.60,45 ,Snack,American,15 minutes,12 minutes,NA,30 minutes mins,36 large cookies,4,"Preheat oven to 350 degrees F. Line baking sheets with parchment paper or line with a silicone baking mat.
In a medium bowl, whisk together the flour, baking powder, baking soda, cinnamon and salt; set aside.
In a large mixing bowl, beat the butter on medium speed until smooth and creamy, about 2 minutes. Gradually beat in the sugars and continue to beat until light and fluffy, scraping the bowl as necessary, about 3 minutes. Add the eggs one at a time, beating well after each addition. Beat in the vanilla extract. Reduce the mixer speed to low and gradually add the flour mixture, mixing until just combined. With a wooden spoon or large rubber spatula stir in the chocolate chips, oats, coconut and pecans.
For each cookie, drop ¼ cup dough (this scoop is perfect!) onto the baking sheets, spacing them about 3 inches apart. Bake until the edges are set but the middles still look light and puffy, about 12-15 minutes, rotating the sheets halfway through. Cool cookies on the baking sheets.",14,▢ 3 cups (360 g) all-purpose flour,▢ 1 tablespoon baking powder,▢ 1 tablespoon baking soda,▢ 1 tablespoon ground cinnamon,▢ 1 teaspoon salt,Brown Eyed Baker,https://www.browneyedbaker.com/cowboy-cookies/,"▢ 1½ cups (340 g) unsalted butter, at room temperature",▢ 1½ cups (298 g) granulated sugar,▢ 1½ cups (298 g) packed light brown sugar,▢ 3 eggs,▢ 1 tablespoon vanilla extract,▢ 3 cups (510 g) semisweet chocolate chips,▢ 3 cups (297 g) old-fashioned rolled oats,▢ 2 cups (170 g) sweetened flaked coconut,▢ 2 cups (227 g) chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Crinkle Cookies,Michelle Lettrich,4.63,43 ,Snack,American,15 minutes,10 minutes,NA,25 minutes mins,24 cookies,5,"Preheat oven to 375 degrees F. Line baking sheet with parchment paper or silicone baking mat.
Pour cake mix into a large bowl. Stir in eggs, oil, lemon zest, lemon juice and lemon extract until well blended.
Place confectioner's sugar in a bowl.
Drop heaping tablespoonfuls of dough into balls and roll in confectioner's sugar until lightly coated and place on baking sheet.
Bake for about 10 minutes or until the edges are lightly browned. Cool for 2-3 minutes on the cookie sheet and then transfer to a wire rack to cool completely.",7,▢ 1 box (517.38 g) lemon cake mix,▢ 2 eggs,▢ ⅓ cup (72.67 ml) vegetable oil,▢ Zest of 2 lemons,▢ 2 tablespoons (2 Tablespoons) lemon juice,Brown Eyed Baker,https://www.browneyedbaker.com/lemon-burst-cookies/,▢ ½ teaspoon (0.5 teaspoon) lemon extract,▢ ⅓ cup (40 g) confectioner’s sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Whoopie Pies,Michelle Lettrich,4.70,13 ,Snack,American,40 minutes,10 minutes,NA,50 minutes mins,24 assembled whoopie pies,8,"Make the Graham Cookies: Position a rack in the center of the oven and preheat the oven to 375 degrees F. Line two baking sheets with parchment paper.
In a medium bowl, stir together both flours, baking powder, and salt.
In the work bowl of a stand mixer fitted with the paddle attachment, beat together the butter, shortening and brown sugar until light and creamy, about 3 minutes. Add the eggs and the buttermilk and beat until combined.
In a measuring cup, combine the milk, baking soda, and vinegar. Add the milk mixture to the batter along with the flour mixture and beat on low speed until just combined. Add the vanilla and beat on medium speed for about 2 minutes, until completely combined.
Using a spoon, drop about 1 tablespoon of batter onto one of the prepared baking sheets and repeat, spacing them at least 2 inches apart. Bake one sheet at a time for about 10 minutes each, or until the cakes begin to brown. Remove from the oven and let the cakes cool on the sheet for at least 5 minutes before transferring them to a rack to cool completely.
Make the Chocolate Ganache Filling: Put the chocolate in a large, heatproof bowl. Heat the cream in a large, heavy saucepan over medium heat just until it bubbles. Pour the hot cream over the chocolate in the bowl and let it sit for about 10 minutes, until the chocolate is melted. Stir with a wooden spoon or spatula until smooth. Allow the mixture to rest at room temperature until firm enough to spread, about 2 hours. You may also refrigerate the mixture for about 30 minutes, until it is firm enough to spread, stirring every 10 minutes.
Make the Marshmallow Filling: In the work bowl of a stand mixer fitted with the paddle attachment, beat together the Marshmallow Fluff and the vegetable shortening, starting on low and increasing to medium speed until the mixture is smooth and fluffy, about 3 minutes. Reduce mixer speed to low, add the confectioners' sugar and the vanilla, and beat until incorporated. Increase mixer speed to medium and beat until fluffy, about 3 minutes more.
Assemble the whoopie pies: Pipe or spread (whatever your preferred method) a layer of chocolate ganache filling onto the flat side of one of the cakes. Using the same method, top the chocolate filling with the marshmallow filling. Top it with another cake, flat-side down. Repeat with the rest of the cakes and filling.",19,▢ 1½ cups (180 g) graham flour,▢ ¾ cup (93.75 g) all-purpose flour,▢ 1½ teaspoons (1.5 teaspoons) baking powder,▢ ½ teaspoon (0.5 teaspoon) salt,"▢ 4 tablespoons unsalted butter, at room temperature",Brown Eyed Baker,https://www.browneyedbaker.com/smores-whoopie-pies/,▢ 4 tablespoons vegetable shortening,▢ 1 cup (220 g) packed dark brown sugar,▢ 2 large eggs,▢ ½ cup (120 ml) buttermilk,▢ 2 tablespoons milk,▢ 1 teaspoon baking soda,▢ 1 teaspoon white vinegar,▢ 1 teaspoon vanilla extract,"▢ 1½ cups (190.5 g) Marshmallow Fluff, or other prepared marshmallow cream, which will do in a pinch",▢ 1¼ cups (256.25 g) vegetable shortening,▢ 1 cup (120 g) confectioners’ sugar,▢ 1 tablespoon vanilla extract,"▢ 8 ounces (226.8 g) milk chocolate chips, or solid chocolate, finely chopped",▢ ½ cup (119 ml) heavy cream,NA,NA,NA,NA
Black and White Cookies,Michelle Lettrich,4.38,50 ,Snack,American,15 minutes,40 minutes,NA,35 minutes mins,20 to 24 cookies,9,"Make the Cookies: Adjust the oven racks to lower-middle and upper-middle positions and preheat the oven to 375 degrees F. Line two baking sheets with parchment paper or a silicone baking mat.
In a large bowl, whisk together the flour, baking powder and salt; set aside.
Beat the butter at medium speed for 30 seconds to loosen it up. Keeping the mixer running, gradually add in the sugar and then gradually increase the speed to medium-high and beat until the mixture is light and fluffy, about 3 minutes. Scrape down the sides of the bowl and add the eggs, vanilla and lemon extract. Beat at medium speed until combined, about 30 seconds. Scrape down the sides and bottom of the bowl again. With mixer on low speed, alternately add the flour in four additions and the milk in three additions (beginning and ending with flour), and mix until just combined. Give the mixture a few final stirs with a rubber spatula to ensure all of the flour has been incorporated.
Use a ¼-cup measuring cup to scoop mounds of dough onto the prepared baking sheets about two inches apart. Using moistened fingers, gently press each mound of dough into a 2½-inch circle. Bake until the edges of the cookies are set and light golden brown, about 20 minutes. Allow the cookies to cool for 2 minutes on the baking sheets, then remove to a wire rack to cool completely.
Making the Icings: Melt the chocolate either in a medium bowl set over a small saucepan over barely-simmering water, or using the microwave on 50% power in 30-second increments; set aside.
In a medium saucepan over medium heat, bring the water and corn syrup to a boil. Remove from the heat and whisk in the powdered sugar and vanilla extract. Transfer ¾ cup of the icing to the bowl with the melted chocolate and whisk to combine.
Ice the Cookies: Place wire racks over wax paper to catch any drips. Use a small offset spatula to spread about 2 tablespoons of the vanilla icing onto half of the flat underside of each cookie. The icing should move on its own when the cookie is tilted; use the spatula to scrape any excess from around the edges. If the vanilla begins to thicken too much, stir in a teaspoon of warm water at a time until the icing goes back to a smoother, looser consistency. Place the finished cookies on the wire racks and allow to set for at least 15 minutes.
Again using a small offset spatula, spread the chocolate icing on the half of each cookie, scraping any excess icing from around the edge of the cookies. If the chocolate icing thickens too much, place the bowl on a small saucepan of barely simmering water so that it can re-melt. If it’s still too thick, you can add warm water, a teaspoon at a time, until it returns to the correct consistency. Place the finished cookies on the wire racks and allow to set for at least 1 hour.
The cookies can be stored in an airtight container at room temperature for up to 3 days. If you stack the cookies, be sure to place a piece of wax paper between layers.",14,▢ 4 cups (500 g) cake flour,▢ ½ teaspoon (0.5 teaspoon) baking powder,▢ ½ teaspoon (0.5 teaspoon) salt,"▢ 1 cup (227 g) unsalted butter, at cool room temperature",▢ 1¾ cups (350 g) granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/black-and-white-cookies-recipe/,"▢ 2 eggs, at room temperature",▢ ½ teaspoon (0.5 teaspoon) vanilla extract,▢ ¼ teaspoon (0.25 teaspoon) lemon extract,▢ 1 cup (244 ml) milk,"▢ 2 ounces (56.7 g) unsweetened chocolate, finely chopped",▢ ⅓ cup (83.33 ml) water,▢ ¼ cup (85.25 g) light corn syrup,▢ 5 cups (600 g) powdered sugar,▢ ½ teaspoon (0.5 teaspoon) vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
