title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,source,link,ingredient18,ingredient19,ingredient20
Chocolate Shortbread Christmas Cookies (with Free Printable Gift Labels),Chris Scheuer,5, 5 ,"Cookies, Dessert",American,Prep Time 45 minutes mins,Cook Time 30 minutes mins,Chill time 30 minutes mins,Total Time 1 hour hr 45 minutes mins,NA,27,"Line two half-sheet pans with parchment paper and set aside.
Place the soft butter in a medium-large mixing bowl and stir for 10-15 seconds until nice and creamy. 1 cup very soft butter
Add the powdered sugar and cocoa powder and stir until well combined. The mixture may look dry at first - keep stirring and it will come together. ¾ cup powdered sugar, ⅓ cup cocoa powder
Stir in the vanilla extract, peppermint extract, and salt. 1 teaspoon vanilla extract, ½ teaspoon peppermint extract, ½ teaspoon kosher salt
Add the flour and cornstarch and stir until no dry flour remains. If needed, use your hands to gently knead the dough in the bowl until smooth. 1¾ cups all-purpose flour, ¼ cup cornstarch
Turn the dough out onto a lightly floured surface and knead briefly to form a ball. Divide the dough in half and shape each half into a smooth disc.
Roll the dough to ¼-inch thickness (see tips above in the post about rolling). Cut into rounds using a 3-inch cookie cutter and place cookies 1½ inches apart on the prepared pans.
Gather scraps, reroll, and cut additional cookies.
Refrigerate the unbaked cookies for 30 minutes (longer is fine).
Preheat the oven to 350°F (175°C).
Bake cookies for 12-14 minutes, until set.
For a nice smooth cookie top, use a flat metal spatual to pat out any bumps or lumps.
Let the cookies cool on the pan for 5 minutes, then transfer to a wire rack to cool completely before decorating.
Line a work surface with a piece of parchment paper, large enough to fit all of the cookies.
Place the white chocolate candy melts and coconut oil (if using) in a small microwave-safe bowl.1 cup white chocolate candy melts, 1 teaspoon coconut oil
Microwave at 50% power in 15-second intervals, stirring between each, until smooth.
Have a second clean small bowl set out near the parchment paper.
Holding a cookie by the edge, dip the bottom of a cookie into the melted chocolate. Turn it a bit from side to side, to create a ""snowbank,"" then gently scrape excess chocolate on the extra bowl's rim.
Place cookies on parchment and immediately press a small pretzel piece into the chocolate for the tree trunk.
Allow the chocolate to set completely.
Optional: For more uniformly shaped Christmas trees, cut a small triangle from paper or light cardboard in the size you'd like your trees to be. Once the white chocolate ""snow"" has set, place the triangle in the center of a cookie where you want the tree. Using a small, sharp knife, lightly score along the edges of the triangle to outline the shape. Remove the template and pipe the buttercream just to cover the score lines.(See the video above for a quick demonstration.)
In a medium bowl, stir the butter until smooth.1 tablespoon soft butter
Add powdered sugar, 1½ tablespoons half-and-half, peppermint extract, and food coloring (if using). Stir until smooth, adding more half-and-half as needed for a thick but pipeable consistency. Add green food coloring, just a bit at a time until your desired tree color is reached. Stir well to combine. 1½-2 tablespoons half-and-half, ½ teaspoon peppermint extract, Green food coloring
Transfer buttercream to a piping bag fitted with a small round tip (Wilton #3 works well).
Pipe Christmas trees onto each cookie, starting at the top and widening as you pipe downward.
Immediately sprinkle with nonpareils and top with a decorative star or flower if desired. nonpareils and small decorative stars or flowers
Let cookies dry before storing or packaging.",17,"1 cup very soft butter, I use salted butter",¾ cup powdered sugar,"⅓ cup cocoa powder, I use regular Hershey's cocoa, but Hershey's dark and Ghirardelli also work.",1 teaspoon vanilla extract,½ teaspoon peppermint extract,"½ teaspoon kosher salt, I use Morton's kosher salt",1¾ cups all-purpose flour,¼ cup cornstarch,"1 cup white chocolate candy melts, I really like Ghirardelli, available at most larger groceries","1 teaspoon coconut oil, optional, for thinning",1 tablespoon soft butter,1 cup powdered sugar,1½-2 tablespoons half-and-half,½ teaspoon peppermint extract,"Green food coloring, I use green gel food coloring but liquid will also work","nonpareils and small decorative stars or flowers, optional for tree topper","thin pretzel sticks, broken into short pieces (for tree trunks)",The Cafe Sucre Farine,https://thecafesucrefarine.com/christmas-chocolate-shortbread-cookies/,NA,NA,NA
Ridiculously Easy Gingerdoodle Cookies,Chris Scheuer,5, 14 ,"Bars, Cookeis, Dessert, Sweet Treats",American,Prep Time 15 minutes mins,Cook Time 22 minutes mins,NA,Total Time 37 minutes mins,NA,10,"Preheat the oven to 350˚F. Line two sheet pans with parchment paper. (If using just one pan, allow it to cool completely between batches.)
In a small bowl, combine the sugar, cinnamon, and ginger. Stir to mix and set aside.  2 tablespoons granulated sugar, ¼ teaspoon ground cinnamon, ⅛ teaspoon ground ginger
Add the very soft butter to a medium bowl and stir until creamy. Add both sugars and stir to combine (the mixture will look sandy). ¾ cup very soft butter, ⅔ cup brown sugar, ½ cup granulated sugar
Stir in the egg, egg yolk, molasses, lemon juice, and vanilla until creamy and well combined. 1 large egg, 1 large  egg yolk, 2 tablespoons unsulphured molasses, 2 teaspoons fresh lemon juice, 1 teaspoon vanilla extract
Add the cornstarch, baking soda, cinnamon, ginger, cloves, and salt. Stir vigorously until fully incorporated. 3 tablespoons cornstarch, 2 teaspoons baking soda, 2 teaspoons ground cinnamon, 1 ½ teaspoons ground ginger, ¼ teaspoon ground cloves, ½ teaspoon kosher salt
Add the flour and stir just until no streaks remain. Make sure there is no unincorporated flour in the bottom of the bowl. The dough will be thick. 2 ⅓ cups all-purpose flour
Using a retractable scoop (about 1-1½ ounces or 2 tablespoons of dough), scoop up the dough and arrange the scoops on the prepared sheet pans, spacing 2½-3 inches apart.
Sprinkle each mound of dough with about ⅛ teaspoon of the cinnamon-sugar mixture. It's okay if some of the sugar ends up around the dough.
Bake for 10-12 minutes, or until the edges are set and the cookies are light golden with cracks on top. Do not overbake (unless you prefer crispier, flatter cookies).
Immediately sprinkle the warm cookies with a little more of the cinnamon-sugar mixture. Let them cool on the pan for 2-3 minutes before transferring to a wire rack to cool completely. Store in an airtight container. Enjoy!",18,2 tablespoons granulated sugar,¼ teaspoon ground cinnamon,⅛ teaspoon ground ginger,"¾ cup very soft butter, I use salted butter","⅔ cup brown sugar, I use dark brown sugar but light will also work",½ cup granulated sugar,1 large egg,1 large egg yolk,"2 tablespoons unsulphured molasses, not blackstrap","2 teaspoons fresh lemon juice, or 1 teaspoon cream of tartar",1 teaspoon vanilla extract,3 tablespoons cornstarch,2 teaspoons baking soda,2 teaspoons ground cinnamon,1 ½ teaspoons ground ginger,¼ teaspoon ground cloves,"½ teaspoon kosher salt, I use Morton's",The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-gingerdoodle-cookies/,2 ⅓ cups all-purpose flour,NA,NA
Ridiculously Easy Magic Cookies with Toffee and Chocolate Chips,Chris Scheuer,5, 14 ,"Bars, Cookeis",American,Prep Time 10 minutes mins,Cook Time 30 minutes mins,NA,Total Time 40 minutes mins,NA,6,"Preheat the oven to 350˚F. Line 2 sheet pan with parchment paper. Spray the parchment lightly with non-stick spray and rub with a small piece of paper toweling to coat entire surface.
In a LARGE bowl, mix together all of the ingredients until everything is well coate with the condensed milk. At first it will look a little dry. Just keep stirring until everything is nicely coated.3 cups rice cereal, 1 cup chopped pecans, 1 cup toffee bits⁣, 1 cup shredded unsweetened coconut, ¾ cup semi sweet chocolate chips⁣, 14 ounces sweetened condensed milk
Bake the cookies for 10 minutes. Remove the pan from the oven and use a silicone spatula to reshape the cookies into nice round circles. Return to the oven for another 5-6 minutes or until golden brown. 
You can reshape them just a bit again at this point, if desired. I like to add a few extra chocolate chips and a sprinkle of flaky sea salt at this time for a pretty presentation.extra chocolate chips, flaky sea salt
Allow the cookies to cool on the parchment lined baking sheet for 10 minutes then transfer to a wire cooling rack to cool completely.
Don't try to stack the cookies until they are completely cool and the chocolate chips have firmed up. Store in an airtight container.",8,"3 cups rice cereal, I use Rice Krispies but a generic brand will also work","1 cup chopped pecans, I like to use ""pecan chips"" which you can purchase at most larger grocery stores in the baking aisle","1 cup toffee bits⁣, I use Heath Bits of Brickle","1 cup shredded unsweetened coconut, I have used sweetened also",¾ cup semi sweet chocolate chips⁣,"14 ounces sweetened condensed milk, 1 14-ounce can (397g)","extra chocolate chips, for garnish, if desired","flaky sea salt, for garnish, if desired (I love Maldon flaky sea salt)",NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-magic-cookies-with-toffee-and-chocolate-chips/,NA,NA,NA
🧾 Ridiculously Easy Biscoff Shortbread,Chris Scheuer,5, 11 ,"Dessert, Snacks","American, Scottish-Inspired",Prep Time 20 minutes mins,Cook Time 30 minutes mins,NA,Total Time 50 minutes mins,NA,8,"Preheat oven to 350°F. Spray a 9-inch tart pan with a removable bottom (or a round cake pan) with baking spray. If using a cake pan, line the bottom with a round of parchment. Set aside.
Place 8 Biscoff cookies in a zip-top bag and crush with a rolling pin or meat mallet until finely ground. Set aside.8 Biscoff cookies
In a medium-large bowl, stir together the soft butter and sugar until creamy (about 30 seconds). Add vanilla; stir again. Mix in the crushed Biscoff cookies. Add the cornstarch, salt and flour and stir until just combined and the dough begins to come together. 1 cup very soft butter, ½ cup granulated sugar, 1 teaspoon vanilla extract, ¼ cup cornstarch, ½ teaspoon kosher salt, 1¾ cups all-purpose flour
Press dough evenly into the prepared pan. If the dough is sticky, lightly flour your fingertips.
Crush the remaining 4 Biscoff cookies in the same zip-top bag. Transfer crumbs to a small bowl, add melted butter, and microwave briefly (about 30 seconds). Stir with a fork until a crumbly mixture forms. Sprinkle evenly over the dough, press gently, and sprinkle with 1 tablespoon of sugar. 4 Biscoff cookies, 1 tablespoon melted butter, 1 tablespoon cane or granulated sugar
Place the tart pan on a foil-lined baking sheet (to catch any butter drips) and bake on the center rack for 25-35 minutes, or until golden brown. Start checking early!
Turn off the oven. Remove from the oven and let the shortbread cool in the pan on a cooling rack for 15 minutes. Carefully remove from the pan and transfer to a cutting board. Sprinkle with extra sugar and flaky sea salt, if desired. Cut into wedges while still slightly warm. flaky sea salt
For ultra-crisp shortbread, place the wedges on a baking sheet and return them to the still-warm oven. Let cool completely inside with the door closed.",11,"8 Biscoff cookies, 63g or about ⅔ cup crushed crumbs","1 cup very soft butter, I use salted butter",½ cup granulated sugar,1 teaspoon vanilla extract,¼ cup cornstarch,"½ teaspoon kosher salt, I use Morton's",1¾ cups all-purpose flour,"4 Biscoff cookies, 31g crushed crumbs","1 tablespoon melted butter, I use salted",1 tablespoon cane or granulated sugar,"flaky sea salt, optional (We love Maldon sea salt)",NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/biscoff-shortbread/,NA,NA,NA
Easter Bunny Shortbread Bites,Chris Scheuer,5, 9 ,"Dessert, Snack",American,Prep Time 45 minutes mins,Cook Time 40 minutes mins,NA,Total Time 1 hour hr 25 minutes mins,NA,20,"Heat oven to 325°F. Line a 9-inch square baking pan with foil, leaving a 1-inch overhang on 2 sides. Spray the foil and sides of the pan with nonstick cooking spray. Set aside.
Add the soft butter to a medium-large bowl. Stir for 20-30 seconds until smooth and fluffy. Add the sugar and extracts and stir until creamy and well combined.
Add the flour and salt. Stir with a sturdy spatula or wooden spoon until all of the flour is incorporated. The mixture will be crumbly. Use one hand to knead the dough in the bowl until it comes together.
Grab a handful of dough and crumble it into the pan. Repeat with remaining dough, creating a layer of large crumbs in the pan. Pat the dough into an even layer. I like to use a flat-bottom glass or a metal hamburger spatula to help pat and even out the dough.
Refrigerate for 10 minutes, then use the foil to lift the dough from the pan onto a cutting surface. Cut the dough into 1½-inch squares. I like to use a ruler to score the dough evenly before cutting with a long, sharp knife.
Place squares 1 inch apart on 2 ungreased cookie sheets; discard the foil.
Refrigerate the squares again for at least 30 minutes and up to 12 hours.
When ready to bake, preheat the oven to 325˚F.
Bake on the center rack for 15-20 minutes or until the bottoms of the bites are just beginning to brown.
Transfer to a cooling rack and cool completely. Repeat with the second pan of cookies. Proceed with the glazing right away or store in an airtight container until ready to glaze.
For each shortbread bite, cut one jelly bean in half, lengthwise, for the bunny ears.
For the faces, use an edible marker or a toothpick dipped in black (or a dark-hued) food color to make two little dots for eyes and one for the nose. Set aside to dry.
Combine all glaze ingredients in a medium-size bowl and whisk until nice and smooth. The glaze should be fairly thick but spoonable. If it seems too thin, add a little more powdered sugar. If it's too thick, add more half and half, a few drops at a time, until the desired consistency is reached. If too thin, add more powdered sugar. (See the picture above in the post.)
Transfer the icing to 2-3 shallow bowls (depending on how many colors you want to use). Add food color, one drop at a time, stirring well after each addition, until the desired color is reached.
Add 3-4 of the shortbread bites to one of the bowls and spoon the icing over each one to completely coat.
Using a fork, bring one of the shortbread bites up out of the icing and allow the excess icing to drip back into the bowl. When most of the extra icing has dripped off, wipe the bottom of the fork against the side of the bowl then transfer the cookie to a cooling rack. Repeat with remaining shortbread bites and other colors of icing.
While the icing is still wet, place one M&M and two jelly bean halves on each shortbread to form the bunny face and ears.
Allow the shortbreads to completely dry on the rack. It will take 2-4 hours. When you touch them, the icing should feel hard and dry. When the icing is dry, flip the cookies over and let them sit until the bottoms are also nice and dry. If there's excess icing on the bottoms, you can remove it with a sharp knife.
Once the glaze has set, the shortbread bites can be stacked on a plate or platter or packed in bags or boxes to be given as gifts. If giving as a gift, I like to place the cookies in a plastic or cellophane bag and secure it with a twist tie to keep them fresh.
Store in an airtight container. These cookies can also be frozen. When ready to serve, remove them from the freezer and thaw in a single layer.",11,1 cup very soft butter,½ cup granulated sugar,½ teaspoon vanilla extract,¼ teaspoon almond extract,2 ½ cups all-purpose flour,¼ teaspoon kosher salt,"3 cups powdered sugar, maybe a bit more","6 tablespoons half & half, maybe a bit more",1 teaspoon vanilla extract,⅛ teaspoon almond extract,liquid food color,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/easter-bunny-shortbread-bites-the-cutest-and-easiest-springtime-treat/,NA,NA,NA
Berries on the Wreath Shortbread Cookies,Chris Scheuer,5, 3 ,"Cookies, Dessert/Cookies",American,Prep Time 1 hour hr,Cook Time 30 minutes mins,Chilling Time 1 hour hr,Total Time 2 hours hrs 30 minutes mins,NA,23,"Pull out two sheet pans and set aside. Line each sheet with parchment paper.
Place soft butter in a medium-size mixing bowl. Stir with a wooden spoon or sturdy spatula until nice and smooth.
Add powdered sugar and vanilla. Mix together by hand for about 30 seconds until well blended.
Add the flour and cornstarch. Stir until dry ingredients are incorporated. The dough will be a little shaggy, but will start to come together.
Turn the dough out onto a floured work surface and gather into a ball. Knead 5-6 times until smooth and all the small pieces are worked in. If the dough seems sticky, knead it again with a tablespoon of extra flour on your work surface.
Divide the dough into two portions. Form each portion into a ball again and flatten it with your hand to form a flat disk. Turn the disks to coat both sides with flour. Set one portion aside.
Roll out the dough to an approximate ¼-inch thickness (see Café Tips above in the post). Move the dough several times as you’re rolling it out so there’s always a thin layer of flour beneath your dough. Also, keep your rolling pin, lightly dusted with flour.
With a scalloped, round cookie cutter, cut out circles of dough and transfer them to a sheet pan using a thin, metal spatula, leaving 2 inches between each cookie.
Use a mini round cookie cutter, a large pastry tip or any round hollow utensil that’s ½ -¾-inch in diameter (I use my apple corer tool) to cut out the center of each circle, forming a “wreath”.
Re-roll scraps as many times as needed to use up the dough. Repeat with the second portion of dough.
Place cutouts in the refrigerator, uncovered, for at least one hour or up to 24 hours.
Preheat oven to 350˚F.
Remove the cutouts from the refrigerator and bake for 14-18 minutes, or until just beginning to turn golden at the edges. Repeat with the second pan of cutouts. If the center opening has spread a bit in the oven, you can use the same small cutter and reinforce it right when the cookies come out of the oven and are still hot. If you wait to do this, the cookies will crack.
Cool completely on a wire rack before icing.
Combine powdered sugar, 4 tablespoons half-and-half, vanilla extract and almond extract (if using) in a medium-size bowl. Mix until smooth. The glaze should be fairly thick, but pourable. Add a little more half-and-half if too thick. Add more powdered sugar if it’s too thin. (See the picture above in the post.)
Transfer the glaze to a small shallow bowl (a little larger than your cookies).
Hold onto the edges of a cookie and dip the top surface into the glaze, being sure all of the surface touches the glaze. Pull the cookie straight up out of the glaze and allow the excess glaze to drip into the bowl for about 15-20 seconds. (You can gently shake the cookie back and forth and up and down to get it to drip a little faster.) Then quickly flip the cookie to the right side up and give it a gentle jiggle to allow the glaze to flow evenly over the surface. Repeat with the remaining cookies. See pictures and a video in the post above, demonstrating this Dip, Drip and Flip technique.
Transfer each cookie to a wire rack after dipping. While the glaze is still wet, add the “berries” and “snow”. I like to dip 3 or 4 at a time then add the berries and snow before dipping more cookies.
Using a small spoon or your fingers, give each wreath, 3 sprinkles of red and pink nonpareils, forming clusters of berries. I like to use 1 larger red nonpareil and a sprinkle of the tiny red and pink nonpareils for each cluster but feel free to be creative here.
Add a small sprinkle of white nonpareils in between the berries, for the ""snow:
For a pretty look, add 1 small rosemary leaves to each cluster of berries, if desired.
Allow the icing to dry before serving.
I like to let these cookies sit out for 12-24 hours before layering or stacking them in an airtight container. If gifting these cookies, I also let them dry for 12-24 hours before stacking them between parchment paper in a gift box.",12,"8 ounces very soft butter, (two sticks) I used salted butter",¾ cup powdered sugar,1 teaspoon vanilla extract,1¾ cup plus 2 tablespoons all-purpose flour,¼ cup cornstarch,2 cups powdered sugar,4-5 tablespoons half and half,½ teaspoon vanilla extract,¼ teaspoon almond extract,"pink and red nonpareils, I like to use 1 larger red nonpareil and a tiny sprinkle of pink and red smaller nonpareils on each wreath.",small white nonpareils,small rosemary leaves,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/berries-on-the-wreath-shortbread-cookies-with-a-super-simple-decorating-technique/,NA,NA,NA
Ridiculously Easy Orange Cranberry Amaretti Cookies,Chris Scheuer,5, 7 ,"Cookies, Dessert","Italian, Italian-Inspired",Prep Time 30 minutes mins,NA,NA,Total Time 30 minutes mins,NA,13,"Preheat the oven to 325˚F.
Line a sheet pan or cookie pan with parchment paper. Set aside.
Add ⅓ cup cane (or regular granulated) sugar to a flat-bottomed bowl. This will be used for rolling the dough balls before baking. Set aside for now.
Whisk the egg whites vigorously in a medium lage bowl or 1 minute (don’t cheat!). The mixture will be very frothy and a pale, pale yellow.
Add the sugar and whisk for another minute (I set a timer). At this point, the mixture will be very smooth and creamy white (a little thicker than heavy cream).
Switch to a spatual now and add the baking powder and salt. Stir to combine. Add the vanilla and almond extracts along with the orange zest and chopped cranberries. Stir again.
Lastly, add the almond flour (spoon the flour into your measuring cup as you go, then level it with a flat-edged knife). Stir until the flour is incorporated.
Let the mixture sit for 5 minutes, then scoop into 10-12 equal-size scoops (I like to make mine around 35-40g each which is slightly over an ounce to an ounce and a half).
Scoop up a few portions at a time, and place them right into the prepared bowl of cane (or granulated) sugar. Turn each dough ball to coat with the sugar, then roll them into balls. Use a light hand while rolling.
Place the balls on the prepared sheet pan, spacing them about 2 inches apart to allow for a bit of expansion. If I’m not planning to dust the cookies with powdered sugar, after baking, I like to sprinkle each cookie with a bit more of the cane sugar.
Bake for 18-22 minutes. The cookies won’t take on much color but the bottoms should be a nice light golden brown.
Allow the cookies to cool on the pan for 5 minutes then transfer to a cooling rack.
When completely cool, use a fine-mesh sieve or a powdered sugar duster to add a pretty layer of powdered sugar. I like to pick up each cookie and rotate it to get the sides covered with powdered sugar.",11,"⅓ cup cane sugar or granulated sugar, for rolling",2 large egg whites,⅔ cup granulated sugar,½ teaspoon baking powder,½ teaspoon salt,1 teaspoon vanilla extract,¼ teaspoon almond extract,finely grated zest from 1 large or two medium-size oranges,"⅓ cup fresh cranberries, chopped small","2 ⅓ cups almond flour, not almond meal","powdered sugar, for sprinkling",NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-orange-cranberry-amaretti-cookies/,NA,NA,NA
Ridiculously Easy Italian Raspberry Jam Amaretti Cookies,Chris Scheuer,5, 7 ,"Cookies, Dessert, Snack",Italian,Prep Time 10 minutes mins,NA,NA,Total Time 10 minutes mins,NA,13,"Preheat the oven to 325˚F Line a sheet pans or cookie pans with parchment paper
In a medium-large bowl, whisk the egg whites for 1 minute until frothy. The mixture will be very frothy and very pale yellow.
Add the sugar and whisk for another minute until very smooth and creamy white. It will be a little thicker than heavy cream). Add the baking powder and salt. Stir to incorporate. Add the vanilla and almond extracts and stir till combined.
Lastly, add the almond flour and stir until all flour is incorporated.
Let the mixture sit for 5 minutes - this allows the flour to absorb the liquid, making the dough easier to roll in balls.
Scoop into 15-16 equal-size scoops. I make mine right around 1 ounce or 30g.
Roll the portions into balls. The dough may be a little sticky, t’s okay if your dough balls aren’t perfect at this point.
Now roll each ball to coat in the cane (or granulated) sugar. Reroll the balls, if needed - the sugar coating will make them less sticky and easier to roll into nice balls. Place the dough balls on the prepared sheet pans, spacing them 2 inches apart to allow for a bit of expansion in the oven.
Using a ½ teaspoon measuring spoon, make an indention in the center of each cookie.
Bake for 14-16 minutes or until cracked and a very pale golden color. Do not overbake.
Remove the cookies from the oven and reinforce the centers with the ½ teaspoon measure spoon. Transfer to a wire rack and allow the cookies to cool completely.
Using a powdered sugar duster or a small fine mesh sieve, dust each cookie with powdered sugar then fill the centers with ½ teaspoon raspberry jam. Serve and enjoy.
Store in a single layer in an airtight container.",10,"2 egg whites, from large eggs",⅔ cup granulated sugar,½ teaspoon baking powder,½ teaspoon salt,1 teaspoon vanilla extract,¼ teaspoon almond extract,"2 ⅓ cups almond flour, not almond meal","cane sugar or granulated sugar, for rolling",powdered sugar,raspberry jam,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-raspberry-jam-amaretti-cookies/,NA,NA,NA
Strawberry Lemonade Melt Away Cookies,Chris Scheuer,5, 9 ,Cookies,American,Prep Time 20 minutes mins,NA,NA,NA,NA,16,"Place one of your oven racks in the upper third of the oven (this will keep the cookies from getting too brown on the bottom). Preheat oven to 325˚F. Line two sheet pans with parchment baking paper.
In a medium size bowl, whisk the butter until very light and fluffy, about 20-30 seconds. Add the powdered sugar fand stir until completely incorporated, then add the cornstarch, vanilla and salt. Stir until nice and smooth.
Lastly, add the flour. Stir until all of the flour has been incorporated. At first, the dough will be very crumbly. Keep stirring, turning the bowl and scraping the sides and bottom as you go.
The dough will be soft but you should be able to scoop it up and roll it into a ball. If it seems too soft to roll add 1 tablespoon of flour and stir until incorporated. This can be repeated one more time. If the dough still seems too soft to roll, put the bowl in the refrigerator for 15 minutes, then proceed as directed below.
Using a small cookie scoop, make equal-sized scoops of dough. Roll each scoop into a ball then roll each ball in the sugar. (The sugar will make it a little easier to roll the dough into nice round balls.) Roll the ball again to a nice round shape.
Arrange the dough balls on the prepared sheet pans, spacing them about 2 inches apart. With a flat bottom glass, gently flatten each cookie slightly, to about ½ inch in height.
Bake for 18-22 minutes or until just beginning to turn light golden brown. Remove from oven and place on a cooking rack.
While the cookies are baking, make the strawberry syrup by combining the strawberries and granulated sugar in a large microwave-safe bowl (at least 2-3 cup capacity as the strawberry mixture will bubble up a lot).
Place the bowl with the strawberries in the microwave and cook on high power for one minute.
Remove the strawberry mixture from the microwave and pour it into a fine-mesh sieve with a bowl set underneath. Stir and push on the solids in the strainer with a spatula or the back of a metal spoon until all of the juice has been strained out. Be sure to scrape the juice from the underside of the sieve. Discard the solids and transfer the syrup back to the original large microwave-safe bowl.
Return the syrup to the microwave and cook on high power for another minute. You should have right around 2- 2½ tablespoons of strawberry syrup. If there’s more, return the mixture to the microwave for 30-second increments until reduced to 2- 2 ½ tablespoons. Transfer the strawberry syrup to a medium-size bowl.
While the cookies are cooling, make the icing. Add the lemon juice to the bowl with the strawberry syrup. Stir well to combine.
Add powdered sugar and vanilla to the strawberry syrup in the bowl. Stir with a whisk until smooth and well combined. 
The mixture should be fairly thick but if you hold it above the bowl with your whisk or fork, it should be loose enough to drizzle in a thick ribbon. If it seems too thin, add an additional tablespoon of powdered sugar. If it’s too thick, add a teaspoon of extra lemon juice.
Spread icing on the cooled cookies.
ENJOY!",13,"1 cup very soft butter, I use salted",½ cup powdered sugar,½ cup cornstarch,2 teaspoons vanilla extract,"½ teaspoon kosher salt, I use Morton's",1 ½ cups all-purpose flour,"sugar for rolling, I use cane sugar which is a little coarser than granulated sugar",¾ cup diced fresh strawberries,1 tablespoon granulated sugar,2-2 ½ tablespoons fresh strawberry syrup,"1 tablespoon fresh lemon juice, maybe a bit more","1 ⅓ cups powdered sugar, maybe a bit more",1 teaspoon vanilla,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/ridiculously-easy-strawberry-lemonade-meltaway-cookies/,NA,NA,NA
Key Lime Cooler Cookies,Chris Scheuer,5, 4 ,"Cookies, Dessert",American,Prep Time 30 minutes mins,Cook Time 40 minutes mins,NA,Total Time 1 hour hr 10 minutes mins,NA,17,"Preheat the oven to 350˚F.
Line two sheet pans with parchment paper. Set aside.
In a medium-large bowl, combine the butter, vanilla extract and lime zest. Stir until smooth and no lumps remain.
Add the sugar and sir until smooth and thoroughly combined.
Add the flour and cornstarch and stir until all flour is incorporated. It may seem like too much flour at first, but just keep mixing until it's incorporated. (Sometimes at the end, I use my hand and give the dough a couple of squeezes to bring the dough together.)
Scoop up the dough into 2 teaspoon-size portions. (if you like to weigh things, I made mine about a half ounce or 15g and get about 40 portions.) Roll each one in your hands and space at least an inch apart on the 2 prepared pans.
With a flat-bottomed glass dipped in sugar, press each cookie gently to flatten. I like to flatten mine to about 1 inch (25-30mm) in diameter - slightly larger than the size of a quarter coin.
Bake for 15-20 minutes or until a light golden brown then remove from the oven and transfer to a wire rack to cool completely.
While the cookies are cooling, make the glaze.
Zest the two limes and transfer the zest to a cutting board. Finely chop the zest then transfer it to a small bowl or measuring cup.
Add the powdered sugar, lime juice and lime zest and stir with a fork or small whisk until smooth.
Place sheet pan or a piece of parchment under the cooling rack (there will be drips from the glaze) and flip each cookie over so that the bottoms are facing up on the cooling rack.
Brush each cookie bottom with the glaze. Allow the cookies to dry for 10 minutes then flip them back over and brush the tops generously with the glaze.
Allow the glaze to dry completely (30-60 minutes).
Combine the powdered sugar and cornstarch in a small bowl and stir well to combine.
Using a small fine-mesh sieve or a powdered sugar duster, sprinkle a piece of parchment paper (large enough for all of the cookies) generously with the powdered sugar/cornstarch mixture. Place the cookies on the parchment and sprinkle the top of each cookie with a thick layer of powdered sugar. (The powdered sugar-covered parchment allows the bottoms of the cookies to get coated while you sprinkle the tops.)
Store in an airtight container between layers of parchment paper. (Try to save a few to give away!)",11,"8 ounces (2 sticks) very soft butter, I use salted butter",½ cup granulated sugar,1 teaspoon vanilla extract,finely grated zest from 1 medium-size lime,¼ cup corn starch,1 ¾ cups all-purpose flour,finely grated zest from 2 medium size limes,½ cup powdered sugar,2 tablespoons fresh lime juice,¼ cup powdered sugar,1 tablespoon cornstarch,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/key-lime-cooler-cookies/,NA,NA,NA
