title,author,dateinfo,rating,ratingnum,genre,cuisine,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28
No-Bake Avalanche Cookies,Becky Hardin,NA,4.75,12,Desserts,NA,NA,10 minutes,5 minutes,Set Time: 2 hours hrs,15 minutes,21 cookies,6,"Line a large baking sheet with parchment paper; set aside.
In a double boiler, melt the white chocolate, being careful not to overheat it as it will separate. Whisk in the peanut butter and remove the mixture from the heat.
12 oz. white chocolate chips, ⅔ cup creamy peanut butter
While the chocolate is melting, combine the cereal and marshmallows in a large mixing bowl.
2 cups Rice Krispies cereal, 1 cup mini marshmallows
Pour the hot peanut butter-chocolate mixture over the contents of the bowl. Gently mix until everything is well coated.
Working quickly, use a medium cookie portion scoop to drop the mixture onto the prepared baking sheet. Sprinkle mini chocolate chips on top of each cookie, if desired.
¼ cup mini chocolate chips
Allow the cookies to set for at least 2 hours, until hardened.",5,▢ 12 oz. white chocolate chips 340g (1 bag),▢ ⅔ cup creamy peanut butter 180g,▢ 2 cups Rice Krispies cereal 56g,▢ 1 cup mini marshmallows 43g,"▢ ¼ cup mini chocolate chips 44g, optional",Cookie Rookie,https://www.thecookierookie.com/avalanche-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Cake Mix Cookies,Becky Hardin,"Published Jun 11, 2022",4.59,12,Desserts,NA,NA,20 minutes,10 minutes,NA,30 minutes,24 cookies,6,"Preheat oven to 350°F. Line 2 baking sheets with parchment paper. Set aside.
In a large bowl, combine the cake mix, vegetable oil, eggs, and vanilla together. Mix well.
15.25 ounces chocolate cake mix, ⅓ cup vegetable oil, 2 large eggs, 1 teaspoon pure vanilla extract
Gently fold in the white chocolate chips.
2 cups white chocolate chips
Form 2-inch balls of cookie dough and place 6 of them on each baking sheet, about 2 inches apart.
Bake for 9-11 minutes, or until the tops start to dry out and the edges become crispy. Let the cookies cool for 5 minutes before transferring them to a cooling rack.
Repeat with the remaining cookie dough and enjoy!",5,▢ 15.25 ounces chocolate cake mix 432 grams (1 standard box),▢ ⅓ cup vegetable oil 66 grams,▢ 2 large eggs 100 grams,▢ 1 teaspoon pure vanilla extract 4 grams,▢ 2 cups white chocolate chips 340 grams,Cookie Rookie,https://www.thecookierookie.com/chocolate-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Stuffed Cookies,Becky Hardin,"Published Sep 27, 2022",5,3,Desserts,NA,NA,10 minutes,10 minutes,Chill Time: 10 minutes mins,30 minutes,18 cookies,9,"Preheat oven to 400°F. Line 2 baking sheets with parchment paper. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, cream the butter, brown sugar, and granulated sugar until light and fluffy, about 3-5 minutes.
1 cup unsalted butter, ¾ cup brown sugar, ¾ cup granulated sugar
Add in the eggs, egg yolks, and vanilla extract and mix until incorporated.
2 large eggs, 2 large egg yolks, 1 tablespoon vanilla extract
In a separate bowl, whisk the flour, cake flour, cornstarch, baking powder, baking soda, and salt together. Add the flour mixture to the wet ingredients, little by little, beating lightly after each addition.
2½ cups all-purpose flour, 1½ cups cake flour, 2 teaspoons cornstarch, 1 teaspoon baking powder, 1 teaspoon baking soda, 1 teaspoon kosher salt
Add the chocolate chips and mix until just combined.
1½ cups chocolate chips
Use a cookie scoop to gather a portion of the dough in your hand. You should have enough dough for 18 large cookies.
Make an indentation in the ball of dough. Take a caramel and place it in the well of the cookie dough. Pinch the dough to cover the caramel. Gently roll the dough between your hands to form a ball that completely covers the caramel. Place back on the baking sheet, leaving at least 2 inches between the cookies. Repeat until the cookie dough is gone.
9 (1-inch) baking caramels
Place the cookie dough balls in the refrigerator to chill for 10 minutes.
Bake for 10-12 minutes, or until the edges are set and the middles are still soft. Remove them from the oven and press a few more chocolate chips onto the top of each cookie. Cool on a wire rack for 5-10 minutes and enjoy!",14,"▢ 1 cup unsalted butter 226 grams, room temperature (2 sticks)",▢ ¾ cup brown sugar 160 grams,▢ ¾ cup granulated sugar 150 grams,"▢ 2 large eggs 100 grams, room temperature","▢ 2 large egg yolks 28 grams, room temperature",Cookie Rookie,https://www.thecookierookie.com/caramel-stuffed-cookies/,▢ 1 tablespoon vanilla extract 12 grams,▢ 2½ cups all-purpose flour 300 grams,"▢ 1½ cups cake flour 180 grams, see note",▢ 2 teaspoons cornstarch 6 grams,▢ 1 teaspoon baking powder 4 grams,▢ 1 teaspoon baking soda 6 grams,▢ 1 teaspoon kosher salt 3 grams,▢ 1½ cups chocolate chips 255 grams,"▢ 9 (1-inch) baking caramels 85 grams, cut into ½-inch squares, Kraft recommended",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edible Cookie Dough Recipe (Chocolate Chip Cookie Dough),Becky Hardin,"Published Jun 7, 2019",4.71,17,Desserts,NA,NA,5 minutes,NA,NA,5 minutes,8 people,6,"In a small bowl, heat the flour in the microwave on HIGH for 30 seconds. Stir and repeat at 15-second intervals until the internal temperature is 160°F (see note). Set the flour aside to completely cool.
1½ cups all-purpose flour
In a large mixing bowl, using a hand mixer, beat the sugars and butter together until combined, about 3 minutes.
½ cup granulated sugar, ½ cup dark brown sugar, ¾ cup unsalted butter
Add the salt, vanilla, and milk and mix until incorporated.
1 teaspoon kosher salt, 1 teaspoon pure vanilla extract, 4 tablespoons whole milk
Add the cooled flour and mix just until the flour is incorporated.
1 cup chocolate chips
Gently stir in the chocolate chips.
(Optional) Roll the dough into 1-inch balls for an easy on-the-go snack.",8,▢ 1½ cups all-purpose flour 180 grams,▢ ½ cup granulated sugar 100 grams,▢ ½ cup dark brown sugar 107 grams,"▢ ¾ cup unsalted butter 170 grams, room temperature (1½ sticks)",▢ 1 teaspoon kosher salt 3 grams,Cookie Rookie,https://www.thecookierookie.com/edible-cookie-dough-recipe-chocolate-chip/,▢ 1 teaspoon pure vanilla extract 4 grams,▢ 4 tablespoons whole milk 57 grams,"▢ 1 cup chocolate chips 170 grams, Ghirardelli milk chocolate recommended",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gooey Butter Cookies,Becky Hardin,NA,4.61,238,Desserts,NA,NA,10 minutes,10 minutes,Chill Time: 30 minutes mins,50 minutes,24 cookies,10,"Preheat oven to 350°F.
In the bowl of a stand mixer fitted with the paddle attachment, beat the butter, cream cheese, and granulated sugar together until smooth.
½ cup salted butter, 8 oz. cream cheese, 1½ cups granulated sugar
With the mixer running, add in the egg and then the almond extract.
1 large egg, 1 tsp almond extract
In a separate bowl, stir the flour, baking powder, and ¼ cup powdered sugar together.
2¼ cups all-purpose flour, 1 tbsp baking powder, ½ cup powdered sugar
With the mixer on low, slowly add the dry flour mixture to the already creamed mixture.
Once smooth, remove the bowl from the mixer and cover. Place in the refrigerator for 30 minutes to chill.
Line a large sheet pan with nonstick parchment paper. Place the extra ¼ cup powdered sugar (for rolling) in a shallow bowl.
Once chilled, use a 2-tablespoon cookie scoop to create a cookie dough ball and immediately roll the ball in powdered sugar.
Place powdered sugar-covered cookie dough balls on the baking sheet, 6 at a time, and bake for 10-11 minutes. When they’re no longer wet on top and are firm on the sides, they’re done. We prefer them on the shorter cook time so they’re extra gooey.
Allow to cool on the sheet pan for 5 minutes, then transfer to a wire rack to cool completely.",8,"▢ ½ cup salted butter 113g, room temperature (1 stick) European style recommended",▢ 8 oz. cream cheese 227g room temperature (1 brick),▢ 1½ cups granulated sugar 300g,"▢ 1 large egg 50g, room temperature",▢ 1 tsp almond extract 4g,Cookie Rookie,https://www.thecookierookie.com/gooey-butter-cookies/,▢ 2¼ cups all-purpose flour 270g,"▢ ½ cup powdered sugar 57g, divided",▢ 1 tbsp baking powder 12g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cookies Recipe (2 Ways!),Becky Hardin,NA,4.60,255,Desserts,NA,NA,20 minutes,10 minutes,Freeze Time: 1 hour hr,30 minutes,24 cookies,8,"Place a heatproof bowl over a saucepan of simmering water. Add the butter and the chopped chocolate. Stir until smooth, about 5-10 minutes.
1 lb. chopped semisweet chocolate, 4 tbsp salted butter
In the bowl of a stand mixer fitted with the paddle attachment, beat the eggs with the sugar on medium speed, then beat in the vanilla. Scrape the sides if needed. Pour in the melted chocolate and beat until combined. Mix in the flour and baking powder. Turn off the mixer.
4 large eggs, 1½ cups granulated sugar, 1 tsp pure vanilla extract, ½ cup all-purpose flour, ½ tsp baking powder
Gently fold in the chocolate chips.
12 oz. milk chocolate chips
Pour the batter into a large bowl and cover. Freeze for 1 hour.
Preheat the oven to 350°F. Line a baking sheet with Reynolds Kitchens Parchment Paper with SmartGrid. Scoop 2 tbsp of batter into a ball (doesn't have to be pretty) and place on the prepared baking sheets, about 2 inches apart.
Bake for 10 minutes, or until the cookies crack on top and appear dry on the edges.
Let cool on the cookie sheet for 10 minutes, then transfer to a cooling rack to cool completely.
If wanting to make the peppermint version, sprinkle cookies with crushed peppermint upon removing from the oven. Lightly and carefully press them into each cookie to adhere. Allow to cool as stated above.
crushed peppermint",9,"▢ 4 tbsp salted butter 57g, (½ stick)",▢ 1 lb. chopped semisweet chocolate 454g,"▢ 4 large eggs 200g, room temperature",▢ 1½ cups granulated sugar 300g,▢ 1 tsp pure vanilla extract 4g,Cookie Rookie,https://www.thecookierookie.com/fudgy-brownie-cookies-recipe/,"▢ ½ cup all-purpose flour 60g, sifted",▢ ½ tsp baking powder 2g,▢ 12 oz. milk chocolate chips 340g,"▢ crushed peppermint optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hershey Kiss Cookies,Becky Hardin,"Published Nov 30, 2023",4.46,235,Desserts,NA,NA,10 minutes,8 minutes,Chill Time: 30 minutes mins,48 minutes,96 cookies,12,"Line 2 baking sheets with parchment paper. Set aside.
Whisk the flour, baking soda, baking powder, and salt together in a medium-sized bowl. Set aside.
3 cups all-purpose flour, ½ teaspoon baking soda, ½ teaspoon baking powder, 1 teaspoon kosher salt
In the bowl of a stand mixer fitted with the paddle attachment, cream the butter and peanut butter together until smooth, about 2 minutes.
1 cup unsalted butter, 1 cup creamy peanut butter
Add the brown sugar and granulated sugar and beat until lighter in color and smooth, about 2-3 minutes.
⅔ cup dark brown sugar, ⅔ cup granulated sugar
Add the eggs and vanilla and beat until all ingredients are incorporated and smooth, about 1 minute.
2 large eggs, 2 teaspoons pure vanilla extract
Turn off the mixer and add the flour mixture. Turn the mixer to the lowest speed and mix just until the flour is incorporated.
If the mixture seems too stiff, add 1 tablespoon milk, mixing just until incorporated.
1 tablespoon milk
Cover the dough and refrigerate for 30 minutes, or until firm enough to roll into balls. While the dough chills, preheat the oven to 375°F.
Shape the dough into ¾-inch balls and place them about 1½ inches apart on the prepared baking sheets. 20 balls work perfectly on a half-sheet baking pan (18×13 inches).
Bake for 8 minutes, remove from the oven, and press a candy kiss in the middle of each cookie. Press down just enough to set the kiss being sure not to press the candy clear to the pan.
2 pounds Hershey’s Kisses
Place the cookies back in the oven and bake an additional 2 minutes.
Transfer the cookies to a cooling rack – remove the cookies from the baking sheet after 2 minutes.",12,▢ 3 cups all-purpose flour 360 grams,▢ ½ teaspoon baking soda 3 grams,▢ ½ teaspoon baking powder 2 grams,▢ 1 teaspoon kosher salt 3 grams,"▢ 1 cup unsalted butter 226 grams, room temperature (2 sticks)",Cookie Rookie,https://www.thecookierookie.com/kiss-cookies/,▢ 1 cup creamy peanut butter 270 grams (or ½ cup creamy & ½ cup crunchy),▢ ⅔ cup dark brown sugar 142 grams,▢ ⅔ cup granulated sugar 133 grams,"▢ 2 large eggs 100 grams, room temperature",▢ 2 teaspoons pure vanilla extract 8 grams,"▢ 1 tablespoon milk 14 grams, add only if batter is too stiff","▢ 2 pounds Hershey’s Kisses 907 grams, wrappers removed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Cookies Recipe,Becky Hardin,"Published Oct 25, 2019",4.49,75,Desserts,NA,NA,15 minutes,10 minutes,NA,25 minutes,30 cookies,27,"Heat oven to 350°F and adjust baking rack to middle position. Line 2-3 large baking sheets with parchment paper.
In the bowl of an electric mixer, add granulated sugar and brown sugar. Turn mixer to low and mix just to combine.
Add shortening and softened butter, turn mixer to medium and beat 3 minutes or until lighter in color and smooth.
Add vanilla and beat on medium 30 seconds.
Add eggs one-at-a-time, mixing just until incorporated after each addition. Turn off the mixer.
In a large mixing bowl, whisk together flour, baking soda, and coarse salt and kosher salt.
Add flour mixture to the sugar/butter mixture and turn mixer to low speed. Mix just until flour mixture is incorporated.
Fold in 1¾ cup M&M candies.
If time allows, cover, refrigerate and let the dough rest 1-24 hours. If time doesn’t allow, the cookies can be baked immediately and are still terrific without the rest time.
Drop the dough, using a 2” scoop (about 1½ tablespoons), onto the baking sheets about 2-inches apart (12 cookies to a baking sheet).
Press 3-4 additional candies into each cookie.
Bake cookies at 350°F for 9 minutes or just until the edges of the cookies start to set and are a little firmer to the touch.
Place baking sheets with cookies on a cooling rack for 2 minutes, then transfer cookies directly to the cooling rack.
Enjoy the best M&M Cookies!
Preheat oven to 350°F and adjust baking rack to middle position. Line 2-3 large baking sheets with parchment paper.
In the bowl of a stand mixer fitted with the paddle attachment, mix the granulated sugar and brown sugar together on low until just combined.
1 cup granulated sugar, 1 cup dark brown sugar
Add the shortening and butter, turn mixer to medium speed, and beat until lighter in color and smooth, about 3 minutes.
⅔ cup vegetable shortening, ⅔ cup unsalted butter
Add the vanilla and beat on medium speed for 30 seconds.
2 teaspoons pure vanilla extract
Add eggs one at a time, mixing just until incorporated after each addition. Turn off the mixer.
2 large eggs
In a large mixing bowl, whisk the flour, baking soda, coarse salt, and kosher salt together.
2¾ cup all-purpose flour, 1 teaspoon baking soda, ½ teaspoon coarse sea salt, ½ teaspoon kosher salt
Add the flour mixture to the sugar/butter mixture and turn the mixer to low speed. Mix just until flour mixture is incorporated.
Fold in 1¾ cup M&M candies.
2½ cups M&M's candies
If time allows, cover, refrigerate and let the dough rest 1-24 hours. If time doesn’t allow, the cookies can be baked immediately and are still terrific without the rest time.
Drop the dough, using a 2-inch cookie scoop (about 1½ tablespoons), onto the baking sheets about 2 inches apart (12 cookies to a baking sheet).
Press 3-4 additional candies into each cookie.
Bake cookies at 350°F for 9 minutes, or just until the edges of the cookies start to set and are a little firmer to the touch.
Place baking sheets with cookies on a cooling rack for 2 minutes, then transfer cookies directly to the cooling rack.",11,▢ 1 cup granulated sugar 200 grams,▢ 1 cup dark brown sugar 213 grams,▢ ⅔ cup vegetable shortening 123 grams (⅔ stick),"▢ ⅔ cup unsalted butter 151 grams, room temperature (1⅓ stick)",▢ 2 teaspoons pure vanilla extract 8 grams,Cookie Rookie,https://www.thecookierookie.com/best-mm-cookies-recipe/,"▢ 2 large eggs 100 grams, room temperature",▢ 2¾ cup all-purpose flour 330 grams,▢ 1 teaspoon baking soda 6 grams,▢ ½ teaspoon coarse sea salt (SEE NOTE),▢ ½ teaspoon kosher salt,"▢ 2½ cups M&M's candies 425 grams, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cookies,Becky Hardin,NA,4.50,595,Desserts,NA,NA,10 minutes,20 minutes,NA,30 minutes,24 cookies,7,"Preheat oven to 350°F. Line 2 large baking sheets with parchment paper and set aside.
In a large bowl, combine the cake mix and baking powder until well combined.
15.25 oz. strawberry cake mix, 1 tsp baking powder
In a separate smaller bowl, whisk the eggs, oil, and vanilla together by hand.
2 large eggs, ⅓ cup vegetable oil, ½ tsp pure vanilla extract
Pour the egg mixture into the bowl with cake mix and stir with a spoon until a dough forms. Be sure to fully combine. Mix in the white chocolate chips.
1 cup white chocolate chips
Using a small portion scoop, drop rounded balls of the dough onto your baking sheet. These cookies flatten out quite a bit, so make sure the balls are taller than they are wide, and give them quite a bit of space between each cookie.
Bake for 9-10 minutes. Do not let them brown in the oven. They will appear slightly undercooked, but that is a good thing. They will firm up and flatten as they cool. When you take them out, you can add a couple more white chocolate chips to the top to make them look pretty (this is a little food blogger trick)!
Allow to cool for at least 10 minutes.",6,"▢ 15.25 oz. strawberry cake mix 432 grams (1 box), such as Betty Crocker",▢ 1 tsp baking powder 4 grams,▢ 2 large eggs 100 grams,▢ ⅓ cup vegetable oil 67 grams,▢ ½ tsp pure vanilla extract 2 grams,Cookie Rookie,https://www.thecookierookie.com/white-chocolate-chip-strawberry-cookies/,▢ 1 cup white chocolate chips 170 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Cookies,Becky Hardin,NA,5,17,Desserts,NA,NA,5 minutes,15 minutes,NA,20 minutes,12 cookies,9,"Preheat oven to 350°F. Line a large baking sheet with aluminum foil or parchment paper.
Place the cookies 2 inches apart on the baking sheet and bake per package directions.
16 ounces ready-to-bake large chocolate chip cookies
When cookies are ready, transfer cookies and tray to a cooling rack and turn the oven to broil.
Place 8-10 mini marshmallows on the top of each cookie and very lightly press down (just so marshmallows stay put).
10 ounces miniature marshmallows
Place cookies back in the oven, under broil, just until marshmallows begin to turn golden brown. **Watch closely as marshmallows burn quickly!
Remove the cookies from the oven. Place the tray with the cookies on a cooling rack and allow them to cool completely.
Once cookies have cooled, melt the chocolate (melt in 30-second intervals in a microwave-safe bowl until smooth and fully melted when stirred), then dip each cookie halfway into the melted chocolate.
10 ounces milk chocolate melting wafers*
Sprinkle crushed graham cracker crumbs over the chocolate.
1 cup crushed graham crackers
Transfer cookies to a cooling rack until chocolate is set.",4,▢ 16 ounces ready-to-bake large chocolate chip cookies 453 grams (1 package),▢ 10 ounces miniature marshmallows 287 grams (1 package),▢ 10 ounces milk chocolate melting wafers* 284 grams (see note),▢ 1 cup crushed graham crackers 142 grams (about 9 cracker sheets),NA,Cookie Rookie,https://www.thecookierookie.com/easy-smore-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
