title,author,genre,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42,ingredient43,ingredient44,ingredient45,ingredient46,ingredient47,ingredient48,ingredient49,ingredient50,ingredient51,ingredient52,ingredient53,ingredient54,ingredient55,ingredient56,ingredient57,ingredient58
No-Bake Avalanche Cookies,Becky Hardin,Desserts,4.75,12,10 minutes,5 minutes,2 hours,21 cookies,10, 12 oz. white chocolate chips 340g (1 bag), ⅔ cup creamy peanut butter 180g, 2 cups Rice Krispies cereal 56g, 1 cup mini marshmallows 43g," ¼ cup mini chocolate chips 44g, optional",NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/avalanche-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Avalanche Cookies,Becky Hardin,Desserts,4.75,12,10 minutes,5 minutes,15 minutes,21 cookies,10,NA,NA,NA,NA,NA, 12 oz. white chocolate chips 340g (1 bag), ⅔ cup creamy peanut butter 180g, 2 cups Rice Krispies cereal 56g, 1 cup mini marshmallows 43g," ¼ cup mini chocolate chips 44g, optional",The Cookie Rookie,https://www.thecookierookie.com/avalanche-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Cake Mix Cookies Recipe,Becky Hardin,Desserts,4.59,12,20 minutes,10 minutes,30 minutes,24 cookies,5, 15.25 ounces chocolate cake mix 432 grams (1 standard box), ⅓ cup vegetable oil 66 grams, 2 large eggs 100 grams, 1 teaspoon pure vanilla extract 4 grams, 2 cups white chocolate chips 340 grams,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/chocolate-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Stuffed Cookies Recipe,Becky Hardin,Desserts,5,3,10 minutes,10 minutes,30 minutes,18 cookies,14," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", ¾ cup brown sugar 160 grams, ¾ cup granulated sugar 150 grams," 2 large eggs 100 grams, room temperature"," 2 large egg yolks 28 grams, room temperature", 1 tablespoon vanilla extract 12 grams, 2½ cups all-purpose flour 300 grams," 1½ cups cake flour 180 grams, see note", 2 teaspoons cornstarch 6 grams, 1 teaspoon baking powder 4 grams,The Cookie Rookie,https://www.thecookierookie.com/caramel-stuffed-cookies/, 1 teaspoon baking soda 6 grams, 1 teaspoon kosher salt 3 grams, 1½ cups chocolate chips 255 grams," 9 (1-inch) baking caramels 85 grams, cut into ½-inch squares, Kraft recommended",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edible Cookie Dough Recipe,Becky Hardin,Desserts,4.71,17,5 minutes,8,5 minutes,8 people,8, 1½ cups all-purpose flour 180 grams, ½ cup granulated sugar 100 grams, ½ cup dark brown sugar 107 grams," ¾ cup unsalted butter 170 grams, room temperature (1½ sticks)", 1 teaspoon kosher salt 3 grams, 1 teaspoon pure vanilla extract 4 grams, 4 tablespoons whole milk 57 grams," 1 cup chocolate chips 170 grams, Ghirardelli milk chocolate recommended",NA,NA,The Cookie Rookie,https://www.thecookierookie.com/edible-cookie-dough-recipe-chocolate-chip/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gooey Butter Cookies Recipe,Becky Hardin,Desserts,4.61,238,10 minutes,10 minutes,50 minutes,24 cookies,8," ½  cup salted butter 113g, room temperature (1 stick) European style recommended", 8 oz. cream cheese 227g room temperature (1 brick), 1½ cups granulated sugar 300g," 1 large egg 50g, room temperature", 1 tsp almond extract 4g, 2¼ cups all-purpose flour 270g," ½  cup powdered sugar 57g, divided", 1 tbsp baking powder 12g,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/gooey-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cookies 2 Ways,Becky Hardin,Desserts,4.6,255,20 minutes,10 minutes,1 hour,24 cookies,18, 4 tablespoons salted butter 57 grams (½ stick), 1 pound chopped semisweet chocolate 454 grams," 4 large eggs 200 grams, room temperature", 1½ cups granulated sugar 300 grams, 1 teaspoon pure vanilla extract 4 grams," ½ cup all-purpose flour 60 grams, sifted", ½ teaspoon baking powder 2 grams, 12 ounces milk chocolate chips 340 grams," Crushed peppermint optional, for topping",NA,The Cookie Rookie,https://www.thecookierookie.com/fudgy-brownie-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cookies 2 Ways,Becky Hardin,Desserts,4.6,255,20 minutes,10 minutes,30 minutes,24 cookies,18,NA,NA,NA,NA,NA,NA,NA,NA,NA, 4 tablespoons salted butter 57 grams (½ stick),The Cookie Rookie,https://www.thecookierookie.com/fudgy-brownie-cookies-recipe/, 1 pound chopped semisweet chocolate 454 grams," 4 large eggs 200 grams, room temperature", 1½ cups granulated sugar 300 grams, 1 teaspoon pure vanilla extract 4 grams," ½ cup all-purpose flour 60 grams, sifted", ½ teaspoon baking powder 2 grams, 12 ounces milk chocolate chips 340 grams," Crushed peppermint optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hershey Kiss Cookies Recipe,Becky Hardin,Desserts,4.46,233,10 minutes,8 minutes,48 minutes,96 cookies,12, 3 cups all-purpose flour 360 grams, ½ teaspoon baking soda 3 grams, ½ teaspoon baking powder 2 grams, 1 teaspoon kosher salt 3 grams," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", 1 cup creamy peanut butter 270 grams (or ½ cup creamy & ½ cup crunchy), ⅔ cup dark brown sugar 142 grams, ⅔ cup granulated sugar 133 grams," 2 large eggs 100 grams, room temperature", 2 teaspoons pure vanilla extract 8 grams,The Cookie Rookie,https://www.thecookierookie.com/kiss-cookies/," 1 tablespoon milk 14 grams, add only if batter is too stiff"," 2 pounds Hershey’s Kisses 907 grams, wrappers removed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Cookies Recipe,Becky Hardin,Desserts,4.49,75,15 minutes,10 minutes,25 minutes,30 cookies,11, 1 cup granulated sugar 200 grams, 1 cup dark brown sugar 213 grams, ⅔ cup vegetable shortening 123 grams (⅔ stick)," ⅔ cup unsalted butter 151 grams, room temperature (1⅓ stick)", 2 teaspoons pure vanilla extract 8 grams," 2 large eggs 100 grams, room temperature", 2¾ cup all-purpose flour 330 grams, 1 teaspoon baking soda 6 grams, ½ teaspoon coarse sea salt (SEE NOTE), ½ teaspoon kosher salt,The Cookie Rookie,https://www.thecookierookie.com/best-mm-cookies-recipe/," 2½ cups M&M's candies 425 grams, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
