title,author,dateentry,dateupdate,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,yield,maybehasyield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Sugar Cookie Icing,Shelly,"Posted: Nov 11, 2025",NA,NA,NA,Cookies,NA,NA,5 minutes,NA,NA,5 minutes,Enough icing for 1 dozen cookies (approx.),NA,5,"Add the powdered sugar to a medium bowl and whisk to break up any lumps.
Add in the milk, corn syrup, and vanilla. Whisk until smooth.
Add in food coloring if desired.
Spread icing onto the cookies, or dip the tops of the cookies into the icing.
Top with sprinkles if desired while the icing is still wet. Allow the icing to set before storing.",5,1 cup powdered sugar,1 tablespoon plus 1 teaspoon milk,1 tablespoon light corn syrup,1/2 teaspoon vanilla extract *see note,Food coloring,Cookies & Cups,https://cookiesandcups.com/sugar-cookie-icing/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Pudding Cookies,Shelly,"Posted: Mar 11, 2025",NA,NA,NA,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,24 cookies 1x,NA,8,"Cookies: Preheat the oven to 350°F. Line cookie sheets with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment combine the butter and brown sugar on medium speed, mixing until combined.
Add in the eggs and vanilla and continue mixing until smooth, scraping the sides of the bowl as necessary. Mix in the banana pudding, baking soda, and salt.
Finally add flour and mix until just combined.
Using a medium (2- tablespoon) cookie scoop, drop the dough onto the prepared baking sheet about 2- inches apart. Bake for 9-11 minutes until edges begin to golden. Don’t over bake.
Allow to cool on the baking sheet for 3 – 4 minutes and then transfer to a wire rack to finish cooling.
Prepare frosting: Mix the butter until creamy in the clean bowl of your stand mixer. Add in the powdered sugar, milk and vanilla and beat until creamy, 2 minutes. 
When the cookies are completely cooled, frost cookies and garnish with vanilla wafer crumbs.",13,"3/4 cup butter, room temperature",1 cup packed light brown sugar,2 large eggs,2 teaspoons vanilla extract,1 box (3.4 ounce) box instant banana pudding mix,Cookies & Cups,https://cookiesandcups.com/banana-pie-cookies/,3/4 teaspoon baking soda,1 teaspoon kosher salt,2 cups all-purpose flour,"1/4 cup butter, room temperature",2 cups powdered sugar,2 tablespoons milk ,1 teaspoon vanilla extract,"Optional garnish: vanilla wafers, crushed, sliced bananas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Key Lime Sandwich Cookies,Shelly,"Posted: Mar 4, 2025",NA,NA,NA,Cookies,NA,NA,30 minutes,10 minutes,NA,40 minutes,15 sandwich cookies 1x,NA,9,"Cookies: Preheat the oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer, fitted with the paddle attachment, mix the butter and sugar on medium speed for 2 minutes until light and fluffy. Turn the speed down slightly and add in eggs and vanilla, mixing until smooth, scraping the sides of the bowl as necessary.
With the mixer on medium-low speed, add in the graham cracker crumbs, baking soda, and salt, mixing until incorporated.
Turn the mixer speed to low and slowly add in flour until just combined.
Using a medium (2-tablespoon) cookie scoop, drop the dough about 2 inches apart onto the prepared baking sheet.
Bake cookies for 9 – 10 minutes until the edges are lightly golden.
Remove from the oven and allow the cookies to cool on the pan for 2 – 3 minutes, then transfer to a wire rack to cool completely.
Buttercream Filling: While the cookies are cooling, prepare the filling. In the bowl of the stand mixer fitted with paddle attachment, mix butter and zest until combined and smooth. Turn the mixer to low and slowly add in powdered sugar and key lime juice. Mix until combined, then turn the mixer to medium and beat for 1 – 2 minutes until creamy and smooth, scraping the sides of the bowl as necessary.
Turn half of the cookies upside down. Fill a piping bag (or a zip-top bag with the corner cut off) with key lime filling and pipe on approximately 2 tablespoons onto the bottoms of half of the cookies. Place the other half of the cookies on top of the filling, creating sandwiches.",12,"1 cup butter, room temperature",1 1/2 cups light brown sugar,2 large eggs,2 teaspoons vanilla extract,2 cups graham cracker crumbs,Cookies & Cups,https://cookiesandcups.com/key-lime-pie-sandwich-cookies/,1 teaspoon baking soda,1 teaspoon kosher salt,2 cups all-purpose flour,"1/2 cup butter, room temperature",1 tablespoon lime zest,3 tablespoons freshly squeezed key lime juice,4 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skillet Chocolate Chip Cookie,Shelly,"Posted: Feb 20, 2025","Updated: Feb 22, 2025",5,4,Dessert,NA,NA,10 minutes,15 minutes,NA,25 minutes,4 servings 1x,NA,9,"Preheat oven to 350°
In a large bowl, using a wooden spoon, combine melted butter and both sugars. Stir until there are no lumps.
Add in vanilla, egg and yolk. Stir until mixture is smooth and egg is fully incorporated.
Stir in flour, baking soda and salt until incorporated.
Fold in chocolate chips.
Spread evenly in a 10″ cast iron skillet.
Bake 15-20 minutes until edges start to golden. Don’t overcook. The center will appear slightly loose.
Let cool 10 minutes on wire rack and scoop onto plates or bowls.
Serve with vanilla ice cream.",9,3/4 cup melted butter,1 cup brown sugar,1/2 cup granulated sugar,1 egg + 1 yolk,2 cups flour,Cookies & Cups,https://cookiesandcups.com/skillet-chocolate-chip-cookie/,3/4 tsp baking soda,1 tsp kosher salt,2 tsp vanilla,1 1/2 cups semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milky Way Cookies,Shelly,"Posted: Feb 2, 2025",NA,5,8,Cookies,NA,NA,15 minutes,15 minutes,NA,30 minutes,12 cookies 1x,NA,6,"Preheat oven to 350°F.
Prepare your muffin pan by first spraying with cooking spray, next lining each tin with a parchment round. (Cut the parchment to fit in the bottom of the pan) and then spraying the parchment again lightly. Set aside.
Mix the butter and sugars together in your stand mixer fitted with the paddle attachment for 2 minutes. Add in the eggs, vanilla, baking soda, and sea salt and mix for 30 seconds, or until combined and smooth, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour. When just mixed together, fold in your chopped Milky Way.
Press 1/4 cup the cookie dough into each muffin top and bake for 13-15 minutes until the edges are golden and the center is JUST set.
Remove from oven and let cool in pan for 5 minutes. Loosen the edges with a knife and flip the cookies onto a wire cooling rack.",9,"1 cup butter, room temperature",1 cup dark brown sugar,1/2 cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,Cookies & Cups,https://cookiesandcups.com/deep-dish-milky-way-cookies/,1 teaspoon baking soda,1 1/2 teaspoon coarse sea salt,2 1/2 cups all-purpose flour,"1 (11.24 ounces) bag of fun-sized Milky Way bars, chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Cups,Shelly,"Posted: Jan 16, 2025",NA,4,1,Cookies,NA,NA,20 minutes,15 minutes,NA,35 minutes,24 cookie cups 1x,NA,6,"Preheat oven to 350°F.
Let your cookie dough sit out of the refrigerator for approximately 30 minutes. If it is room temperature it will be easier to spread around your peanut butter cup.
Line a muffin tin with cupcake liners.
Place one portion of the sugar cookie dough on the bottom of the peanut butter cup, spreading to completely cover the bottom. Place one portion of your chocolate cookie dough on top of the peanut butter cup, spreading to cover the top of the peanut butter cup. Make sure that the entire peanut butter cup is covered.
Place in liners and bake for 13-15 minutes.
Let the cookie cups cool in the pan for 10 minutes and then transfer to a wire rack to continue cooling.",3,"1 package Ready to Bake Sugar Cookie Dough (makes 24 cookies), room temperature","1 package Ready to Bake Chocolate Chip Cookie Dough (makes 24 cookies), room temperature",24 full sized peanut butter cups,NA,NA,Cookies & Cups,https://cookiesandcups.com/the-ultimate-cookie-cup/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chai Sugar Cookies,Shelly,"Posted: Dec 12, 2024",NA,NA,NA,Cookies,NA,NA,20 minutes,14 minutes,NA,34 minutes,20 cookies 1x,NA,9,"Cookies: Preheat the oven to 350 degrees F. Line a baking sheet with parchment paper and set aside.
In a medium bowl, whisk together the flour, baking powder, cornstarch, salt, cinnamon, cardamom, allspice, ginger, and cloves.
In the bowl of your stand mixer fitted with the paddle attachment, mix the butter and sugar until light and fluffy, 2 – 3 minutes. Add in the egg, egg yolk, and honey, and mix for 30 seconds until combined, scraping the sides of the bowl as necessary.
Turn the mixer to low speed and gradually add in the flour mixture until just combined.
Using a medium (2-tablespoon-sized) cookie scoop, portion out the dough onto the prepared baking sheet, gently pressing the scoops down to flatten slightly.
Bake for 12 to 14 minutes or until the cookies are just set and the edges are golden brown. Cool cookies on baking sheet for 2 minutes then transfer to a wire cooling rack to cool completely.
Icing: In a medium bowl, whisk together powdered sugar, nutmeg, and milk (or egg nog). Icing should be thick, but spreadable.
Spread each cooled cookie with about a teaspoon of the icing just over the center, leaving the edges of the cookie free of glaze.
Sprinkle with a bit of fresh nutmeg if desired.",16,"10 tablespoons butter, room temperature",1 cup granulated sugar,2 tablespoons honey,"1 large egg, plus 1 egg yolk",2 teaspoons baking powder,Cookies & Cups,https://cookiesandcups.com/chai-sugar-cookies/,1 teaspoon cornstarch,1 teaspoon kosher salt,2 teaspoons ground cinnamon,1 teaspoon ground cardamom,1 teaspoon ground ginger,1/2 teaspoon ground allspice,1/2 teaspoon ground cloves,2 cups plus 2 tablespoons all-purpose flour,1 1/2 cups sifted powdered sugar,1/4 teaspoon ground nutmeg,3 tablespoons whole milk or eggnog,NA,NA,NA,NA,NA,NA,NA
Pecan Sandies,Shelly,"Posted: Dec 1, 2024",NA,NA,NA,Cookies,NA,NA,15 minutes,20 minutes,NA,1 hour 35 minutes,40 cookies 1x,NA,7,"In the bowl of your stand mixer fitted with the paddle attachment, mix the butter and sugar on medium speed for 1 – 2 minutes, until smooth.
Add in the ice water, vanilla, salt, cinnamon and mix for 30 seconds. Turn the mixer to low and add in the flour and pecans and mix until combined.
Roll dough into a 2- inch log and wrap in plastic wrap. Refrigerate for at least 1 hour until chilled.
Preheat the oven to 325°F. Line a baking sheet with baking parchment and set aside.
Remove the dough from the refrigerator and slice the log into 1/2- inch slices.
Place on the prepared baking sheet and bake for 15 – 20 minutes until lightly golden and set.
Transfer to a wire rack to cool completely.",8,"12 tablespoons (1 1/2 sticks) cold butter, cubed",1/2 cup granulated sugar,2 tablespoons ice water,1 1/2 teaspoon vanilla extract,1/4 teaspoon kosher salt,Cookies & Cups,https://cookiesandcups.com/pecan-sandies/,1/4 teaspoon ground cinnamon,2 cups all purpose flour,1 cup finely chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple Chocolate Cookies,Cookies & Cups,"Posted: Oct 21, 2024",NA,NA,NA,Cookies,NA,NA,15 minutes,12 minutes,NA,3 hours 27 minutes,42 cookies 1x,NA,9,"Cream the butter and sugars together until fluffy.
Add in the eggs plus the yolk and vanilla. Beat on medium speed until incorporated.
Turn the speed to low and add your baking soda, salt, and flour. Mix until just combined.
Fold in your chopped chocolate.
Cover tightly and refrigerate for at least 3 hours over overnight.
Preheat oven to 350°F.
Scoop rounded tablespoons of dough onto a parchment-lined baking sheet, leaving 2 inches between each cookie.
Bake 9-12 minutes until the cookies are just set in the center and golden brown at the edges.
Cool the cookies on the baking sheet for 5 minutes and then transfer them to a cooling rack.",11,2 1/2 cups all-purpose flour,1 cup softened butter,1 cup light brown sugar,1/2 cup granulated sugar,2 whole eggs + 1 egg yolk,Cookies & Cups,https://cookiesandcups.com/triplechocolate-cookies/,2 teaspoons vanilla,1 teaspoon baking soda,1 teaspoon of coarse sea salt,6 ounces chopped semi-sweet chocolate,4 ounces chopped milk chocolate,4 ounces chopped white chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peanut Butter Bars,Shelly,"Posted: Jun 17, 2024",NA,NA,NA,Dessert,NA,NA,10 minutes,0 minutes,NA,2 hours,16 1x,NA,3,"Spray a 9×13-inch pan lightly with cooking spray and then wipe it with a paper towel, so you have a very light coating on the pan, but your bars won’t be greasy.
Combine the butter, peanut butter, sugar, and graham cracker crumbs in a food processor. Process until the mixture forms a ball. Press into the pan using your hands or a spatula.
Microwave the chocolate chips in a microwave-safe glass dish for 1 minute on high (100%). Stir. If the chocolate has not completely melted, microwave it for 10 seconds more, then stir. Spread evenly over the cookie layer with a spatula. Chill for several hours.",5,"1 cup (2 sticks) butter or margarine, softened",1 cup crunchy peanut butter,3 cups confectioners’ sugar sifted,1 1/2 cups graham cracker crumbs,1 1/2 cups semisweet chocolate chips,Cookies & Cups,https://cookiesandcups.com/chocolate-and-peanut-butter-lurrvve/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
