title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14
Rhubarb cookies,cookingwithmykids,5,5,"Afternoon tea, Dessert",British,20 minutes,12 minutes,NA,32 minutes,Servings: 16,11,"Pre heat your oven to 180C / 170C Fan / 350F and line 2 -3 baking trays with baking or parchment paper.
Measure out the butter and both soft brown sugar and caster sugar then and add them all to a large mixing bowl or free-standing mixer if you have one.Before adding the butter cut it into small chunks to make it easier to blend in. If it's not softened pop it in the microwave for a few seconds to soften it, but not long enough for it to melt.
Beat the butter and sugars together with a hand held mixer or the k-paddle of your free-standing mixer until the mixture is nice and light and fluffy.
Measure the vanilla extract and add it to your bowl. Crack the egg into a small bowl before adding it to your mixing bowl (just in case any shell goes in).
Mix the egg and vanilla in. It's fine if your mixture looks a bit sloppy at this point.
Measure out the flour and add it into your mixing bowl. Mix everything together until it combines into a nice ball of cookie dough.
Chop the rhubarb into small pieces. Add the rhubarb to your mixing bowl and stir the pieces through using a spatula or wooden spoon until they are well distributed.
Spoon out dollops of rhubarb cookie dough onto your prepared baking trays. Try to make sure the rhubarb pieces are evenly distributed among the cookies. Leave gaps between the cookies as they will spread a little when they bake.
Chill the cookies on their baking trays in the fridge for at least 15 minutes or so before you bake them to stop them spreading too much in the oven.
Bake the cookies in the oven for around 10-12 minutes. They’re ready when they’ve started to turn golden brown. I like them, a little bit soft and chewy, but if you prefer yours a little crispier you can keep them in the oven for another minute or two.
Remove the baking trays from the oven and leave them to cool for a few minutes before putting the cookies on a wire rack to cool completely.",7,100 g (½ cup) butter,100 g (½ cup) soft brown sugar,50 g (¼ cup) caster sugar,½ teaspoon vanilla extract,1 egg,200 g (1 ¼ cups) self raising flour,85-100 g chopped rhubarb,Cooking With My Kids,https://www.cookingwithmykids.co.uk/rhubarb-cookies/,NA,NA,NA,NA,NA,NA,NA
Rhubarb cookies,cookingwithmykids,NA,NA,"Afternoon tea, Dessert",British,20 minutes,12 minutes,NA,32 minutes,Servings: 16,11,"Pre heat your oven to 180C / 170C Fan / 350F and line 2 -3 baking trays with baking or parchment paper.
Measure out the butter and both soft brown sugar and caster sugar then and add them all to a large mixing bowl or free-standing mixer if you have one.Before adding the butter cut it into small chunks to make it easier to blend in. If it's not softened pop it in the microwave for a few seconds to soften it, but not long enough for it to melt.
Beat the butter and sugars together with a hand held mixer or the k-paddle of your free-standing mixer until the mixture is nice and light and fluffy.
Measure the vanilla extract and add it to your bowl. Crack the egg into a small bowl before adding it to your mixing bowl (just in case any shell goes in).
Mix the egg and vanilla in. It's fine if your mixture looks a bit sloppy at this point.
Measure out the flour and add it into your mixing bowl. Mix everything together until it combines into a nice ball of cookie dough.
Chop the rhubarb into small pieces. Add the rhubarb to your mixing bowl and stir the pieces through using a spatula or wooden spoon until they are well distributed.
Spoon out dollops of rhubarb cookie dough onto your prepared baking trays. Try to make sure the rhubarb pieces are evenly distributed among the cookies. Leave gaps between the cookies as they will spread a little when they bake.
Chill the cookies on their baking trays in the fridge for at least 15 minutes or so before you bake them to stop them spreading too much in the oven.
Bake the cookies in the oven for around 10-12 minutes. They’re ready when they’ve started to turn golden brown. I like them, a little bit soft and chewy, but if you prefer yours a little crispier you can keep them in the oven for another minute or two.
Remove the baking trays from the oven and leave them to cool for a few minutes before putting the cookies on a wire rack to cool completely.",7,100 g (½ cup) butter,100 g (½ cup) soft brown sugar,50 g (¼ cup) caster sugar,½ teaspoon vanilla extract,1 egg,200 g (1 ¼ cups) self raising flour,85-100 g chopped rhubarb,Cooking With My Kids,https://www.cookingwithmykids.co.uk/rhubarb-cookies/,NA,NA,NA,NA,NA,NA,NA
Chocolate marshmallow cookies,cookingwithmykids,NA,NA,"Afternoon tea, Snack","American, British",20 minutes,10 minutes,NA,30 minutes,Servings: 12,8,"Preheat your oven to 180C / 160C Fan / 350F and line 2 baking trays with baking or greaseproof paper.
Measure out the butter  the sugar and pop it in a free-standing mixer or large mixing bowl. Beat the butter and sugar together with the k-paddle of your free-standing mixer, a hand held mixer or wooden spoons, until it is light and fluffy.
Break the egg into a small bowl before adding it to your mixing bowl.Add the vanilla to your mixing bowl. Mix it all together until it is well combined.
Measure out the flour and cocoa then add that to your mixing bowl. Mix it all together until you have a nice soft dough.
Finally, measure out the chocolate chips and add them to your mixing bowl. Mix them in with a spatula or wooden spoon until they are well spread out through the dough.
Spoon out a walnut size amount of cookie dough and roll it into a ball. Flatten it and add 5-6 mini marshmallows to the centre. Enclose the marshmallows in the cookie dough and roll it back into a ball making sure the marshmallows aren't poking out the sides. Pop the cookies onto the prepared baking trays, spaced apart as they'll spread a bit in the oven. Chill your cookies in the fridge for at least 15 minutes so they don't spread too much.
Bake the chocolate marshmallow cookies in the oven for about 10 minutes. They're ready when the have crisped up on the edges.
Remove the cookies from the oven and leave them to cool on the baking trays. You can remove them from the baking trays and put them on a wire rack to cool completely.",8,100 g (½ cup) butter softened,150 g (¾ cup) soft brown sugar,1 egg,½ tsp vanilla extract,175 g (1 cup) self raising flour,20 g (¼ cup) cocoa powder,50 g (¼ cup) chocolate chips,Cooking With My Kids,https://www.cookingwithmykids.co.uk/chocolate-marshmallow-cookies/,50 g (1 cup) mini marshmallows (approx),NA,NA,NA,NA,NA,NA
Custard biscuits,NA,5,1,Snack,British,40 minutes,15 minutes,NA,55 minutes,Servings: 18,9,"Measure out your sugar into a bowl, or mixer if you’re using one. Measure the butter and chop into a few small pieces before adding to the bowl. 
Mix together until they look light and fluffy.
Crack the egg into a separate bowl before adding it, along with the vanilla, into the sugar/butter mixture.
Weigh out the flour and custard powder then add to your mixture. Pulse your mixture together (ie mix it slowly and not too much) until it comes together into a bit of a dough.
Chop the chocolate into small chunks then add it into your biscuit dough. Stir them in with a spoon or by hand.
Grab little bits of your biscuit dough and roll them into balls (about the size of a walnut). 
Place them on the baking sheets, a little apart as they’ll spread in the oven. Press each biscuit down lightly with your fingers so they end up slightly squashed balls.
Bake for 12-15 minutes until they are lightly golden. 
Remove from the oven and cool on a wire rack.",7,140 g butter,175 g caster sugar,1 egg,½ tsp vanilla extract,225 g self raising flour,85 g custard powder,85 g white chocolate chopped into small chunks,Cooking With My Kids,https://www.cookingwithmykids.co.uk/custard-white-chocolate-biscuits/,NA,NA,NA,NA,NA,NA,NA
Mary Berry's viennese whirls,cookingwithmykids,NA,NA,Afternoon tea,British,20 minutes,30 minutes,NA,50 minutes,Servings: 12,11,"Using a 5cm/2in round cutter as a guide, draw 8 circles on each sheet of paper, spaced well apart. Turn the paper over so the pencil marks are underneath.
Weigh the butter then add to a mixing bowl. Measure the icing sugar then add them to your bowl. Beat them together with a wodden spoon until they are light and fluffy.
Measure the flour and cornflour into a bowl then sieve into your butter/sugar mixture. Beat everything together again until it’s well mixed.
Fit a piping bag with a medium star nozzle then spoon the mixture in. If you don’t have a piping bag you can spoon the mixture directly onto your baking sheets – you just wont get the same whirl affect.
Pipe 24 swirls (or blobs) inside the circles on your baking sheets.
Before you bake the biscuits, chill them in the fridge for at leaste 15 minutes so that they hold their shape better.
Bake the biscuits in the oven for 13-15 minutes. They’re ready when they’re a pale golden brown colour.
Cool them on the baking sheets for 5 minutes then transfer to a wire rack to cool completely.
Weigh the butter then add to a bowl. Measure the icing sugar out then sift it on top.
Add the vanilla extract and beat with a wooden spoon (or electric whisk) until thoroughly mixed and smooth. Fit a large star nozzle onto your piping bag then spoon in the filling.
We laid the biscuits out on a board with the bases facing up then spooned the jam on one side. Spoon or pipe the butter cream icing onto another biscuit then sandwich together.",8,200 g soft unsalted butter,50 g icing sugar,200 g plain flour,25 g cornflour,½ tap baking powder,100 g unsalted butter,200 g Icing sugar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/viennese-whirls/,½ tsp vanilla extract,NA,NA,NA,NA,NA,NA
Halloween skeleton biscuits,cookingwithmykids,NA,NA,Snack,"American, British",45 minutes,10 minutes,Decorating time 10 minutes mins,55 minutes,Servings: 21,9,"Measure out the butter, sugar and vanilla extract and pop them in a large mixing bowl or freestanding mixer. Cream them together until the mixture is light and fluffy.
Crack the egg in a small bowl and add to your mixture. Mix everything together. If you need to, use a spatula to scrape unmixed ingredients from the side of the bowl.
Measure the flour, salt, cream of tartar  and cocoa and add to the butter/sugar mixture. Mix everything together so it comes together into a ball of soft dough.
Dust your work surface with a little flour and roll out your dough until it is about ½ a cm thick.
Use a man shaped cutter to cut shapes out and place them on your baking trays.
Pop the cookies in the oven for around 10 minutes. They’re ready when the edges are starting to turn a little golden.
Leave them to cool on the baking trays for a minute or two before removing them and placing them on a wire rack to cool completely.
In a small bowl, mix some icing sugar (around 2-3 tbsp) with a few tsp of water.  You want it to be runny enough that you can pipe your skeleton but not too runny or it'll just smudge. Put the icing in an icing piper or a small freezer/zip lock bag. Cut a tiny hole in one corner and pipe your skeleton designs.
Enjoy!",9,"200 g (7/8 cup) unsalted butter, softened",280 g (1 ¼ cups) caster sugar,¼ tsp vanilla extract,1 egg,350 g (3 cups) plain/all-purpose flour,A pinch of salt,½ tsp cream of tartar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/halloween-skeleton-biscuits/,50 g cocoa powder,Icing sugar,NA,NA,NA,NA,NA
Chocolate gingerbread mummies,cookingwithmykids,NA,NA,"Dessert, Snack","American, British",20 minutes,15 minutes,Decorating time 15 minutes mins,50 minutes,Servings: 30,16,"Measure out the flour and butter. Cut the butter into small pieces and add them to a large mixing bowl.
Using your finger tips, rub the butter into the flour until the mixture resembles fine breadcrumbs.
Measure out the cocoa, ginger and sugar and add them to your mixing bowl. Make sure you use your finger to level the tablespoon of ginger so that you add just the right amount.
Mix everything together.
Crack the egg into a small bowl before giving it a little whisk and adding it to your mixing bowl. Measure out the golden syrup and add it to your mixing bowl.
Stir them in so the dough starts to come together
Keep mixing the dough until it all comes together in a ball. You might need to use your hands and kneed it a bit so it stops crumbling apart and sticks together in a ball.
Roll your dough out on a lightly flour work surface (or in between two pieces of baking paper), until it is about the thickness of a pound coin. If your kids enjoy playing with playdough they should be good at this!
Using a biscuit cutter cut out your gingerbread men and carefully transfer them to a baking tray lined with baking paper. Leave a bit of space (a few cm) between your men as they will spread a bit as they cook.
Pop the baking trays in the fridge for 10 minutes or so to chill while you preheat your oven.
Heat the oven to 180C / 160C Fan / 350F.
Bake the cookies for 10-12 minutes. They might be a little soft to touch but should firm up as they cool.
Remove them from the oven and leave them to cool for a few minutes before popping them on a wire rack to cool completely.
Once your biscuits are fully cooled mix some icing sugar and water together until you have a fairly stiff paste. We used our icing piper to drizzle the bandages on each of the gingerbread mummies.
Before the icing dries add a few icing eyes.
Leave the icing to set, serve and enjoy.",9,300 g (1 ⅔ cup) plain flour,120 g (½ cup) butter,40 g (⅓ cup) cocoa,1 tbsp ground ginger,120 g (⅔ cup) brown sugar,1 egg,100 g (¼ cup) golden syrup,Cooking With My Kids,https://www.cookingwithmykids.co.uk/chocolate-gingerbread-mummies/,Icing sugar,Googly icing eyes,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/marble-cookies/,NA,NA,NA,NA,NA,NA,NA
Blueberry cookies,cookingwithmykids,NA,NA,"Afternoon tea, Snack","American, British",20 minutes,12 minutes,NA,32 minutes,Servings: 16 cookies,11,"Measure out the butter, and both the sugars then and add them to a free-standing mixer or a large mixing bowl.Before you add the butter, cut it into small pieces to make it easier to blend in and if it’s not soft, blast it in the microwave for a few seconds to soften it – but not long enough for it to melt.
Using the k-paddle of your free-standing mixer, a hand held mixer or even wooden spoons cream the butter and sugars together until the mixture is nice and light and fluffy.
Crack the egg into a small bowl before adding it to your mixing bowl. Measure the vanilla extract and pour it into your bowl then mix everything together.
Mix the egg and vanilla in. The mixture will be a bit sloppy at this point.
Measure the flour out and add it to your mixing bowl along. Give everything one more mix until it all comes together in a nice stiff ball of cookie dough.
Finally, add the blueberries into your mixing bowl. If your packet has a mixture of large and small blueberries, use the smaller ones as they'll be easier to mix in.Using a spatula or wooden spoon, carefully stir the blueberries in so they are well dispersed. 
Spoon out dollops of cookie dough onto your prepared baking trays. Try to make sure the blueberries are evenly distributed among the cookies. Leave gaps of a few centimetres between your cookies as they'll spread a little when they're in the oven.
If you have any leftover blueberries, you can press them on top of any cookies that need them. Press them in a little bit so they don't fall out. This is a good way of making sure each cookie has a good amount of blueberries in it.
Chill the cookies in the fridge for at least 15 minutes or so before you bake them to stop them spreading too much in the oven.
Bake the cookies in the oven for 10-12 minutes. They’re ready when they’ve started to turn golden brown. I like them, a little bit soft and chewy, but if you don’t you can keep them in the oven for another few minutes.
Remove them from the oven and leave them to cool on the trays for a few minutes before popping them onto a wire rack to cool completely.",7,100 g (½ cup) butter,100 g (½ cup) soft brown sugar,50 g (¼ cup) caster sugar,1 egg,½ teaspoon vanilla extract,200 g (1 ¼ cups) self raising flour,75 - 100g Blueberries,Cooking With My Kids,https://www.cookingwithmykids.co.uk/blueberry-cookies/,NA,NA,NA,NA,NA,NA,NA
Brownie cookies,cookingwithmykids,5,1,"Afternoon tea, Dessert, Snack",British,25 minutes,12 minutes,NA,37 minutes,Servings: 16,13,"Preheat your oven to 170C / 160C Fan /340F and line two or three baking trays with baking or parchment paper.
Break the chocolate into small chunks and pop it into a heatproof bowl. Weigh out the butter, cut it into a few pieces then add it to your bowl.
Set the bowl over a saucepan of simmering water (a double boiler or bain-marie), being sure not to let the bottom of the bowl touch the water.Allow the chocolate and butter to melt slowly, stirring it occasionally until it is nice and smooth. Once melted, remove it from the heat and set it aside for a few minutes to cool.
Alternatively, you can melt the chocolate and butter in the microwave. Do it in short bursts, stirring in between each burst to make sure it doesn't burn.
Measure out the sugar, then add it to your free-standing mixer or a large mixing bowl.Break the eggs into a small bowl before adding it to your mixing bowl. Add the vanilla extract.
Using the whisk attachment of your mixer, or a hand held mixer, whisk the eggs and sugar together until they become light and fluffy and double in size.
Pour the slightly cooled, melted chocolate mixture into your mixing bowl. Stir it together until it has thoroughly combined.
Measure out the flour, baking powder and salt. Make sure when you add the baking powder and salt that you use your finger to level the teaspoon ensure you add just the right amount.Add the flour slowly, a few spoons at a time, to your mixing bowl, stirring between each addition. Keep mixing it (with the k-paddle of your mixer) until your have a well mixed cookie dough with no visible lumps of flour showing.
Finally, pour the chocolate chips into the cookie dough and use a wooden spoon or spatula to mix them in.
Dollop around 5 or 6 equal amounts of cookie mixture onto each of your baking trays. Make sure the cookies are spaced apart as they’ll spread a little in the oven.
Pop the baking trays into the fridge for 15-20 minutes, to stop the cookies spreading too much in the oven.
Pop your baking trays in the oven for 15 minutes. Keep an eye on them after they’ve been in for 10 minutes. They’re ready when the tops start to crack and they look glossy. They’ll feel a little soft when they come out of the oven which is fine, as long as they’re not too soggy in the middle.
Remove the brownie cookies from the oven and leave them to cool on the baking trays for a few minutes before putting them on a wire rack to cool completely.",9,200 g dark chocolate,"50 g (¼ cup) butter, softened",2 eggs,170 g (⅞ cups) light brown sugar,½ teaspoons vanilla extract,150 g (1 ¼ cups) plain / all-purpose flour,½ teaspoon salt,Cooking With My Kids,https://www.cookingwithmykids.co.uk/brownie-cookies/,½ baking powder,150 g chocolate chips milk or white,NA,NA,NA,NA,NA
