title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,source,link,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34
REAL Sourdough Banana Bread,Kimberly Killebrew,5,34,Dessert,American,15 minutes,NA,NA,15 minutes,NA,2,"In a large mixing bowl, add the flour, sourdough starter, melted coconut oil, melted butter, brown sugar, maple syrup, vanilla extract, eggs and mashed bananas. Use a hand mixer to mix this into a thick batter. Cover with plastic wrap and let it sit at room temperature overnight or up to 24 hours.
The following day add the salt, baking soda and baking powder and mix to thoroughly combine. Stir in the chocolate chips and nuts if using.
Grease two 9×5 inch loaf pans and preheat the oven to 350 F/180 C.
Divide the batter between the loaf pans, smoothing the tops, and bake on the middle rack for about 1 hour or until an instant read thermometer registers the internal temperature as 200 F/93 C. Remove the banana bread from the oven and let the bread cool in the pans for about 10 minutes.
Remove the sourdough banana bread from the pans and transfer to a wire rack to cool completely before slicing.",16,Day 1:,4 cups all-purpose flour,1/4 cup unfed sourdough starter,"1/2 cup coconut oil , melted and slightly cooled","1/2 cup unsalted butter , melted and slightly cooled",4 large eggs,"2 cups mashed ripe bananas , about 4-5 large bananas",1 1/2 cups brown sugar (add an additional 1/2 cup if you prefer it sweeter),1/2 cup maple syrup (or substitute with more brown sugar),2 teaspoons quality pure vanilla extract,Day 2:,2 teaspoons baking soda,1 teaspoon baking powder,1 teaspoon kosher salt,"1 cup chocolate chips, butterscotch chips, peanut butter chips, or combination","1 cup chopped toasted walnuts or pecans , optional",Daring Gourmet,https://www.daringgourmet.com/sourdough-banana-bread/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berliner Brot,Kimberly Killebrew,5,12,Dessert,German,15 minutes,25 minutes,NA,40 minutes,NA,3,"Preheat the oven to 350 F / 180 C. Grease a 7×11 or 9×13 baking pan and line the bottom with parchment paper. I like to extend the corners of parchment paper up so that I can lift the Berliner Brot out onto a cutting board to cut them.
In a large mixing bowl, beat the eggs and hot water until foamy. Add the brown sugar and beat until combined. Add the syrup, rum and vanilla extract and beat until combined.
In a separate bowl, combine the flour, cocoa powder, baking soda, cinnamon, cloves and salt.
Add the flour mixture to the wet mixture and beat until combined. Stir in the nuts, candied lemon peel, and finely chopped chocolate. The batter will be very stiff.
Spoon the batter into the prepared baking pan and smooth the top. Bake on the middle rack for 25-30 minutes or until a toothpick inserted into the center comes out clean.
While the Berliner Brot is baking, prepare the glaze: Combine the powdered sugar and water to form a smooth, viscous glaze.
Remove the Berliner Brot from the oven and set the baking pan on a wire rack. While it's still hot, pour over the glaze and spread evenly over the top. Let cool until the Berliner Brot is just warm. Transfer to a cutting board and use a long, sharp knife to cut the Berliner Brot down the center lengthwise and then into rectangles, or into triangles as desired. Let cool completely.
Store the Berliner Brot in an airtight container. The flavor will improve over the next few days. Will keep for a couple of weeks.
Some people like to leave the Berliner Brot out to air dry until hard and crunchy (similar to biscotti) and then store them. If dried and stored in a cool place (not the fridge) they will keep for longer.",18,2 large eggs,3 tablespoons hot water,1 cup packed brown sugar,"3 tablespoons German Zuckerrübensirup , can substitute Golden Syrup",2 tablespoons rum,1 teaspoon pure vanilla extract,2 cups all-purpose flour,3 tablespoons dark cocoa powder,1 1/2 teaspoons baking powder,1 teaspoon cinnamon,1/4 teaspoon salt,1/4 teaspoon ground cloves,"1/4 cup finely chopped candied lemon peel (very strongly recommend homemade for BEST flavor, click link for recipe)",1 1/2 cups whole hazelnuts,"3 ounces dark bittersweet chocolate , finely chopped",For the Glaze:,Daring Gourmet,https://www.daringgourmet.com/berliner-brot/,1 cup powdered sugar,1 1/2 tablespoons water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muscadine Jelly,Kimberly Killebrew,5,3,condiment,"American, Southern",10 minutes,30 minutes,NA,40 minutes,NA,4,"Slice the muscadines down the center and place them in a large pot. Add the water and slowly bring it to a boil, stirring frequently to prevent scorching. Do not let the fruit burn at any point.
Once it comes to a boil, reduce the heat to low-medium, cover and simmer for 30-40 minutes, stirring occasionally to prevent burning. Mash the fruit with potato masher.
Transfer the mashed fruit and liquid to a food mill positioned over a large bowl. Run the fruit mixture through the food mill allowing all the liquid and pulp to go into the bowl. Discard the leftover skins and seeds. Note: If you don't have a food mill you can press the mixture through a potato ricer or scrape it through a large fine mesh sieve.
Measure out 4 cups of juice. If it's just slightly less that's okay. See note below.
Pour the pureed mixture back into the pot. Bring it to a boil and add the sugar and lemon juice, stirring until the sugar is dissolved. Reduce the heat slightly but keep it at a steady boil for about 20 minutes or until an instant read or candy thermometer registers 220 F / 105 C. I strongly recommend using a thermometer when you're making jams and jellies without pectin because it takes any of the guesswork out of it it terms of when it's done.
Alternatively you can test it after about 20 minutes with the wrinkle test: Keep a plate in the freezer during the boiling process so it's nice and cold. Pour a small spoonful of the jelly on the cold plate and wait a few seconds before pushing the jelly with your finger. If it has formed a skin on the top and wrinkles when you push it, the muscadine jelly is done. If it doesn't, continue to boil the mixture and test again.
Skim off any foam on top of the jelly.
Ladle the hot muscadine jelly into sterilized jars and secure with lids. If storing in the fridge, let the jars cool completely before placing them in the fridge. Muscadine jelly or muscadine jam will store in the fridge for a few months. Just check for any signs of mold and discard if there is any present.
If canning, follow proper protocol for water bath canning and process the jars for 5 minutes. Carefully remove them, let them cool completely, and store them in a dark, cool place. The muscadine jelly will keep for at least a year.
Makes about 4 to 5 half pints.",4,"2 1/2 pounds fresh or frozen muscadines or scuppernongs , washed and drained, any stems/leaves discarded",1 cup water,3 cups granulated sugar (making jam/jelly without pectin relies on the sugar and decreasing the quantity may interfere with the jelly setting properly),"1 tablespoon lemon juice , optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/muscadine-jelly/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Salmon,Kimberly Killebrew,4.80,15,Main Dish,American,5 minutes,15 minutes,NA,20 minutes,4 servings,2,"Cook the salmon filets. You can choose any method you prefer:
Baked: Preheat the oven to 450 degrees F. Place salmon in a baking dish and baked until cooked through, 12-15 minutes. Top with the cranberry sauce and broil for about a minute and serve immediately.
Pan-Fried: Bring the salmon to room temperature before cooking. Heat 2 tablespoons of oil in a large non-stick skillet over medium-high heat. Place the salmon skin-side up in the skillet and fry for 4 minutes. Turn the salmon over and fry for another 3 minutes, depending on the thickness of the salmon. Cook until the salmon is firm to the touch. Top with the cranberry sauce and broil in the oven for about a minute and serve immediately.
Grilled: Preheat the grill for medium heat. Lightly oil grill grate and place the salmon on the grates skin-side up. Grill for about 4 minutes, turn the salmon over and grill for another 4-6 minutes or until just cooked through. During the last couple of minutes of grilling, top the salmon with the cranberry sauce. Serve immediately.
Sous Vide: Place the salmon filets in heat-safe ziplock resealable bags, pressing as much air out of the bags as you can and seal them tightly shut. Bring the water in your sous vide cooker to 122 degrees F, place the salmon in it and cook for 30 minutes. Remove the salmon from the bags, place the filets on a lightly greased baking sheet, top with some of the ginger cranberry sauce, and broil for a minute.
Serve the salmon with steamed jasmine, basmati or wild rice and your choice of vegetables.",2,"1 1/2 pounds salmon , cut into four 6 ounce filets",1 batch Ginger Cranberry Sauce (click for recipe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/salmon-with-cranberry-ginger-mustard-sauce/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten Free Crepes,Kimberly Killebrew,5,8,"Breakfast, Brunch",French,5 minutes,10 minutes,NA,15 minutes,8 crepes,2,"Combine the dry ingredients in a bowl. Add the wet ingredients and whisk to combine until fairly smooth. Add a little more milk if it's too thick (you can test one crepe to determine if you want to add more milk to make a thinner crepe). Cover and let the batter rest in the fridge for at least an hour to allow the flour to fully hydrate.
Heat a 10-inch skillet or crepe pan over medium heat and spray lightly with a bit of oil. Pour 1/3 cup of the batter into the pan and tip the pan in a circular motion to spread out the batter. Cook for 1-2 minutes until golden brown, then flip over and cook another 1-2 minutes. Repeat with remaining crepes, stacking them on top of each other on a plate.
Serve immediately with your choice of filling. See serving suggestions in blog post.",10,1/2 cup brown rice flour,1/2 cup white rice flour,2 tablespoons potato starch,2 tablespoons tapioca starch,1/4 teaspoon salt,2 large eggs,1 cup milk (whole milk recommended) (can substitute non-dairy alternative of choice),2 tablespoons melted butter or oil (dairy-free: use oil),1/2 teaspoon vanilla extract (omit if using savory fillings),1 tablespoon cane sugar (omit if using savory fillings),NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/gluten-free-crepes/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Ice Cream,Kimberly Killebrew,4.96,23,Dessert,NA,10 minutes,NA,NA,10 minutes,NA,1,"Combine the cream, milk, sugar, extracts, and salt in a bowl and stir until the sugar is dissolved. Add the cherries.
Pour the mixture into your ice cream maker and follow the manufacturer's instructions. Transfer to a freezer-safe container and freeze for at least 4 hours or until firm before serving.
Note: For a deeper and uniform red color you can puree some of the cherries in a blender.",7,"2 cups pitted and roughly chopped fresh or frozen cherries , or 1 cup cherry puree (pureed in blender) if you prefer a smooth texture without chunks); canned cherries work too but aren't as good",2 cups heavy cream,1 cup whole milk,3/4 cup granulated sugar,2 teaspoons quality pure vanilla extract,1/4 teaspoon pure almond extract,1/8 teaspoon kosher salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/cherry-ice-cream/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berliner (German Donuts),Kimberly Killebrew,4.95,34,Dessert,German,25 minutes,10 minutes,30 minutes,5 minutes,15 Berliner,4,"Place the flour, sugar, yeast, salt and lemon zest in the bowl of a stand mixer and stir to combine. Add the eggs, butter, vanilla extract, and milk.With the dough hook attached, knead the dough for about 10 minutes or until it's no longer sticky but is soft and supple. Add more milk or flour as needed.
Form the dough into a ball, spray the bowl with oil, and place the dough ball back in the bowl.
Cover the bowl loosely with plastic wrap and let it rise in a warm place for 45-60 minutes or until doubled in size.
Punch down the dough in the center. Divide the dough into uniform pieces. I like to weigh the dough to get themas close to equal as reasonably possible. At about 80 grams per piece you'll get 15 Berliner donuts.
Using the palms of your hands, roll the dough pieces into balls and place them on a lined baking sheet, keeping space between them to allow them room to rise. Cover them with a clean towel or cover loosely with plastic wrap and let them rise in a warm place for another 30-60 minutes or until nearly doubled in size and nice and puffy.
Make sure to give the dough balls adequate time to rise as this will be crucial for achieving the right texture.
Heat the oil in a deep pan. The oil should be at least 2 inches deep. Keep the temperature between 350-365 F. If it's not hot enough the donuts will soak up the oil and be greasy. If the oil is too hot the outside will burn before the inside is fully cooked. I like to keep it at just over 350 F.
Working in batches, carefully lower a few of the dough balls into the hot oil. The temperature should be such that the Berliner will cook for on each side for about 2 minutes or slightly less. After about 2 minutes, or when the bottom is a deep golden brown, carefully flip the donuts over and continue to cook for about another 2 minutes or until deep golden brown.
Do not at any point submerge the Berliner under the oil otherwise they will not develop the white rim around the center that is characteristic of Berliner.
Remove the Berliner and place them on paper towels to drain. Repeat the process for the remaining donuts.
Once the Berliner are cool enough to handle, it's time fo fill them.
Place the jam in a piping bag fitted with a filling tip. Push the filling tip into the side ofBerliner, along the white rim, and squeeze some jam into the donut. Repeat this for all of the donuts.
Place the granulated sugar into a wide shallow bowl and mix in just a touch of cinnamon. Place a donut on the sugar, scoop some sugar on top of it, and roll it around in the sugar until well coated. Repeat for all remaining donuts.
Place the sugar coated donuts on a wire rack and dust the tops with powdered sugar.
Berliner donuts are best eaten while still a little warm and definitely on the same day, but will keep for a couple of days in an airtight container at room temperature.",14,4 cups all-purpose flour,1/3 cup sugar,2 1/4 teaspoons instant yeast,1 1/2 teaspoons lemon zest,1/2 teaspoon kosher salt,"1 cup milk , room temp, plus more as needed","3 large egg yolks , room temp","5 tablespoons unsalted butter , softened at room temp",1 teaspoon quality pure vanilla extract,"1 cup raspberry jam , or jam/filling of choice","granulated sugar , (about 1 cup)",pinch of cinnamon,powdered sugar (about 1/2 cup),"oil for frying , choose a neutral tasting oil with a high smoke point like avocado or canola",NA,NA,Daring Gourmet,https://www.daringgourmet.com/berliner-german-donuts/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germknödel (Austrian Yeast Dumplings),Kimberly Killebrew,5,30,"Dessert, Main Course","Austrian, German",30 minutes,30 minutes,NA,NA,NA,4,"Place the flour, sugar, yeast, salt, egg, melted butter and milk in the bowl of a stand mixer fitted with a dough hook. (Whether you're using active dry yeast or instant yeast, both can be added directly to the dough mixture. It's a common misconception that active dry yeast has to be bloomed first.)
Mix the dough until it comes together (add a little more milk if needed) and then continue to knead for about 4 minutes. You should have a soft and pliable dough.
Spray the bowl with some oil, shape the dough into a ball and place it back in the bowl. Cover loosely with plastic wrap and set it in a warm place to rise for 60-90 minutes, or until the dough has doubled in size.
Punch down the dough and place it on a floured work surface.
Divide the dough into 8 roughly equal pieces. If you weigh them they'll be approximately 140 grams/5 ounces each.
Roll the pieces into balls, roll each ball out, and place a couple of tablespoons of powidl in the center.
Fold the sides of the dough in and press them together well to seal them and shape into a ball. Place the ball down, seam side down. Repeat this for all the dumplings. Cover the dumplings with a towel or plastic wrap, leaving room between them to expand, and let them rest in a warm place for another 30-60 minutes until nice and puffy.
Pour the water into a large non-stick saute pan and add 1/4 teaspoon salt and bring to a boil. I'm using a 5 quart 12-inch ceramic saute pan that fits 8 Germknödel perfectly.
Place the Germknödel in the pan. Don’t smash them together, they need to have some room to expand. Return the water to a very low simmer.The objective is to gently steam them. Place the lid on the pan. Let the dumplings cook for about 30 minutes.
WARNING: Whatever you do, do NOT open the lid until the dumplings are done or they will collapse. I like to use a pan with a glass lid so I can see what’s going on inside.
To serve, place a dumpling on a plate, drizzle with browned butter, and top with crushed poppy seeds and powdered sugar. If using, serve with the vanilla sauce.",17,For the Germknödel:,4 cups all-purpose flour,1/4 cup sugar,"2 teaspoons active dry yeast , or instant yeast",1/2 teaspoon kosher salt,"1 cup milk , room temperature","4 tablespoons unsalted butter , melted but not too hot","1 egg , room temperature","1 cup Powidl (Austrian plum butter) , click link for my German Pflaumenmus recipe which is the same thing",For the Pan:,3/4 cup water,1/4 teaspoon kosher salt,For Serving:,"1 stick browned butter (to make browned butter, simmer the butter in a small saucepan or in the microwave for a minute or two or until it begins to develop browned specks)",1/2 cup crushed poppy seeds (briefly pulse the poppy seeds in a coffee/spice grinder until just coarsely crushed),1/2 cup powdered sugar,Daring Gourmet,https://www.daringgourmet.com/germknoedel-austrian-yeast-dumplings/,"homemade vanilla sauce , not traditional but an option (click link for recipe)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whole Grain Blue Cheese Crackers,Kimberly Killebrew,5,8,"Appetizer, Snack",American,10 minutes,8 minutes,NA,18 minutes,15 servings (4 crackers per serving),2,"Place the butter and blue cheese in a mixing bowl and beat with an electric beater until combined (some small lumps of blue cheese will remain). Add the flour and beat until combined. Gather the dough with your hands and roll it into a log that is about 1 1/2 inch in diameter. Wrap the log in plastic wrap and refrigerate overnight . Alternatively you can freeze it for 2 hours. 
Preheat the oven to 400 degrees F. Slice the log into slices about 1/4 inch thick (work quickly before the dough softens) and place them on a lined cookie sheet sprinkled with sesame and/or poppy seeds. Bake for about 8 minutes or until the edges of the crackers are golden brown. Let the crackers cool completely before serving. Best eaten the same day but can store them in an airtight container for a few days. 
Makes about 60 crackers.",3,"1 stick butter, at room temp","8 ounces blue cheese, crumbled","1 cup spelt, einkorn or whole wheat flour (we prefer the flavor of spelt or einkorn)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/blue-cheese-whole-grain-crackers/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Authentic German Sauerbraten,Kimberly Killebrew,4.98,292,Main Course,German,30 minutes,NA,NA,30 minutes,6 servings,5,"Prepare the Marinade: Place all of the veggies and herbs in a heavy non-reactive stock pot or enameled Dutch oven along with the garlic, juniper berries, whole cloves, bay leaves, salt, sugar and peppercorns. Add the red wine, red wine vinegar and water.
Bring the mixture to a boil, reduce the heat, cover and simmer for 10 minutes. Turn off the heat and let the mixture cool down completely. 
Marinate the Meat: Nestle the roast in the vegetable marinade and place the lid on the pot.
Let it marinate in the fridge for at least 4 days, preferably 7. (Traditionally, the marinating time is as long as 2 weeks!) Unless the meat is completely submerged under the liquid, turn the roast over once every day.
Remove the roast, pat it dry with paper towels, and strain the liquid from the vegetables. Reserve the liquid and the vegetables. 

Cook the Roast: Rinse the pot out and heat a tablespoon or two of oil in it over high heat. Generously brown the roast on all sides. Remove the roast and set aside. If using bacon, cook the bacon until done. 
Leave about 2 tablespoons of oil/fat in the pot. Place the strained vegetables in the pot (with the bacon if using) and cook for 5-7 minutes. Stir in the flour, cooking the mixture for a minute or two to eliminate the flour flavor. Add the liquid that you strained from the vegetable marinade, bring it to a boil, stirring constantly to prevent lumps.
Add the raisins, honey and crushed ginger snaps. Return the roast to the pot.
Bring to a boil, reduce the heat to low, cover and simmer for 2-4 hours or until the meat is very tender. Cooking time will vary depending on the type of roast and how long the roast marinated. Aim for an internal temperature of 190-200 F to ensure the temp is high enough to break down connective tissues for a fork-tender result.
(Note: The longer you let the roast marinate the faster it will cook because the meat will be more tender from the start. So check on your roast periodically for doneness.)
When the roast is done, remove and transfer it to a plate, tent it to keep warm, and let it rest for 5 minutes before slicing. 
Prepare the Gravy: While the roast is resting, strain the gravy and return the gravy to the pot. Taste and more sugar, salt and pepper as desired. If you want your gravy thicker, make a cornstarch slurry to thicken the gravy. (Note: The balance of sour to sweet is a matter of personal taste – adjust the flavor according to your preference. If the flavor is too strong for you, you can dilute it with a little water or broth.)
Spoon the gravy over the sliced Sauerbraten and serve immediately.
Serve with Rotkohl and boiled potatoes, Spätzle, Semmelknödel or Kartoffelklöße . A few parts of Germany even serve it with Kartoffelpuffer.",21,"2 large yellow onions , chopped","2 large carrots , diced","1 large leek , chopped, thoroughly washed and drained to remove any dirt","3 cloves garlic , minced","2 large sprigs thyme , or 1 teaspoon dried","2 small sprigs rosemary , or 1 teaspoon dried",2 bay leaves,"8 juniper berries , cracked",6 whole cloves,"10 whole black peppercorns , cracked",2 1/2 teaspoons salt,1 teaspoon sugar,"2 1/2 cups dry red wine (e.g., cabernet sauvignon, merlot, pinot noir)",1 cup red wine vinegar,1 1/2 cups water,4 pounds beef roast (tougher cuts like bottom round or rump roast are traditional but you can also use chuck roast),Daring Gourmet,https://www.daringgourmet.com/authentic-german-sauerbraten/,"4 slices bacon , finely diced (optional); some variations include but most do not",4 tablespoons all-purpose flour,1/4 cup raisins,"3 ounces ginger snap cookies , crumbled",1 tablespoon honey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dampfnudel (German Steamed Dumplings),Kimberly Killebrew,5,31,"Dessert, Main Course",German,20 minutes,30 minutes,NA,50 minutes,NA,3,"Place the flour, sugar, yeast, salt, egg, melted butter and milk in the bowl of a stand mixer. (Active dry yeast nowadays does not need to be dissolved first.)
With the dough hook attached, mix the dough until it comes together (add a little more milk if needed) and then continue to knead for about 4 minutes. You should have a soft and pliable dough.
Spray the bowl with some oil, shape the dough into a ball and place it in the bowl. Cover with plastic wrap and set it in a warm place to rise for 60-90 minutes, or until the dough has doubled in size.
Punch down the dough. Place it on a lightly floured work surface and cut it into 8 roughly equal pieces. I often weigh the pieces, added a little more dough from the larger ones to the smaller ones just because I like them to be as uniform in size as possible (they'll be approximately 140grams/5 ounces each).
Shape the dough into individual balls, squeezing the seams together at the bottom and then lay the balls on the lightly floured work surface, seam side down, and spread apart to give them room to expand.
Cover with a kitchen towel and let them rise in a warm place for another 30-60 minutes or until puffy.
Place the milk, butter and sugar in a large non-stick pan with high sides (non-stick is a must). I use a 5 quart 12-inch ceramic saute pan that fits 8 Dampfnudeln perfectly. Heat the milk to a low simmer, stirring until the butter and sugar is melted.
Place the Dampfnudeln in the pan. Don't smash them together, they need to have some room to expand. Return the milk to a very low simmer. Dampfnudeln are cooked not by boiling but by steaming them.Place the lid on the pan. Let the dumplings cook for about 30 minutes.
Whatever you do, do NOT open the lid while the dumplings are cooking. The release of the built up steam and introduction to cooler air will cause the dumplings to collapse. I like to use a pan with a glass lid so I can see what's going on inside.
After about 30 minutes the dumplings will have risen beautifully and will be cooked through. Their interiors will be soft and fluffy.
At this point the final step is to remove the lid, increase the heat just a little, and cook for just a few minutes longer allow any remaining liquid to evaporate while simultaneously allowing the bottom of the dumplings to brown. Just be careful not to let them burn.
Serve the Dampfnudeln drizzled with some browned butter (optional) and homemade German vanilla sauce.",14,For the Dampfnudeln:,4 cups all-purpose flour,"2 teaspoons active dry yeast , or instant yeast",1/4 cup sugar,1/2 teaspoon salt,"1 cup milk , at room temperature","4 tablespoons unsalted butter , melted","1 large egg , room temperature",For the Pan:,1/2 cup milk,1/2 cup sugar,4 tablespoons unsalted butter,"German vanilla sauce , for serving (click link for recipe)","browned butter , optional (drizzle over the dumplings followed by the vanilla sauce)",NA,NA,Daring Gourmet,https://www.daringgourmet.com/dampfnudeln-german-steamed-dumplings/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
