title,author,rating,cuisine,ratingnum,preptime,cooktime,totaltime,servings,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,source,link,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
3 Ingredient Sugar Cookie Recipe,Carrie Barnard,4.65,American, 106 ,10 minutes,15 minutes,25 minutes,12,4,4,▢ 1 stick plus 2 tbsp salted butter softened at room temperature,▢ 1/3 cup sugar,▢ 1 cup all purpose flour,▢ sprinkles are optional,Desserts on a Dime,https://dessertsonadime.com/3-ingredient-sugar-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Cookies,Carrie Barnard,4.76,American, 58 ,10 minutes,10 minutes,25 minutes,NA,8,9,▢ 1 cup Butter Softened,▢ 1/2 cup Sugar,▢ 1/2 cup Brown Sugar,▢ 1 Tablespoon Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/butterscotch-cookies-recipe/,▢ 2 eggs,▢ 2 1/4 cups Flour,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 2 cups Butterscotch Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Chocolate Chip Cookies,Carrie Barnard,4.82,American, 27 ,15 minutes,10 minutes,NA,NA,12,10,▢ 1 cup Butter softened at room temperature,▢ 1 cup Granulated Sugar,▢ 1 cup Brown Sugar,▢ 2 Large Eggs,Desserts on a Dime,https://dessertsonadime.com/the-best-chocolate-chip-cookies/,▢ 2 tsp Vanilla Extract,▢ 3 cups All Purpose Flour,▢ 2 tsp Cornstarch,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 1 cup Semi-Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Chocolate Chip Cookie Recipe,Carrie Barnard,4.58,American, 14 ,10 minutes,10 minutes,20 minutes,NA,13,11,▢ 1 cup butter softened,▢ 1/2 cup Sugar,▢ 3/4 cup Brown Sugar,▢ 2 tsp Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/salted-caramel-chocolate-chip-cookies-recipe/,▢ 2 eggs,▢ 2 1/4 cups of Flour,▢ 2 tsp cornstarch,▢ 1 tsp Baking Soda,▢ 1 cup semi-sweet chocolate chips,▢ 24 Soft Caramels Werther’s Original has a good option,▢ 1/2 tsp Sea Salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Cheese Cake Mix Cookies,Carrie Barnard,4.80,American, 20 ,10 minutes,10 minutes,20 minutes,NA,8,6,▢ (1)15.25 oz. box white cake mix,▢ (1) 8 oz. brick cream cheese {softened},▢ 1/2 cup butter {softened},▢ 1 egg,Desserts on a Dime,https://dessertsonadime.com/cream-cheese-cake-mix-cookies/,▢ 1 tsp vanilla extract,▢ 1/4 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow Cake Mix Cookies,Carrie Barnard,4.25,American, 58 ,10 minutes,10 minutes,20 minutes,NA,6,4,▢ 1 yellow cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ 1/4 cup of multi-colored sprinkles,Desserts on a Dime,https://dessertsonadime.com/yellow-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Cake Mix Cookies,Carrie Barnard,4.72,American, 21 ,10 minutes,8 minutes,13 minutes,NA,5,4,▢ 1 Lemon Cake Mix,▢ 1 Cool Whip 8 ounce,▢ 1 Egg,▢ 1/2-1 Cup Powdered Sugar,Desserts on a Dime,https://dessertsonadime.com/lemon-cake-mix-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrot Cake Mix Cookies,Carrie Barnard,4.67,American, 15 ,10 minutes,10 minutes,25 minutes,NA,8,9,▢ 1 box Carrot Cake Mix,▢ 2 eggs,▢ 1/2 cup Butter softened at room temperature,▢ Crushed Walnuts for garnish,Desserts on a Dime,https://dessertsonadime.com/carrot-cake-mix-cookies-recipe/,▢ Ingredients for Cream Cheese Icing:,"▢ 1 8 oz Package of Cream Cheese, softened at room temperature",▢ 1/4 cup Butter softened at room temperature,▢ 3-4 cups Powdered Sugar shifted,▢ 1 tsp Vanilla Extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Cake Mix Cookies,Carrie Barnard,4.32,American, 16 ,5 minutes,10 minutes,15 minutes,NA,5,4,▢ 1 box Funfetti cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ Sprinkles optional,Desserts on a Dime,https://dessertsonadime.com/funfetti-cake-mix-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Cake Mix,Carrie Barnard,4.87,American, 22 ,5 minutes,NA,5 minutes,NA,8,11,▢ Dry Ingredients,▢ 1 ¼ cups all-purpose flour,▢ ¾ cups granulated sugar,▢ 1 ¼ teaspoons baking powder,Desserts on a Dime,https://dessertsonadime.com/homemade-cake-mix-recipe/,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ Wet Ingredients,▢ ½ cup milk or buttermilk,▢ ½ cup oil vegetable or canola,▢ 2 large eggs room temperature,▢ 1 ½ teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Sugar Cookie Recipe,Carrie Barnard,4.65,American, 106 ,10 minutes,15 minutes,25 minutes,12,4,4,▢ 1 stick plus 2 tbsp salted butter softened at room temperature,▢ 1/3 cup sugar,▢ 1 cup all purpose flour,▢ sprinkles are optional,Desserts on a Dime,https://dessertsonadime.com/3-ingredient-sugar-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Cookies,Carrie Barnard,4.76,American, 58 ,10 minutes,10 minutes,25 minutes,NA,8,9,▢ 1 cup Butter Softened,▢ 1/2 cup Sugar,▢ 1/2 cup Brown Sugar,▢ 1 Tablespoon Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/butterscotch-cookies-recipe/,▢ 2 eggs,▢ 2 1/4 cups Flour,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 2 cups Butterscotch Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Chocolate Chip Cookies,Carrie Barnard,4.82,American, 27 ,15 minutes,10 minutes,NA,NA,12,10,▢ 1 cup Butter softened at room temperature,▢ 1 cup Granulated Sugar,▢ 1 cup Brown Sugar,▢ 2 Large Eggs,Desserts on a Dime,https://dessertsonadime.com/the-best-chocolate-chip-cookies/,▢ 2 tsp Vanilla Extract,▢ 3 cups All Purpose Flour,▢ 2 tsp Cornstarch,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 1 cup Semi-Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
