title,author,rating,ratingnum,cuisine,preptime,cooktime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,source,link,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
The Easiest Sugar Cookies Recipe Ever!,Madhuram,4.91, 103 ,American,Prep Time 30 minutes mins,Cook Time 10 minutes mins,Total Time 43 minutes mins,20 Cookies,5,"In a large bowl cream together the butter and sugar until light and fluffy.  Beat in the vinegar and vanilla extract. 
In another bowl, combine the flour, baking soda and salt (if using). Incorporate this into the creamed sugar mixture and mix well.
Scoop out a tablespoon of dough for each cookie, roll it into a ball, and flatten into ¼ inch thickness; sprinkle with colored sugar and place 2-inches apart (See My Notes)
Bake in an oven preheated at 350F/180C in a greased pan for 8 to 10 minutes or until the edges are lightly browned.
Transfer the pan to a wire rack and let the cookies cool down for 2-3 minutes before removing them from the pan.  Store it in air-tight containers once it's cooled completely.",8,▢ 1 cup unsalted butter softened,▢ ¾ cup white sugar,▢ 1 tablespoon vinegar (white or apple cider),▢ 1 teaspoon vanilla/almond extract (combination of both too),▢ 2 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt (optional),▢ As needed colored sugar,Eggless Cooking,https://www.egglesscooking.com/sugar-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Ever Eggless Chocolate Chip Cookies,Madhuram,4.95, 40 ,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 27 minutes mins,42 Cookies,9,"Preheat the oven to 375F/190C for 15 minutes.  If using a non stick pan greasing is not necessary, otherwise use parchment paper to line the cookie sheets.
In a large bowl, cream together the butter, granulated sugar, brown sugar and vanilla.
In a mini food processor/blender or just with a whisk whip together the egg replacer powder and water together, until it's thick and creamy. Add this mixture to the creamed butter and sugar, combine thoroughly. If using flax eggs instead of Ener-G egg replacer that has to be added with the creamed butter and sugar.
In another bowl, sift together the flour, baking soda and salt.
Gradually beat the flour mixture into the wet mixture until it begins to form a dough.
When it is almost thoroughly combined stir in the chocolate chips and nuts, if using. The flax eggs version cookie dough was sticky so I chilled the cookie dough in the fridge for a couple of hours.
I greased a tablespoon to scoop the dough and drop it easily onto the baking sheet.
Bake 8-10 minutes, or until golden brown. Flax eggs version of these chocolate chip cookies had the best texture after baking it for 11 minutes. See My Notes for further details.
Let stand for 2 minutes on the baking sheet itself.  Then transfer the cookies to wire racks to cool completely before storing.",15,▢ 2 and ¼ cups All-Purpose Flour,▢ 1 teaspoon Baking Soda,▢ ¼ teaspoon Salt,▢ 1 cup Butter Softened,▢ ¾ cup Granulated Sugar,"▢ ¾ cup Brown Sugar Light, Firmly Packed",▢ 2 teaspoons Vanilla Extract,▢ 4 and ½ teaspoons Ener-G egg replacer or 3 flax eggs,Eggless Cooking,https://www.egglesscooking.com/best-chocolate-chip-cookies/,▢ 6 tablespoons Water,▢ 1 and ½ cups Semi Sweet Chocolate Chips,▢ 1 cup Nuts (Optional),▢ butter = plant based butter like Becel,▢ Ener-G = 3 flax eggs 3 tablespoons of flaxseed meal whisked with 9 tablespoons water,▢ chocolate chips = vegan chocolate chips,▢ all purpose flour = whole wheat pastry flour or gluten-free baking mix to bake gluten-free cookies,NA,NA,NA,NA,NA,NA,NA
Oatmeal Coconut Cookies,Madhuram,4.97, 57 ,American,Prep Time 15 minutes mins,Cook Time 20 minutes mins,Total Time 45 minutes mins,21 Cookies,7,"Preheat the oven to 350F for 15 minutes.  Butter two cookie sheets.
In a large bowl sift together the flour, baking soda and salt.  Stir in the coconut and oats.
Melt the butter with the sugar and honey in a small saucepan over medium heat.  Remove it from the stove and let it cool for 2 minutes.
Pour the melted butter mixture to the dry ingredients and mix well with a spatula.
Roll into balls the size of walnuts and place 1 inch apart on the baking sheet and flatten it slightly with a fork.
Bake for 15-20 minutes, or until golden brown.  If using 2 cookie sheets, shift racks halfway through the baking to ensure even browning.  Mine turned golden brown after 13 minutes itself.  I think it's because of the dark coated cookie sheet.
Let the cookies cool on the sheets until they firm slightly.  Then using a spatula carefully lift the cookies and transfer it to a cooling rack to cool completely.",8,▢ 1 cup All-Purpose Flour,▢ ½ teaspoon Baking Soda,▢ ⅛ teaspoon Salt,"▢ 1 cup Coconut Shredded, I used sweetened.",▢ 1 cup Quick Cooking Oats I used large flake,▢ ½ cup Butter,▢ ¾ cup Granulated Sugar,▢ 2 tablespoons Honey,Eggless Cooking,https://www.egglesscooking.com/oatmeal-coconut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggless Chocolate Chip Cookies using Condensed Milk,Madhuram,5, 37 ,American,Prep Time 20 minutes mins,Cook Time 18 minutes mins,Total Time 43 minutes mins,43 Cookies,11,"Preheat the oven to 350F (180C) for 15 minutes.
In a large bowl, sift the flour, cocoa and baking powder and combine well.
Grease baking sheets or line it with parchment paper.
Beat the butter and sugar together in a large bowl until pale and creamy (for 5 minutes).
Pour in the condensed milk, vanilla extract and beat to combine.
Stir dry ingredient mix into the butter mixture, then add the chocolate chips, nuts (if using).
Combine it well using a spatula.  Don't beat it.
Take a tablespoonful of dough, roll it and flatten it using your fingers.  Grease the tablespoon, so that the dough will fall off easily.
Bake it for 15-18 minutes, or until golden brown. (The color check can be done  if using all purpose flour only.  Mine were done at 17 minutes).
Let the cookies cool for 5 minutes in the baking sheet itself.  Don't try to remove it.  It may look unbaked but it will become hard on the baking sheet itself.
After 5-10 minutes, using a spatula transfer the cookies to a wire rack to cool completely.",8,▢ 1 cup Butter Softened,▢ ½ cup Granulated Sugar,▢ ½ cup Sweetened Condensed Milk,▢ ½ teaspoon Vanilla Extract,▢ 2 & ½ cups All-Purpose Flour See My Notes,▢ 1 teaspoon Baking Powder,▢ 1 & ¾ cups Semi-Sweet Chocolate Chips I used white chocolate chips,▢ 1 cup Walnuts chopped (optional),Eggless Cooking,https://www.egglesscooking.com/eggless-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Oatmeal Raisin Cookies,Madhuram,4.95, 50 ,American,Prep Time 20 minutes mins,Cook Time 14 minutes mins,Total Time 39 minutes mins,32 Cookies,11,"Preheat the oven to 350°F (180°C) and line two large baking sheets with parchment paper or lightly grease them.
In a small cup or bowl, whisk together the flax seed meal and water. Set it aside for a few minutes to thicken into a gooey, gel-like mixture.
In a mixing bowl, cream the vegan butter and brown sugar until smooth and fluffy. I used a hand mixer for this step.
Add the thickened flax mixture and vanilla extract to the creamed butter. Stir well using a wooden spoon or spatula.
In a separate bowl, sift together the flour, baking soda, salt, and cinnamon.
Add the dry ingredients to the wet mixture and stir until just combined.
Fold in the oats and any optional mix-ins like raisins, cranberries, chocolate chips, or nuts.
Scoop the dough onto the prepared baking sheets, spacing them about 2 inches apart. I used an ice cream scoop for even portions.
Lightly wet your hands and gently flatten each cookie to about ½ inch thick—these cookies don’t spread much on their own.
Bake for 12–15 minutes, or until the edges are golden and the centers still look slightly soft.
Remove from the oven and let the cookies cool on the baking sheet for 5 minutes, then transfer to a wire rack to cool completely.",11,▢ ¾ Cup Vegan Butter,▢ 1 Cup Light Brown Sugar,▢ 1 Count flax egg (or 3 tbspns aquafaba),▢ 1 Teaspoon Vanilla Extract,▢ ¾ Cup All Purpose Flour (or whole wheat pastry flour),▢ ½ Teaspoon Baking Soda,▢ ½ Teaspoon Salt I Used Only ¼ Teaspoon,▢ ½ Teaspoon Ground Cinnamon,Eggless Cooking,https://www.egglesscooking.com/vegan-oatmeal-raisin-cookies/,▢ 3 Cups Old Fashioned Rolled Oats (or quick cooking oats),"▢ 1 Cup Raisins or dried cherries, dried cranberries, white/dark chocolate chips","▢ 1 Cup Walnuts or pecans, toasted and chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Shortbread Cookies,Madhuram,4.97, 33 ,American,Prep Time 15 minutes mins,Cook Time 25 minutes mins,Total Time 50 minutes mins,60 Cookies,9,"In a medium bowl sift together flour, cocoa and salt.
In a large bowl add the butter and beat on medium speed for 5 minutes until fluffy.
Add sugar and beat about 2 minutes, until very light in color and fluffy, occasionally scraping down the sides of the bowl with a spatula.  Add vanilla if using.
Add the flour mixture and combine on low speed, until flour is just incorporated and dough sticks together when squeezed with fingers.
Form dough into a flattened disk; wrap in plastic.  Chill until firm, at least 1 hour.
Preheat oven to 325F for 15 minutes.  Line 2 baking sheets with parchment paper.  I greased it lightly with the butter wrapper itself.
Use a spoon to form the dough into balls and place on the prepared baking sheet.  I chilled it for 2 hours and the dough became so hard I was not able to scoop the dough.  I had to pinch the dough and roll it in between my palms.
Bake until firm, 20 to 25 minutes, rotating halfway through (that is, moving the baking sheet in the top row to the bottom row and the vice versa) My cookies were ready around 23 minutes.
Cool completely on a wire rack.  Dust with cocoa powder just before serving.  (I didn't do this)",6,▢ 2 cups All-Purpose Flour,▢ ¼ cup Unsweetened Cocoa Powder + little more for dusting,▢ ¼ teaspoon Salt,▢ 1 cup Unsalted Butter or 2 sticks at room temperature,▢ ¾ cup Sugar,▢ 1 teaspoon Vanilla Extract optional,NA,NA,Eggless Cooking,https://www.egglesscooking.com/chocolate-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggless Coconut Macaroons,Madhuram,5, 33 ,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 30 minutes mins,26 Cookies,9,"Line a cookie sheet with parchment paper and preheat the oven to 350F (180C) for 15 minutes.
In a large bowl, combine sweetened milk and milk, whisking until blended.
With a wooden spoon, stir in flour,  mixing until thoroughly blended.
Stir in coconut, cashews and cardamom powder.
After combining all the ingredients, the batter was a little bit watery.  So I test baked just 1 tablespoon and the cookie spread so much.
So I added 3 tablespoons of semolina (sooji/rava) to the batter and combined it well and now the batter was nice and firm.  Again I test baked another tablespoon of the dough and the macaroon came out perfect.
Then I went ahead and dropped tablespoonfuls of dough about 1 inch apart and baked it in the oven until it was golden around the edges (which approximately took 15 minutes).  I got 24 (plus 2 test bake) macaroons for the above measurement.
Cool for 10 minutes on the sheet.  This point is very important.  Don't try to remove the macaroons from the sheet once it is out the oven because it will be very flimsy.  Again don't put it back in the oven to harden it.  Just leave the macaroons on the cookie sheet for 10 minutes and it will harden by itself.
Then transfer to a rack and cool completely.",7,▢ 1 Cup Sweetened Condensed Milk,▢ ¼ Cup Milk,▢ ¼ Cup All Purpose Flour,▢ 2.5 Cups Sweetened Shredded Coconut,▢ 3 Tablespoons Semolina,"▢ ¼ Cup Cashew Nuts, Broken Into Pieces",▢ 1 Teaspoon Cardamom Powder,NA,Eggless Cooking,https://www.egglesscooking.com/eggless-coconut-macaroons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Pudding Cookies,Madhuram,5, 34 ,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 32 minutes mins,24 Cookies Per Each Pudding Mix,10,"Preheat oven at 375F/190C for 15 minutes.
In a small mixing bowl, cream butter and pudding mix until smooth.  I used a hand held electric mixer.
Gradually beat in flour.
Fold in pistachios.
Grease a tablespoon with non stick cooking spray.
Take a tablespoonful of dough and drop it on the baking sheet 2 inch apart.
Flatten the dough using your fingers.
Bake it for 10-13 minutes or until light golden brown.  Mine were perfectly done at 11 minutes.
Remove it from the oven and let it cool on the baking sheet itself for 5 minutes.
Then transfer it to a wire cooling rack and let it cool completely before storing it in an airtight container.",4,▢ ¾ Cup Butter Softened,▢ 3.4 Oz Instant Pistachio Pudding Mix 1 Package,▢ 1 and ¼ Cups All-Purpose Flour,▢ ½ Cup Pistachios Toasted and Chopped,NA,NA,NA,NA,Eggless Cooking,https://www.egglesscooking.com/eggless-pudding-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oats & Brown Rice Flour Chocolate Chip Cookies,Madhuram,4.75, 8 ,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 30 minutes mins,30 Cookies,4,"Preheat the oven for 15 minutes at 375F/190C.  Grease (use shortening/butter/non-stick spray) the baking sheets and keep it aside.
Whip the EnerG egg replacer powder with warm water in a blender until it's smooth and frothy.
In a large bowl combine the dry and wet ingredients and mix well.
Drop by spoonful onto the prepared baking sheets and bake for 10 minutes or until lightly browned.",11,▢ 1 and ¼ cups Oat Flour,▢ 1 and ¼ cups Brown Rice Flour,▢ 1 teaspoon Baking Soda,▢ 1 cup Brown Sugar I used light,▢ ½ cup Granulated Sugar,▢ 1 cup Chocolate Chips,▢ ½ cup Nuts,▢ ⅔ cup Canola Oil,Eggless Cooking,https://www.egglesscooking.com/oats-brown-rice-flour-chocolate-chip-cookies/,▢ 1 teaspoon Vanilla Extract,▢ 4 teaspoons EnerG egg replacer,▢ 7 tablespoons Warm Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Pistachio Shortbread Cookies,Madhuram,5, 14 ,American,Prep Time 2 hours hrs 30 minutes mins,Cook Time 16 minutes mins,Total Time 2 hours hrs 51 minutes mins,60 Cookies,7,"Cream together the butter, sugar, maple syrup and vanilla extract using an electric beater. Recently baked with just butter and sugar. (Check My Notes)
Add flour one cup at a time and the salt, mixing well after each cup is added.  Do not use the beater for this, just mix it with a wooden spoon or spatula.  Beating it with a hand held mixer might result it tough cookies.
Stir in the cranberries and pistachios.
Shape dough into two logs, each log about 10 inches long.  Wrap it tightly with parchment paper or plastic wrap and chill it in the refrigerator for at least 2 hours.  I chilled mine overnight.
Preheat oven to 350F/180C for 15 minutes.  Line baking sheet(s) with parchment paper.  Cut each log into about 1 cm slices and arrange on the baking sheet(s).
Bake for about 18-20 minutes, or until lightly browned.  I took out mine just after 18 minutes. Thicker cookies might need a minute or two more. 
Cool the sheets on a wire rack and let it be for 5 minutes.  After that remove the cookies off the pan and let it cool completely on the wire rack before storing it in an air-tight container.",8,▢ 1 and ½ cups butter softened,▢ ½ cup white sugar,▢ ¼ cup maple syrup (can be replaced with sugar as well),▢ 1 teaspoon vanilla extract (orange zest and extract can be used too),▢ 3 cups whole wheat pastry flour,▢ ½ teaspoon salt,▢ 1 cup dried cranberries,▢ 1 cup pistachios toasted,Eggless Cooking,https://www.egglesscooking.com/cranberry-pistachio-shortbread-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
