title,author,date,rating,ratingnum,cuisine,course,categories1,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25
Strawberry Lemonade Cake Mix Cookies,Jessica & Nellie,"February 4, 2026",NA,NA,American,Cookies,Home_Cake Mix Cookies,Keyword: Strawberry Lemonade Cake Mix Cookies,10 minutes,10 minutes,NA,NA,26 cookies,11,"Preheat your oven to 350°.
Line two cookie sheets with parchment paper or silicone baking mats.
In a large bowl mix together the cake mix, oil, and eggs.
In a separate bowl, crush the freeze dried strawberries. You want to have some chunks and some will become a powder.
Carefully fold the crushed strawberries into the cookie dough, don’t overmix or the dough will become completely pink.
Using a cookie scoop or a spoon, scoop all of the dough into approx 1.5”-2” balls.
Place the powdered sure into a bowl. Roll each of the dough balls in the powdered sugar. Try to get as much powdered sugar onto the ball as possible.
Place each of the powdered balls onto your prepared cookie sheets, leaving a couple inches between each.
Place the cookies in the preheated oven, and bake them for 8-10 minutes rotating the pans halfway through.
Remove the cookies when they are done baking and let cool on the trays.
Serve or store in an airtight container once completely cooled.",5,15.25 oz lemon cake mix,1 oz freeze dried strawberries,2 large eggs,½ cup canola or vegetable oil,½ cup powdered sugar,Family Cookie Recipes,https://familycookierecipes.com/strawberry-lemonade-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Cookie Dough Bars Recipe,Jessica & Nellie,"February 3, 2026",NA,NA,American,"Cookie Bars, Dessert, no bake, No Bake Cookies, no bake dessert",Home_No Bake Cookies,Keyword: Cookie Dough Bars,20 minutes,NA,NA,20 minutes,16 servings,7,"Preheat oven to 300°F. Line a cookie sheet with parchment paper and spread the flour evenly over the parchment paper. Let the flour cook for about 5-6 minutes and then remove from the oven. Allow the flour to cool completely.
Cream the butter, sugar, and sweetened condensed milk for 2-3 minutes using an electric mixer. Add the vanilla extract and salt, mix for another minute. Add the flour and 2 cups of chocolate chips, mix again until well combined.
Transfer the cookie dough to a 9×9 pan lined with parchment paper. Press it into the pan evenly. Place the pan in freezer to chill in the meantime.
Microwave the remaining 1 cup of chocolate chips with ¼ cup heavy cream and 1 TBSP butter for 1:30. Stir gently until the chocolate melts and the mixture is smooth. Let it cool for 5-10 minutes, stirring often.
Remove the pan from the freezer, pour the chocolate ganache on top and spread it quickly to coat the cookie dough.
Microwave the white chocolate chips for about 45 seconds. Stir until smooth, returning to microwave for :15 increments if needed. Drizzle lines on top of chocolate ganache. Top with coarse sea salt, if desired.
Cover and chill for at least 4 hours. Cut into bars and enjoy!",11,2 cups flour,½ cup butter softened to room temperature,¾ cup light brown sugar,14 oz sweetened condensed milk,1 ½ tsp vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/cookie-dough-bars/,½ tsp salt,3 cups mini semi-sweet chocolate chips divided,¼ cup heavy cream,1 TBSP butter,2 TBSP white chocolate chips,coarse sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cake Mix Cookies,Jessica & Nellie,"February 2, 2026",5,2,American,"Cookies, Dessert",Home_Holiday Cookies_Valentine's Day Cookies,"Keyword: cake mix cookies, Strawberry Cake Mix Cookies",10 minutes,10 minutes,NA,20 minutes,36 cookies,5,"Preheat oven to 350°F. Line two cookie sheets with parchment paper, set them aside.
Combine cake mix and eggs in a medium mixing bowl. Add the melted butter (or oil, for softer cookies!) and strawberry emulsion. Mix well.
Fold in the white chocolate chips/candies and stir to combine. I prefer to stir the candy in by hand so that they don't get crushed.
Use a medium 1.5 TBSP cookie scoop to measure out dough and place on the cookie sheets. Top with a few more chocolate candies!
Bake for 8-10 minutes. Once they are done, remove from oven and let them rest for another 3-5 minutes on the hot cookie sheet. Transfer to baking racks to cool completely. Enjoy!",5,15.25 oz box strawberry cake mix,2 eggs,⅓ cup melted butter or vegetable oil,1 ½ cups white chocolate chips you can also use M&M candies.,½ tsp strawberry emulsion or extract (optional),Family Cookie Recipes,https://familycookierecipes.com/strawberry-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Lava Cookies,Jessica & Nellie,"January 26, 2026",NA,NA,American,"Cookies, Dessert",Home_Chocolate Cookies,Keyword: Chocolate Lava Cookies,30 minutes,11 minutes,NA,41 minutes,12 cookies,6,"Start by making your chocolate ganache filling. Combine the chocolate chips and heavy cream in a microwave safe bowl. Microwave for 1:30 and then stir gently. Continue heating for 30 seconds at a time as needed until the mixture is smooth. Chill your ganache in the fridge for about an hour, or until holds its shape when scooped.
Once the ganache is set preheat your oven to 350°F and make your cookie dough. Combine the butter and sugars in a large mixing bowl. Use an electric hand mixer to beat the ingredients together until smooth and creamy.
Add the egg and beat again until the egg is thoroughly combined with the creamed sugar. Reduce the speed of your hand mixer and gently whisk in the flour, baking powder, baking soda, salt and 1/2 cup of cocoa powder. Make sure there are no dry pockets in your cookie dough.
Use a large size #40 cookie scoop to drop balls of cookie dough onto a large baking sheet. Flatten each ball into a flat disc. Set the baking sheet aside.
Use a tablespoon to drop small scoops of the chocolate ganache into a bowl with the remaining 2 TBSP cocoa powder. Toss the ganache ball in cocoa powder and then place a ball of ganache on each cookie dough disc. Wrap the cookie dough around the ganache making sure the ganache is completely enclosed. Bake the cookies for 11 minutes.
Let your cookies cool on the baking sheet for 5 minutes, then transfer them to a wire cooling rack. Enjoy!",11,¾ cup chocolate chips,½ cup heavy cream,½ cup butter softened,½ cup brown sugar,½ cup white granulated sugar,Family Cookie Recipes,https://familycookierecipes.com/chocolate-lava-cookies/,1 large egg,1 ¼ all purpose flour,½ cup + 2 TBSP cocoa powder divided,1 tsp baking powder,½ tsp baking soda,¼ tsp salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Raspberry Crinkle Cookies Recipe,Jessica & Nellie,"January 21, 2026",NA,NA,American,Cookies,Home_Crinkle Cookies,Keyword: Lemon Raspberry Crinkle Cookies,10 minutes,10 minutes,NA,NA,22 cookies,9,"Cream butter & sugar: In a large bowl, beat the butter and granulated sugar together until light and fluffy, about 1–2 minutes.
Add wet ingredients: Mix in the egg, lemon zest, lemon juice, and vanilla until smooth and fully combined.
Add dry ingredients: Add the flour, baking powder, and salt. Mix just until a soft dough forms — don’t overmix.
Swirl in raspberry jam: Drop spoonfuls of raspberry jam over the dough. Gently fold the dough 2–3 times, just enough to create visible raspberry streaks. Do not fully mix.
Chill: Cover and refrigerate the dough for at least 30 minutes.
Prep to bake: Preheat oven to 350°F. Line baking sheets with parchment paper.
Roll & coat: Scoop dough into 1½–2 tablespoon-sized balls. Roll generously in powdered sugar and place on baking sheets about 2 inches apart.
Bake: Bake for 10–12 minutes, until the edges are set and the centers are still soft. The cookies should crack on top.
Cool: Let cookies cool on the baking sheet for 5 minutes, then transfer to a wire rack to cool completely.",11,½ cup unsalted butter softened,¾ cup granulated sugar,1 large egg room temperature,1 tablespoon fresh lemon zest from about 1 large lemon,2 tablespoons fresh lemon juice,Family Cookie Recipes,https://familycookierecipes.com/lemon-raspberry-crinkle-cookies/,1 teaspoon vanilla extract,1¾ cups all-purpose flour,1 teaspoon baking powder,¼ teaspoon salt,⅓ cup thick raspberry jam seedless preferred,½ cup powdered sugar for rolling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Sugar Cookies Recipe,Jessica & Nellie,"January 16, 2026",5,2,American,Cookies,Home_Sugar Cookies,Keyword: Chocolate Sugar Cookies,10 minutes,8 minutes,NA,NA,30 cookies,6,"Preheat oven to 375°.
Cream butter and sugar for at least 2-3 minutes. Add eggs and vanilla and beat well for another 2 minutes.
Add dry ingredients and mix just until combined. Chill the dough in the refrigerator for 3-4 hours.
Roll out on a floured surface and cut into shapes. I like soft and thick cookies so I roll out the dough to be about 5/8″-1/4″ thick.
Bake cookies on a cookie sheet for about 8-9 minutes. Cool for about 10 minutes on the cookie sheet and then place on a wire rack to cool completely.
To make the frosting, blend the frosting ingredients together until smooth. Frost cooled cookies and add sprinkles if desired.",13,1 ½ cups butter softened to room temperature,1 ½ cups sugar,2 eggs,1 tsp vanilla,3 ⅓ cups flour,Family Cookie Recipes,https://familycookierecipes.com/chocolate-sugar-cookies/,½ tsp salt,¾ cup baking cocoa,2 tsp baking powder,½ cup butter softened to room temperature,4 oz. cream cheese softened to room temperature,3 ½ cups powdered sugar,"3-5 Tbsp milk start with 3, add more if needed",food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Chocolate Thumbprint Cookies Recipe,Jessica & Nellie,"January 14, 2026",NA,NA,American,Cookies,Home_Thumbprint Cookies,Keyword: Raspberry Chocolate Thumbprint Cookies,15 minutes,30 minutes,NA,NA,24 cookies,11,"Cream butter and sugar: In a large bowl, beat the butter and granulated sugar together until light and fluffy, about 1–2 minutes.
Add egg yolk and vanilla: Mix in the egg yolk and vanilla extract until smooth and fully combined.
Combine dry ingredients: In a separate bowl, whisk together the flour, cocoa powder, salt, and baking powder.
Make the dough: Add the dry ingredients to the wet ingredients and mix just until a soft dough forms. The dough will be thick but pliable.
Chill: Cover and refrigerate the dough for 30 minutes to prevent spreading.
Preheat oven: Preheat oven to 350°F and line baking sheets with parchment paper.
Shape cookies: Scoop dough into 1½ tablespoon-sized balls and place them about 2 inches apart on the baking sheet.
Create thumbprints: Use your thumb or the back of a rounded teaspoon to press an indentation into the center of each cookie gently.
Fill with jam: Spoon about ½–1 teaspoon of raspberry jam into each indentation.
Bake: Bake for 10–12 minutes, until the edges are set and the cookies look slightly soft in the center.
Cool: Let cookies cool on the baking sheet for 5 minutes before transferring to a wire rack.",10,½ cup unsalted butter softened,⅔ cup granulated sugar,1 large egg yolk room temperature,1 teaspoon vanilla extract,1 cup all-purpose flour,Family Cookie Recipes,https://familycookierecipes.com/raspberry-chocolate-thumbprint-cookies/,⅓ cup unsweetened cocoa powder,¼ teaspoon salt,½ teaspoon baking powder,⅓ to ½ cup thick raspberry jam seedless works best,Optional: powdered sugar or melted chocolate for finishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheesecake Cookies Recipe,Jessica & Nellie,"January 9, 2026",NA,NA,American,Cookies,"Home_More Cookies, Please!",Keyword: Cheesecake Cookies,10 minutes,12 minutes,NA,NA,25 cookies,8,"Preheat oven to 350°.
In a large bowl, mix together the graham cracker crumbs, flour and baking powder.
In another bowl, use an electric mixer to beat the butter and brown sugar together for 2-3 minutes. Add the egg whites from the two eggs and beat for another 1-2 minutes.
Add the butter mixture to the graham cracker mixture and mix just until combined.
In another bowl, beat the cream cheese, egg yolks, sugar and vanilla together. Mix until smooth and well combined.
Use a large cookie scoop (2 Tbsp) to scoop out the cookie dough. Roll each scoop into a ball and place two inches apart on a greased or parchment paper lined cookie sheet. Use the palm of your hand to flatten each cookie dough ball a little bit (cookies should be about 1/2″ thick). Use your thumb to press an indentation in each cookie. Be careful not to press down too far into the cookie. Use a small spoon to spoon the cheesecake filling into each indentation.
Bake for 12 minutes. Let the cookies cool for about 4-5 minutes before transferring to a wire rack to cool completely.
Once the cookies are cooled, top with your favorite fresh fruit or pie filling. Refrigerate until ready to serve.",9,2 ½ cups graham cracker crumbs about 20 graham cracker sheets,2 cups flour,3 tsp baking powder,1 cup butter softened,1 cup brown sugar,Family Cookie Recipes,https://familycookierecipes.com/cheesecake-cookies/,2 eggs separated,6 oz cream cheese softened,½ cup sugar,1 tsp vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buttermilk Lemon Cookie Recipe,Jessica & Nellie,"January 5, 2026",NA,NA,American,"Cookies, Dessert",Home_Lemon Cookies,Keyword: Buttermilk Lemon Cookies,20 minutes,10 minutes,NA,30 minutes,72 cookies,5,"Preheat oven to 325°F. Line two baking sheets with parchment paper and set them aside.
In a bowl, cream the butter, shortening, and sugar until light and fluffy, this takes about 5-7 minutes. Then beat in the egg yolks and buttermilk.
Whisk the flour, baking powder, baking soda, and salt in a separate bowl; add it to the creamed mixture alternately with lemon juice and zest. Add the egg whites and beat again until smooth.
Drop the dough by rounded teaspoonfuls onto the prepared cookie sheets. Bake about 10 minutes, let cool 2 minutes, then transfer to wire racks to cool completely.
For the icing, combine all ingredients and whisk until smooth. Spoon or spread onto cooled cookies. Serve & enjoy!",16,½ cup butter softened,½ cup shortening,2 cups sugar,2 eggs separated,1 cup buttermilk,Family Cookie Recipes,https://familycookierecipes.com/lemon-buttermilk-cookies/,5 cups all-purpose flour,2 tsp baking powder,2 tsp baking soda,½ tsp salt,2 TBSP lemon zest,2 TBSP juice,2 ½ cups powdered sugar,1 TBSP butter softened,1 TBSP lemon juice,1 TBSP grated lemon zest,½ tsp vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
NESTLE TOLL HOUSE COOKIE BARS Recipe,Jessica & Nellie,"December 29, 2025",NA,NA,American,"Cookie Bars, Cookies, Dessert",Home_Cookie Bars,Keyword: Nestle Tollhouse cookie bars,15 minutes,25 minutes,NA,40 minutes,18 cookies,6,"Preheat the oven to 350° F. Spray a 9×13 baking dish with nonstick spray and set it aside.
Combine the flour, baking soda, and salt in small bowl. Whisk and set aside.
Beat the butter, shortening, granulated sugar, brown sugar, and vanilla extract in large mixing bowl until creamy.
Add the eggs, one at a time, beating well after each addition. Gradually beat in the flour mixture. Stir in all but ½ cup chocolate chips.
Transfer the finished dough to the prepared pan and press it down gently. Top it with the remaining ½ cup of chocolate chips and a sprinkle of coarse sea salt, if desired.
Bake for 25 minutes or until golden brown. Cool, then cut into squares, and enjoy!",11,½ cup butter softened 1 stick,½ cup shortening butter flavored,¾ cup granulated sugar,¾ cup packed brown sugar,1 tsp vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/nestle-toll-house-cookie-bars/,2 large eggs,2 ½ cups all-purpose flour,1 ¼ tsp baking soda,1 tsp salt,2 ½ cups NESTLÉ TOLL HOUSE Semi-Sweet Chocolate chips,coarse sea salt optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
