title,author,date,update,rating,ratingnum,category1,category2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Waffle Cookies,Diana,"November 11, 2025",NA,5,1,NA,Waffle Cookies,15 minutes,2 minutes,NA,17 minutes,36 Cookies,5,"In a medium bowl, whisk together flour, baking powder, baking soda, and salt; set aside.
In a large mixing bowl, cream the butter, granulated sugar and brown sugar until creamy. Add the eggs and vanilla and mix well.
Stir in the flour mixture until just combined.
Heat the waffle iron to medium-low. Drop 1.5-2 tablespoons of cookie dough onto the hot waffle maker plates then fold the waffle maker down and allow to cook for 1-2 minutes, or until the cookie is lightly golden. Carefully transfer to a wire rack to cool completely.
To Coat in Chocolate: Melt the chocolates in 30 second intervals in the microwave, stirring after each. Dip half the cookie in the chocolate and then place on a parchment-lined baking sheet. Sprinkle with sprinkles and place in the fridge for 10 minutes or until the chocolate is firmed up.",12,▢ 3 ½ cups all purpose flour,▢ ½ teaspoon baking powder,▢ ¼ teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 cup unsalted butter softened to room temperature,▢ 1 cup granulated sugar,▢ ½ cup light brown sugar,▢ 3 large eggs at room temperature,▢ 1 teaspoon vanilla extract,▢ 1 cup white chocolate melting wafers optional,▢ 1 cup milk chocolate melting wafers optional,▢ ¼ cup sprinkles optional,Fun Cookie Recipes,https://funcookierecipes.com/waffle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Blossom Cookies,Diana,"August 27, 2025",NA,NA,NA,Fall,Pumpkin Blossom Cookies,15 minutes,10 minutes,NA,25 minutes,60 cookies,8,"Preheat the oven to 400°F (200°C). Line two large baking sheets with parchment paper.
In a medium bowl, whisk together the flour, baking powder, baking soda, salt, cinnamon, and pumpkin spice.
In a large mixing bowl, beat the butter, granulated sugar, and brown sugar on medium speed until light and fluffy, about 5 minutes. Scrape down the sides of the bowl as needed.
Add the pumpkin puree and egg, mixing until smooth. Reduce the mixer speed to low and add the dry ingredients, mixing just until combined.
Using a 1-tablespoon cookie scoop, portion the dough and roll into balls. Place them 1 inch (2.5 cm) apart on the prepared baking sheets.
Bake for 8–10 minutes, or until the cookies are puffed and the edges are set.
Remove from the oven and immediately press a chocolate kiss into the center of each cookie. The chocolate will soften but will firm up again as the cookies cool.
Transfer the cookies to a wire rack and cool completely before storing.",12,▢ 4 cups all-purpose flour,▢ 2 teaspoons baking powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 ½ teaspoons ground cinnamon,▢ 1 ½ teaspoons pumpkin spice,▢ 1 cup unsalted butter at room temperature,▢ 1 ½ cups granulated sugar,▢ ⅔ cup light brown sugar packed,▢ ¾ cup pumpkin puree,▢ 1 large egg at room temperature,▢ 60 chocolate kisses unwrapped,Fun Cookie Recipes,https://funcookierecipes.com/pumpkin-blossom-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peach Cobbler Cookies,Diana,"August 7, 2025",NA,5,1,NA,Peach Cobbler Cookies,30 minutes,31 minutes,NA,1 minute,30 cookies,14,"In a small bowl, whisk together the flour, brown sugar, cinnamon, and salt. Add the melted butter and mix until crumbly. Refrigerate until needed.
In a medium saucepan over medium heat, combine peaches, brown sugar, cornstarch, and cinnamon. Cook, stirring often, until the peaches are soft and the mixture thickens. Add water as needed. Stir in the vanilla and let cool.
Preheat the oven to 350°F (180°C) or 160°C for a fan oven. Line three baking sheets with parchment paper.
In a medium bowl, whisk together the flour, baking soda, cinnamon, and salt.
In a large mixing bowl, beat the butter, brown sugar, and granulated sugar until smooth. Mix in the egg and vanilla.
Add the dry ingredients to the butter mixture and mix until just combined.
Scoop the dough using a 1½ to 2 tablespoon cookie scoop into a small bowl of granulated sugar. Roll to cover.
Place sugared dough balls onto the prepared cookie sheets, 2 inches apart. Bake for 8 minutes.
Remove from the oven. Use a spoon to gently press the center of each cookie to create an indentation.
Fill each cookie with 1 tablespoon of peach filling.
Then top each cookie with 2 to 3 tablespoons of crumble.
Return to the oven and bake for 3 to 5 more minutes, or until golden brown. Let cool for 10 minutes, then transfer to a wire rack.
Whisk together powdered sugar, 1 tablespoon of milk, and vanilla until smooth. Add more milk as needed to reach desired consistency.
Drizzle the glaze over cooled cookies and let set for 15 minutes before serving.",24,▢ ¾ cup all-purpose flour,▢ 6 tablespoons light brown sugar,▢ ½ teaspoon ground cinnamon,▢ ¼ teaspoon salt,▢ ¼ cup unsalted butter melted,▢ 3 to 4 medium peaches peeled and diced (about 2 cups),▢ ¼ cup light brown sugar,▢ 1 tablespoon cornstarch,▢ ½ teaspoon ground cinnamon,▢ 2 tablespoons water as needed,▢ 1 teaspoon pure vanilla extract,▢ 1 cup unsalted butter softened,Fun Cookie Recipes,https://funcookierecipes.com/peach-cobbler-cookies/,▢ ¾ cup light brown sugar,▢ ½ cup granulated sugar,▢ 1 large egg at room temperature,▢ 1 teaspoon pure vanilla extract,▢ 3 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon ground cinnamon,▢ ½ teaspoon salt,▢ ¼ cup granulated sugar for rolling,▢ 1 cup powdered sugar,▢ 1 to 2 tablespoons whole milk or heavy cream 15-30 ml,▢ ¼ teaspoon pure vanilla extract
Blueberry Bars,Diana,"July 21, 2025",NA,5,2,Brownies & Cookie Bars,Blueberry Bars,15 minutes,40 minutes,NA,55 minutes,24 Bars,7,"Preheat the oven to 375°F/190°C (170°C fan oven), and line a 9×13"" (23×33 cm) baking pan with parchment paper, set aside
In a food processor, pulse together the flour, granulated sugar, brown sugar, baking powder and salt until mixed. Add the cold butter, egg, and vanilla and pulse again until the mixture looks sandy with pea sized pieces of butter remaining. It should hold together when pinched.
Place half the mixture into the bottom of the prepared pan, and press down to form a crust. Reserve remaining crust mixture for the crumble topping.
In a large bowl, stir together the blueberries, sugar, cornstarch, and lemon juice until blueberries are evenly coated.
Pour the blueberries into an even layer over the crust
Pinch together the remaining crust mixture into larger chunks and sprinkle over the top of the blueberries.
Bake in the preheated oven for 35-40 minutes, or until the blueberries are bubbling and the topping is a light golden brown. Allow to cool completely before slicing into 24 squares and serving.",12,▢ 3 cups all purpose flour,▢ ¾ cup granulated sugar,▢ ¼ cup brown sugar,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 cup unsalted butter cold and cubed,▢ 1 large egg cold,▢ 1 teaspoon vanilla extract,▢ 4 cups fresh blueberries or frozen berries,▢ ½ cup sugar,▢ 2 tablespoons cornstarch,▢ Juice from half a lemon about 2 tablespoons,Fun Cookie Recipes,https://funcookierecipes.com/blueberry-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lofthouse Cookies,Diana,"June 27, 2025",NA,5,3,NA,Lofthouse Cookies,20 minutes,10 minutes,NA,30 minutes,18 Cookies,11,"In a large bowl, stir together the flour, baking powder, baking soda, and salt; set aside.
In a separate bowl, beat the butter, shortening, and sugar together until light and fluffy.
Add the egg, sour cream, vanilla extract, and almond extract and beat again, scraping down the sides of the bowl as needed.
Add the flour mixture in 2-3 smaller additions; mixing well after each addition.
Wrap the dough with plastic wrap and chill in the refrigerator for 4 hours.
Preheat the oven to 350°F/175°C, line a cookie sheet with parchment paper and set aside.
Remove the dough from the plastic wrap to a floured surface and use a rolling pin to roll it to a thickness of ½”.
Use a 3” circular cookie cutter to cut the dough and transfer the rounds to the prepared baking sheet 1 inch apart.
Bake in the preheated oven for 7-9 minutes or until puffed and no longer glossy on top; allow to cool completely before frosting.
To prepare the frosting, beat the butter until light and fluffy, then add the powdered sugar and beat again until smooth. Next, stir in the vanilla and salt. Add the food coloring if desired and mix well.
Frost each cooled cookie with a generous amount of frosting and add sprinkles if desired.",17,▢ 2 ½ cups cake flour,▢ ½ teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ ¼ cup unsalted butter at room temperature,▢ ¼ cup shortening,▢ ¾ cup granulated sugar,▢ 1 large egg at room temperature,▢ ⅓ cup sour cream,▢ 2 teaspoon vanilla extract,▢ ¼ teaspoon almond extract,▢ 1 cup unsalted butter at room temperature,Fun Cookie Recipes,https://funcookierecipes.com/lofthouse-cookies/,▢ 3 cups powdered sugar,▢ ½ teaspoon vanilla,▢ ¼ teaspoon salt,▢ Food coloring optional,▢ Sprinkles optional,NA,NA,NA,NA,NA,NA,NA
Coffee Cake Cookies,Diana,"October 28, 2024",NA,5,1,NA,Coffee Cake Cookies,20 minutes,10 minutes,NA,30 minutes,20 3-inch cookies,11,"In a medium bowl, whisk together the flour, brown sugar, and cinnamon
Add the cold cubed butter and use a pastry cutter or two butter knives to incorporate the butter until only pea-sized pieces remain.
Place in the fridge until ready to use.
Preheat the oven to 350°F (180°C), or 160°C for a fan oven. Line 2 baking sheets with parchment paper and set aside.
In a large bowl, whisk together the flour, cornstarch, baking soda, baking powder, and salt; set aside.
In a separate large bowl, cream the butter and brown sugar until smooth, 2-3 minutes. Add the egg and vanilla and mix well.
Add the flour mixture and mix until just combined.
Use a small cookie scoop, 1.5-2 tablespoons, to drop dough onto the prepared cookie sheets. Use a 1-1.5 teaspoon measuring spoon to create an indentation on the cookie dough balls.
Fill the indentation with 1 tablespoon of crumble mixture.
Bake in the preheated oven for 8-10 minutes, or until the cookies are lightly golden. Allow to cool completely.
Whisk together the powdered sugar and milk in a medium bowl until smooth. Drizzle over the cooled cookies and allow to sit for at least 5 minutes.",15,▢ ¾ cup all-purpose flour,▢ ⅓ cup light brown sugar,▢ 1 teaspoon ground cinnamon,▢ 6 tablespoons unsalted butter cold and cubed,▢ 1 ¾ cup all-purpose flour,▢ 1 tablespoon cornstarch,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ ½ cup unsalted butter softened to room temperature,▢ ¾ cup light brown sugar,▢ 1 large egg room temperature,Fun Cookie Recipes,https://funcookierecipes.com/coffee-cake-cookies/,▢ 1 teaspoon pure vanilla extract,▢ 1 cup powdered sugar,▢ 1-2 tablespoons milk or heavy cream,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amish Sugar Cookies,Diana,"October 3, 2024",NA,5,3,NA,Amish Sugar Cookies,10 minutes,10 minutes,NA,20 minutes,60 3″ cookies,7,"Preheat the oven to 350°F (180°C), or 160°C for a fan oven. Line 5 baking sheets with parchment paper and set aside.
In a large bowl, whisk together the flour, salt, cream of tartar, baking powder, and baking soda. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, cream together the butter, granulated sugar and powdered sugar until light and fluffy, about 3-4 minutes. Add the canola oil and beat again for 2-3 minutes.
Add the eggs and vanilla extract to the butter mixture and beat until fully mixed in.
Add the flour mixture to the butter mixture in 2-3 smaller additions, mixing well each time.
Use a small cookie scoop to drop heaping tablespoons of dough 2-3 inches apart onto the prepared baking sheets. Bake in the preheated oven for 8-10 minutes or until lightly golden and puffed up.
Allow to cool 5 minutes before transferring to a wire rack to cool completely.",11,▢ 4 ¾ cups all-purpose flour,▢ 1 teaspoon table salt,▢ 1 teaspoon cream of tartar,▢ ½ teaspoon baking powder,▢ ½ teaspoon baking soda,▢ 1 cup unsalted butter softened to room temperature,▢ 1 cup granulated sugar,▢ 1 cup powdered sugar,▢ 1 cup canola oil,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,NA,Fun Cookie Recipes,https://funcookierecipes.com/amish-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweet Potato Cookies,Diana,"September 12, 2024",NA,5,5,NA,Sweet Potato Cookies,10 minutes,11 minutes,NA,21 minutes,36 2″ Cookies,8,"In a medium bowl, stir together the oats, flour, cinnamon, baking soda, nutmeg, and salt; set aside.
In a separate large bowl, cream the butter and brown sugar together until smooth. Add the egg, sweet potato, and vanilla and mix well.
Add the oat mixture to the butter mixture and stir until thoroughly combined. Fold in the chocolate chips.
Cover and chill for at least 1 hour (or up to overnight).
Preheat the oven to 350°F (180°C), or 160°C for a fan oven. Line 3 baking sheets with parchment paper and set aside.
Drop the cookies by a small cookie scoop (about 1.5-2 tablespoons of dough) 2” apart on the prepared baking sheets. Press extra chocolate chips on top if desired.
Bake in the preheated oven for 9-11 minutes, or until the cookies are lightly golden and have puffed up.
Allow it to cool for 5 minutes before transferring the cookies to a wire rack to cool completely.",12,▢ 2 cups old fashioned rolled oats,▢ 1 ½ cups all-purpose flour,▢ 1 teaspoon ground cinnamon,▢ ½ teaspoon baking soda,▢ ¼ teaspoon ground nutmeg,▢ ¼ teaspoon salt,▢ ½ cup unsalted butter softened to room temperature,▢ 1 cup brown sugar,▢ 1 large egg,▢ ¾ cup mashed sweet potato,▢ 1 teaspoon vanilla extract,"▢ ¾ cup semi-sweet chocolate chips plus more for decorating, optional",Fun Cookie Recipes,https://funcookierecipes.com/sweet-potato-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Cranberry Biscotti,Diana,"August 29, 2024",NA,5,1,NA,Orange Cranberry Biscotti,15 minutes,50 minutes,NA,5 minutes,24 Pieces,10,"Preheat the oven to 325°F/160°C (130°C fan oven). Line a baking sheet with parchment paper and set aside
In a medium bowl, whisk together the flour, baking powder, baking soda and salt; set aside.
In a large bowl, cream together the butter, sugar and orange zest until combined. Add the eggs, orange juice and vanilla and mix well.
Add the flour mixture to the butter mixture and mix well. Dough will be thick and sticky. Fold in the dried cranberries until evenly distributed.
Spoon the dough into two logs about 2’x12” and use greased fingers to smooth.
Bake in the preheated oven for 20-25 minutes, or until lightly golden and firm to the touch
Remove from the oven and allow to cool completely, about 30-40 minutes.
Slice on the bias about 1” thick, return to the baking sheet, cut side down, and bake for 15-20 minutes, turning once halfway through. Allow to cool completely.
Melt the chocolate in 30 second intervals in the microwave, stirring after each. Stir in the coconut oil, a little at a time, until desired consistency is reached.
Dip or drizzle white chocolate on each piece of biscotti. Garnish with chopped nuts or extra orange zest if desired.",13,▢ 3 cups all-purpose flour,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ ½ cup unsalted butter softened to room temperature,▢ 1 cup granulated sugar,▢ 1 tablespoon orange zest from 2-3 medium oranges,▢ 2 large eggs at room temperature,▢ 2 tablespoons fresh squeezed orange juice from ½ medium orange,▢ ½ teaspoon vanilla extract,▢ ¾ cup dried cranberries,▢ 4 oz. white chocolate chopped,Fun Cookie Recipes,https://funcookierecipes.com/orange-cranberry-biscotti/,▢ ½ – 1 tablespoon coconut oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whipped Shortbread Cookies,Diana,"August 22, 2024",NA,5,8,NA,Whipped Shortbread Cookies,15 minutes,18 minutes,NA,33 minutes,22 3″ cookies,7,"Preheat the oven to 300°F (150°C), or 130°C for a fan oven. Line 2 cookie sheets with parchment paper or a silicone mat and set aside.
Add the butter and powdered sugar to the bowl of a stand mixer fitted with the paddle attachment and whip on high speed until light and fluffy, scraping down the sides as needed, about 5 minutes. The butter will be very pale.
Add the vanilla extract and mix again.
Add the flour and cornstarch, then mix until smooth.
Using a small cookie scoop, drop the cookie dough onto the prepared sheet 2 inches apart.
Using a fork, gently press the dough balls down slightly. If the fork sticks to the dough, dip it in powdered sugar before pressing on the cookies. Sprinkle the sprinkles on if using, then bake in the oven for 15-18 minutes, or until the cookies are puffed and lightly golden.
Allow to cool for 5 minutes before transferring to a wire rack to cool completely.",7,▢ 1 cup unsalted butter softened to room temperature,▢ ¾ cup powdered sugar,▢ 2 teaspoons vanilla extract,▢ 1 ¾ cup all-purpose flour,▢ ¼ cup cornstarch cornflour in the UK,▢ ¼ teaspoon salt,▢ 2 tablespoons sprinkles optional,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/whipped-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
