title,author,rating,ratingnum,card1,card2,card3,card4,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42
Amish Sugar Cookies,Amanda Rettke,4.94,45,Prep Time 15 minutes mins,Cook Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,9," 4 ½ cups (576 g) all-purpose flour
"," 1 teaspoon baking soda
"," 1 teaspoon cream of tartar
"," 1 cup (2 sticks / 226g) salted butter, room temperature
"," 1 cup (224g or 8 ounces) vegetable oil
"," 1 cup (200g) granulated sugar
"," 1 cup (125g) confectioners sugar
"," 2 (3.50 ounces – 4.0 ounces) large eggs, room temperature
", 2 teaspoons vanilla extract,i am baker,https://iambaker.net/amish-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookie with Sugar Cookie Frosting,Amanda Rettke,4.63,27,Prep Time 20 minutes mins,Cook Time 12 minutes mins,NA,Total Time 32 minutes mins,NA,15,"Sugar Cookie
"," 1 cup (2 sticks / 226 g) unsalted butter, softened
"," 1 ¼ cups (250 g) granulated sugar
"," ¾ cup (94 g) confectioners' sugar
"," ¾ cup (168 g) vegetable oil
"," 3 large eggs, room temperature
"," 5 ½ cups (688 g) all-purpose flour
"," 1 teaspoon cream of tartar
", 1 teaspoon kosher salt,i am baker,https://iambaker.net/sugar-cookie-recipe-sugar-cookie-frosting/," Sugar Cookie Frosting
"," ½ cup (1 stick / 113 g) unsalted butter, softened
"," ¾ cup (173 g) sour cream, room temperature
"," 1 teaspoon kosher salt
"," 4-5 cups (440-550 g) confectioners' sugar
", red food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Chex Cookies,Amanda Rettke,4.80,5,Prep Time 10 minutes mins,NA,Cooling Time 30 minutes mins,Total Time 40 minutes mins,NA,7," 1 cup (200g) granulated sugar
"," 1 cup (340g) corn syrup
"," 1 teaspoon vanilla
"," 1 1/2 cups (387g) creamy peanut butter
"," 5 cups Chex cereal, I used Rice Chex
"," pinch salt
", 2 cups mini marshmallows,NA,NA,i am baker,https://iambaker.net/no-bake-chex-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Honey Chocolate Chip Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 8 minutes mins,NA,Total Time 18 minutes mins,NA,10," ½ cup (1 stick / 113 g) unsalted butter, softened
"," ½ cup (100 g) light brown sugar, packed
"," ¼ cup (85 g) honey
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 1 ¾ cups (219 g) all-purpose flour
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
"," 1 cup (170 g) semi-sweet chocolate chunks
",i am baker,https://iambaker.net/salted-honey-chocolate-chip-cookies/," Flaky sea salt, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thick and Chewy Chocolate Toffee Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,14," ¾ cup (1 ½ sticks / 170 g) unsalted butter, cold, cut into cubes
"," 1 cup (200 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 1 large egg, room temperature
"," 1 large egg yolk, room temperature
"," 2 teaspoons vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ⅔ cup (67 g) cake flour
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/chocolate-toffee-cookies/," 1 teaspoon baking powder
"," ½ teaspoon baking soda
"," ¾ cup (126 g) semi-sweet chocolate chips
"," ¾ cup (126 g) milk chocolate chips
"," ¾ cup (120 g) toffee bits, like Bits O' Brickle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Brownie Cookies,Amanda Rettke,NA,NA,Prep Time 30 minutes mins,Cook Time 12 minutes mins,Chilling Time 50 minutes mins,Total Time 1 hour hr 32 minutes mins,NA,22,"Brownie Cookie Dough
"," ½ cup (84 g) semi-sweet chocolate chips
"," ¼ cup (½ stick / 57 g) unsalted butter
"," 2 tablespoons Dutch-process cocoa powder
"," ⅔ cup (133 g) light brown sugar, packed
"," 1 large egg, room temperature
"," ⅔ cup (83 g) all-purpose flour
"," 1 teaspoon baking powder
", ½ teaspoon kosher salt,i am baker,https://iambaker.net/ginger-brownie-cookies/," Ginger Cookie Dough
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened
"," 1 cup (200 g) light brown sugar, packed
"," 1 large egg, room temperature
"," ¼ cup (84 g) molasses
"," 2 ½ cups (312.5 g) all-purpose flour
"," ½ teaspoon baking soda
"," 1 teaspoon baking powder
"," ½ teaspoon kosher salt
"," 2 teaspoons ground ginger
"," 1 teaspoon ground cinnamon
"," ¼ teaspoon cloves
", ¼ teaspoon nutmeg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cut Out Chocolate Sugar Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,NA,9," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (200 g) granulated sugar
"," 1 teaspoon vanilla extract
"," 1 large egg, room temperature
"," 2 ¼ cups (281 g) all-purpose flour
"," ¾ cup (94 g) Dutch-process cocoa powder
"," 1 tablespoon cornstarch
"," 1 teaspoon baking powder
", ½ teaspoon kosher salt,i am baker,https://iambaker.net/cut-out-chocolate-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Chip Cookies,Amanda Rettke,5,2,Prep Time 15 minutes mins,Cook Time 8 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 23 minutes mins,NA,11," 1 cup (2 sticks / 227) unsalted butter, room temperature
"," 1 ½ cups (300 g) granulated sugar
"," 3 large eggs, room temperature
"," 1 teaspoon peppermint extract
"," 10 drops green food coloring
"," 3 cups (375 g) all-purpose flour
"," 2 teaspoons baking powder
"," 1 teaspoon baking soda
"," ½ teaspoon cream of tartar
",i am baker,https://iambaker.net/mint-chocolate-chip-cookies-recipe/," ½ teaspoon kosher salt
"," 12 ounces (about 2 cups) semi-sweet chocolate chips, half finely chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Kiss Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,NA,11," 3 cups (375 g) all-purpose flour
"," 1 tablespoon gingerbread spice mix*
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened
"," ¾ cup (150 g) light brown sugar, packed
"," ½ cup (168.5 g) molasses
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
",i am baker,https://iambaker.net/gingerbread-kiss-cookies/," 46 Hershey's chocolate kisses
"," ¼ cup (50 g) granulated sugar, for rolling the dough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peppermint Crinkle Cookies,Amanda Rettke,5,3,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Chilling Time 4 hours hrs,Total Time 4 hours hrs 25 minutes mins,NA,9," 2 cups (400 g) granulated sugar
"," 1 cup (118 g) unsweetened cocoa powder
"," ½ cup (109 g) vegetable oil
"," 4 large eggs, room temperature
"," 2 teaspoons peppermint extract
"," 2 cups (250 g) all-purpose flour
"," 2 teaspoons baking powder
"," ½ teaspoon kosher salt
", ½ cup (62.5 g) confectioners' sugar,i am baker,https://iambaker.net/chocolate-peppermint-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
