title,author,up_date,rating,ratingnum,comments,category,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20
Banana Oatmeal Chocolate Chip Cookies,Kate Dean,"January 2, 2026",NA,NA,Leave a comment,Cookies,Dessert,American,15 minutes,10 minutes,NA,25 minutes,18 cookies,8,"Preheat oven to 350 degrees F. Line baking sheets with parchment paper. Set aside.
In the bowl of your stand mixer fitted with the paddle attachment or with an electric hand mixer in a large bowl, beat together butter and sugars until well combined.
Add the banana, egg yolk, and vanilla. Mix until combined.
Add flour, baking soda, and salt. Stir in until just combined.
Stir in oats and chocolate chips.
Use a 1 ½ tablespoon cookie scoop to scoop cookie dough and place on prepared baking sheets, about 2 inches apart.
Bake for about 10-15 minutes, or until cookies are set around the edges but still soft in the center.
Let cookies cool completely before removing from the baking sheets.",11,▢ ½ cup unsalted butter at room temperature,▢ ½ cup light brown sugar packed,▢ ⅓ cup granulated sugar,▢ ½ cup mashed banana about 2 small bananas or 1 large,▢ 1 large egg yolk,▢ ½ teaspoon vanilla extract,▢ 1 ½ cups all-purpose flour,▢ ½ teaspoon baking soda,▢ ¼ teaspoon kosher salt,▢ 1 cup old fashioned oats,▢ ⅔ cup semi sweet chocolate chips,I Heart Eating,https://www.ihearteating.com/banana-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitchen Sink Cookie Recipe,Kate Dean,"December 27, 2025",5,2,4 Comments,Cookies,Dessert,American,15 minutes,15 minutes,NA,NA,15 cookies,9,"Preheat oven to 325F. Line baking sheets with parchment paper. Set aside.
In a large bowl, whisk butter and sugars together until well combined.
Whisk in egg, egg yolk, and vanilla until combined.
Add flour, baking soda, and salt. Use a rubber spatula to mix again until just combined.
Add pretzels, potato chips, chocolate chips, caramel chips, and mini M&Ms. Mix until just incorporated. You may need to use your hands to mix it in if that’s easier.
Scoop ¼ cup of batter at a time and form into balls. Place on the baking sheets about 3 inches apart. Lightly flatten each ball with your hand.
Top with additional pretzels, chips, chocolate chips, or M&Ms.
Bake for about 15-20 minutes, or until edges of the cookies are lightly browned and middles are just set.
Let cookies cool completely on the baking sheet before removing.",14,▢ ¾ cup unsalted butter melted and cooled slightly,▢ 1 ¼ cups light brown sugar,▢ ¼ cup granulated sugar,▢ 1 large egg at room temperature,▢ 1 large egg yolk at room temperature,▢ 1 tablespoon vanilla extract,▢ 3 cups sifted all-purpose flour,▢ ½ teaspoon baking soda,▢ ¼ teaspoon kosher salt,▢ ½ cup pretzels broken into pieces (I used sticks but any kind should work!),▢ ½ cup potato chips lightly crushed,I Heart Eating,https://www.ihearteating.com/kitchen-sink-cookies/,▢ ¼ cup semi sweet chocolate chips,▢ ¼ cup caramel or butterscotch chips,▢ ¼ cup mini M&Ms,NA,NA,NA,NA,NA,NA
Danish Butter Cookie Recipe,Kate Dean,"December 6, 2025",5,1,2 Comments,Cookies,Dessert,American,20 minutes,15 minutes,NA,5 minutes,36 cookies,13,"Prepare three baking sheets by lining them with parchment paper or silicone baking mats.
To the bowl of a stand mixer fitted with the paddle attachment, add the butter and powdered sugar. Beat until light and fluffy, about 3-5 minutes.
Add vanilla and almond extract. Beat again to fully combine, scraping down the sides of the bowl as needed.
In a large bowl, add flour, cornstarch, and salt. Whisk to combine.
Add the flour mixture to the bowl with the butter. Beat again until just combined.
Add milk. Mix again.
Transfer cookie dough to a piping bag with a large star tip.
Pipe the dough onto the prepared baking sheets, leaving about 2 inches between each one. If the dough is too hard to pipe, you can add a little more milk at a time to make it more pipeable.
Place the baking trays with the piped cookie dough into the fridge to chill for at least 30 minutes.
Preheat oven to 325F.
Sprinkle raw sugar on top of the cookies.
Bake for about 15-20 minutes, or until the edges just start to turn golden brown.
Allow cookies to cool completely on the baking sheet.",9,▢ 1 cup unsalted butter at cool room temperature,▢ ½ cup powdered sugar,▢ 1 teaspoon vanilla extract,▢ ¼ teaspoon almond extract,▢ 2 ¼ cups all purpose flour properly measured,▢ ¼ cup cornstarch,▢ ½ teaspoon kosher salt,▢ ½ cup milk plus more as needed,▢ Raw sugar for decorating,NA,NA,I Heart Eating,https://www.ihearteating.com/danish-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
German Chocolate Thumbprint Cookies,Kate Dean,"December 5, 2025",NA,NA,Leave a comment,Cookies,Dessert,American,15 minutes,20 minutes,NA,50 minutes,28 cookies,16,"Preheat oven to 350 F. Line cookie sheets with silicone baking mat or parchment paper. Set aside.
Beat butter together with granulated sugar and brown sugar together in a large bowl until well-combined. Scrape down sides of the bowl.
Mix in egg until incorporated.
Mix in melted chocolate and vanilla extract.
Add flour, cocoa powder, baking powder, and salt. Mix in just until combined.
Scoop dough by level tablespoon and roll into a ball.
Press your thumb into the center of each ball.
Bake for about 8-11 minutes or until the edges are set. If cookie centers puff up during baking, press again with the back of a small measuring spoon.
Once your cookies are all baked, start working on your filling. To make the filling, To make the topping, add the egg yolks, evaporated milk, and brown sugar to a medium saucepan. Whisk until combined.
Add butter.
Heat saucepan over low heat. Cook for 10 minutes, whisking regularly, until mixture has thickened. Remove from heat.
Whisk in vanilla extract.
Add coconut and pecans, and stir in.
Let topping cool for 15 minutes.
Fill the centers with 1 teaspoon of the coconut mixture.
Let the cookies cool to room temperature before serving.",17,▢ ½ cup salted butter at cool room temperature,▢ ½ cup granulated sugar,▢ ½ cup light brown sugar packed,▢ 1 large egg,▢ 2 ounces German’s sweet baking chocolate melted,▢ 2 teaspoons vanilla extract,▢ 1 ¾ cups all-purpose flour please see the note below about measuring flour,▢ 3 tablespoons unsweetened cocoa powder,▢ 1 ½ teaspoons baking powder,▢ ¼ teaspoon salt,▢ 1 egg yolk,I Heart Eating,https://www.ihearteating.com/german-chocolate-thumbprint-cookies/,▢ ⅓ cup evaporated milk,▢ ½ cup light brown sugar packed,▢ 1 ½ tablespoons salted butter,▢ ¼ teaspoon vanilla extract,▢ ¾ cup sweetened shredded coconut,▢ ½ cup finely chopped pecans,NA,NA,NA
Chocolate Caramel Thumbprint Cookies,Kate Dean,"December 3, 2025",NA,NA,Leave a comment,Cookies,Dessert,American,15 minutes,12 minutes,NA,27 minutes,28 cookies,17,"Preheat oven to 350 F. Line cookie sheets with silicone baking mat or parchment paper. Set aside.
Beat butter together with granulated sugar and brown sugar together in a large bowl until well-combined. Scrape down sides of the bowl.
Mix in egg until incorporated.
Mix in melted chocolate and vanilla extract.
Add flour, cocoa powder, baking powder, and salt. Mix in just until combined.
Scoop dough by level tablespoon and roll into a ball.
Add the beaten egg white to a shallow dish and the chopped pecans to a separate shallow dish.
Roll balls in egg white, then in nuts to coat.
Place 2-inches apart on prepared baking sheets.
Press your thumb into the center of each ball.
Bake for about 8-11 minutes or until the edges are set. If cookie centers puff up during baking, press again with the back of a small measuring spoon.
Meanwhile, in a small saucepan heat and stir caramels and heavy cream over low until melted and smooth.
Immediately fill cookie centers with melted caramel mixture. If necessary, reheat mixture to keep it soft and melted. Remove cookies; cool on wire racks.
Melt chocolate chips and coconut oil. Cool slightly.
Transfer to a resealable plastic bag; cut a small hole in one corner of the bag.
Drizzle a little of the chocolate over cookies.
Let stand until chocolate is set.",16,▢ ½ cup salted butter at cool room temperature,▢ ½ cup granulated sugar,▢ ½ cup light brown sugar packed,▢ 1 large egg,▢ 2 ounces semi-sweet baking chocolate melted,▢ 2 teaspoons vanilla extract,▢ 1 ¾ cups all-purpose flour please see the note below about measuring flour,▢ ¼ cup unsweetened cocoa powder,▢ 1 ½ teaspoons baking powder,▢ ¼ teaspoon salt,▢ 1 egg white lightly beaten,I Heart Eating,https://www.ihearteating.com/chocolate-caramel-thumbprint-cookies/,▢ 1 ¼ cups very finely chopped pecans,"▢ 16 caramels like Kraft caramels, unwrapped",▢ 2-3 tablespoons heavy cream,▢ ½ cup semisweet chocolate chips,▢ 1 teaspoon coconut oil,NA,NA,NA,NA
Cinnamon Roll Cookie Recipe,Kate Dean,"December 2, 2025",NA,NA,Leave a comment,Cookies,Dessert,American,20 minutes,8 minutes,NA,28 minutes,20 cookies,16,"Line a small baking sheet with parchment paper.
Make the cinnamon roll filling: Add butter, brown sugar, flour, and cinnamon to a medium bowl. Use a hand mixer to cream everything together until it becomes light and fluffy, about 3-5 minutes or until the sugar is almost dissolved.
Scoop ½ teaspoon sized portions of the filling onto the prepared baking sheet. Place in the freezer.
To make the cookie dough: To the bowl of your stand mixer, fitted with the paddle attachment, add butter and sugar. Beat until light and fluffy.
Add in eggs and vanilla. Beat again until combined.
Add flour, cream of tartar, baking soda, and salt. Mix until just combined.
Sprinkle ⅓ of the frozen filling on top of the dough. Lightly fold it into the dough, careful not to overmix or blend the filling too much. (You still want pockets of cinnamon sugar instead of swirls).
Continue with the remaining ⅔ of filling in 2 more rounds of mixing.
Cover dough with plastic wrap and refrigerate for at least 1 hour.
Preheat oven to 375 F. Line baking sheets with parchment paper.
In a shallow dish, stir together the cinnamon and sugar for rolling.
Using a 1 ½ tablespoon cookie scoop, scoop balls of cookie dough. Roll into a ball, then roll in the cinnamon sugar mixture.
Place about 2 inches apart on the prepared baking sheets. Leave plenty of space between each cookie to allow them to spread.
Bake for about 8-9 minutes, until cookies are lightly set but look a little doughy in the center. The filling might seep out a little bit, but if you use an upside down glass or a round cookie cutter around the perimeter of the cookie, you can swirl the cookies back into a round shape. Let cool completely on the baking sheet.
To make the icing: In a small bowl, whisk together the powdered sugar and milk.
Drizzle over the cooled cookies. Let icing set before serving.",16,▢ 3 tablespoons unsalted butter at room temperature,▢ 6 tablespoons light brown sugar,▢ 1 tablespoon all purpose flour,▢ 1 tablespoon ground cinnamon,▢ ½ cup unsalted butter at room temperature,▢ ¾ cup granulated sugar,▢ 2 large eggs,▢ ½ teaspoon vanilla extract,▢ 1 ⅔ cups all purpose flour,▢ ½ teaspoon cream of tartar,▢ ½ teaspoon baking soda,I Heart Eating,https://www.ihearteating.com/cinnamon-roll-cookies/,▢ ¼ teaspoon kosher salt,▢ ½ cup granulated sugar,▢ 1 teaspoon ground cinnamon,▢ ½ cup powdered sugar,▢ 1 tablespoon milk,NA,NA,NA,NA
Snowball Kiss Cookies,Kate Dean,"November 25, 2025",NA,NA,2 Comments,Cookies,Dessert,American,20 minutes,10 minutes,NA,30 minutes,20 cookies,14,"In the bowl of your stand mixer, fitted with the paddle attachment, add butter and powdered sugar. Beat until light and fluffy, about 3-5 minutes.
Mix in the vanilla until combined.
Add flour and salt. Stir until just combined.
Add the nuts. Stir again to combine.
Cover and refrigerate dough for 1-2 hours.
Preheat oven to 350 F. Line 2 baking sheets with parchment paper or silicone baking mats.
Roll dough into 1-inch balls.
Place a Hershey kiss in the center of each dough ball.
Roll the dough around the kiss to enclose it in the ball.
Add 1 cup of powdered sugar to a shallow bowl. Roll in powdered sugar to coat the outside.
Place spaced apart on the baking sheets.
Bake for about 10-13 minutes.
Cool cookies completely on a wire rack.
Add the remaining 1 cup powdered sugar to a separate shallow bowl, and re-roll the cooled cookies in the powdered sugar.",8,▢ 1 cup unsalted butter at room temperature,▢ ¾ cup powdered sugar,▢ 2 teaspoon vanilla extract,▢ 2 ¼ cups all purpose flour,▢ ½ teaspoon kosher salt,▢ ¾ cup finely chopped toasted pecans,▢ 20 Hershey kisses unwrapped,"▢ 2-2 ½ cups powdered sugar divided, for rolling",NA,NA,NA,I Heart Eating,https://www.ihearteating.com/snowball-kiss-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thumbprint Cookie Recipe,Kate Dean,"December 6, 2025",NA,NA,Leave a comment,Cookies,Dessert,American,18 minutes,12 minutes,NA,30 minutes,21 cookies,12,"Preheat oven to 350 F. Line 2 baking sheets with parchment paper or silicone baking mat. Set aside.
In a medium bowl, whisk together flour, baking powder, baking soda, and salt. Set aside.
In the bowl of your stand mixer fitted with the paddle attachment, beat together butter, sugar, and brown sugar until fluffy and combined, about 2-3 minutes.
Add egg and vanilla. Mix until combined.
Add flour mixture to the wet ingredients. Stir until just combined and a cookie dough forms.
Using a small cookie scoop, scoop the dough into balls.
Add the remaining granulated sugar to a small, shallow dish, and roll balls in a sugar to coat the outside.
Place evenly spaced about 2 inches apart on the baking sheets.
Use your thumb to press an indentation into the center of each cookie.
Spoon ½ teaspoon of jam into the well of each cookie dough. Repeat with all cookies.
Bake for about 12-18 minutes, or until lightly golden brown.
Let cool completely on the baking sheet.",11,▢ 2 cups all purpose flour,▢ ½ teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon kosher salt,▢ ½ cup unsalted butter at room temperature,▢ ½ cup granulated sugar,▢ ¼ cup light brown sugar lightly packed,▢ 1 large egg,▢ 1 ½ teaspoons vanilla extract,▢ ¼ cup thick jam or preserves any flavor,▢ ¼ cup granulated sugar for rolling,I Heart Eating,https://www.ihearteating.com/thumbprint-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Candy Cane Cookies,Kate Dean,"November 21, 2025",NA,NA,Leave a comment,Cookies,Dessert,American,15 minutes,8 minutes,NA,23 minutes,20 cookies,14,"Preheat the oven to 350 F. Line 2 baking sheets with parchment paper or silicone baking mats.
Microwave the butter in a large, microwave-safe bowl for about 40 seconds. Butter should be about 90% melted.
Whisk the butter until it is completely melted.
Add the sugars; mix until well-combined.
Stir in vanilla extract, peppermint extract, and egg until incorporated.
Add the flour, cocoa powder, baking soda, and salt. Please read the recipe note about properly measuring flour.
Mix dough until just combined. Dough should be soft and a little sticky but not overly sticky.
Stir in chocolate chips and white chocolate chips.
Scoop out 1.5 tablespoons of dough (medium cookie scoop) and place 2 inches apart on baking sheet.
Bake for 7-10 minutes, or until cookies are set. They will be puffy and still look a little underbaked in the middle.3
To decorate, put the chopped white chocolate into a heat proof bowl and microwave in 15 second intervals, stirring between, until melted.
Dip half the cooled cookies into the melted white chocolate and place back on to the wire cooling rack.
Scatter the crushed peppermint candies on top of the white chocolate while it's wet.
Leave the chocolate to set at room temperature.",14,▢ ½ cup salted butter,▢ ¾ cup light brown sugar packed,▢ ¼ cup granulated sugar,▢ ½ teaspoon vanilla extract,▢ ½ teaspoon peppermint extract,▢ 1 large egg,▢ 1 ⅓ cups all-purpose flour,▢ ⅓ cup unsweetened cocoa powder,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ ½ cup semisweet chocolate chips,I Heart Eating,https://www.ihearteating.com/chocolate-candy-cane-cookies/,▢ ¼ cup white chocolate chips,▢ 6 ounces white chocolate finely chopped,▢ ½ cup crushed peppermint candies,NA,NA,NA,NA,NA,NA
Peanut Butter Oatmeal Cookies,Kate Dean,"July 30, 2025",NA,NA,4 Comments,Cookies,Dessert,American,15 minutes,10 minutes,NA,55 minutes,32 cookies,13,"In a large bowl, beat the butter on medium speed until smooth, about 1 minute.
Add the granulated sugar and brown sugar and beat on medium speed until creamed, about 2 minutes.
Add the eggs, peanut butter, and vanilla, and mix on high speed until combined, about 1 minute. Scrape down the sides of the bowl.
Stir in the flour, baking powder, baking soda, and salt just until combined.
Add the oats and chopped peanuts. Stir in until incorporated. The dough will be sticky.
Cover and chill the dough for at least 30 minutes. If chilling for longer than 1 hour, let the dough sit at room temperature while you preheat the oven to come up in temperature.
Preheat the oven to 350°F. Line baking sheets with parchment paper or silicone baking mats. Set aside.
Scoop 2 tablespoons of dough and roll into a ball.
Place the dough 2-3 inches apart on the prepared baking sheets.
Bake for about 10-14 minutes, or until lightly browned on the sides. The centers will look soft and underbaked but the edges will be set.
Remove from the oven and let cool on the baking sheet for 5 minutes.
Sprinkle with flaky salt.
Transfer to a wire cooling rack to cool to room temperature.",13,▢ 1 cup salted butter at to room temperature,▢ ¾ cup granulated sugar,▢ ¾ cup light brown sugar packed,▢ 2 large eggs at room temperature,▢ 1 cup creamy peanut butter not natural peanut butter,▢ 1 teaspoon vanilla extract,▢ 1 ½ cups sifted all-purpose flour,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon kosher salt,▢ 2 cups old-fashioned rolled oats,I Heart Eating,https://www.ihearteating.com/peanut-butter-oatmeal-cookies/,▢ ½ cup chopped peanuts,▢ Flaky finishing salt,NA,NA,NA,NA,NA,NA,NA
