title,author,rating,ratingnum,categories,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
M&M Cookie Recipe,Jamielyn Nye,4.99,936," Categorized as: 4th of July, American, Chocolate, Chocolate Chip Cookies, Cookies, Desserts, Kid-Friendly, Reader Favorites ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,Refrigerate: 15 minutes mins,Total Time: 40 minutes mins,Servings: 24,5,"Prep. Preheat the oven to 375°F. Line two baking sheets with silicone baking mats or parchment paper.
Cream butter and sugar. In a large bowl, using a mixer, cream 1 cup softened butter, 1 cup brown sugar and 3/4 cup granulated sugar for 1 minute. Add 2 eggs and 2 teaspoons vanilla and mix until combined.
Add dry ingredients then chill dough. Add 3 cups flour, 1 teaspoon baking soda and 1 teaspoon salt and stir mix just until combined. Fold in 1 cup chocolate chips and 1 cup M&M’s. Refrigerate dough for 15 to 60 minutes (up to 24 hours) if time allows.
Scoop dough. Using a large cookie scoop (about 3 Tablespoons), scoop the cookie dough onto the baking sheet about 2 inches apart. Place extra M&M’s on the top of the cookies if desired.
Bake. Bake for 7-10 minutes, or until the edges are barely golden brown. Allow cookies to set on pan for 2 minutes, and then remove to a cooling rack. Store in an airtight container for up to 3 days.",10,"1 cup unsalted butter , just barely softened","1 cup light brown sugar , packed",¾ cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,3 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon salt,1 cup chocolate chips,"1 cup M&M’s , plus more for tops if desired",I Heart Naptime,https://www.iheartnaptime.net/best-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookies,Jamielyn Nye,5,137," Categorized as: American, Birthdays, Christmas, Cookies, Desserts, Freezer-Friendly, Frosted Cookies, Holiday Cookies, Kid-Friendly, Nut-Free, Valentine's Day, Vegetarian ",Prep Time: 20 minutes mins,Cook Time: 8 minutes mins,Refrigerate: 1 hour hr,Total Time: 1 hour hr 28 minutes mins,Servings: 30,7,"Cream sugar and butter. In a large bowl, mix together 1 cup butter and 1 3/4 cup granulated sugar. Beat until creamy. Add in 2 eggs, 1 teaspoon vanilla, 1/4 teaspoon lemon extract and 1 cup sour cream and mix together until combined.
Dry ingredients. In a separate bowl, mix together 5 1/2 cups flour, 1 1/2 teaspoons baking soda, 1 teaspoon baking powder and 1/2 teaspoon salt. Slowly add dry ingredients to the wet ingredients. Mix just until combined.
Chill dough. Split dough in two and press flat in saran wrap (this will make it easier to roll out later). Refrigerate dough for 1-2 hours.
Cut-out cookies. Once dough has chilled, preheat oven to 350°F. Roll out dough on a baker's mat  to about 1/4"" thick. Add up to another 1/4 cup flour if dough is still sticky. Cut with floured cookie cutter.
Bake. Bake for 8-9 minutes, until edges are slightly golden. Then allow to cool on pan for 2 minutes and then transfer to a cooling rack. 
Combine. For the buttercream, combine 3/4 cup butter, 3 1/2 cups powdered sugar, 3-4 Tablespoons heavy cream and 1 teaspoon vanilla in a medium-sized bowl. Feel free to add in food coloring. Mix with an electric mixer until smooth.
Frost. Frost buttercream on cooled cookies and serve. :)",14,"1 cup unsalted butter , at room temp",1 ¾ cups granulated sugar,"2 eggs , at room temp",1 teaspoon vanilla extract,"¼ teaspoon lemon or almond extract , whichever flavor you prefer",1 cup sour cream,5 ½ cups all-purpose flour,1 ½ teaspoons baking soda,1 teaspoon baking powder,½ teaspoon Kosher salt,I Heart Naptime,https://www.iheartnaptime.net/soft-sugar-cookies/,¾ cup butter,3 ½ cups powdered sugar,3-4 Tablespoons heavy cream,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Cookies,Jamielyn Nye,4.96,21," Categorized as: American, Chocolate, Chocolate Chip Cookies, Cookies, Desserts, Reader Favorites ",Prep Time: 20 minutes mins,Cook Time: 8 minutes mins,NA,Total Time: 28 minutes mins,Servings: 36,5,"Preheat oven to 350°F. Line two baking sheets with a baking mat or parchment paper and set aside.
Melt 1 stick of the butter in a pan over medium-heat. Cook for about 3-5 minutes, swirling the pan every so often. Allow the butter to brown (when it turns an amber golden color and has a nutty aroma, it’s done). Remove from the heat and then pour into a bowl and chill for 5 minutes.
In a large bowl, combine the remaining 1/2 cup softened butter, brown sugar and sugar. Mix for 1 minute, until smooth and creamy. Then add in the melted brown butter and stir until combined. Mix in the eggs and vanilla. Then add the flour, salt and baking soda. Mix until well combined. Stir in the chocolate chips. Chill dough up to 30 minutes if desired. 
Scoop cookie dough onto the prepared pan, about 2 inches apart. Bake for 7-9 minutes, or just until the edges are golden brown, while the center is still slightly doughy. 
Remove from oven and allow the cookies to cool for a few minutes on the pan. Add a few extra chocolate chips on top of the cookies and sprinkle with flaked salt if desired. Then move to a cooling rack. Enjoy with a cold class of milk!",9,1 cup unsalted butter (2 sticks at room temp),1 ½ cups light brown sugar,½ cup granulated sugar,2 large eggs,2 ½ teaspoons vanilla extract,3 cups all-purpose flour,1 teaspoon fine sea salt (or kosher),1 teaspoon baking soda,1-2 cup chocolate chips (I do a mix of semi-sweet and milk),NA,I Heart Naptime,https://www.iheartnaptime.net/brown-butter-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Oatmeal Cookies,Jamielyn Nye,4.97,276," Categorized as: American, Christmas, Cookies, Desserts, Freezer-Friendly, Oatmeal Cookies, Reader Favorites ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 36,5,"Preheat the oven to 350°F. Line a baking sheet with parchment paper or a silicone mat. 
Cream the butter and sugars in a large mixing bowl. Add eggs and vanilla and mix until combined. 
Add flour, salt, baking soda, baking powder (and cinnamon if desired). Stir just until combined. Then mix in the oats. 
Use a medium cookie scoop and scoop onto the prepared baking sheets. Bake for 8 minutes, or until the edges are just light golden brown (the centers should look a little underdone). Take them out a little early for softer cookies and bake them a little longer for crispier cookies. 
Let cookies rest on the pan for 2 minutes and then transfer to a cooling rack. ",10,1 cup unsalted butter,"1 cup (215 grams) light brown sugar , packed",¾ cup (150 grams) granulated sugar,2 large eggs,2 teaspoons vanilla extract,2 ⅓ cups (315 grams) all-purpose flour,1 teaspoon salt,2 teaspoons baking soda,½ teaspoon baking powder,2 cups (200 grams) old-fashioned oats,I Heart Naptime,https://www.iheartnaptime.net/oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Mix Cookie Recipe,Jamielyn Nye,4.99,608," Categorized as: American, Cake Mix Cookies, Cookies, Desserts, Reader Favorites, White Chocolate Cookies ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 24,4,"Preheat the oven to 350°F. Line a baking sheet with a silicone mat or parchment paper and set aside.
In a large bowl, stir the cake mix, oil, and eggs until combined. If you have time, refrigerate the dough 15 to 20 minutes (it will make it a little easier to work with, since it is sticky).
Using a medium scoop or spoon, scoop the dough onto the baking sheet. Top with additional toppings, if desired. Bake 9 to 11 minutes, or until the cookies are set. You don’t want them to brown. 
Let cool a couple minutes on the baking sheet and then transfer to a cooling rack. Store in a covered container up to 3 days. ",3,1 (15.25-ounce) box cake mix,"½ scant cup vegetable oil , or 7 TB melted butter",2 large eggs,NA,NA,NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Peanut Butter Cookies,Jamielyn Nye,5,9," Categorized as: American, Cookies, Desserts ",Prep Time: 5 minutes mins,Cook Time: 9 minutes mins,NA,Total Time: 14 minutes mins,Servings: 12,3,"Preheat oven to 350°F. Line one baking sheet with parchment paper or a baking mat and set aside. Mix together the peanut butter, sugar and egg in a medium bowl. If the dough is too sticky, you can refrigerate for 10-20 minutes.
Roll dough into 12 (1″) balls (I like to use a medium cookie scoop) and drop into the sugar. Roll in sugar and then place onto prepared baking sheet. Press down with a fork creating a cross.
Bake for 8-10 minutes, or until very lightly browned on the bottoms. Remove from oven and let rest on pan for 2 minutes. Remove to a cooling rack and allow to cool.",3,1 cup creamy peanut butter,"½ cup granulated sugar , plus more for rolling",1 egg,NA,NA,NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/3-ingredient-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Cookie Recipe,Jamielyn Nye,5,42," Categorized as: American, Chocolate, Chocolate Cookies, Cookies, Freezer-Friendly, No-Bake, Oatmeal Cookies ",Prep Time: 10 minutes mins,Cook Time: 5 minutes mins,Set Time: 20 minutes mins,Total Time: 15 minutes mins,Servings: 24,4,"Prep. Line two baking sheets with parchment or wax paper. Set aside. 
Boil sugar and butter. Combine 1 3/4 cup sugar, 1/2 cup butter, 1/2 cup milk and 1/3 cup cocoa powder in a saucepan over medium-heat. Bring to a boil (not simmer). Once it reaches a boil, cook for an additional 1 1/2 minutes and then immediately remove from heat. 
Add in peanut butter, oats and vanilla. Stir in 3/4 cup peanut butter and 1 teaspoon vanilla. Add in 2 1/2 cups oats and a pinch of salt. Stir until well coated. 
Drop cookies onto pan and cool. Drop batter by the spoonful onto the lined pan. Let cool until set. Store in an airtight container at room temperature. ",8,1 ¾ cups granulated sugar,"½ cup butter , see notes",½ cup milk,⅓ cup unsweetened cocoa powder,¾ cup creamy peanut butter,1 teaspoon vanilla extract,"2 ½ cups Quick 1 minute oats , see notes",pinch of salt,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/no-bake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Chocolate Chip Cookies,Jamielyn Nye,4.97,500," Categorized as: American, Chocolate, Chocolate Chip Cookies, Cookies, Desserts, Freezer-Friendly, Halloween, Holiday Cookies, Kid-Friendly, Nut-Free, Reader Favorites, Vegetarian ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,Cool Time: 40 minutes mins,Total Time: 1 hour hr 5 minutes mins,Servings: 24,5,"Prep. Preheat the oven to 350°F. Line a baking sheet with parchment paper or a baking mat. 
Wet ingredients. In a large bowl, stir together 1 cup canned pumpkin, 1 cup sugar, 1/2 cup vegetable oil, 1 Tablespoon vanilla and 1 egg until smooth. In a small bowl, dissolve 1 teaspoon baking soda in 1 teaspoon milk and stir into the wet ingredients.
Dry ingredients. In a separate large bowl, mix 2 cups flour, 2 teaspoons baking powder, 1 teaspoon cinnamon, 1 teaspoon pumpkin pie spice, and 1/2 teaspoon salt. Stir the flour mixture into the pumpkin mixture just until you see a few flour streaks. Fold in 1-2 cups chocolate chips until just combined. Do not overmix.
Bake. Using a medium cookie scoop or a spoon, drop cookies about 2 inches apart on the baking sheet. Add a few extra chocolate chips to the tops, if desired. Bake 10 to 13 minutes, or until a toothpick inserted in the center comes out clean and the bottoms are lightly brown. Check 1 and bake 1 to 2 more minutes if the center is not quite done. 
Cool. Let cool 5 minutes before transferring to a cooling rack to cool completely. Store in a covered container. They taste even better the next day!",13,"1 cup (245 g) canned pumpkin puree , don't use the whole can",1 cup (200 g) granulated sugar,"½ cup vegetable oil , can sub with avocado oil",1 large egg,1 Tablespoon vanilla extract,1 teaspoon baking soda,1 teaspoon milk,"2 cups (270 g) all-purpose flour , spooned and leveled",2 teaspoons baking powder,1 teaspoon ground cinnamon,I Heart Naptime,https://www.iheartnaptime.net/pumpkin-chocolate-chip-cookies/,"1 teaspoon pumpkin pie spice , add an extra teaspoon if you like extra spice",½ teaspoon fine sea salt,"1 cup semi-sweet chocolate chips , more if desired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple Chocolate Cookie Recipe,Jamielyn Nye,4.98,117," Categorized as: American, Chocolate, Chocolate Chip Cookies, Chocolate Cookies, Cookies, Desserts, Kid-Friendly ",Prep Time: 20 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 30 minutes mins,Servings: 36,4,"Preheat oven to 350°F. In a large bowl, cream together the butter and sugars. Add the eggs and vanilla and mix until  smooth.
In a separate bowl, whisk together the flour, cocoa, baking soda, baking powder and salt. Gradually add the flour mixture to the sugar mixture and mix just until combined. Add the chocolate chips and then refrigerate the dough for 15 to 20 minutes.
Line two baking sheets with parchment paper. Scoop the dough onto the pan using a large cookie scoop (or about 2 Tablespoons). 
Bake for 8-10 minutes, or until the edges are slightly crisp, yet soft in the middle. Allow to set on the pan for 2 minutes and then move to a cooling rack. Top with flaked sea salt if desired. ",13,"2 sticks unsalted butter , at room temperature",1 ½ cups granulated sugar,"½ cup light brown sugar , packed",2 large eggs,2 ½ teaspoons vanilla extract,2 cups all-purpose flour,¾ cup unsweetened cocoa powder (I like to sub 1/4 cup special dark powder),1 ½ teaspoons baking soda,1 ½ teaspoons baking powder,1 teaspoon fine sea salt,I Heart Naptime,https://www.iheartnaptime.net/triple-chocolate-chip-cookies/,"1 cup semi sweet chocolate chips , or milk chocolate chips",1 cup dark chocolate chunks,"Flake sea salt , optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookies and Cream Cookies,Jamielyn Nye,4.93,13," Categorized as: American, Chocolate, Cookies, Desserts, Freezer-Friendly, Kid-Friendly, Nut-Free, White Chocolate Cookies ",Prep Time: 15 minutes mins,Cook Time: 8 minutes mins,Cool time: 1 hour hr,Total Time: 1 hour hr 23 minutes mins,Servings: 20,6,"Preheat the oven 350°F and line 2 baking sheets with parchment paper. Set aside. 
Cream butter and sugar. Cube the 1/2 cup butter into a large mixing bowl. Mix on medium speed for about 30 seconds to break up the butter. Then add in the 1 1/4 cup sugar and 2 Tablespoons cream and mix for 1 minute or until combined. Next add in the egg, egg yolk, 2 teaspoons vanilla and 1 Tablespoon of water. Mix until combined. 
Add in dry ingredients. Sprinkle the 1/2 teaspoon salt, 1/2 teaspoon baking soda and 1 teaspoon cream of tartar with 1 1/4 cups of the flour and mix until combined. Then add in the remaining 1 1/4 cups flour and mix just until combined. Fold in the 3/4 cup Oreo crumbs and 1/2 cup white chocolate chips. Do not over mix. 
Using a large cookie scoop (or 3 Tablespoons), scoop the dough onto the prepared baking sheets. Gently press down the dough balls a little. Bake for 8-10 minutes, or until the tops are not longer wet. Watch them closely towards the end, you don't want the bottom to turn golden brown or they will not be soft. 
Remove them from the oven and then allow them to cool on the pan for a few minutes and then transfer to a cooling rack. 
Once cookies have cooled, store in an air tight container for up to 3 days. ",13,"½ cup unsalted butter , cold and cubed",1 ¼ cups (250 grams) granulated sugar,2 Tablespoons heavy cream,1 large egg,1 egg yolk,2 teaspoons vanilla extract,"½ teaspoon fine sea salt , or table salt",½ teaspoon baking soda,1 teaspoon cream of tartar,2 ½ cups (330 grams) all-purpose flour,I Heart Naptime,https://www.iheartnaptime.net/cookies-and-cream-cookies/,"1-2 Tablespoons water , optional, if dry","¾ cup crushed Oreos , about 8 oreos",½ cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
