title,author,rating,ratingnum,cuisine,INFOCARDv1,INFOCARDv2,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21
Jacques Torres Chocolate Chip Cookies,By Kim - InsanelyGood,4.9, 13 ,Cuisine: American,Servings18servingsPrep time15minutesCooking time20minutesCalories496kcal,"Servings

18

servings
Prep time

15

minutes
Cooking time

20

minutes
Calories

496

kcal",10,12,2 cups minus 2 tablespoons (8.5 ounces) cake flour,1 2/3 cups (8.5 ounces) bread flour,1 1/4 teaspoons baking soda,1 1/2 teaspoons baking powder,1 1/2 teaspoons coarse salt,"2 1/2 sticks (1 1/4 cups) unsalted butter, softened",1 1/4 cups (10 ounces) light brown sugar,1 cup plus 2 tablespoons (8 ounces) granulated sugar,2 large eggs,2 teaspoons pure vanilla extract,1 1/4 pounds bittersweet (at least 60% cacao content) chocolate discs or féves,"Flaky sea salt, such as Maldon, for topping",Insanely Good Recipes,https://insanelygoodrecipes.com/jacques-torres-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine’s Day Sandwich Cookies,By Kim - InsanelyGood,5.0, 4 ,Cuisine: American,Servings12servingsPrep time40minutesCooking time10minutesCalories408kcal,"Servings

12

servings
Prep time

40

minutes
Cooking time

10

minutes
Calories

408

kcal",14,12,"1 cup (2 sticks) unsalted butter, softened",1 cup granulated sugar,1 medium egg,1 teaspoon pure vanilla extract,2 cups all-purpose flour,3/4 cup unsweetened cocoa powder,1 1/2 teaspoons baking powder,1 teaspoon salt,"1 3/4 sticks unsalted butter, softened",3 1/4 cups powdered sugar,pink gel food coloring,"Valentine’s sprinkles (optional, for decoration)",Insanely Good Recipes,https://insanelygoodrecipes.com/valentines-day-sandwich-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crumbl Birthday Cake Cookies,By Claire Wells,4.5, 14 ,Cuisine: American,Servings12servingsPrep time30minutesCooking time15minutesCalories729kcal,"Servings

12

servings
Prep time

30

minutes
Cooking time

15

minutes
Calories

729

kcal",10,12,"1 1/2 cups salted butter, softened",1 1/2 cups granulated sugar,"3 large eggs, room temperature",1 1/2 teaspoons cake batter flavoring,4 1/2 cups (540g) all-purpose flour,1 tablespoon baking powder,"1/4 cup rainbow sprinkles, plus more for topping","8 ounces cream cheese, softened","1/4 cup butter, softened",1/2 teaspoon cake batter flavoring,4 cups powdered sugar,"1-2 tablespoons milk, as needed",Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-birthday-cake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crumbl Triple Chocolate Chip Cookies,By Kim - InsanelyGood,5.0, 9 ,Cuisine: American,Servings12servingsPrep time20minutesCooking time12minutesCalories494kcal,"Servings

12

servings
Prep time

20

minutes
Cooking time

12

minutes
Calories

494

kcal",9,14,"1 cup unsalted butter, softened to room temperature","1 cup brown sugar, packed",3/4 cup granulated sugar,2 large eggs,1 tablespoon corn syrup,1 tablespoon vanilla extract,2 1/2 cups all-purpose flour,1 cup Dutch-processed cocoa powder,2 teaspoons cornstarch,1 1/2 teaspoons baking soda,1 teaspoon salt,2/3 cup semi-sweet chocolate chips,Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-triple-chocolate-chip-cookies/,2/3 cup milk chocolate chips,2/3 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cake Mix Cookies with Cream Cheese Frosting,By Haley van der Ploeg,5.0, 1 ,Cuisine: American,Servings~36servingsPrep time15minutesCooking time12minutesCalories113kcal,"Servings

~36

servings
Prep time

15

minutes
Cooking time

12

minutes
Calories

113

kcal",7,8,1 (15 ounce) can 100% pumpkin puree,1 large egg,1 (15.25 ounce) box spice cake mix,"8 ounces cream cheese, softened","1/4 cup unsalted butter, softened",1 teaspoon vanilla extract,pinch salt,2-3 cups powdered sugar,NA,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/pumpkin-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Oatmeal Cookies,By Kim - InsanelyGood,4.4, 29 ,Cuisine: American,Servings16-18servingsPrep time10minutesCooking time15minutesCalories92kcal,"Servings

16-18

servings
Prep time

10

minutes
Cooking time

15

minutes
Calories

92

kcal",6,5,3 medium ripe bananas,"2 tablespoons honey, optional",1 large egg,1 1/2 cups quick cooking oats,1/2 cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/banana-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crumbl Churro Cookies,By Claire Wells,5.0, 3 ,Cuisine: American,Servings12servingsPrep time20minutesCooking time14minutesCalories556kcal,"Servings

12

servings
Prep time

20

minutes
Cooking time

14

minutes
Calories

556

kcal",12,21,"1 cup unsalted butter, softened","3/4 cup brown sugar, packed",1/2 cup granulated sugar,2 large egg yolks,1 large egg,2 teaspoons vanilla extract,3 cups (360g) all-purpose flour,1 tablespoon cornstarch,1 teaspoon baking powder,1/2 teaspoon baking soda,1 teaspoon ground cinnamon,1/2 teaspoon salt,Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-churro-cookies/,1/2 cup granulated sugar,2 tablespoons ground cinnamon,"1 cup unsalted butter, softened",1/4 cup brown sugar,1-2 teaspoons ground cinnamon,1 teaspoon vanilla extract,pinch salt,4 cups powdered sugar,2-3 tablespoons heavy cream
Crumbl Chocolate Chip Cookies,By Kim - InsanelyGood,4.7, 9 ,Cuisine: American,Servings12servingsPrep time15minutesCooking time15minutesCalories406kcal,"Servings

12

servings
Prep time

15

minutes
Cooking time

15

minutes
Calories

406

kcal",9,10,"1 cup unsalted butter, softened","1 1/4 cups light brown sugar, packed",1/2 cup granulated sugar,"2 large eggs, room temperature",3 teaspoons vanilla extract,3 cups all-purpose flour,2 teaspoons cornstarch,1 teaspoon baking soda,1 1/2 teaspoons kosher salt,2 cups milk chocolate chips (preferably Guittard or Ghirardelli),NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iced Oatmeal Cookies,By Kim - InsanelyGood,5.0, 2 ,Cuisine: American,Servings24servingsPrep time20minutesCooking time12minutesCalories150kcal,"Servings

24

servings
Prep time

20

minutes
Cooking time

12

minutes
Calories

150

kcal",13,15,2 cups old-fashioned rolled oats,2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon salt,1 1/2 teaspoon cinnamon,1/2 teaspoon nutmeg,"1 cup unsalted butter, softened","1 cup dark brown sugar, packed",1/2 cup granulated sugar,"2 large eggs, room temperature",2 teaspoons pure vanilla extract,3 teaspoons unsulphured molasses (not blackstrap),Insanely Good Recipes,https://insanelygoodrecipes.com/iced-oatmeal-cookies/,"1 1/2 cups powdered sugar, sifted",2 tablespoons whole milk,1/4 teaspoon pure vanilla extract,NA,NA,NA,NA,NA,NA
Crumbl Sugar Cookies,By Kim - InsanelyGood,4.9, 9 ,Cuisine: American,Servings12servingsPrep time20minutesCooking time10minutesCalories516kcal,"Servings

12

servings
Prep time

20

minutes
Cooking time

10

minutes
Calories

516

kcal",12,13,"1 cup salted butter, softened",1 cup granulated sugar,2 large eggs,1 teaspoon vanilla extract,1/2 teaspoon almond extract,3 cups (360g) all-purpose flour,2 teaspoons baking powder,"1/2 cup salted butter, softened",3 cups powdered sugar,1/2 teaspoon vanilla extract,1/4 teaspoon almond extract,1-3 tablespoons milk or heavy cream,Insanely Good Recipes,https://insanelygoodrecipes.com/copycat-crumbl-sugar-cookies/,pink gel food coloring,NA,NA,NA,NA,NA,NA,NA,NA
