title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,source,link,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28
3 Ingredient Butter Cookies,Jennifer Lee,"by Jennifer Lee on December 23, 2025",5,6,Diet,10 minutes,15 minutes,Chilling Time: 30 minutes mins,NA,32 cookies,6,"Line 2 large baking sheets with parchment paper.
In a large mixing bowl, add butter and sugar. Cream at highest speed for 3-4 minutes or until light and fluffy. Stop and scrape the sides of your bowl a few times with a spatula to get all the butter incorporated.
Add in the flour. Mix in at low speed and then gradually increase speed once flour is incorporated. The dough should look like a thick paste.
There are a few options for cookie shapes: 1)The easiest method is to scoop the dough with a 1 tbsp cookie scoop and roll into balls. Flatten the dough balls into thick disks, about 1/2 inch thick. Space cookies 1 inch apart on prepared cookie sheet. If your dough is too soft to roll and shape, you can refrigerate the dough for a few minutes until firm enough to scoop and shape. 2) Roll the dough into a log, about 1 to 1.5 inches wide. Wrap in plastic and place into fridge until firm, about 30 minutes. Slice the dough into rounds about 1/2 inch thick. Space the rounds 1 inch apart on the cookie sheets. 3) Transfer the dough to a piping bag with an open star tip (I used one with a 1/2 inch opening). The dough is very thick, but it should be pipable with some force. If you’re having trouble moving the dough through the piping bag, I found it helps to massage the dough back and forth inside the piping bag so that it is more soft. If you are still having issues with the dough being too firm, you can add a tiny bit of melted butter (about 1 tbsp) into the dough. Pipe a circle shape, about 1 1/2 inches wide. Space the cookies about 1 inch apart.
Place cookie sheets into fridge for 30-60 minutes until the dough is firm. This is needed no matter what cookie shape you made. This will help prevent the cookies from spreading too much during baking. While your cookies are in the fridge, Preheat oven to 350°F (177°C).
Place one cookie sheet into the middle of your oven (keep the other in the fridge until ready to bake). Bake cookies for about 15-20 minutes or until edges and surface start to turn a light brown. You may need to rotate the cookie sheet halfway so that the cookies brown evenly. Remove cookies from oven and bake the second tray. Let cookies cool on cookie sheet before removing. Once cookies are fully cooled, keep them stored in an airtight container. This prevents them from softening. Cookies can be stored a few days at room temperature and longer in the freezer.",3,"▢ 1 cup (225g) unsalted butter, softened, see note",▢ 1 cup (116g) powdered sugar,"▢ 2 cups (250g) all purpose flour or cake flour (240g), see note before starting",Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-butter-cookie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient No Bake Keto Snowball Cookies,Jennifer Lee,"by Jennifer Lee on December 19, 2025",NA,NA,Low Carb,10 minutes,NA,NA,10 minutes,17 cookies,5,"Add the cream cheese and peanut butter to the bowl of a stand mixer fitted with the paddle attachment. Beat on medium speed until smooth, creamy, and fully blended, stopping to scrape down the bowl as needed.
Add 6 tablespoons (44g) of the powdered sugar and mix until a thick, uniform dough forms. If the dough is too soft to scoop and shape, cover and refrigerate for about 1 hour, or until firm enough to handle. If not needed, you can skip the chilling.
Scoop the dough with a 1-tablespoon cookie scoop and roll into smooth balls.
Dust or roll the cookies in the remaining powdered sweetener until evenly coated. I like dusting the cookies with powdered sweetener, by placing the sweetener through a fine mesh strainer.
Cookies should be kept stored in an airtight container in the fridge. They can be kept in the fridge for a few days or in the freezer for longer.",3,"▢ 4 oz (113g) full fat cream cheese, slightly softened to room temperature (see note)",▢ 1/2 cup (128g) unsweetened creamy natural peanut butter with no added oils,"▢ 3/4 cup (88g) powdered sugar substitute with starch (like powdered Swerve), divided, see note",Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-no-bake-keto-snowball-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Healthier Shortbread Cookies,Jennifer Lee,"by Jennifer Lee on December 18, 2025",5,5,Diet,5 minutes,15 minutes,NA,20 minutes,19 cookies,5,"Add almond flour, melted butter, and maple syrup into a large mixing bowl and mix with a spatula until a soft dough forms.
Transfer the dough to a piece of plastic wrap and shape it into a tight log about 6 inches long and 1.5 inches wide. If you want wider cookies, you can make the log wider. Wrap well and freeze for 30 minutes, or until firm enough to cut.
Preheat the oven to 350°F (175°C) and line a baking sheet with parchment paper.
Use a sharp knife to slice the chilled dough into rounds between 1/4 and 3/8 inch thick. Space them on the baking sheet about 1 inch apart.
Bake for about 13-15 minutes, until the edges are medium brown and the top is lightly browned. You do want the surface to be browned, otherwise the cookies will not be fully crispy. Allow the cookies to fully cool on the baking sheet. They should continue to firm up a little as they cool. Once fully cooled, store cookies in an airtight container. Cookies need to be stored in an airtight container soon after they are cooled, otherwise they will turn soft. Uneaten cookies can be stored a few days at room temperature in an airtight container and longer in the freezer.",3,"▢ 1 1/2 cups (135g) superfine blanched almond flour, see note for measuring","▢ 3 tbsp (42g) unsalted butter, melted",▢ 3 tbsp (1.5fl oz/44ml) maple syrup,Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-healthier-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Healthier Snowball Cookies,Jennifer Lee,"by Jennifer Lee on December 10, 2025",5,7,Diet,10 minutes,15 minutes,NA,25 minutes,24 cookies,6,"Preheat the oven to 350°F (175°C) and line a large baking sheet with parchment paper.
In a large mixing bowl, add in the almond flour, melted butter, and maple syrup, Mix with a spatula until a soft, scoopable dough forms. If your dough is too dry, add a splash more of maple syrup.
Use a 1 tablespoon cookie scoop to portion the dough. Roll each dough between your hands to form a mostly smooth ball. Place the balls back onto the baking sheet, spacing them about 1 inch apart.
Bake for 12-20 minutes, or until the the edges and top are lightly golden. Allow the cookies to fully cool.
Add 2 tbsp of powdered sweetener to a fine mesh strainer and dust the tops of the cookies with powdered sweetener. If needed, you can add more powdered sweetener in order to fully cover the cookies.
Store cookies in an airtight container. Cookies can be kept for a few days at room temperature and longer in the fridge or freezer.",4,"▢ 2 1/2 cups (236g) superfine blanched almond flour, see note","▢ 8 tbsp (110g) unsalted butter, melted",▢ 4 1/2 tbsp (67ml) maple syrup,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-healthier-snowball-cookies/,"▢ 2 tbsp (22g) powdered sweetener or more as needed, can also use powdered sugar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Thumbprint Cookies,Jennifer Lee,"by Jennifer Lee on December 2, 2025",4.92,12,Diet,15 minutes,15 minutes,NA,30 minutes,31 cookies,6,"Preheat the oven to 350°F (175°C). Line two large baking sheets with parchment paper.
In a large bowl, stir together the shredded coconut and sweetened condensed milk until the coconut is fully incorporated and coated.
Use a 1 tablespoon cookie scoop to scoop the dough. With lightly wet hands, roll each portion into a smooth ball. Place the balls on the prepared baking sheets, spacing about 2 inches apart.
Use your thumb or the back of a 1 teaspoon measuring spoon to gently press an indent into the center of each ball. Your cookie should look like a thick round disk with a large indent in the center (see photo for reference).
Fill each indent with about 1 scant teaspoon of jam. Bake for 13–15 minutes, or until the edges are golden brown.
Let cool completely on the baking sheet before removing. Store uneaten cookies in an airtight container for 1-2 days at room temperature and longer in the fridge or freezer.",3,▢ 3 cups (249g) unsweetened finely shredded coconut,▢ 1 (14oz/397g) can sweetened full fat condensed milk,▢ 2/3 cup (201g) raspberry or strawberry jam,Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-thumbprint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Healthier Pumpkin Oatmeal Cookies,Jennifer Lee,"by Jennifer Lee on November 11, 2025",4.67,9,Diet,10 minutes,15 minutes,NA,25 minutes,9 cookies,5,"Preheat oven to 350°F (177°C). Line a large cookie sheet with parchment paper or a silicone baking mat.
Add pumpkin and honey to a large mixing bowl. Mix until the ingredients are fully combined. Add in oats and stir until they fully incorporated. Taste and adjust sweetness if needed. If adding any mix-ins, add them in now and stir until evenly combined.
Use a 1.5 tbsp cookie scoop to scoop cookie dough and release onto prepared baking sheet, spacing cookies 1.5 inches apart.
Use the back of a metal spoon or the palm of your hand to flatten dough until they are thick round disks, about 1/4 inch thick. Smooth and round the edges of the disks if needed. The cookies will not spread much during baking, so shape the cookies how you want the final outcome to be.
Bake cookies for about 15-20 minutes or until done. Let cookies cool before removing and eating. Store cookies in an airtight container in the fridge or freezer.",3,▢ 1/2 cup (122g) pumpkin puree,"▢ 2 tbsp (1 fl oz/30ml) honey, or more as needed",▢ 1 cup minus 1 tbsp (80g) quick oats,Kirbie's Cravings,https://kirbiecravings.com/3-ingredient-healthier-pumpkin-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Keto Pumpkin Cookies,Jennifer Lee,"by Jennifer Lee on November 5, 2025",4.75,4,Low Carb,10 minutes,25 minutes,NA,35 minutes,10 cookies,5,"Preheat the oven to 350°F (175°C). Line a baking tray with parchment paper. Add the pumpkin to a small nonstick skillet. Cook over medium-low heat, stirring often with a spatula, until most of the moisture has evaporated, the pumpkin thickens, and turns a shade darker, about 3-4 minutes. The puree should resemble a thick paste. Let cool slightly.
In a medium bowl, stir together the cooked pumpkin, peanut butter, sweetener, and egg yolk until smooth and fully combined.
Using a 1.5 tablespoon cookie scoop, scoop the dough and release onto your prepared baking sheet. Flatten each dough ball into a 2-inch wide circle with lightly damp hands.
Bake for 20-25 minutes, or until the cookies are set and the surface looks cooked. The cookies should also be lightly browned around the edges and top.
Let the cookies cool fully before removing them from the baking sheet. Store any uneaten cookies in an airtight container in the fridge or freezer.",4,▢ 1/2 cup (123g) canned pumpkin puree,▢ 1/2 cup (121g) unsweetened natural peanut butter or natural almond butter with no added oils,"▢ 1/4 cup (52g) granular monkfruit sweetener with erythritol, see note",Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-keto-pumpkin-cookies/,▢ 1 large egg yolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Healthier Apple Pie Oatmeal Cookies,Jennifer Lee,"by Jennifer Lee on September 30, 2025",4.58,7,Diet,15 minutes,15 minutes,NA,30 minutes,8 cookies,7,"Preheat oven to 350°F (177°C). Line a large baking sheet with parchment paper.
Add chopped apples and 1.5 tbsp maple syrup to a small saucepan. Cook on medium heat, stirring often so that the maple syrup or apples do not burn or get stuck to the pan, until the apples release their juices and are lightly cooked, about 3-5 minutes. The maple syrup and apple juices should also be mostly evaporated, leaving you with sticky cooked apples. Let cool.
Add quick oats to a food processor. Pulse oats until they become very small and fine and start to partially become flour consistency. See photo in post for reference. I pulsed mine on high for about 30 seconds.
Add oats, 3 tbsp maple syrup and peanut butter to a large mixing bowl. Mix with a spatula until the ingredients are fully and evenly incorporated and the mixture becomes thick like a cookie dough. If your mixture seems too dry or crumbly, add a little more peanut butter or maple syrup.
Using a 1.5 tbsp cookie scoop, scoop dough onto the cookie sheet, spacing the dough balls about 2 inches apart. Roll a dough ball between palms until it forms a smooth round ball. Place back onto cookie sheet and press down on the dough ball with the palm of your hand to flatten the ball until it becomes a round disk about 1/2 inch thick. Repeat with the remaining dough. Use your thumb to create a large indent into the center of each disk.
Add a heaping 1/2 tbsp of apple filling to the center of each cookie.
Bake cookies for 10-12 minutes or until the edges are lightly browned. Let cookies cool completely on the baking sheet before removing and serving them. The cookies will continue to set and firm up as they cool. Uneaten cookies can be stored in an airtight container in the fridge or freezer.",4,"▢ 88 g (1 cup - 2 tbsp) finely chopped peeled apples, cut into 1/8 to 1/4 inch pieces","▢ 1 1/2 tbsp (22ml) + 3 tbsp (44ml) maple syrup, divided",▢ 3/4 cup - 1 tbsp (64g) quick oats,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-healthier-apple-pie-oatmeal-cookies/,▢ 6 tbsp (96g) unsweetened natural peanut butter with no added oils,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 Ingredient Healthier Cottage Cheese Chocolate Cookies,Jennifer Lee,"by Jennifer Lee on September 26, 2025",5,4,Diet,10 minutes,15 minutes,NA,25 minutes,20 cookies,7,"Preheat oven to 350°F (177°C). Line two large baking sheets with parchment paper.
Add cottage cheese to a high powered blender and blend until completely smooth. The cottage cheese does not need to be room temperature. I used mine straight from the fridge. You will need to stop your blender a few times and scrape down the sides with a spatula to help the blender blend.
Add chocolate chips to a large microwave-safe mixing bowl. Heat in 15-30 second intervals, stirring in between with a spatula, until chocolate is completely melted and smooth.
Touch the cottage cheese and it should feel cool but not super cold. If it's still very cold you may want to wait a few more minutes. Add cottage cheese to the bowl of melted chocolate and stir with a spatula until the cottage cheese is fully incorporated. The batter should be uniform in color with no streaks of cottage cheese. The batter should also be thick.
Working quickly, use a 1.5 tbsp cookie scoop to scoop the batter and release it onto your prepared baking sheets, spacing cookies 2 inches apart. The batter should be thick enough that it does not spread out once you release it onto the cookie sheet. You do need to work quickly because as the chocolate cools it will continue to thicken and will make it more difficult to scoop.
Place one of the trays of cookies into the fridge for 15 minutes. This will help the cookie dough firm up further to prevent it from spreading out too much when it bakes. After 15 minutes, the dough should feel firm to the touch. If desired, you can press/smooth any little bits/spikes of batter sticking up from each dough ball.
Bake cookies for about 15-17 minutes or until done. When the cookies are done, they should be puffed up and have a crackly surface. While the first set of cookies are baking, place the second sheet into the fridge for 15 minutes to chill. I recommend only baking one baking sheet at a time. (If you try to bake both at once, the bottom sheet usually does not bake as evenly). Let cookies cool completely on baking sheet before removing and serving. This allows them to set and firm up. If you try to remove them while they are still warm, they will fall apart. Once cooled, they should easily come off the parchment paper. Store leftover cookies in the fridge in an airtight container.",2,"▢ 1 cup (226g) 4% high protein cottage cheese, see note before starting","▢ 2 cups (305g) 60% dark chocolate chips or 63% dark chocolate chips (320g), see note before starting",NA,Kirbie's Cravings,https://kirbiecravings.com/2-ingredient-healthier-cottage-cheese-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Keto Blueberry Cottage Cheese Cookies,Jennifer Lee,"by Jennifer Lee on August 14, 2025",5,2,Low Carb,10 minutes,20 minutes,30 minutes mins,NA,20 cookies,6,"Preheat the oven to 350°F (177°C). Line two large baking sheets with parchment paper.
Add the cottage cheese to a high-powered blender. Blend until completely smooth, scraping down the sides of the machine as needed.
In a large mixing bowl, add almond flour and sweetener. Whisk until evenly combined. Add in the blended cottage cheese and mix with a spatula until the cottage cheese is fully incorporated. The mixture should be a very thick batter that won't run or spread when you scoop and release it onto the baking sheet.
Add 1/2 cup blueberries and gently fold them into the dough, trying your best not to crush the berries.
Use a 1.5 tbsp cookie scoop to scoop the dough and release onto a prepared baking sheet, spacing the cookies about 1.5 inches apart. Gently flatten each cookie with the back of a metal spoon until they form thick round disks (about 1/2 inch thick). Gently press the remaining blueberries on the surface of any cookies that are lacking some blueberries.
Bake for 20 to 25 minutes, or until the edges are golden and the cookies are set. Allow the cookies to cool on the baking sheet before serving. Store uneaten cookies in an airtight container in the fridge or freezer. I recommend reheating the cookies before eating.",4,▢ 1 cup (227g) 4% high protein cottage cheese,▢ 2 cups (176g) superfine blanched almond flour,▢ 1/3 cup (65g) granular monkfruit sweetener,Kirbie's Cravings,https://kirbiecravings.com/4-ingredient-keto-blueberry-cottage-cheese-cookies/,"▢ 1/2 cup (66g)+ 2 tbsp (16.5g) fresh blueberries, divided, patted dry before using",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
