title,author,rating,ratingnum,description,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,source,link,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42,ingredient43,ingredient44,ingredient45,ingredient46,ingredient47,ingredient48,ingredient49
Red Velvet Cream Cheese Cookies,Lord Byron’s Kitchen,NA,NA,"Soft and moist, chocolatey and sweet, the flavour of these Red Velvet Cream Cheese Cookies are well balanced with the slightly sour cream cheese filling.  Deliciously simple, yet beautifully impressive, these would make a thoughtful and lovely treat for Valentine's Day! ",Recipes,Prep Time 20 minutes mins, Cook Time 13 minutes mins,NA,Total Time 33 minutes mins,30 cookies,11,"Preheat your oven to 350 degrees F and prepare a baking sheet by lining it with a silicone baking mat or parchment paper. Set aside.
Measure all of the cream cheese filling ingredients into a mixing bowl and beat well to combine.  Set aside.
In a separate mixing bowl, beat together the butter, vegetable shortening, and the sugar until well combined – about 2 minutes.
Add the egg and the vanilla extract along with the red food colouring. Beat into the butter and sugar mixture until completely incorporated.
Add the flour, cocoa, and baking powder. Beat until just combined.
Portion out two teaspoons of cookie dough and roll it into a balls. Roll the balls into the sanding sugar.
Place the balls onto the prepared baking sheet, leaving 2 inches of space between each one.
Using your index finger, push a hole into the center of each cookie but don't go all the way through. Push your finger just half way deep into each ball to form a well.
Fill each well with the cream cheese mixture.
Bake for 13 minutes.
Remove the cookies from oven and allow them to cool for 3-5 minutes before transferring them to a wire cooling rack to finish cooling.",16,1 1/2 cups all-purpose flour,3 tablespoons cocoa powder,1 teaspoon baking powder,"6 tablespoons salted butter, softened",4 tablespoons vegetable shortening,2/3 cup sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,6-7 drops red food colouring,1/4 cup sanding sugar (for rolling the balls into),"4 ounces cream cheese, softened",2 tablespoons sugar,1 tablespoon sour cream,1 teaspoon vanilla extract,1 large egg yolk,1 teaspoon cornstarch,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/red-velvet-cream-cheese-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Sandwich Cookies,Lord Byron’s Kitchen,NA,NA,"Peanut Butter Sandwich Cookies are a no-bake confection that uses ready-made store-bought ingredients to create the most deliciously indulgent snack! Use your favourite cookie or cracker such as digestive, ritz, or one that pairs well with peanuts, peanut butter, and melted milk chocolate!",Recipes,Prep Time 20 minutes mins,NA,NA,Total Time 2 hours hrs 20 minutes mins,12 cookies,8,"Set 12 digestive cookies upside down onto a parchment-lined baking sheet.
Top each cookie with a slightly heaping tablespoon of peanut butter.  Try to position the peanut butter in a mound right in the center of the cookie.
Top those cookies with another digestive cookie, this time the right side up!  Gently press down onto the top cookie to evenly spread out the mound of peanut butter.  This will create the cookie sandwich.
Next, melt the milk chocolate chips and vegetable oil in a microwave-safe bowl in 30-second increments at half power. Stir well between each increment until the chocolate is melted and smooth.
Place one of the sandwich cookies into the melted chocolate to coat.  Use a fork to turn the cookie over to coat the other side.  Using the fork, lift the cookie out and tap the fork 10-12 times on the edge of the bowl to shake off the excess chocolate.  Transfer the cookie back the the parchment-lined baking sheet.  Continue until all cookies are coated in melted milk chocolate.
Next, melt the semi-sweet chocolate in the same manner.  (You do not need vegetable oil for the semi-sweet chocolate.)
Transfer the melted semi-sweet chocolate to a piping bag or a sandwich bag. Cut a small tip from one lower corner. Hold the bag over the cookies and drizzle each cookie with the desired amount of chocolate. Immediately top the cookies with the chocolate jimmies and chopped salted peanuts.
Set the baking sheet aside and allow the chocolate to cool and harden.  Once the chocolate is firm, transfer the cookies to a food-safe container with a tight-fitting lid and store them at room temperature.",7,24 digestive cookies,18 tablespoons crunchy peanut butter,3 cups milk chocolate chips,1/2 teaspoons vegetable oil,1/2 cup semi-sweet chocolate chips,1/4 cup finely chopped salted peanuts,2 tablespoons chocolate jimmies,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/peanut-butter-sandwich-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Spritz Cookies,Lord Byron’s Kitchen,NA,NA,"Mint Spritz Cookies are prepared with a classic spritz cookie dough that has been flavoured with mint extract and coloured with green food colouring.  These bite-sized, whimsical cookies are a great addition to cookie platters and cookie boxes for gifting!",Recipes,Prep Time 20 minutes mins, Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,70 cookies,7,"Preheat your oven to 350 degrees F and prepare a baking sheet by lining it with a silicone baking mat or parchment paper.  Set aside.
In a mixing bowl, beat together the butter and the sugar until well combined – about 2 minutes.
Add the egg and the mint extract.  Beat into the butter and sugar mixture until completely incorporated.
Add the flour and baking powder.  Add to the butter mixture and beat until just combined.
Load the cookie dough into a cookie press which has been fitted with the disc of your choosing.  
Press the dough onto the prepared baking sheet, leaving 1 inch of space between each cookie.
Top with a sprinkling of holiday sprinkles and bake for 8 minutes.  Remove from the oven and allow the cookies to cool slightly on the baking sheet for 2 minutes.  Transfer the cookies to a wire cooling rack to finish cooling.",7,"1 cup butter, softened",1 cup confectioner's sugar,1 large egg,1 teaspoon mint extract,2 1/4 cups all-purpose flour,1 teaspoon baking powder,"green food colouring, optional (see notes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/mint-spritz-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holiday Kitchen Sink Cookies,Lord Byron’s Kitchen,5, 1 ,"Everything but the kitchen sink is an expression used to describe a recipe with lots of ingredients.  My Holiday Kitchen Sink Cookies are prepared with a basic cookie dough, but packed with pretzels, candy, sprinkles, chocolate, and even crushed potato chips!  It might sound odd, but these cookies are certainly delicious!",Recipes,Prep Time 15 minutes mins, Cook Time 15 minutes mins,NA,Total Time 30 minutes mins,24 cookies,8,"Preheat your oven to 350 degrees F. Line a baking sheet with parchment paper or a silicone baking mat. Set aside.
In a large bowl, beat together the butter and sugar until creamy and light yellow in colour. (About 4-5 minutes.)
Add the eggs one at a time and beat into the butter and sugar mixture.
Beat in the vanilla extract.
Sift in the flour, salt, baking powder, and baking soda. Beat into the wet mixture until well combined.
Once combined, use a wooden spoon to mix in the remaining ingredients.
Portion the cookie dough into 1 1/2 tablespoons. Roll into a ball and place onto the prepared baking sheet.  (At this point, you can push a few M&Ms into the cookies and top with a few sprinkles.)
Bake for 13 minutes. Remove the cookies from the oven and allow them to cool for 2-3 minutes before transferring them to a wire cooling rack to finish cooling.",13,1 1/4 cup sugar,"1 cup butter, softened",2 large eggs,2 teaspoons vanilla extract,1 teaspoon baking soda,1/2 teaspoon baking powder,1/2 teaspoon salt,2 cups all-purpose flour,1/2 cup white chocolate chips,"1/2 cup red and green M&Ms, plus more for topping (optional)",1/2 cup broken pretzel pieces,1/2 cup crushed pototo chips,"2 tablespoons sprinkles, plus more for topping (optional)",NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/holiday-kitchen-sink-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sicilian Almond Cookies,Lord Byron’s Kitchen,5, 2 ,"Finally a gluten-free Christmas cookie that is absolutely delicious!  With a soft and chewy center, these Sicilian Almond Cookies have crispy edges and hold their shape very well!  If you're looking for something more festive, top the cookies with sprinkles or a maraschino cherry before baking! ",Recipes,Prep Time 20 minutes mins, Cook Time 14 minutes mins,NA,Total Time 34 minutes mins,26 cookies,8,"Preheat your oven to 350 degrees F.  Line a baking sheet with parchment paper and set aside.
Measure the almond flour and confectioner's sugar into the bowl of a stand mixer with a paddle attachment.  Beat on low for 30 seconds to blend the two ingredients together.
Add the orange and lemon zest.  Beat on low to incorporate.
Add the egg whites and vanilla extract.  Beat on low until fully incorporated. 
Transfer the cookie dough to a large piping bag fitted with a star piping tip.
Pipe the dough into 1 1/2 inch rosettes onto a parchment-lined baking sheet leaving two inches of space between each cookie.
Bake for 14 minutes.  Remove the cookies from the oven and allow them to rest for 5 minutes before transferring them to a wire cooling rack to finish cooling.
Once fully cooled, pack the cookies in a food-safe container.  Cookies can be frozen for up to 3 months or refrigerated for 7-10 days.  Do not store at room temperature for more than 5 days.",6,2 cups almond flour,1 2/3 cups confectioner's sugar,"3 large egg whites, room temperature","1 orange, zested","1 lemon, zested",1/4 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/sicilian-almond-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugared Halloween Cookies,Lord Byron’s Kitchen,NA,NA,"Just in time for the little trick-or-treaters in your life, these melt-in-your-mouth orange, green, purple, and black cookies are about to become everyone's favourite Halloween treat! Sugared Halloween Cookies are made with just five ingredients, and they're quick and easy too!",Recipes,Prep Time 15 minutes mins, Cook Time 12 minutes mins,NA,Total Time 57 minutes mins,48 cookies,8,"Using a hand-held mixer, beat the butter until light and fluffy.
Add the condensed milk and beat into the butter until well combined.  
Add the flour and baking powder.  Mix into the butter mixture until well incorporated.
Cover bowl with plastic wrap and refrigerate for 30 minutes.
In the meantime, preheat oven to 350 degrees.  Prepare a baking sheet by lining it with parchment paper.  Set aside.  Lastly, pour each sugar into a separate shallow bowl for rolling the cookie dough into.
Remove the cookie dough from the fridge and using a small cookie scoop, portion out slightly heaped teaspoons of the cookie dough.  Roll it into a smooth ball and then roll it into the sanding sugar.  
Place the cookie balls on the baking sheet, leaving 2 inches of space between each one.  
Bake for 12 minutes.  Remove from oven and allow to cool for 3-5 minutes before transferring to a wire cooling rack to finish cooling.",8,14 ounces sweetened condensed milk,"1 1/2 cups butter, softened",3 cups all purpose flour,4 1/2 teaspoons baking powder,1/3 cup orange sanding sugar,1/3 cup green sanding sugar,1/3 cup purple sanding sugar,1/3 cup black sanding sugar,NA,NA,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/sugared-halloween-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Peanut Butter Chocolate Chip Halloween Cookies,Lord Byron’s Kitchen,NA,NA,"These soft and chewy Reese's Peanut Butter Chocolate Chip Halloween Cookies are certainly indulgent which is a requirement of all Halloween-themed treats! Loaded with Reese's Pieces, milk chocolate chips, and lots of sprinkles in fall colours, these cookies are topped with candy monster eyes for fun and whimsy!",Recipes,Prep Time 15 minutes mins, Cook Time 12 minutes mins,NA,Total Time 27 minutes mins,44 cookies,12,"Preheat your oven to 350 degrees F and line a baking sheet with parchment paper or a silicone baking mat.  
In a large bowl, beat the butter until light and fluffy.
Add the peanut butter and beat to combine.
Add both of the sugars.  Beat into the butter and peanut butter mixture.
Beat in the eggs one at a time.  
Next, beat in the vanilla extract.
Measure the flour, baking soda and baking powder, and salt into the bowl.  Beat on low speed until just incorporated.
Add in the Reese's Pieces, milk chocolate chips, and sprinkles.  Use a sturdy spatula to fold these into the cookie dough mixture.
Portion the cookie dough into heaping tablespoons.  I like to use a spring handle cookie scoop.  Scoop mounds of dough directly onto the prepared baking sheet, leaving at least 2 inches of space between each ball.
Push two of the candy monster eyes just slightly into the cookie dough.  At this point, you can also top the cookie dough with more Reese's Pieces and sprinkles too.
Bake for 12 minutes.  
Allow the cookies to cool on the baking sheet for 10 minutes before transferring to a wire cooling rack to finish cooling.",14,"1 cup butter, softened","1 cup smooth peanut butter, room temperature",1 teaspoon vanilla extract,"1 1/2 cups brown sugar, lightly packed",1/2 cup sugar,"3 large eggs, room temperature",2 1/2 cups all-purpose flour,1 teaspoon baking soda,1 1/2 teaspoons baking powder,1/2 teaspoon salt,2 cups Reese's Pieces,1 1/2 cups milk chocolate chips,3 tablespoons sprinkles (jimmies),1/2 cup candy monster eyes,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/reeses-peanut-butter-chocolate-chip-halloween-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zucchini Chocolate Chip Pumpkin Spice Cookies,Lord Byron’s Kitchen,NA,NA,"These deliciously soft and chewy cookies are baked with healthy amount of shredded zucchini and rolled oats. Flavoured with pumpkin spice and sweetened with milk chocolate chips, these cookies also have crunch factor with toasted chopped walnuts!",Recipes,Prep Time 20 minutes mins, Cook Time 14 minutes mins,NA,Total Time 34 minutes mins,36 cookies,9,"Begin by preheating your oven to 350 degrees F and lining a cookie sheet with a silicone liner or parchment paper.  Set aside.
In a large bowl, beat to cream together the butter and both sugars.
Add the egg and vanilla.  Mix into the butter and sugar mixture.
Add the zucchini and beat into the butter and egg mixture.
Next, add the flour, pumpkin spice, salt, and baking soda.  Mix on low speed until just mixed with the butter mixture.
Stir in the rolled oats and the chocolate chips with a wooden spoon.  
Use a spring-release cookie scoop, measuring 1 1/2 tablespoons of cookie dough.  Place the cookie dough mounds on the prepared baking sheet at least 2 inches apart.
Bake for 14 minutes.  Remove the cookies from the oven and allow them to cool on the baking sheet for five minutes before transferring them to a wire cooling rack to finish cooling.  
Bake these cookies in batches.  If you overcrowd the oven with more than one baking sheet at a time, the cookie does not bake properly.",13,1 1/2 cups all-purpose flour,2 tablespoons pumpkin spice,1/2 teaspoon baking soda,1/4 teaspoon salt,"1/2 cup butter, room temperature",1/2 cup sugar,"1/4 cup brown sugar, lightly packed",1 large egg,2 teaspoons vanilla extract,"1 1/2 cups zucchini, finely shredded, see notes*",1 cup quick cook rolled oats,"1 cup chopped walnuts, toasted (optional)",2 cups milk chocolate chips,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/zucchini-chocolate-chip-pumpkin-spice-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Churn Rhubarb Cookie Crumb Ice Cream,Lord Byron’s Kitchen,NA,NA,"The combination of sweet and tart is what makes this No Churn Rhubarb Cookie Crumb Ice Cream so delicious! First, prepare a quick and easy rhubarb compote with fresh rhubarb, sugar, and lemon.  Once cooled, swirl it into the ice cream mixture to create the most heavenly frozen rhubarb dessert!",Recipes,Prep Time 35 minutes mins,NA,NA,Total Time 6 hours hrs 35 minutes mins,12 servings,7,"Before you start anything at all, take the bowl you intend to use to beat the whipping cream in, and place it in your freezer. An ice-cold bowl will help to make whipping the cream faster and easier.
Pour the cold whipping cream into the chilled mixing bowl. Using a handheld mixer or stand mixer, beat the cream until it forms stiff peaks. At this point, add food colouring to tint the ice cream if desired.  Also, add the vanilla extract.  Beat into the whipped cream.
Next, while still beating, pour the canned sweetened condensed milk into the bowl in a steady, slow stream. Don’t empty the contents of the can in and then beat. The whipped cream will lose its fluffiness. Slow and steady wins the race. When no more pours out of the can, scrape the rest out with a spatula. You’ll want to use every drop!
Finally, add the crumbled cookies and use a spatula to fold them into the whipped cream mixture.   (Reserve 1/4 cup of the crumbs for a topping.  This is for presentation only and is completely optional.)
Once done, transfer half of the ice cream mixture to a freezer-safe bowl or container. Top with half of the rhubarb compote.  Transfer in the remaining ice cream mixture and once again, follow that up with the remaining compote
Use a chopstick or the handle of a thin wooden spoon to swirl the compote into the ice cream. Top with any remaining cookie crumbs.
Cover and freeze for 4-6 hours or until firm.",5,"2 cups 35% whipping cream, cold",14 ounces canned sweetened condensed milk,1 teaspoon vanilla extract,"2 cups Golden Oreo Cookies, crumbled",1 cup rhubarb compote https://www.lordbyronskitchen.com/tart-rhubarb-compote/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/no-churn-rhubarb-cookie-crumb-ice-cream/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Bunny Poop Cookies,Lord Byron’s Kitchen,NA,NA,"In my mind, the Easter Bunny snacks on the most delicious and the most colourful chocolates and candies all day long.  Applying logic in this case to the saying that what goes in must come out, it is safe to assume that the Easter Bunny would have rainbow-inspired poop!  These Easter Bunny Poop Cookies are my interpretation of the somewhat disturbing image created now in your mind.  Happy Easter!",Recipes,Prep Time 20 minutes mins, Cook Time 12 minutes mins,NA,Total Time 32 minutes mins,NA,9,"Preheat your oven to 350 degrees F.  Line a baking sheet with a silpat liner or parchment paper and set aside.
In the bowl of a stand mixer, beat together the butter and sugar until light and fluffy.
Add the egg yolks one at a time and beat into the mixture.
Next, beat in the extract, food colouring, and salt.
Add the flour, baking soda, and baking powder. On low speed, allow the wet ingredients to slowly incorporate the dry.
Next, stir in the sprinkles and M&Ms.
In a small, shallow bowl, mix together the sanding sugars and set aside.
Use a small scoop to portion the cookie dough into slightly heaping tablespoons. Roll the tops of the cookie dough mounds into the sanding sugar mixture.
Place the cookie dough onto the baking sheet and bake for exactly 13-15 minutes, or until the bottoms of the cookies are slightly browned. Remove the cookies from the oven and allow to cool for a few minutes before transferring to a wire cooling rack.",13,1¼ cup sugar,"1 cup salted butter, softened",3 large egg yolks,"2 teaspoons extract (use vanilla, almond, or cotton candy extract)",1 teaspoon baking soda,½ teaspoon baking powder,2½ cups all purpose flour,½ teaspoon salt,1/4 cup sprinkles Easter-themed,"1 cup M&Ms, Easter colours",2-3 drops pink food colouring,1/4 cup white sanding sugar,2 tablespoons pink sanding sugar,NA,NA,NA,Lord Byron's Kitchen,https://www.lordbyronskitchen.com/easter-bunny-poop-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
