title,author,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16
Energy Balls Recipe,Maureen Abood,NA,NA,Snacks,Website did not provide,Website did not provide,Website did not provide,Website did not provide,18 Balls,3,"Add the pistachios to the food processor and pulverize until finely ground. Carefully scoop out 2 tablespoons and place in a small bowl to roll the balls in later. Set the bowl aside.
Add all of the ingredients to the remaining pistachios in the processor. Process until everything is finely ground and damp. Squeeze the mixture. It should hold together. If not, add a teaspoon of water, honey, or other liquid and process again.
Transfer the date mixture to a medium bowl. Shape the balls using about 2 tablespoons of the mixture per ball. Roll each ball in the ground pistachios set aside earlier. Place the finished balls on a sheet pan or plate. Serve immediately or store in an airtight container at room temperature or in the refrigerator for up to 2 weeks.",7,"▢ 1 cup pistachios, raw or roasted","▢ 15 Medjool dates, pitted",▢ 1/4 cup ground flaxseed,▢ 1/2 cup rolled oats,▢ 1 teaspoon ground cinnamon,▢ 1 teaspoon ground cardamom,▢ 1/2 teaspoon kosher salt,Maureen Abood,https://maureenabood.com/energy-balls/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Tahini Chocolate Chip Cookies,Maureen Abood,5,2,Cookie Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,16 cookies,8,"In a medium bowl, whisk to combine the flour, kosher salt, baking powder, and baking soda. Set aside.
In the bowl of a stand mixer or using a hand mixer, cream the butter, sugars, and tahini until combined.
Add the egg, egg yolk, and vanilla extract and beat to combine, stopping to scrape down the sides and bottom of the bowl to incorporate.
Add the flour mixture and beat on low speed just until combined and no dry spots remain.
By hand, stir chocolate chips. Cover the bowl and refrigerate for 1 hour.
When ready to bake, line 2 baking sheets with parchment paper. Arrange an oven rack in the middle position and preheat the oven to 350°F.
Scoop the dough in to 2-inch balls (about 1.5 oz. each) and place them about 2 inches apart on each sheet. Bake one sheet at a time for 15-16 minutes, until the cookies are still very soft in the middle and the edges are barely golden (they'll continue to set up and finish baking once out of the oven).
Immediately sprinkle the flakey salt over the hot cookies. Allow the cookies to rest on the sheets for 2 minutes, then transfer the cookies to a wire rack to cool completely.",13,"▢ 1 1/3 cups unbleached, all-purpose flour",▢ 1 teaspoon kosher salt,▢ 1/2 teaspoon baking powder,▢ 1/2 teaspoon baking soda,▢ 1/2 cup unsalted butter,▢ 1/2 cup granulated sugar,▢ 1/2 cup dark brown sugar,Maureen Abood,https://maureenabood.com/tahini-chocolate-chip-cookies/,"▢ 3/4 cup tahini, well-stirred before measuring","▢ 1 large egg, room temperature","▢ 1 large egg yolk, room temperature",▢ 2 teaspoons vanilla extract,"▢ 1 tablespoon flaky sea salt, such as Maldon, for finishing","▢ 1 3/4 cups bittersweet chocolate chips, at least 60% cacao",NA,NA,NA
Heart-Shaped Cookies Recipe,Maureen Abood,5,2,Cookie Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,24 2.5 inch sandwich cookies,12,"In a medium mixing bowo whisk together the flour, baking powder, and salt. Set aside.
In a stand mixer fitted with the paddle attachment, or a hand mixer in a large bowl, beat the butter until it is smooth. Add the sugar and beat until light and fluffy.
Scrape down the bowl, then add the egg, vanilla extract, and almond extract. Beat on low speed, then increase the speed to medium and beat until light and fluffy, about 3 minutes.
Turn off the mixer and add half of the flour. Mix on low speed just until incorporated, then continue to mix on medium speed until no flour remains. Add the rest of the flour and beat until combined, scraping down the bowl as needed.
Turn the dough out onto the counter. Bring the dough into a flat disc, divide evenly in half, and wrap each half in plastic. Refrigerate the wrapped dough discs for 30 minutes.
Take one disc from the refrigerator and leave the other one in. Between two sheets of parchment paper, roll out the dough evenly to 1/8-inch thick. You may need to tape the parchment in place before rolling, or place a silicone baking mat underneath the parchment to help anchor it. Leave the rolled dough in the parchment and refrigerate for 15 minutes.
Line two baking sheets with parchment paper and keep them near your workstation. Arrange an oven rack to the middle position and preheat the oven to 350°F.
Peel back the top sheet of parchment on the chilled rolled dough and set aside to use on the next round, or discard it if needed. Use a 2.5-inch heart cutter to cut as many hearts as possible from the dough. Use a 1-inch heart cutter to cut little hearts out of the center of half of the hearts. These will be the tops of the cookies. Transfer the hearts to a prepared baking sheet. Gather the scraps of dough into a disc, wrap, and refrigerate.
Bake the cookies for 6 to 7 minutes, until they are pale golden brown.
Transfer the cookies to a wire rack and cool completely. In a small bowl, stir to combine the raspberry jam, rose water, and lemon juice. Spoon about 1/2 teaspoon jam on each of the whole heart cookies. Spread the jam slightly, keeping most of it mounded in the center of the heart.
Dust the hearts with the cut out in the middle of them lightly with confectioners' sugar, then place them on top of the jam-topped bottom hearts.
Repeat with the rest of the refrigerated dough, rolling, chilling, cutting out, baking, and assembling. Always chill any scrap dough before working with it.",12,▢ 3 cups unbleached all purpose flour,▢ 1 teaspoon baking powder,▢ 1/4 teaspoon kosher salt,"▢ 3/4 cup unsalted butter, room temperature",▢ 1/2 cup granulated sugar,"▢ 1 large egg, room temperature",▢ 2 teaspoons pure vanilla extract,Maureen Abood,https://maureenabood.com/heart-shaped-cookies/,▢ 1 teaspoon almond extract,▢ 1/2 cup raspberry jam,▢ 1/4 teaspoon rose water,▢ 1 teaspoon lemon juice,"▢ 1 tablespoon confectioners' sugar, for dusting",NA,NA,NA,NA
Best Biscotti Recipe,Maureen Abood,5,2,Cookie Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,22 cookies,10,"Preheat the oven to 350°F (175°C) and line a large baking sheet with parchment paper.
In a medium mixing bowl, combine the all-purpose flour, baking powder, and salt. Mix well to ensure the dry ingredients are evenly distributed.
In the mixing bowl of a stand mixer or hand-held mixer, beat the butter and sugar until light and fluffy. Add the eggs one at a time, then beat in the vanilla and anise extracts. 
Gradually add the flour mixture to the wet ingredients and beat until just combined. Stir in the nuts and dried fruit (or any other add-ins); the dough will be thick.
Turn out the dough on the counter. Moisten your hands lightly with water to keep them from sticking to the dough, and divide the dough into two equal portions. Shape each into a long log about 12 inches long and 2 inches wide. This seems very narrow but the dough will spread as it bakes. Place logs on the prepared baking sheet, ensuring they are spaced apart.
Make the egg wash by whisking the egg and a teaspoon of water in a small bowl. Brush the tops and sides of the logs evenly with the egg wash. Sprinkle the logs evenly with the 2 tablespoons sugar.
Bake for 30 minutes or until the logs are pale golden brown, springy to the touch with a cracked surface. Transfer the baking sheet to a cooling rack and lower the oven temperature to 300°F.
Gently slide an offset spatula under each loaf to loosen it from the parchment, then cool in place on the parchment for 15 minutes. Transfer the loaves to the rack off the baking sheet and parchment to cool for another 20 minutes.
Transfer a cooled loaf to a cutting board. Use a serrated knife to cut slices on the diagonal, about 3/4-inch thick. Arrange the slices, cut-side-up, on the baking sheet. Bake for 10 minutes, or until the cookies are golden brown.
Remove the pan from the oven and transfer the slices to a cooling rack to cool completely. They will continue to crisp up as they cool.",13,▢ 3 1/4 cups unbleached all-purpose flour,▢ 1 tablespoon baking powder,"▢ 1 teaspoon kosher salt, medium grain","▢ 10 tablespoons unsalted butter, room temperature",▢ 1 1/2 cups granulated sugar,▢ 3 large eggs,▢ 1 teaspoon pure vanilla extract,Maureen Abood,https://maureenabood.com/biscotti/,▢ 1 teaspoon anise extract,"▢ 2/3 cup roasted pistachios, coarsely chopped","▢ 2/3 cup dried cherries, coarsely chopped",▢ 1 large egg,▢ 1 teaspoon water,▢ 2 tablespoons granulated sugar,NA,NA,NA
Olive Oil Brownies Recipe,Maureen Abood,5,2,Cookie Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,16 brownies,6,"Arrange an oven rack in the middle position and preheatit 325°F. Coat an 8-inch metal baking pan lightly with a teaspoon of olive oil, then line the pan with parchment, making asling with edges hanging above all sides by 1 inch.
In a medium mixing bowl, add the granulated sugar, brown sugar, olive oil, eggs and yolk, and vanilla extract. Stir vigorously to combine.
In another smaller mixing bowl, whisk the flour, cocoa powder, espresso powder, and fine sea salt. Add to the sugar mixture and stir to combine. Stir in the chocolate chips.
Bake for 30 minutes or until a toothpick inserted in the center comes out with a few moist crumbs at the tip.
Remove the pan from the oven and immediately sprinkle the flakey sea salt evenly over the top of the brownies. Cool in the pan for 10 minutes. Use the parchment sling to lift the entire brownie block from the pan.
Allow the brownies to cool completely to ensure they cut cleanly, at least 1 hour. The longer the brownies cool, the more cleanly they will cut. Cut into 16 pieces, cutting 4 rows (3 cuts) in each direction. Store the brownies in an airtight container at room temperature for up to 4 days.",12,▢ 1/2 cup extra virgin olive oil,▢ 1 cup granulated sugar,▢ 1/2 cup packed light brown sugar,▢ 1 tablespoon pure vanilla extract,"▢ 2 large eggs, cold","▢ 1 large egg yolk, cold","▢ 1 cup plus 2 tablespoons unbleached, all-purpose flour",Maureen Abood,https://maureenabood.com/olive-oil-brownies/,▢ 2/3 cup Dutch process cocoa powder,▢ 1 tablespoon instant espresso powder,▢ 1/2 teaspoon fine sea salt,▢ 1/2 cup dark chocolate chips,"▢ 2 teaspoons flakey sea salt, such as Maldon",NA,NA,NA,NA
Mint Chocolate Brownies Recipe,Maureen Abood,5,3,Dessert Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,24 2-inch brownies,9,"Place an oven rack in the center position and heat the oven to 350°F. Coat the bottom only of a 13x9x2-inch baking pan lightly with oil.
In a medium saucepan over medium heat, melt the butter and chocolate chips, stirring occasionally, about 5 minutes. Remove from the heat and whisk in the granulated sugar and espresso powder.
Add the eggs, one at a time, whisking until smooth after each addition. Stir in the flour, salt, and cocoa powder until combined. Pour into the prepared pan and bake until the edges begin to pull away and a toothpick inserted in the middle of the pan yields just a few moist crumbs, about 35 minutes. Cool completely.
In a medium bowl or stand mixer fitted with the paddle attachment, beat the butter on medium speed until smooth, about 2 minutes. Add the confectioners sugar and beat very slowly at first to moisten, then on medium until combined. Stop and add 1 tablespoon milk, then beat again to incorporate. Add the peppermint extract and green food coloring and beat again until well-combined.
Spread the buttercream evenly over the cooled brownies. Smooth the top (an an offset spatula makes this easy). Refrigerate.
In a small saucepan over medium heat, melt the butter and chocolate chips until melted and smooth, stirring occasionally. Pour over the chilled mint layer and spread evenly (again a clean offset spatula does the job well).
Chill at least one hour and up to 5 days.
To cut the brownies, set up a tall glass full of hot water and a paper towel. Use a sharp knife to make one swift cut at a time, dipping the knife in the hot water and wiping clean with the paper towel after each cut.
Store the brownies in the refrigerator to hold their shape.",15,▢ 1 cup unsalted butter,"▢ 1 cup chocolate chips , (60% cacao)",▢ 2 cups granulated sugar,▢ 1 tablespoon instant espresso powder,▢ 4 large eggs,▢ 2/3 cup all-purpose flour,▢ 1/2 teaspoon kosher salt,Maureen Abood,https://maureenabood.com/peppermint-chocolate-brownies/,▢ 1/4 cup unsweetened cocoa powder,"▢ 1/2 cup unsalted butter, softened",▢ 2 cups confectioners' sugar,"▢ 1 tablespoon milk , (any fat percentage)",▢ 2 teaspoons peppermint extract,▢ 1 drop green food coloring,▢ 1/2 cup unsalted butter,"▢ 1 cup chocolate chips, (at least 60% cacao)",NA
Sitto’s Date Ma’amoul,Maureen Abood,5,3,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,24 2-inch cookies,14,"In a stand mixer or using a hand-held mixer, beat the butter in a large bowl until it’s creamy and light, about 3 minutes. Add the egg yolk, vanilla, orange blossom water, and whiskey. Beat again until the mixture is thick and creamy, another 3 minutes.
Sift into the butter mixture the confectioner’s sugar, cake flour, and mahleb. Use a wooden spoon to incorporate the dry ingredients. The dough will be crumbly at first, but when squeezed should hold together without cracking. If the dough seems too wet, add more cake flour 1 tablespoon at a time.
If the dough is dry and cracking, add orange juice, 1 tablespoon at a time. After each small addition, squeeze a walnut-sized piece of dough in your hand to test how it holds together (looking for pliable and soft).
Allow the dough to rest for about 15 minutes, then squeeze a palmful again and adjust as needed to form a soft, pliable dough, taking care not to overwork the dough with your hands.
For the filling, if using fresh dates, finely chop them by hand or in the food processor. In a small saucepan over medium heat, cook the chopped dates with the butter,stirring until the dates are broken down to a paste. Cool.
Form this homemade or the premade date paste into small balls (coat your hands witha touch of oil or flour to prevent the date paste from sticking), using about1-1/2 teaspoons per ball. The size of your filling depends on the size of your cookie, so adjust as needed. This is for a 2-inch cookie mold.
Move the oven rack to the top third of the oven. Preheat the oven to 350° F. Line two sheet pans with parchment paper or Silpats.
Pull a piece of dough about the size of a walnut (1 ounce), shaping into a rough ball.
Coat the interior of a mold with flour, knocking out the excess. Don’t skip this step! Do it every time dough is pressed into the mold; it’s essential for releasing the molded dough. If the mold becomes caked with dough during the molding process, wipe it out with a towel or rinse and dry it.
Place a ball of dough into the mold. Press the dough ball into the mold, creating a hollow space in the center and pushing the dough up and over the perimeter edge. Fill the hollow with a date ball.
Cover the date ball with the dough, using a touch more dough as needed to seal the date ball inside the dough. Smooth the flat side of the dough numerous times with the tips and palm of the hand. Wipe the dough away from the cookie mold scallop edges so the base of the cookie will have precise lines.
Turn the mold over and decisively whack the top bottom-facing corner of the mold on the work surface to release the cookie. Better with one whack than two, to avoid mistakenly hitting the released cookie with the mold.
Transfer the ma'moul to the lined cookie sheet, spacing them about an inch apart.
Repeat this process with the rest of the dough and date filling, placing the cookies about an inch apart on the baking sheets.
Bake the cookies, one sheet pan at a time, for 15-17 minutes, or until the cookies are a very pale golden brown. Keep an eye on the cookies to monitor if they are beginning to crack at the top. If the tops begin to crack, immediately remove the cookies from the oven. Place the hot sheet pan on a cooling rack and leave the cookies undisturbed. Sift confectioners’ sugar over the cookies.",10,"▢ 8 oz. clarified butter, at solid cool room temperature",▢ 1 large egg yolk,▢ 1/4 cup or juice of 1/2 Navel orange,▢ 1 teaspoon orange blossom water,▢ 1 teaspoon vanilla extract,▢ 1 teaspoon whiskey,▢ 1/2 cup Confectioners sugar,Maureen Abood,https://maureenabood.com/sittos-date-mamoul/,▢ 2 teaspoons mahleb,▢ 4 1/2-5 cups cake flour,▢ 10 oz. date paste (also known as “baking dates”) OR 10 ounces fresh pitted dates plus 1 tablespoon unsalted butter,NA,NA,NA,NA,NA,NA
Molded Shortbread Kaik Cookies,Maureen Abood,5,1,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,10 5-inch cookies,12,"Heat the oven to 400 degrees. Line two sheet pans with parchment.
In the stand mixer fitted with the paddle attachment, or by hand with a wooden spoon, beat the butter, brown sugar, and granulated sugar until the mixture is light and fluffy, about two minutes on medium speed.
With the mixer off, scrape down the bowl. Add the eggs, orange blossom water, vanilla and anise extract and beat until it's well incorporated.
In a medium bowl, whisk the flour, salt, mahlab, anise, and nutmeg. With the mixer on low speed, add half of the flour mixture. Once moistened, add the remaining flour mixture and beat until combined. The dough should hold together when squeezed, without leaving dough on your fingers. Add more flour, 1 tablespoon at a time, if needed, to create a cohesive, but not dry, dough.
To shape the cookies with a mold. flour the mold well with flour, then knock of excess flour. Do this each time before pushing dough into the mold to ensure an easier release of the shaped dough.
Pull a large, 4 oz. piece of dough and shape it into a smooth ball. Flatten the dough to about a 3-inch disk on your work surface. Smooth any cracks in the dough. Gently lift the disk and press it into the floured mold. Evenly push the dough across the mold and shape the edges to prevent any cracking.
To remove the dough from the mold, gently loosen the dough around the perimeter of the mold, slowly working your way in as you loosen. Let gravity assist as you hold the mold face down and gently pull the shaped dough from the mold.
Repeat with all of the dough, placing the cookies on the prepared sheet pans about two inches apart, six cookies on one pan and four on the other.
Bake the cookies one sheet pan at a time, for 17 to 20 minutes, or until the cookies are golden brown throughout (not just at the perimeter). Remove from the oven and cool completely before glazing.
Make the glaze just before using it. In a medium bowl, combine the confectioner's sugar, corn syrup, orange blossom water, and 3 tablespoons water. Stir until the glaze falls in a very thick ribbon off of the spoon. Add drops of water if needed to get the correct consistency. Cover with plastic wrap until you're ready to use the glaze, stirring again to smooth it out.
Place the cookies on a rack with parchment underneath to catch drips. Spoon the glaze in the center of a cookie, and spread the glaze evently to the edges using the back of the spoon or a pastry brush. You'll get a feel for how thick you want the coating of glaze to be, making sure the cookie pattern shows through.
Allow the glazed cookies to harden over night. Store the cookies in an airtight container, in layers separated by waxed paper, for up to one week or longer. These are crunchy biscuit cookies so they last a good long time.",16,"▢ 1 1/2 cups (12 oz.) unsalted butter, softened",▢ 3/4 cup light brown sugar,▢ 3 teaspoons granulated sugar,▢ 2 large eggs,▢ 2 teaspoons orange blossom water,▢ 1 teaspoon vanilla extract,▢ 1 teaspoon anise extract,Maureen Abood,https://maureenabood.com/molded-shortbread-cookies/,"▢ 4 cups plus 2-3 tablespoons, unbleached, all-purpose flour, plus more to flour the molds",▢ 1 teaspoon kosher salt,▢ 2 tablespoons mahleb,▢ 3 tablespoons ground anise,▢ 1/2 teaspoon ground nutmeg,▢ 3 cups confectioners' sugar,▢ 2 tablespoons corn syrup,▢ 2 teaspoons orange blossom water,▢ 4-5 tablespoons water
Frosted Cut-Out Cookies,Maureen Abood,NA,NA,Christmas,Website did not provide,Website did not provide,Website did not provide,Website did not provide,3 dozen 3-inch cookies,10,"In a mixer, or by hand, beat the butter, sugar, eggs, and vanilla until very well combined and fluffy. This takes a few minutes so if you're not sure, keep going.
In a smaller bowl, whisk the flour, baking powder and salt. Add to the butter mixture and stir/mix until well-combined.
Lay two long sheets of plastic on the counter, overlapping eachother. Scrape the cookie dough onto the plastic and fold the plastic over the dough, shaping the dough into a 2-inch thick rectangle. This helps get the rolling started more easily with the chilled dough. Chill for at least one hour.
Make the buttercream. In a medium bowl, combine the very soft butter with the confectioners' sugar. This takes plenty of doing if stirring by hand. A rubber spatula works well. At first the mixture looks dry and as though it needs liquid. Add the vanilla and keep stirring. the butter. will hydrate the sugar and a smooth, thick mixture will form. The idea is to have a thick butter cream that will dry well on the cookies. If the frosting needs thinning, add a teaspoon of milk.
Heat the oven to 400 degrees. Line sheet pans with parchment paper. Line the counter with a silpat, or use a board covered with a thin bread towel (that's what Betty Crocker recommended). Or, just flour the counter well (this is not preferred, as you need a lot of flour to prevent the dough from sticking and the cookies don't taste as good with all that flour).
Work quickly through the rolling and cutting process to keep the dough cold. Remove the chilled dough from the plastic and cut it in half. Put one half back in the refrigerator. Place the other half on the silpat/board/counter and dust the dough and a rolling pin lightly with flour. Start the rolling by pounding the pin across the dough evenly. Then start rolling, moving the dough after every few rolls so that it won't stick to the work surface, adding more flour underneath as needed. Roll to 1/8- to 1/4-inch thickness.
Dip the cutters in flour. Like a puzzle, figure out the way to cut the dough so you get as many cuts as possible. Carefully transfer the cut-outs to the sheet pans. Repeat the rolling with the scraps, but don't knead the scraps together. A light touch combining the scraps will result in better, more tender second-rolled cookies. Just pat the pieces together and let the rolling pin combine as you roll.
Bake the cookies for about 8 minutes, or until light golden brown. Keep an eye on the cookies to determine how long they need in your oven.
Cool the cookies on racks. Place sheets of wax paper on the counter. Set out a plate to catch the sprinkles as you decorate the cookies. Use a small cheese knife to frost the cookies, and sprinkle them immediately after frosting them so that the sprinkles will stick. Let the cookies dry on the wax paper, then eat, and store extras in an airtight container. Separate layers of cookies in the container with wax paper to protect the frosting.
Thank you, Mom!",12,"▢ 3/4 cup unsalted butter, very softened",▢ 1 cup granulated sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla extract,"▢ 2 1/2 cups unbleached, all-purpose flour, plus more for rolling",▢ 1 teaspoon baking powder,▢ 1 teaspoon salt,Maureen Abood,https://maureenabood.com/moms-frosted-christmas-cut-out-cookies/,"▢ 1/2 cup unsalted butter, very softened (1 stick)",▢ 2 1/2 cups confectioners' sugar,▢ 2 teaspoons vanilla,"▢ 1 teaspoon milk (any), if needed","▢ Decor: Red, green, multi-colored, yellow, and blue sugar sprinkles plus brown sprinkles and red hots. Gold and silver ball sprinkles are also nice.",NA,NA,NA,NA
Pastel Dipped Shortbread (Graybeh),Maureen Abood,5,1,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,30 1.5-inch diamonds,11,"Heat the oven to 325 degrees and place the rack in the center of the oven. Line two sheet pans with parchment or a silpat.
Using a mixer with the whisk attachment, whip the butter on high speed until fluffy, creamy and pale, about six minutes. Stop and scrape the sides of the bowl with a spatula for even whipping. Add the confectioners’ sugar, orange blossom water, and vanilla and whip until well combined and fluffy, another 5 minutes.
In a small bowl, whisk the flour and salt. On low speed, slowly blend in the flour, ½ cup at a time.
Handle the dough as gingerly as possible to shape the cookies. Knead the dough just enough to form a cohesive dough. Take a large handful of the dough and shape it into a log about 1-inch tall and wide (this is pretty narrow!) on a lightly floured surface. If the dough is crumbly, gently push it together. Use a sharp knife or bench scraper to square off the sides of the log, and to cut ½-inch pieces diagonally (these are quite small; they expand when baked).
Place the diamonds on a parchment-lined heavy sheet pan and bake until the cookies are baked through but still pale, about 18-20 minutes. The cookies should not be browned except for very minimally on the bottom.
Remove from the oven and cool on the sheet pan.
Gently melt the white chocolate chips with the coconut oil in a double boiler. White chocolate is very delicate takes this indirect heat to melt properly. Or, melt the chocolate with the coconut oil in 15 second increments in the microwave.
Pulverize the blueberries until they are finely ground. Sift in a fine mesh sieve. Do the same, in clean grinder or processor, with the strawberries.
Divide the melted white chocolate into three small bowls. Add a teaspoon or so of the blueberry powder to one bowl, and the strawberry powder to another bowl. Leave the third bowl of white chocolate as is. Stir the powder and chocolate well, adding more powder for more color and flavor as you like.
To dip the cooled cookies, dunk the top half of a cookie in one of the colored chocolates, taking care to coat the top only of the cookie for easier drying and handling of the cookie. Use a spoon to assist in coating part of the cookie. Allow any excess chocolate to drip off back into the bowl. Place the cookie back on the parchment lined cookie sheet and sprinkle with a bit of the pistachios. Dip all of the cookies in this way, with 1/3 of the cookies in the blueberry chocolate, 1/3 of the cookies in the strawberry chocolate, and 1/3 of the cookies in the plain white chocolate.
Let the dipped cookies dry for two hours. Serve immediately, or store in a single layer in airtight containers for a day.",11,"▢ 3/4 cup clarified butter, at solid room temperature",▢ 3/4 cup confectioners’ sugar,▢ 1 teaspoon orange blossom water,▢ 1 teaspoon vanilla,▢ 1/4 teaspoon kosher salt,"▢ 1 3/4 cup unbleached, all-purpose flour",▢ 3 cups white chocolate chips,Maureen Abood,https://maureenabood.com/pastel-dipped-shortbread-graybeh/,▢ 2 1/2 teaspoons coconut oil,▢ 1/3 cup freeze-dried blueberries,▢ 1/3 cup freeze-dried strawberries,"▢ 2 tablespoons pistachios, ground (use raw pistachios for bright green color)",NA,NA,NA,NA,NA
