title,author,rating,ratingnum,cuisine,course,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18
Easy Mini Chocolate Chip Cookies (Egg-Free),Oriana Romero,5,2,American,Dessert,Cookies,10 minutes,10 minutes,Chilling Time: 30 minutes mins,50 minutes,45 mini cookies,8,"Combine flour, baking powder, baking soda, and salt in a bowl. Set aside.
Using an electric hand mixer or a stand mixer over medium speed, beat the cold butter for 30-45 seconds to break it down a little. Add the granulated sugar, brown sugar, and cream cheese; mix until just combined, about 30-45 seconds. Scrape down the sides and bottom of the bowl as needed. Add chocolate chips and mix to distribute evenly.
Reduce the speed to low and add the flour mixture; mix until it resembles coarse crumbs. Then, add the milk and vanilla; mix until just combined (don't overmix!).
Scoop dough out a slightly heaping teaspoon at a time and drop it onto a plate or baking sheet. Shape each into a ball, then if desired, press 3 – 4 more chocolate chips into the top (totally optional, mostly for looks). Freeze for at least 30 minutes and up to 3 months.Tip: Use a small cookie scoop to portion out the dough.
Preheat the oven to 350º F (180º C). Line two large-rimmed baking sheets with parchment paper or a silicone baking mat.
Place the frozen cookie balls at least 1″ apart onto the prepared baking sheets.
Bake in a preheated oven for about 10 – 12 minutes (they should still fill soft and slightly under-baked; they will continue to cook slightly once removed from the oven, so carefully do not over-bake).Important: Every oven is different, so baking times must always be taken with a grain of salt. Oven thermostats can be wildly off,and that will all affect baking time, so keep an eye on yours. Your mini cookies are done, when the edges are very lightly browned. The centers will look very soft, but the cookies will continue to set as they cool. 
Allow to cool completely on cookie sheets.",11,▢ 3 cups (420 g) all-purpose flour,▢ 3 teaspoons (12 g) baking powder,▢ 1/8 teaspoon (0.75 g) baking soda,▢ 1 teaspoon (4 g) salt,▢ ¾ cup (174 g) butter cold and cubed,▢ 2/3 cup (134 g) granulated sugar,▢ 2/3 cup (134 g) light brown sugar,▢ 3 tablespoons (42 g) cream cheese,▢ 1 ½ cup (250 g) mini semi-sweet chocolate chips,▢ 3 tablespoons (45 ml) milk,▢ 1 teaspoon (5 ml) pure vanilla extract,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-easy-mini-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA
Eggless Royal Icing,Oriana Romero,4,539,American,Dessert,All Recipes,5 minutes,NA,NA,5 minutes,2 cups,8,"Mix confectioner's sugar and water in a glass bowl until no lumps.Note: You can make this icing by hand, but using an electric mixer or a stand mixer makes the mixing process a breeze. 
Add light corn syrup and mix until incorporated.
Stir in lemon juice and mix until incorporated. NOTE: Check consistency; after mixing the ingredients together, drag the tip of a butter knife through the surface of your icing. If it takes 8 – 10 seconds to settle flat, you are good. If it’s too thick, add more water (about a teaspoon at a time). If it’s too thin, add a little more sifted confectioners’ sugar. Continue adding more until you reach the consistency you’d like. 
Use the white icing as it is, or divide the icing into several bowls and add gel food coloring. See notes for different consistencies.
Use immediately, or store in an airtight container with a piece of plastic wrap pressed directly onto the surface of the icing for up to 3 days. Stir gently with a spatula before using.
Using an electric mixer or a stand mixer with the whisk attachment, beat the aquafaba and cream of tartar on medium-high speed until it reaches medium peaks, 5 to 8 minutes
Add confectioner's sugar; mix until well incorporated. 
Add lemon juice and mix to incorporate. NOTE: Check consistency; after mixing the ingredients together, drag the tip of a butter knife through the surface of your icing. If it takes 8 – 10 seconds to settle flat, you are good. If it’s too thick, add more water (about a teaspoon at a time). If it’s too thin, add a little more sifted confectioners’ sugar. Continue adding more until you reach the consistency you’d like. ",8,▢ 2 cups (240 g) confectioner's sugar,▢ 4 – 6 teaspoons teaspoons (20 – 30 ml) water,▢ 4 teaspoons (20 ml) light corn syrup,"▢ 1 teaspoon (5 ml) lemon juice (optional – if not using, substitute with more water)",▢ 2 tablespoons (30 ml) aquafaba,▢ 1/4 teaspoon cream of tartar,▢ 2 cups (240 g) confectioner's sugar,▢ 1 teaspoon (5 ml) lemon juice,NA,NA,NA,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-royal-icing/,NA,NA,NA,NA,NA,NA,NA
Eggless Brookie Cookies (One Dough),Oriana Romero,NA,NA,American,Dessert,Cookies,20 minutes,10 minutes,Chilling Time: 2 hours hrs,30 minutes,12 cookies,11,"In a medium bowl, whisk together the melted butter, brown sugar, granulated sugar, and salt until smooth and no lumps remain.
Add the milk and vanilla extract and whisk until well combined. The mixture will look thin at this point; that’s okay. Let it rest for about 5 minutes to cool slightly.
Stir in the flour, baking soda, baking powder, and cornstarch using a large spoon or spatula. The dough will be thick, soft, and slightly shiny.
Transfer half of the dough to a separate bowl. Each portion will weigh 480 g approximately.
Gently mix in 1 cup of chocolate chunks or chips to one half, making sure the dough isn’t too warm; mix until evenly distributed.Important: Make sure the dough is not too warm before adding the chocolate, or it may melt and streak into the dough instead of staying in chunks. Keep mixing gently until everything comes together and the chocolate is evenly distributed.
To the other half of the dough, add cocoa powder and extra milk; mix until fully combined. Then, mix in 1 cup of chocolate chunks or chips; mix until evenly distributed and no dry spots remain.
Portion each dough into 2 tablespoons (50 g approx.) Tip: You can make smaller cookies if you prefer.
Take one portion of chocolate chip dough and one portion of chocolate dough, press them together, and roll them into one taller dough ball. Repeat until you shape all the cookies. Refrigerate the dough balls for at least 2 hours so they bake up thick and chewy, or up to 3 days.
When ready to bake, preheat the oven to 350°F (180°C). Line a baking sheet with parchment paper or silicone baking mats.
Place the chilled dough balls you wish to bake on the prepared baking sheet, spacing them about 3 inches apart.
Bake for 8–10 minutes, until the edges are lightly golden and the centers look soft and puffy. Do not overbake; the cookies will continue to set as they cool. Let them rest on the baking sheet for 5 minutes before transferring to a wire rack.Tip: Right after baking, you can bang the baking sheet firmly on the counter 2–3 times for a crinkly, rippled look. If desired, reshape the cookies into neat rounds using a spoon or round cookie cutter while they are still hot, and press extra chocolate chips on top for a bakery-style finish.",13,"▢ 1 cup (230 g) unsalted butter, melted (dairy or non-dairy; see notes)",▢ 1/2 cup (100 g) granulated sugar,▢ 1 cup (200 g) light brown sugar,▢ 1 1/2 teaspoons (6 g) kosher salt,▢ 3 tablespoons (45 ml) milk (dairy or non-dairy; see notes),▢ 1 teaspoon (5 ml) pure vanilla extract,▢ 2 1/2 cups (350 g) all-purpose flour,▢ 1/2 teaspoon (3 g) baking soda,▢ 1 teaspoon (4 g) baking powder,▢ 2 teaspoons (8 g) cornstarch,"▢ 2 cups (400 g) semi-sweet or dark chocolate chunks or morsels, divide (dairy or non-dairy; see notes)",Mommy's Home Cooking,https://mommyshomecooking.com/eggless-brookie-cookies-one-dough/,▢ 1/2 cup (50 g) natural unsweetened cocoa powder,▢ 2 tablespoons (30 ml) milk (dairy or non-dairy; see notes),NA,NA,NA,NA,NA
Eggless Easy Biscotti Recipe,Oriana Romero,5,1,American,Dessert,Cookies,15 minutes,16 minutes,Cooling Time: 15 minutes mins,46 minutes,16 biscotti,11,"Preheat the oven to 325°F (165°C). Line two large baking sheets with parchment paper or silicone baking mats. Set aside.
Whisk the flour and baking powder in a large bowl until combined.
Using an electric mixer, beat the butter (or shortening), sugar, and salt together until creamy, 2–3 minutes. Add the yogurt, vanilla extract, and almond bakery emulsion (if using). Mix until smooth.
Add the dry ingredients to the wet mixture and mix on low speed just until the dough comes together. If using add-ins, fold them in now.
If using add-ins, fold them in now.
Divide the dough in half. Shape each portion into a ball, then gently form each into an 8-inch log. Transfer to one of the prepared baking sheets and flatten to about ¾ inch thick. If desired, sprinkle with turbinado sugar.
Bake for 25–26 minutes, or until the tops and edges are lightly golden. Remove from the oven (do not turn off the oven) and let the logs cool for 15 minutes.
To slice, lightly score the top of each log, then use a sharp knife to press straight down—avoid sawing—for cleaner cuts. Slice each log into 1-inch pieces on a slight diagonal.
Arrange the slices upright on the baking sheet, spacing them about ¼ inch apart. End pieces can be laid flat if needed.
Return to the oven and bake for 8 minutes. Flip each biscotti and bake for another 8 minutes. The centers will feel slightly soft but will crisp up as they cool. Remove from the oven and cool completely on the baking sheet. 
Decorate (optional): Once cooled, dip one end of each biscotti into melted chocolate. Place them on parchment paper and immediately sprinkle with chopped pistachios. Allow the chocolate to set before storing.",12,▢ 2 cups (280 g) all-purpose flour,▢ 1 ½ teaspoons (8 g) baking powder,"▢ ½ cup (115 g) unsalted butter or shortening, softened (use shortening for crispier biscotti – see notes)",▢ ¾ cup (150 g) granulated sugar,▢ ½ teaspoon salt,▢ 4 tablespoons (76 g) plain regular yogurt,▢ 1 teaspoon (5 ml) pure vanilla extract,▢ ¼ teaspoon (1.25 ml) almond bakery emulsion (optional),▢ ½ cup chopped dried cranberries,▢ ½ cup chopped raw pistachios,▢ 4 oz (226 g) semi-sweet or dark chocolate bars,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-easy-biscotti-recipe/,▢ Finely chopped pistachios,NA,NA,NA,NA,NA,NA
Eggless Christmas Sprinkle Sugar Cookies,Oriana Romero,5,1,American,Dessert,Cookies,15 minutes,8 minutes,NA,23 minutes,24 cookies approx.,7,"Preheat the oven to 350ºF (180ºC). Line two large baking sheets with parchment paper or silicone baking mats.
In a medium bowl, whisk together the flour, baking powder, baking soda, and salt; set aside.
Using an electric hand mixer or a stand mixer, cream the butter and sugar together until light and fluffy, about 5 minutes. Add the yogurt, milk, vanilla, and almond bakery emulsion (if using). Mix until well combined, scraping down the bowl as needed.
Reduce the mixer speed to low and gradually add the flour mixture. Mix just until the dry ingredients are incorporated. Add the sprinkles and mix briefly to evenly distribute. Do not overmix.
Scoop 1 1/2 to 2 tablespoons of dough per cookie (50 g each approx.). Roll each portion into a smooth ball and coat it in the sugar for rolling.
Place the dough balls on the prepared baking sheets, spacing them about 2 inches apart. For best results, bake one sheet at a time.
Bake for 8 to 10 minutes, or until the edges are just barely golden. Let the cookies cool on the baking sheet for 5 minutes, then transfer them to a wire rack to cool completely.",12,▢ 2 ¾ cups (358 g) all-purpose flour,▢ 1 ½ teaspoons (6 g) baking powder,▢ 1/2 teaspoon (3 g) baking soda,▢ 3/4 teaspoon salt,"▢ 1 cup (230 g) unsalted butter, softened",▢ 1 ½ cups (300 g) granulated sugar,▢ 3 tablespoons (45 g) plain regular yogurt,▢ 3 tablespoons (45 ml) milk,▢ 2 teaspoons (10 ml) pure vanilla extract,▢ 1/4 teaspoon (1.25 ml) almond bakery emulsion (optional – see notes),▢ 1/2 cup red and green jimmies sprinkles plus more as desired,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-christmas-sprinkle-sugar-cookies/,▢ 1/4 cup granulated sugar for rolling,NA,NA,NA,NA,NA,NA
Eggless Chocolate Ginger Cookies,Oriana Romero,NA,NA,American,Dessert,Cookies,10 minutes,12 minutes,Chilling Time: 2 hours hrs,22 minutes,24 cookies approx.,8,"In a medium bowl, whisk together the flour, cocoa powder, baking soda, ginger, cinnamon, cloves, nutmeg, and salt. Set aside.
In a large bowl, using an electric hand mixer or stand mixer, beat the butter and brown sugar on medium-high speed until creamy, about 3 minutes. Add molasses and mix until combined. Add milk and vanilla extract; beat for 1 minute until smooth.
Reduce the mixer speed to low and gradually add the dry ingredients. Scrape down the sides and bottom of the bowl as needed, mixing until the dough comes together.
Scoop about 1 tablespoon (25 g) of dough per cookie and roll into balls. Roll each ball in granulated sugar and place on a big plate or a baking sheet. Cover tightly with plastic wrap, and refrigerate for at least 2 hours or up to 3 days.
Preheat the oven to 350° F (180° C). Line two large baking sheets with parchment paper or silicone baking mats.
Bake for 11–12 minutes, or until the edges are set and the tops crack slightly. Remove from the oven and let cool on the baking sheets for 5 minutes, then transfer to a wire rack to cool completely.
Dip the Cookies: Once the cookies have cooled completely, melt the chopped chocolate. Dip half of each cookie into the melted chocolate, then place on parchment paper. Sprinkle with chopped crystallized ginger if desired. Allow the chocolate to set at room temperature for about 1 hour before serving or storing. 
Sprinkle with chopped crystallized ginger if desired. Allow the chocolate to set at room temperature for about 1 hour before serving or storing. ",16,▢ 2 cups (280 g) all-purpose flour,▢ 1/4 cup (22 g) unsweetened natural cocoa powder,▢ 1 1/4 teaspoons (7.5 g) baking soda,▢ 2 teaspoons ground ginger,▢ 1 1/2 teaspoons ground cinnamon,▢ 1/4 teaspoon ground cloves,▢ 1/4 teaspoon ground nutmeg,▢ 1/4 teaspoon salt,"▢ 3/4 cup (170 g) unsalted butter, softened",▢ 3/4 cup (150 g) dark brown sugar (light brown sugar also works),▢ 1/3 cup (80 ml) unsulphured molasses,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-chocolate-ginger-cookies/,▢ 3 tablespoons (45 ml) milk,▢ 1 teaspoon (5 ml) pure vanilla extract,"▢ 1/3 cup (67 g) granulated sugar, for rolling","▢ 4–6 oz (113–170 g) semi-sweet or dark chocolate, finely chopped","▢ 2 tablespoons (30 g) finely chopped crystallized ginger, to decorate (optional)",NA,NA
Eggless Candy Canes Cookies,Oriana Romero,NA,NA,American,Dessert,Cookies,30 minutes,14 minutes,Chilling Time: 1 hour hr,44 minutes,48 cookies approx.,12,"In a medium bowl, sift together the flour, cornstarch, and baking powder. Whisk to combine and set aside.
Using an electric hand mixer or a stand mixer fitted with the paddle attachment, beat the butter, salt, and sugar on medium speed until light and creamy, about 3–4 minutes. Scrape down the sides and bottom of the bowl as needed. Add the cream cheese, pure vanilla extract, and almond bakery emulsion (if using); mix until smooth and fully incorporated.
Reduce the speed to low and gradually add the flour mixture, beating just until combined and the dough starts to come together.
Remove half of the dough from the bowl and set aside. Add red gel food coloring to the remaining dough in the mixing bowl and mix until evenly tinted.
Scoop out teaspoon-sized portions (about 10 g each) of both doughs. Roll each portion into a ball. Place all dough balls on a large plate or baking sheet and refrigerate for at least 1 hour or until firm to the touch. (You can chill the dough for up to 3 days.)
Position a rack in the middle of the oven and preheat to 350° F (180° C). Line two baking sheets with parchment paper or silicone baking mats.
Lightly flour your work surface. Take one uncolored dough ball and roll it into a 4-inch rope. Do the same with one red dough ball. Lay the ropes side by side, press gently to adhere.
Twist together a few times to create a candy cane pattern. Roll the twisted rope in granulated sugar, then curve one end to form the cane shape.
 Roll the twisted rope in granulated sugar.
Then curve one end to form the cane shape.
Place the candy canes on the prepared baking sheets, spacing them about 1 inch apart.Tip: For perfectly shaped candy canes, chill the twisted dough for 10 – 15 minutes before baking—this helps prevent spreading and keeps the design crisp and defined.
Bake for 12–14 minutes, or until firm to the touch, rotating the baking sheets halfway through baking. Cool on the baking sheets for 5 minutes, then transfer to a wire rack to cool completely. Store cooled cookies in an airtight container at room temperature for up to 5 days.",11,▢ 3 cups (420 g) all-purpose flour,▢ 1 tablespoon (10 g) cornstarch,▢ 1/2 teaspoon (2 g) baking powder,▢ 1/2 teaspoon salt,"▢ 3/4 cup (175 g) unsalted butter, softened",▢ 1 cup (200 g) granulated sugar (plus more for rolling),"▢ 6 oz (170 g) cream cheese, softened",▢ 2 teaspoons (10 ml) pure vanilla extract,▢ 1/2 teaspoon (2.5 ml) almond bakery emulsion (optional),▢ 1/4 teaspoon peppermint extract (optional),▢ 1 teaspoon red gel food coloring,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-candy-canes-cookies/,NA,NA,NA,NA,NA,NA,NA
Eggless Gingerbread Snickerdoodle,Oriana Romero,5,2,American,Dessert,Cookies,15 minutes,10 minutes,NA,25 minutes,24 cookies,8,"Preheat the oven to 350° F (180° C). Line two baking sheets with parchment paper.
In a medium bowl, whisk together the flour, gingerbread spice mix, cream of tartar, baking soda, and salt. Set aside.
In a large mixing bowl, using a stand mixer fitted with the paddle attachment (or a hand mixer), beat the melted and slightly cooled butter, molasses, and both sugars until creamy and well combined, about 2 minutes. Add the milk and pure vanilla extract and mix until fully incorporated.
Gradually add the dry ingredients and mix until a smooth dough forms and no dry spots remain.
In a small bowl, combine the sugar and gingerbread spice mix for the coating.
Scoop about 1 1/2 tablespoons (50 g) of dough and roll into balls. Coat each dough ball thoroughly in the sugar-spice mixture, pressing gently to help the coating stick. Place the dough balls 2 inches apart on the prepared baking sheets.
Bake for 8–10 minutes, or until the edges are set and the centers look slightly soft.
Remove from the oven and let the cookies cool on the baking sheet for 2 minutes, then transfer to a wire rack to cool completely. ",13,▢ 2 3/4 cups (385 g ) all-purpose flour,▢ 3 teaspoons gingerbread spice mix (see notes for substitute),▢ 2 teaspoons (8 g) cream of tartar,▢ 1 teaspoon (6 g) baking soda,▢ 1 teaspoon salt,"▢ 1 cup (230 g) unsalted butter, melted and slightly cooled",▢ 4 tablespoons (96 g) unsulphured molasses,▢ 1/2 cup (100 g) light brown sugar,▢ 1/2 cup (100 g) granulated sugar,▢ 1/4 cup (60 ml) milk,▢ 1 teaspoon (5 ml) pure vanilla extract,Mommy's Home Cooking,https://mommyshomecooking.com/eggless-gingerbread-snickerdoodle/,▢ 1/2 cup (100 g) granulated sugar,▢ 3 teaspoons gingerbread spice mix (see notes for substitute),NA,NA,NA,NA,NA
Eggless Sugar Cookie Bites,Oriana Romero,NA,NA,American,Dessert,Cookies,30 minutes,13 minutes,Freezing Time: 25 minutes mins,8 minutes,60 small cookie bites approx.,12,"Sift the flour, cornstarch, and baking powder into a bowl. Add the salt and set aside.
Using an electric hand mixer or a stand mixer, beat the butter and sugar on medium speed until smooth and creamy, 3 to 4 minutes. Scrape down the sides and bottom of the bowl as needed. Add the cream cheese and vanilla; mix until incorporated.
Reduce the speed to low and gradually beat in the flour mixture; beat just until incorporated, and the dough starts to come together. Divide the dough into two equal pieces.
Place one piece of dough on a big piece of parchment paper (or a silicone mat). Place a piece of parchment on top to prevent sticking. With a rolling pin, roll the dough out to about ½ inch (1.2 cm) thick. Try to shape the dough into a square. Repeat with the second piece of dough.
Place both rolled-out doughs, one on top of the other, on a baking tray, cover with plastic wrap, and freeze for 20 – 25 minutes, or until solid and cool.
Preheat the oven to 350º F (180º C). Line two baking sheets with parchment paper or silicone baking mats.
Working with one sheet of dough at a time, cut it into squares. I recommend using a pizza cutter for this. You can use pastry rulers or eyeball it. Gather up the dough scraps and form them into a square, and repeat, chilling the dough again if it gets warm.
Transfer the cookie dough squares to the prepared baking sheets.
Bake for 10 to 13 minutes or until the cookies are just beginning to turn brown around the edges. Remove from the oven and let them sit on the baking sheets for 5 minutes. Then use a wide metal spatula to transfer the cookies to a wire rack and let them cool completely. Repeat the process to cut and bake the remaining dough.
Decorate the cooled sugar cookie bites as desired. You can use American buttercream or royal icing.
If using eggless royal icing, make a batch of royal icing recipe. For a simple decoration, place the icing in a piping bag. Drizzle the icing over the cooled cookies, and then add some sprinkles. Or split this batch into three bowls and colored one batch green, one red, and left one bowl white. Ice the cookies, add some sprinkles if desired, and let the icing dry completely, about 1 1/2 hours, before serving. Once the cookies have completely dried, they can be stored either in an airtight container with waxed paper in between each layer or in an airtight bag in a single layer. 
If using American buttercream, make a batch of buttercream frosting recipe. For a simple decoration, place the icing in a piping bag. Pipe or spread the frosting over the cooled cookies, and then add some sprinkles. Or split the frosting batch into three bowls and colored one batch green using 2 drops of Americolor Leaf Green Food Coloring, one bowl red using 2 drops of Americolor Super Red Food Coloring, and left one bowl white. Frost the cookie bites and add some sprinkles if desired. This frosting will not set hard, so I do not recommend stacking.",12,▢ 3 cups (420 g) all-purpose flour,▢ 1 tablespoon (10 g) cornstarch,▢ 1/2 teaspoon (2 g) baking powder,▢ 1/2 teaspoon (2 g) salt,"▢ 3/4 cup (175 g) unsalted butter, softened",▢ 1 cup (200 g) granulated sugar,"▢ 6 ounces (170 g) cream cheese, softened",▢ 2 teaspoons (10 ml) pure vanilla extract,▢ 1 teaspoon (5 ml) almond bakery emulsion (optional – see notes),▢ Frosting American buttercream or royal icing,▢ gel food coloring (optional if you want to color the icing),Mommy's Home Cooking,https://mommyshomecooking.com/eggless-sugar-cookie-bites/,▢ festive holiday sprinkles,NA,NA,NA,NA,NA,NA
Eggless Hot Chocolate Cookies (aka hot cocoa cookies),Oriana Romero,5,4,American,Dessert,Cookies,10 minutes,12 minutes,Chilling Time: 30 minutes mins,52 minutes,24 cookies,9,"In a medium bowl, whisk together the flour, cocoa powder, baking powder, baking soda, and salt. Set aside.
Using an electric hand mixer or stand mixer, beat the cold butter on medium speed for 30–45 seconds to break it down slightly. Add the granulated and brown sugars and mix until combined, about 30–45 seconds. Scrape down the sides and bottom of the bowl as needed.
Reduce the speed to low and add the dry ingredients. Mix until the dough resembles coarse crumbs. Add the milk and vanilla extract, then mix until just combined (do not overmix).
Scoop heaping 1-tablespoon portions of dough (about 25 g each) and roll into balls. Place them on a cookie sheet or large plate and freeze for at least 30 minutes or up to 2 days. (Dough balls can also be frozen for up to 3 months.)
Preheat the oven to 350°F (180°C). Line a large baking sheet with parchment paper or a silicone baking mat.
Arrange the frozen cookie dough balls evenly spaced, about 4 inches apart, on the prepared baking sheet. Bake for 10 minutes, or until the edges appear set but the centers are still soft.
Remove from the oven and gently press a marshmallow half onto the top of each cookie. Return to the oven for 2 minutes, just until the marshmallows puff up slightly. Remove and gently flatten the marshmallows with the back of a spoon. Let the cookies cool on the baking sheet for 10 minutes, then transfer to a wire rack to cool completely.
Melt the Chocolate: Place the chopped chocolate in a heatproof bowl and melt it using a double boiler or microwave. If microwaving, heat in 20-second intervals, stirring between each, until smooth.
Spoon the melted chocolate over each cooled, marshmallow-topped cookie. Allow the chocolate to set at room temperature for 30–60 minutes before stacking, storing, or gifting. Keep cookies tightly covered at room temperature for up to 1 week.",12,▢ 1 1/2 cups (210 g) all-purpose flour,▢ 1/3 cup (42 g) unsweetened natural cocoa powder,▢ 2 teaspoons (8 g) baking powder,▢ 1/4 teaspoon (1.5 g) baking soda,▢ 1/2 teaspoon (2 g) salt,"▢ 1/2 cup (115 g) unsalted butter, cold and cubed",▢ 1/2 cup (100 g) granulated sugar,▢ 1/2 cup (100 g) brown sugar,▢ 1/4 cup (60 ml) milk,▢ 1 teaspoon (5 ml) pure vanilla extract,"▢ 12 large marshmallows, cut in half",Mommy's Home Cooking,https://mommyshomecooking.com/eggless-hot-chocolate-cookies-aka-hot-cocoa-cookies/,"▢ 8 oz (226 g) semi-sweet chocolate, finely chopped",NA,NA,NA,NA,NA,NA
