title,author,datelisted,rating,ratingnum,category,cuisine,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,source,link,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19
Ghraybeh Stuffed with Dates,Muna Kenny,27/01/2025,NA,NA,Cookies Recipes,Middle Eastern,"Cookies, Dessert",15 minutes,10 minutes,NA,25 minutes,18 Stuffed Cookie,10,"Take half a teaspoon of ghee and spread it over a large plate.
In a small bowl, mix the dates with cinnamon, cardamom, and ghee by hand until smooth.
Roll the mixture into 18 equal-sized balls and place them on the greased plate. Cover and set aside.
In a medium bowl, combine the ghee and powdered sugar, mix until the color lightens and the mixture becomes fluffy.
Gradually add the flour until you achieve a smooth, that can be formed into a ball without sticking, as demonstrated in the video. (Please refer to the note about adding the flour below.)
Cover and refrigerate the dough for 30 minutes. When you remove it from the fridge, if the dough is too firm, mix it gently until it will becomes smooth again. Form 18 equal-sized balls.
Gently flatten each ball and place a date ball inside. Close the dough around the filling, reshaping it into a ball again.
Roll the stuffed dough balls in pistachios and place them on the prepared baking sheet. Refrigerate the balls for 30 to 40 minutes. During this time, preheat the oven to 180°C/360°F.
Take the baking sheet out of the fridge and place it in the preheated oven for 10 minutes on the middle shelf. When you remove the ghraybeh from the oven, let them cool on the baking sheet; moving them while warm or hot will cause them to break.
Serve with tea or coffee.",8,½ cup ghee at room temperature,¼ cup + 1 tablespoon powdered sugar,"1 ½ cup all-purpose flour Please, read the notes, it’s important",1 cup pitted date,¼ teaspoon cardamom powder,¼ teaspoon cinnamon powder,½ teaspoon ghee,¾ cup sliced or crushed pistachio,Munaty Cooking,https://www.munatycooking.com/ghraybeh-stuffed-with-dates/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syrian Kaak with Milk,Muna Kenny,13/12/2024_08/12/2024,NA,NA,Cookies Recipes,Arabian,Cookies,15 minutes,18 minutes,NA,47 minutes,12 Cookies,12,"In a bowl, combine the sesame seeds and sugar, mixing well.
Add water to the mixture and stir until combined using a fork or spoon. Set it aside.
In a small bowl, mix together sugar, cinnamon, cardamom, salt, vanilla, and milk. Set this aside.
In a large bowl, add flour, ghee, butter, and baking powder. Rub the mixture together until you achieve a texture resembling wet sand.
Incorporate the wet ingredients prepared in the first step into the dry ingredients and knead the mixture. The dough will appear wet and unmanageable at first, but it will come together when you gather it into a ball.
Cover the dough and let it rest on the countertop for 14 minutes.
Divide the dough into 12 balls, each weighing between 30 and 31 grams; you can adjust the size if desired. Take each ball and shape it into a small log, about 4 inches long.
On a clean working surface, spread the sesame mixture into a thin layer.
Roll each small log gently over the sesame mixture, then place it on a baking sheet lined with parchment paper.
Bake in a preheated oven at 170°C (338°F) for 18 minutes or until golden brown. If you prefer a crispier cookie, you can bake them for a longer time.
Once baked, remove the cookies from the oven and let them cool on a cooling rack.
**Enjoy your cookies with coffee, tea, or a chilled glass of milk!**",13,1 ½ cups or 170 grams all-purpose flour,3 tablespoon ghee,2 tablespoons unsalted butter,¼ cup warm milk,4 tablespoon sugar,1 teaspoon baking powder,¼ teaspoon salt,¼ teaspoon cinnamon powder,Munaty Cooking,https://www.munatycooking.com/syrian-kaak-with-milk/,¼ teaspoon cardamom powder,1 teaspoon vanilla,½ cup sesame seeds,1 tablespoon sugar,½ tablespoon water,NA,NA,NA,NA,NA,NA
Raisin Pecan Biscotti,Muna Kenny,23/09/2024,NA,NA,Easy Breakfast Recipes,Italian,Cookies,10 minutes,39 minutes,NA,49 minutes,19 Biscotti,10,"In a bowl, whisk flour with baking powder and salt.
In another bowl, add the eggs, sugar, vanilla, and butter. Beat until fluffy.
Add the flour and stir to combine. Do not over mix.
Add the raisin and pecan, mix well.
Transfer the dough to greased baking pan, or just line a parchment paper.
Dust your hands with flour and press down the dough giving it a triangle shape, which should be half inch high.
In a preheated oven 180C/350F, bake for 25 minutes. Take the biscotti out and let it rest for 10 minutes.
Cut the biscotti into slices, the thickness really depends on how thick or thin you like your biscotti to be.
Arrange the biscotti cut side down. Bake for 7 minutes, then turn the biscotti to the other side and bake for another 7 minutes.
Transfer the biscotti to a rack and let it cool completely.",9,¼ cup melted usalted butter,½ cup sugar,1 teaspoon vanilla extract,2 large eggs,1¾ cup all purpose flour,¼ teaspoon salt,1 teaspoon baking powder,¼ cup raisins,Munaty Cooking,https://www.munatycooking.com/raisin-pecan-biscotti/,¼ cup chopped and toasted pecan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brookies,Muna Kenny,23/09/2024,NA,NA,Dessert Recipes,American,Dessert,35 minutes,26 minutes,NA,1 minute,10 Cookies,11,"Preheat oven to 350F/180C.
Line an 8×8” baking pan with parchment paper.
Sift together flour, baking powder, salt, and cocoa powder, keep aside.
In a microwavable bowl, add the butter and chocolate chips, melt and mix then add the sugar and mix until combined.
To the sugar and butter mixture, add the eggs and the vanilla, beat well.
Add the dry ingredients to the wet and mix until combined. Do not over mix.
Pour half the brownie batter into the baking pan, line the cookies on top of the batter.
Pour the rest of brownies batter on top of the cookies, the batter will be thick so use a spatula to spread evenly.
Bake on the middle rack for 26 – 29 minutes. Place the baking pan on a cooling rack for 5 minutes.
Using the edges of the parchment paper, remove the brownie from the baking pan and place on cooling rack to cool completely.
Refrigerate for at least an hour, this will make it easier to cut the brownies later.",10,6 tablespoon all-purpose flour,½ cup unsalted butter,2 large eggs,1 teaspoon vanilla extracts,½ cup unsweetened cocoa powder,¾ cup sugar,3 tablespoon semi-sweet chocolate chips,¼ teaspoon baking powder,Munaty Cooking,https://www.munatycooking.com/chocolate-chip-cookies-filled-brownies/,¼ teaspoon salt,8 or 9 chocolate chip cookies.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian Tea Cakes,Muna Kenny,30/07/2024,5,2,Cookies Recipes,Russian,Cookies,15 minutes,12 minutes,NA,27 minutes,25 cookies,9,"Preheat the oven to 180C/350F. Line a baking tray with parchment paper or a silicone mat, in case you don’t have both to line the tray with, then grease and dust the baking tray with flour.
In a bowl, beat the butter, icing sugar, vanilla, and salt until smooth and creamy.
Add the flour and mix. The mixture will look like wet sand, but that’s alright.
Fold in the using a spatula.
Form equal-sized balls (around one heaping tablespoon) and place them on the baking tray.
Bake the cookies for 12 to 14 minutes in the middle shelf.
Leave the cookies in the baking tray for 5 minutes. If you move the cookies while hot, they will crumble.
Coat the cookies with the icing sugar.
Place the cookies on a wire rack to cool completely, then coat them again with the icing sugar. The first coating will turn a little wet, and that’s fine.",7,1 ¼ cup all-purpose flour,½ cup unsalted butter soft,1 teaspoon vanilla extract,5 tablespoon powder sugar will add this to the dough,1 cup powder sugar to coat the cookies,¼ teaspoon salt,5 tablespoon chopped toasted walnuts or pecans,NA,Munaty Cooking,https://www.munatycooking.com/russian-tea-cakes/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Rusk,Muna Kenny,05/07/2024,NA,NA,Cookies Recipes,"British, Indian",Cake,10 minutes,25 minutes,NA,35 minutes,12 Slices,9,"Preheat the oven to 180C/350F. Line a 8×4"" or 9×5"" loaf pan with parchment paper and keep aside.
In a mixing bowl, add three eggs and vanilla extract. Beat until combined.
Add the sugar and beat until it doubles in volume then add the butter and beat to combine.
Sift in the flour, salt, and baking powder. Mix the batter until combined. Do not overmix.
Add the fennel seeds and mix gently.
Pour the cake batter into the previously prepared pan and bake for 25 to 30 minutes on the middle shelf or until a skewer inserted in the middle of the cake comes out clean.
Remove the cake from the pan. Cut the cake into 12 slices. Place the slices on a baking sheet lined with parchment paper and bake for 15 minutes.
Flip the slices and bake for 7 minutes. Remove from the oven and cool the slices on a wire rack.
Serve with tea, coffee, or a glass of milk.",8,3 large eggs,2 teaspoon vanilla extract,¾ cup sugar,100 grams unsalted butter (melted),1 cup all-purpose flour,1 ½ teaspoon baking powder,¼ teaspoon salt,2 teaspoon fennel seeds,Munaty Cooking,https://www.munatycooking.com/cake-rusk/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies Recipe,Muna Kenny,15/04/2024,4.60,5,Cookies Recipes,American,Cookies,10 minutes,10 minutes,NA,20 minutes,15 Cookies,9,"Sift the flour, cocoa powder, baking powder, salt, and cornstarch three times and keep aside.
In a different large bowl, beat the butter, oil, sugar, and vanilla until well combined. Add the egg and beat for two minutes.
Add the sifted flour mixture to the wet ingredients and mix. Do not over mix.
Cover the dough and refrigerate for one hour.
Preheat the oven to 350F/180C. Aline a baking sheet with parchment paper.
Take a tablespoon from the chilled cookie dough and form a ball.
Roll the balls in fine sugar then in the confectioners’ sugar. Place the coated balls on the baking sheet leaving 2-inch space between each ball.
Bake for 10 minutes. Leave cookies on baking sheet for 5 minutes then place them on a wire rack to cool completely.
Serve the cookies with a tall chilled glass of milk.",12,1 cup all-purpose flour,1 tablespoon cornstarch,¼ teaspoon salt,1 teaspoon baking powder,½ cup unsweetened cocoa powder,¾ cup fine white sugar,1 large egg,½ teaspoon vanilla extract,Munaty Cooking,https://www.munatycooking.com/chocolate-crinkles/,2 tablespoon unsalted butter,3 tablespoon cooking oil,¾ cup Confectioners’ sugar,¼ cup fine white sugar,NA,NA,NA,NA,NA,NA,NA
Coconut Cookies,Muna Kenny,27/01/2024_24/01/2024,NA,NA,Cookies Recipes,British,Cookies,15 minutes,18 minutes,NA,3 minutes,16 Cookies,8,"In a bowl, add all the ingredients except the water, Rube the ingredients between your fingers until you get a wet sand-like texture. You will see a few bits of butter but that’s alright.
Add the water or the coconut milk gradually and mix well for a few seconds. Form a ball, and press it down to form a disc. You may need to add a little more water if the dough is crumbly.
Cover the dough with a plastic wrap and refrigerate for at least 30 minutes to one hour.
Lightly flour your working surface and the dough.
Roll out the dough to quarter inch high. Dust the dough and the working surface whenever you feel it is sticking.
Using a cookie cutter of any shape you like and place the shaped cookies on a baking sheet lined with parchment paper.
Bake in a preheated oven of 180C/350F for 15 to 18 minutes, or until the edges are golden in color.
Place the baked cookies on a cooling wrack. When totally cool, spread some honey on the bottom of one cookie and stick it to the bottom of another cookie to make a sandwich cookie.",7,1 ¼ cup all-purpose flour,¼ teaspoon salt,4 tablespoon sugar,⅓ cup shredded or decadent coconuts,½ cup unsalted butter chilled and cut into small cubes,2 tablespoon chilled water or chilled coconut milk,Honey to apply between the cookies,NA,Munaty Cooking,https://www.munatycooking.com/coconut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palets Bretons French Butter Cookies,Muna Kenny,21/10/2023,NA,NA,Cookies Recipes,French,Cookies,10 minutes,20 minutes,NA,30 minutes,8 Cookies,7,"Whisk flour and baking powder. Keep aside.
In a different mixing bowl, whisk the butter with sugar until well combined, add the egg yolk and the vanilla extract. Beat for three minutes.
Mix the dry with the wet ingredients until combined. Make a cylinder of 1 ½ inch in diameter. Cover with plastic wrap and refrigerate for one hour.
Preheat oven to 350F/180C for 30 minutes before using it.
Cut the cookies into eight equal size slices. Place a cupcake liner in a cupcake pan. Place the slices in the liners. Bake for 20 minutes or until golden.
The cookies will expand, hence, it is best to place them in a cupcake pan to prevent it from spreading and maintain their shape.
Place the cookies on a cooling wire to cool completly.",6,¾ cup all-purpose flour,½ teaspoon baking powder,¼ cup salted softened butter Not melted.,¼ cup fine white sugar,1 large egg yolk,½ teaspoon vanilla extract,NA,NA,Munaty Cooking,https://www.munatycooking.com/palets-bretons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Chip Cookies,Muna Kenny,14/10/2023_24/05/2024,5,2,Cookies Recipes,American,Cookies,10 minutes,11 minutes,NA,21 minutes,12 Cookies,9,"Brown the butter by placing it in a small pan. When the butter melts, start stirring. The butter will turn golden brown, and the foam will reduce. The milk solid will sink and will smell nutty. Remove from the heat and pour in a heat-proof bowl to cool.
In a bowl, add all the dry ingredients and mix well.
Make a well in the middle of the dry ingredients and pour the cool brown butter, the egg, and vanilla. Whisk well. Gently mix the dry ingredients with the wet.
Add the butterscotch chips and mix gently. Do not overmix.
The chips may not stick to the dough but that’s fine. Cover the dough and refrigerate for 15 to 20 minutes.
Preheat the oven to 375F/190C. Line the baking sheet with parchment paper.
Take ¼ cup from the dough and form a ball. Tear the ball from the middle creating two balls with jagged edges from one side. Gently smush both balls together, jagged side up.
Repeat the previous step to form more cookies from the dough. Place the cookies on the baking sheet and bake for 10 to 11 minutes.
Remove the cookies from the oven, and keep the cookies on the baking sheet for 5 to 7 minutes. Remove the cookies from the pan and place on a cooling wire.",10,1 ¾ cup all-purpose flour,¼ teaspoon salt,½ cup white sugar,½ cup brown sugar packed,½ teaspoon baking soda,½ teaspoon baking powder,½ cup unsalted butter browned,1 teaspoon vanilla,Munaty Cooking,https://www.munatycooking.com/perfect-butterscotch-chips-cookies/,1 large egg,½ cup butterscotch chips,NA,NA,NA,NA,NA,NA,NA,NA,NA
