title,author,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,category,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30
Grand Floridian Chocolate Chip Cookies,Jamie,4.75,12,15 minutes,15 minutes,NA,NA,18 big cookies,7,"Preheat oven to 325°F and line cookie sheets with parchment paper.
In a large bowl, sift together the flour, baking soda and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, beat the butter and sugars on medium speed until light and fluffy.
Add in eggs one at a time, beating well after each egg. Mix in vanilla extract.
Gradually add in the flour mixture until just combined. Stir in the chocolate chips.
Use a large cookie scoop to scoop 3 tablespoon portions of dough and roll into a ball to smooth the dough. Place each dough ball onto the prepared cookie sheet leaving at least 3 inches of space between each cookie.
Bake in preheated oven for 15-16 minutes or until the edges are golden brown. If desired, immediately sprinkle each cookie with flaky sea salt. Allow cookies to cool on the baking sheet for a few minutes before transferring them to a wire rack to cool completely.",10,▢ 2 ½ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 10 tablespoons unsalted butter room temperature,▢ 1 cup lightly packed light brown sugar,▢ ¾ cup powdered sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons pure vanilla extract,"▢ 12 ounces chocolate chips milk, semi-sweet or dark",▢ flaky sea salt optional,My Baking Addiction,https://www.mybakingaddiction.com/grand-floridian-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millionaire Shortbread,Jamie,NA,NA,30 minutes,35 minutes,Chilling Time: 1 hour hr 15 minutes mins,20 minutes,NA,7,"Preheat oven to 325°F. Line (1) 9×9-inch baking pan with parchment paper or foil and lightly spray with nonstick cooking spray.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, beat the butter and sugar on medium speed until light and fluffy, about 3 minutes. Add the flour and salt and mix until just combined and the texture of coarse crumbs. Press the dough into the bottom of the prepared pan to form a crust layer.
Bake shortbread crust in preheated oven for 30-35 minutes or until light golden brown. Allow the crust to cool while you prepare the caramel. At this point, you can turn the oven off.
In a medium saucepan over medium heat, combine the sweetened condensed milk, butter, corn syrup or golden syrup and brown sugar. Heat, stirring constantly with a heatproof spatula or wooden spoon until boiling. Continue stirring and boil for 5 minutes until thickened. Remove from heat and stir in the vanilla and salt.
Pour the caramel over the crust and spread into an even layer. Place the pan in the refrigerator to chill for 30 minutes before topping with chocolate.
In a medium microwave-safe bowl, combine chocolate chips and coconut oil. Microwave uncovered on 50% power for 1 minute; stir. Continue microwaving on 50% power in 30-second increments until the mixture can be stirred smooth.
Spread chocolate in an even layer over the caramel. If desired, sprinkle with flaky sea salt and chill until firm. Cut into small squares before serving.",13,▢ 12 tablespoons unsalted butter room temperature,▢ ⅓ cup granulated sugar,▢ 1 ½ cups all-purpose flour,▢ ¼ teaspoon fine sea salt,▢ 1 can sweetened condensed milk 14 ounces,▢ 8 tablespoons unsalted butter cut into tablespoon-sized pieces,▢ ¼ cup light corn syrup or golden syrup,▢ ½ cup packed light brown sugar,▢ 1 teaspoon vanilla extract or vanilla bean paste,▢ ½ teaspoon fine sea salt,My Baking Addiction,https://www.mybakingaddiction.com/chocolate-caramel-shortbread-bars/,Cookies,▢ 8 ounces semisweet chocolate coarsely chopped (you can also use high quality chocolate chips),▢ 1 teaspoon coconut oil or vegetable shortening,▢ flaky sea salt optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magic Cookie Bars,Jamie,5,1,10 minutes,30 minutes,NA,40 minutes,24 bars,3,"Preheat oven to 350°F. Line (1) 9×13-inch baking pan with foil and spray with nonstick cooking spray.
In a large bowl, combine the graham cracker crumbs, sugar, and melted butter. Mix until the crumbs are moistened. Evenly press crumb mixture into the bottom of the prepared pan.
Evenly sprinkle the nuts over the crust, followed by the chocolate chips and then the coconut. Drizzle the sweetened condensed milk over the toppings. Bake in preheated oven for 25-30 minutes, or until lightly browned on top. If desired, sprinkle the top with a little flaky sea salt. Allow the magic bars to cool completely before cutting into bars.",8,▢ 3 cups graham cracker crumbs,▢ ¼ cup granulated sugar,▢ 10 tablespoons salted butter melted,▢ 1 cup chopped pecans or walnuts,▢ 1 ½ cup semisweet chocolate chips,▢ 1 ½ cups shredded sweetened coconut,▢ 1 can sweetened condensed milk 14 ounces,▢ flaky sea salt optional,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/magic-bars-recipe/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Pumpkin Cheesecake Balls,Jamie,5,1,20 minutes,0 minutes,Chilling and Freezing Time: 3 hours hrs,20 minutes,20 balls,6,"In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, beat the cream cheese on medium speed for 1-2 minutes. Add in the pumpkin puree, powdered sugar and vanilla and mix until fully incorporated. Add in the Biscoff cookie crumbs, pumpkin pie spice, and salt and mix on low speed to fully incorporate the crumbs into the cream cheese.
Cover and refrigerate for at least 2 hours. Once the mixture has chilled, line a baking sheet with parchment paper.
Use a medium cookie scoop (1.5 tablespoons) to portion about 20 pumpkin cheesecake balls. Use your hands to roll each scooped portion into a ball. Place each ball onto the prepared baking sheet. Freeze the pumpkin cheesecake balls for 1 hour.
Combine the Ghirardelli wafers and coconut oil or shortening in a bowl and melt according to package directions. Use a toothpick to pick up each ball and dip it into the melted wafers. Gently shake each ball over the bowl of melted wafers to remove any extra. Place each ball back onto the parchment-lined baking sheet to set up.
If desired, drizzle melted white wafers on top of each pumpkin cheesecake ball and immediately top with sprinkles or Biscoff crumbs if desired.
Refrigerate until ready to serve.",9,▢ 8 ounces cream cheese,▢ ½ cup canned pumpkin puree,▢ ⅓ cup powdered sugar,▢ 1 teaspoon pure vanilla extract,"▢ 1 package Biscoff cookies 8.8 ounces, crushed into fine crumbs",▢ 1 ½ teaspoons pumpkin pie spice,▢ ¼ teaspoon fine sea salt,▢ 10 ounces Ghirardelli white vanilla melting wafers,▢ 2 teaspoons coconut oil or vegetable shortening,NA,My Baking Addiction,https://www.mybakingaddiction.com/no-bake-pumpkin-cheesecake-balls/,No-Bake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Whoopie Pies,Jamie,4.43,35,30 minutes,11 minutes,NA,41 minutes,12 whoopie pies,8,"Preheat oven to 350°F. Line 2 cookie sheets with parchment paper.
In a medium sized bowl, whisk together flour, baking soda, baking powder, pumpkin pie spice and salt.
Using a stand mixer, beat sugar, brown sugar, pumpkin, and vegetable oil together. Scrape down the sides as needed. Add in egg and vanilla extract and beat again. Scrape down the bowl to incorporate everything evenly.
Slowly add in dry ingredients. Stir just until combined, making sure to scrape the sides and bottom of the bowl. Do not over mix.
Transfer batter to a piping bag and pipe out batter in approximate 3-inch rounds, leaving space between for expansion during baking. You should be able to fit 12 per pan.
Bake for 10-12 minutes, rotating pans halfway through for even baking. Let cool briefly on the pans, then use a spatula to transfer to a wire rack to cool completely (they will be soft).
Beat cream cheese and butter together until smooth. Add vanilla extract and 1 cup of powdered sugar. Continue to slowly add powdered sugar until you reach your desired consistency.
Frost the bottoms of half of your cookies to make your cookie sandwiches. Top with a “blank” cookie and serve.",15,▢ 2 ½ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ 2 teaspoons pumpkin pie spice,▢ ½ teaspoon fine sea salt,▢ ¾ cup granulated sugar,▢ ¾ cup lightly packed brown sugar,▢ 1 cup pure pumpkin puree not pumpkin pie filling,▢ ½ cup vegetable oil,▢ 1 large egg,My Baking Addiction,https://www.mybakingaddiction.com/pumpkin-whoopie-pies/,Cookies,▢ 1 ½ teaspoons pure vanilla extract,▢ 4 ounces cream cheese at room temperature,▢ ½ cup unsalted butter at room temperature,▢ 2 teaspoons pure vanilla extract,▢ 2 to 3 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter and Jelly Cookies,Jamie,NA,NA,20 minutes,11 minutes,Chilling Time: 1 hour hr,31 minutes,36 cookies,9,"Line two baking sheets with parchment paper.
In a large bowl, cream together butter, peanut butter, brown sugar, and 1/2 cup granulated sugar until smooth. Add in the egg and vanilla, mixing until well combined.
In a large bowl, combine flour, baking soda, and salt. Gradually add to the peanut butter mixture until well blended.
Portion the dough using a small (1 tablespoon) cookie scoop. Roll each portion into a ball, then roll in the remaining granulated sugar. Place cookies 2 inches apart on the prepared baking sheets.
Using your thumb or the bottom of a rounded ½ teaspoon measuring spoon, gently press an indentation into the top of each cookie.
Place pans into the refrigerator to chill the cookies for 1 hour.
Preheat oven to 375°F.
Bake cookies in preheated oven for 8 minutes. Remove the cookies from oven. If the indentation you made has puffed up slightly, gently press into the cookies again with the ½ teaspoon. Fill each indentation with ½ teaspoon of raspberry preserves. Place pans back into the oven and bake for an additional 3 minutes.
Allow to cookies to cool on the baking sheet for about 5 minutes before moving to a wire rack to cool completely.",10,▢ ½ cup unsalted butter softened,▢ ½ cup creamy peanut butter,▢ ½ cup lightly packed light brown sugar,▢ ½ cup granulated sugar plus ⅓ cup for rolling,▢ 1 large egg,▢ 1 teaspoon pure vanilla extract,▢ 1 ¾ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon fine sea salt,▢ ½ cup raspberry preserves or your favorite fruit preserves,My Baking Addiction,https://www.mybakingaddiction.com/peanut-butter-and-jelly-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Spice Cookies,Erin,NA,NA,20 minutes,14 minutes,Chilling Time: 2 hours hrs,34 minutes,40 cookies,9,"In a medium mixing bowl, stir together the oat flour, baking soda, baking powder, apple pie spice, and salt. Set aside.
In a large mixing bowl, stir together the melted coconut oil, almond butter, brown sugar, and vanilla extract. Beat in the eggs.
Add the dry ingredients to the wet mixture and stir until just combined.
Stir in the oats until almost combined and then stir in the apples. The dough will be quite sticky.
Wrap the dough in plastic wrap and refrigerate for 2 hours or until the dough is firm enough to be rolled into balls.
Preheat the oven to 350°F and line a baking sheet with parchment paper. Place the granulated sugar in a small bowl.
Roll the dough into 1″ balls and roll in the sugar. Place the dough balls 3″ apart on the prepared baking sheet. Use the bottom of a glass to gently press the dough balls down, slightly flattening them. Bake for 13-15 minutes or until the tops of the cookies no longer appear wet on the surface. They will be quite soft but will set as they cool.
Let cool for 5 minutes on the baking sheet and then remove to a wire rack to cool completely.
Store in an airtight container for up to 4 days.",13,▢ 1 ½ cups oat flour certified gluten-free,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ 1 tablespoon apple pie spice,▢ ½ teaspoon fine sea salt,▢ ¾ cup coconut oil melted (see notes),▢ ½ cup almond butter or creamy peanut butter (see notes),▢ 1 ¼ cups lightly packed light brown sugar,▢ 1 tablespoon pure vanilla extract,▢ 2 large eggs room temperature,My Baking Addiction,https://www.mybakingaddiction.com/gluten-free-apple-spice-cookies/,Cookies,▢ 2 ¾ cups rolled oats certified gluten-free,"▢ 1 ½ cup diced granny smith apple about 1/4"" in size",▢ ¼ cup granulated sugar for rolling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potato Chip Cookies,Jamie,5,1,20 minutes,15 minutes,NA,NA,24 cookies,6,"Preheat oven to 350°F and line baking sheets with parchment paper.
In the bowl of a stand mixer, fitted with the paddle attachment, or with a hand mixer in a large bowl, cream together the butter and granulated sugar until light and fluffy; about 3 minutes. With your mixer on low speed, add in potato chips and pecans and mix on low speed until fully incorporated. Add vanilla and mix until thoroughly combined. Stir in flour and mix until the flour is just combined; do not over-mix.
Using a medium cookie scoop (1 ½ tablespoons) scoop dough into 1 inch balls. Place dough balls 2 inches apart on prepared baking sheets.
Slightly flatten each dough ball with a glass dipped in confectioners’ sugar.
Bake in preheated oven for 12-15 minutes or until lightly browned. Allow cookies to cool on the baking sheet for 5 minutes before removing to a wire rack.
If desired, garnish cooled cookies with a drizzle of melted chocolate and a sprinkling of flaky sea salt.",9,▢ 1 cup unsalted butter softened,▢ ¾ cup granulated sugar,▢ ¾ cup crushed potato chips ridged or regular,▢ ½ cup ground pecans,▢ 1 teaspoon pure vanilla extract,▢ 2 cups all-purpose flour,▢ ¼ cup confectioners’ sugar,▢ Melted chocolate,▢ Flaky sea salt,NA,My Baking Addiction,https://www.mybakingaddiction.com/potato-chip-cookies-recipe/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fruit Pizza,Jamie,5,1,30 minutes,15 minutes,Cooling and Chilling Time: 3 hours hrs,NA,NA,7,"Preheat oven to 350°F.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, beat butter and granulated sugar for 3 minutes on medium speed. Add in eggs and vanilla and beat for an additional minute.
In a large bowl, whisk together the flour, cream of tartar, baking soda and salt. Gradually add the dry ingredients to the butter mixture and mix until just combined.
Evenly spread the sugar cookie crust into the bottom of a 10×15-inch nonstick jelly roll pan.
Bake crust in preheated oven for 13-15 minutes or until it reaches a very light golden color. The sides of the dough may puff up a bit, this will create a slight “crust” around the edges of the pan and will deflate a bit as it cools. Cool the crust completely.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, beat cream cheese and powdered sugar until smooth. Using a rubber spatula, fold in the marshmallow fluff, followed by the vanilla and whipped topping.
Refrigerate the fruit pizza for 2 hours. Before serving, top with a variety of fresh fruit such as sliced strawberries, blueberries, kiwi, pineapple, etc. and cut into slices.",14,▢ 1 cup unsalted butter room temperature,▢ 2 cups granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,▢ 2 ½ cups all-purpose flour,▢ 1 ½ teaspoons cream of tartar,▢ 1 teaspoon baking soda,▢ ½ teaspoon fine sea salt,▢ 8 ounces cream cheese room temperature,▢ ⅓ cup powdered sugar,My Baking Addiction,https://www.mybakingaddiction.com/fruit-pizza/,Fruit Desserts,▢ 1 jar marshmallow fluff 7 ounces,▢ ½ teaspoon pure vanilla extract,▢ 4 ounces whipped topping thawed according to package directions,"▢ 3 cups fresh fruit sliced strawberries, blueberries, raspberries, kiwi, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookie Cake,Jamie,5,4,20 minutes,35 minutes,Chilling Time: 8 hours hrs,NA,NA,6,"Line the bottom of (1) 9-inch springform pan with parchment paper. Add on the sides of the pan and clamp to secure. Spray the bottom and sides of the pan with nonstick cooking spray. Set aside.
In the bowl of a standmixer fitted with the paddle attachment, or in a large bowl with an electric mixer, beat melted butter and sugars on medium speed for about 3 minutes. Add in the egg and vanilla and beat for an additional minute.
In a large bowl, whisk together the flour, baking soda and salt. Gradually add the dry ingredients to the butter mixture and mix until just combined. Add in chocolate chips and mix until evenly incorporated throughout the cookie dough.
Evenly pat the dough into the prepared pan. Cover and refrigerate for at least 8 hours, or overnight.
When you’re ready to bake, preheat the oven to 350ºF. Bake the cookie cake for 30-35 minutes, or until the edges are golden brown and the cookie appears to be firm and set. If desired, top with a little flaky sea salt.
Allow the cookie cake to cool completely on a cooling rack before removing from the pan and decorating as desired with frosting and sprinkles.",10,▢ ¾ cup unsalted butter melted,▢ ¾ cup packed light or dark brown sugar,▢ ¼ cup granulated sugar,▢ 1 large egg,▢ 2 teaspoons pure vanilla extract,▢ 2 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ¾ teaspoon sea salt,▢ 1 ½ cups semi-sweet or dark chocolate chips,▢ frosting and sprinkles optional,My Baking Addiction,https://www.mybakingaddiction.com/chocolate-chip-cookie-cake/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
