title,author,rating,ratingnum,category,INFOCARD,description,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,source,link,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Chocolate biscuit cake,Vicki Smallwood,5,9,Baking and desserts,"Serves 8 - 10
Easy
Prep: 15 mins
No cook, plus chilling","There's no need to turn on the oven with this chocolate biscuit cake. Prepped in just 15 minutes, it’s a winner on so many levels",3,6,"200g unsalted butter diced, plus a little for the tin",250g dark chocolate chopped,150g milk chocolate chopped,150g caramel condensed milk,250g malted milk biscuits,150g Rolo chocolates,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/chocolate-biscuit-cake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio and chocolate cookies,Edd Kimber,4,2,Baking and desserts,"Makes 12
Easy
Prep: 30 mins
Cook: 16 mins
plus chilling and freezing","Elevate your favourite chocolate chip cookie with creamy, nutty and on-trend pistachios",7,12,120g pistachio cream,250g plain flour,½ tsp baking powder,½ tsp bicarbonate of soda,115g unsalted butter diced and softened,110g light brown sugar,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/pistachio-and-chocolate-cookies/,110g caster sugar,1 large egg,1 tsp vanilla extract,175g dark chocolate (65-75% cocoa solids) roughly chopped,75g shelled pistachios roughly chopped,sea salt flakes for sprinkling on top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate chunk cookies with pecans,Lulu Grimes,5,2,Family,"Makes 12
Easy
Total time : 20 mins","Chunky, nutty and oh-so-moreish, these dark chocolate pecan cookies are the perfect after dinner treat or edible gift. Make them in just 20 minutes",2,9,200g dark chocolate broken into chunks, 100g butter chopped ,50g  light muscovado sugar,85g  golden caster sugar,1 tsp  vanilla extract,1 egg beaten,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/chocolate-chunk-cookies/,100g pecans,100g plain flour,1 tsp bicarbonate of soda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate chip cookies,NA,5,4,Family,"Makes 8
Easy
Total time : 25 mins
+ chilling + cooling","Check out our best chocolate chip cookie recipe, soft and chewy in the middle with gooey dark chocolate chunks and a perfectly crisp outside",4,10,150g salted butter melted,75g soft dark brown sugar,75g caster sugar,1 egg,½ tsp vanilla extract,100g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/chocolate-chip-cookies/,100g strong white bread flour,½ tsp baking powder,a pinch sea salt flakes plus extra to serve,100g dark chocolate chopped into small chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter biscuits,Anna Glover,5,4,Baking and desserts,"Makes 18
Easy
Total time : 1 hr","These Easter biscuits are a classic for spring, flavoured with a touch of cinnamon and mixed spice, studded with currants and finished with a sprinkling of sugar",4,11,100g unsalted butter softened,100g golden caster sugar,1 egg separated,½ tsp ground cinnamon,⅛ tsp mixed spice,1 lemon zested,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/easter-biscuits-2/,1 orange zested,75g currants,200g plain flour,2 tbsp milk,1 tbsp golden granulated sugar (or more golden caster sugar) for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar cookies,Anna Glover,5,2,Baking and desserts,"Makes 25-30 cookies
Easy
Total time : 30 mins
+ chilling + cooling","These vanilla-flavoured biscuits are topped with a light frosting made from egg whites and icing sugar, and take just 30 minutes to make",5,8,200g unsalted butter softened,175g caster sugar,2 eggs 1 separated,2 tsp vanilla extract,300g plain flour plus extra for dusting,½ tsp baking powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/sugar-cookies/,150g icing sugar sifted,food colouring (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten-free biscuits,Tracey Raye,5,1,Baking and desserts,"Makes 38 biscuits
Easy
Prep: 15 mins
Cook: 15 mins","These crunchy, buttery morsels make the perfect gluten-free biscuits. The addition of oats adds a delicious crumbly texture. Enjoy with a cup of tea",2,9,150g unsalted butter softened,130g golden caster sugar,1 tbsp vanilla extract,1 tbsp golden syrup,150g gluten-free oats,150g gluten-free plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/gluten-free-biscuits/,1 tsp gluten-free baking powder,1 tsp xanthan gum,1 tsp ground cinnamon (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiced cheese biscuits,Rosie Birkett,5,3,Family,"Makes 40
Easy
Total time : 25 mins
+ chilling","These golden cheese and sesame biscuit discs are impossibly light and buttery, and very hard to resist straight from the oven. Spices such as nutmeg and caraway seeds add an extra flavour kick",2,9,100g unsalted butter chilled,100g plain or white spelt flour,a good pinch cayenne pepper,a good grating nutmeg,½ tsp caraway seeds,"50g cheddar (or Cornish Kern, comté or Lincolnshire Poacher) grated",Olive Magazine UK,https://www.olivemagazine.com/recipes/family/spiced-cheese-biscuits/,"50g parmesan grated, plus extra to serve",1 tsp sesame seeds,flavourless oil for the tray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas biscuits,NA,5,1,Family,"Makes 25-30 medium-large biscuits
Easy
Total time : 1 hr and 30 mins
plus chilling",Our spiced festive biscuits make perfect edible Christmas decorations to hang from your tree. Leave them out for Santa or wrap them up as a gift.,4,10,225g light muscovado sugar,175g golden syrup,2 tsp cinnamon,2 tsp ground ginger,1/2 tsp ground allspice,2 eggs,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/spiced-christmas-biscuits/,1 tsp baking powder,650g plain flour plus extra for dusting,200g butter chilled and roughly grated,100g royal icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas cookies,Edd Kimber,5,1,Family,"Makes 15
Easy
Total time : 1 hr and 10 mins
+ infusing + chilling","Use cranberries, pistachios and other festive ingredients to make these impressive cookies. You can even turn them into cookie sandwiches with a decadent pistachio buttercream!",4,16,350g plain flour,½ tsp baking powder,1 tsp bicarbonate of soda,225g unsalted butter,300g caster sugar,1 lemon zested,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/cranberry-and-pistachio-sandwich-cookies/,2 eggs large,1 tsp vanilla extract,150g dried cranberries,200ml whole milk,"75g, plus 50g for decoration pistachios finely chopped",20g plain flour,150g caster sugar,1 tsp vanilla bean paste,175g unsalted butter softened,a few drops green food colouring (optional),NA,NA,NA,NA,NA,NA,NA
Thumbprint cookies,Anna Glover,5,2,Baking and desserts,"Makes 30
Easy
Total time : 30 mins
+ cooling",These peanut butter thumbprint cookies use the classic peanut butter and jam (or jelly) combination in a fun new way. They're best eaten the day they're made,2,7,100g smooth peanut butter plus 3 tbsp extra for the tops,2 eggs,100g golden caster sugar,1 tsp vanilla extract,260g plain flour,a pinch baking powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/peanut-butter-thumbprint-cookies/,½ jar seedless raspberry or strawberry jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar-free cookies,Nadine Brown,5,1,Vegan,"Makes 16
Easy
Total time : 55 mins","These small vegan cookies are a real family treat, free from refined sugars — ground almonds provide a nutty flavour and a burst of natural sweetness comes from raspberries",4,8,200g frozen raspberries,1 tsp vanilla bean paste,50ml maple syrup plus 1 tbsp,1½ tbsp chia seeds,50ml rapeseed oil,½ tsp almond extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/vegan/sugar-free-cookies/,190g ground almonds,30g flaked almonds finely chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sourdough cookies,Adam Bush,5,1,Baking and desserts,"Makes 10
Easy
Total time : 25 mins
+ chilling",Make the most of your leftover sourdough starter by making a batch of moreish chocolate chip cookies. We've added rye flour for a nutty depth of flavour,4,11,200g salted butter softened,125g soft dark brown sugar,125g caster sugar,1 egg,1⁄2 tsp vanilla extract,100g sourdough starter,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/sourdough-cookies/,125g plain flour,125g wholemeal rye flour,1⁄2 tsp baking powder,a pinch sea salt flakes plus extra to serve,150g dark chocolate chopped into chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy cookies,Nadine Brown,5,1,Health,"Makes 20
Easy
Total time : 30 mins
+ resting","Craving cookies but don't fancy the calories? Bake a batch of these healthy treats made with muesli, wholemeal flour and rapeseed oil, with a touch of honey for sweetness",2,6,250g muesli (no added sugar),75g self-raising wholemeal flour,½ tsp mixed spice,70ml cold-pressed rapeseed oil,100g runny honey,1 large egg,Olive Magazine UK,https://www.olivemagazine.com/recipes/healthy/healthy-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matcha cookies,NA,NA,NA,Baking and desserts,"Makes 12
Easy
Prep: 30 mins
Cook: 15 mins
plus chilling","Matcha, white chocolate and nuts are a classic cookie combo. We’ve used marcona almonds for their buttery flavour and creamy texture.",3,10,220g salted butter softened,120g caster sugar,100g soft light brown sugar,1 egg plus 1 egg yolk,1 tsp vanilla bean paste,1 tbsp matcha powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/matcha-cookies/,220g plain flour,½ tsp baking powder,100g toasted marcona almonds roughly chopped ,100g white chocolate roughly chopped ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
