title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Neiman Marcus Cookies,Alyssa Rivers,02/01/26,5,1,Desserts,20 minutes,12 minutes,NA,32 minutes,30 cookies,9,"Preheat the oven to 375 degrees Fahrenheit. Line baking sheets with parchment paper and set aside.
Use a hand mixer or stand mixer to cream 1 cup softened unsalted butter, 1 cup packed brown sugar, and ¾ cup granulated sugar together in a large bowl until light and fluffy, about 3-4 minutes.
Add 2 large eggs and 2 teaspoons vanilla extract and beat until combined.
In a blender or food processor, pulse 2 ½ cups old-fashioned rolled oats until they are partially blended.
Add the oats, 2 cups all-purpose flour, 1 teaspoon baking soda, 1 teaspoon baking powder, and ¾ teaspoon salt in a large bowl and stir to combine.
Add the dry ingredients to the wet ingredients and stir to combine.
Stir in 2 cups semi-sweet chocolate chips, 1 (4-ounce) milk chocolate bar, chopped, and 1 cup chopped walnuts.
Use a medium cookie scoop to scoop 1 ½ tablespoon-sized dough balls onto the prepared baking sheets, leaving 2 inches between each cookie.
Bake for 10-12 minutes, until the edges turn a light golden brown. The centers will look under-baked, but the cookies will continue to cook as they cool on the baking sheet.",13,▢ 1 cup softened unsalted butter,▢ 1 cup packed brown sugar,▢ ¾ cup granulated sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla extract,▢ 2 ½ cups old-fashioned rolled oats,▢ 2 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ ¾ teaspoon salt,▢ 2 cups semi-sweet chocolate chips,"▢ 1 (4-ounce) milk chocolate bar, chopped",▢ 1 cup chopped walnuts,The Recipe Critic,https://therecipecritic.com/neiman-marcus-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 Ingredient Sugar Cookies,Alyssa Rivers,01/10/26,NA,NA,Desserts,10 minutes,12 minutes,NA,22 minutes,16 cookies,5,"Preheat the oven to 325 degrees Fahrenheit. Line two baking sheets with parchment paper and set aside.
In a large bowl, cream together 1 cup softened salted butter and ¾ cups granulated sugar until light and fluffy, about 3-4 minutes. Add 1 teaspoon vanilla extract and mix to combine.
Mix 2 cups all-purpose flour into the butter and sugar mixture, mixing until just combined and a dough forms.
Scoop the dough into 2 tablespoon-sized portions using a medium cookie scoop, then roll into balls.
Roll each dough ball in granulated sugar if desired. Place onto the baking sheets and flatten each ball of dough slightly with the bottom of a glass or the palm of your hand. Bake for 10-12 minutes, until the edges are set and slightly golden.",4,▢ 1 cup softened salted butter,"▢ ¾ cups granulated sugar plus more for rolling, optional",▢ 2 cups all-purpose flour,▢ 1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/4-ingredient-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Crinkle Cookies,Alyssa Rivers,12/08/25,NA,NA,Desserts,20 minutes,13 minutes,NA,33 minutes,20 cookies,9,"Add the 2 cups all-purpose flour, ⅓ cup unsweetened cocoa powder, 1 teaspoon baking powder, 1 teaspoon cornstarch, and ½ teaspoon salt to a medium bowl and whisk until combined.
Add the ½ cup unsalted butter, ¾ cup granulated sugar, and ½ cup packed brown sugar to a large bowl and beat with a hand mixer or stand mixer fitted with the paddle attachment for 2-3 minutes, until fluffy.
Add the 2 large eggs, 2 teaspoons vanilla extract, and 1 ½ teaspoons red food coloring, and beat until combined.
Add the flour mixture to the sugar mixture and mix on low speed until combined. Cover and chill in the refrigerator for at least 1 hour.
Once the dough has chilled, preheat the oven to 350℉ and line 2 baking sheets with parchment paper.
Scoop the dough into 3-tablespoon portions using a medium cookie scoop and roll the dough into uniform balls with your hands.
Roll the balls in the ½ cup granulated sugar,then in the ⅔ cup powdered sugar, until fully coated.
Place the cookies on the prepared baking sheets, leaving 2 inches between them. Bake for 11-13 minutes, or until the tops crack and the edges have set. The centers will still look slightly wet, but the cookies will continue to bake as they cool.
Let the cookies cool on the baking sheet for at least 3 minutes before transferring to a cooling rack to finish cooling.",13,▢ 2 cups all-purpose flour,▢ ⅓ cup unsweetened cocoa powder,▢ 1 teaspoon baking powder,▢ 1 teaspoon cornstarch,▢ ½ teaspoon salt,▢ ½ cup unsalted butter room temperature,▢ ¾ cup granulated sugar,▢ ½ cup packed brown sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 1 ½ teaspoons red food coloring,"▢ ⅔ cup powdered sugar, powdered sugar","▢ ½ cup granulated sugar, powdered sugar",The Recipe Critic,https://therecipecritic.com/red-velvet-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peppermint Crinkle Cookies,Alyssa Rivers,11/30/25,5,6,Desserts,20 minutes,10 minutes,NA,30 minutes,12 cookies,8,"Preheat the oven to 350 degrees Fahrenheit. Line two baking sheets with parchment paper and set aside. In a medium-sized mixing bowl, cream ¾ cup softened butter and 1 cup sugar until light and fluffy. Add 1 large egg, 1 teaspoon vanilla extract, and ¼ teaspoon peppermint extract, and mix until incorporated.
Whisk 1 ¾ cups all-purpose flour, ½ cup unsweetened cocoa powder, ¼ teaspoon baking soda, and ¼ teaspoon salt in another bowl. Add to the butter mixture and mix until just combined. Stir in 1 cup semisweet chocolate chips.
Shape the dough into 2-inch balls. Roll the dough in ¼ cup granulated sugarthen in ½ cup powdered sugar, and place on the prepared baking sheets, 6 dough balls per baking sheet. Slightly flatten the tops of the balls into 2-inch rounds with the bottom of a glass.
Bake for 10-12 minutes or until set. Let the cookies cool for 10 minutes on the pans before transferring to a wire rack.
In a small bowl, melt 4 ounces white chocolate in the microwave in 30-second intervals. Allow the fully melted chocolate to cool for at least 10 minutes, until it reaches room temperature and is no longer warm to the touch.
In a large bowl, add ½ cup softened butter and beat for 2-3 minutes until smooth and light. Reduce the mixer speed to low and slowly add in the cooled white chocolate until fully combined and smooth.
Add 1 cup powdered sugar, 1 teaspoon vanilla extract, ¼ teaspoon peppermint extract, and ¼ teaspoon salt, and mix on low until nearly completely absorbed, then increase the speed to high. Whip for 2-3 minutes until smooth and fluffy.
When the cookies are completely cool, frost each cookie with about 2 tablespoons of frosting and sprinkle with some of the ¼ cup crushed peppermint candy.",19,▢ ¾ cup softened butter,▢ 1 cup sugar,▢ 1 large egg,▢ ¼ teaspoon peppermint extract,▢ 1 teaspoon vanilla extract,▢ 1 ¾ cups all-purpose flour,▢ ½ cup unsweetened cocoa powder,▢ ¼ teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 cup semisweet chocolate chips,▢ 4 ounces white chocolate,▢ ½ cup softened butter,▢ 1 cup powdered sugar,The Recipe Critic,https://therecipecritic.com/triple-chocolate-peppermint-cookies/,▢ 1 teaspoon vanilla extract,▢ ¼ teaspoon peppermint extract,▢ ¼ teaspoon salt,▢ ¼ cup granulated sugar,▢ ½ cup powdered sugar,▢ ¼ cup crushed peppermint candy,NA,NA,NA
Hostess Cupcake Cookies,Alyssa Rivers,11/25/25,NA,NA,Desserts,25 minutes,12 minutes,NA,42 minutes,18 cookies,10,"Preheat the oven to 350 degrees Fahrenheit and line 2-3 baking sheet pans with parchment paper. Set aside.
Add 1 (15.25-ounce) dark chocolate fudge cake mix, 2 tablespoons unsweetened cocoa powder, ½ cup vegetable oil, and 2 large eggs to a large bowl and mix with a hand mixer or stand mixer fitted with the paddle attachment until a thick batter forms.
Use a medium cookie scoop (about 1½ tablespoons) to scoop the dough, then roll it into uniform balls with your hands. Place them on the prepared baking sheets, leaving about 2 inches apart.
Bake for 10-12 minutes, until the edges are set. The center of the cookies will look underbaked, but they will continue to cook as they cool. Let them sit on the baking pan for 2 minutes before transferring them to a cooling rack to finish cooling.
Add ½ cup softened unsalted butter, 2 cups powdered sugar, and 1 pinch salt to a large bowl and beat with a hand mixer or stand mixer fitted with the paddle attachment until combined. It will be crumbly at this stage.
Add 1 (7-ounce) container marshmallow creme and ½ teaspoon vanilla extract to the cream and beat until combined, scraping down the sides and bottom of the bowl to ensure everything is incorporated.
Spoon the cream into the center of each cooled cookie. Spread it into an even circle, leaving some of the cookie exposed. Don't frost the whole surface. Let the cookies sit for at least 10 minutes before topping with ganache.
Make the ganache by adding ½ cup milk chocolate chips and 3 tablespoons heavy whipping cream to a small microwavable bowl. Microwave for 30-45 seconds and stir until smooth. The ganache will seem runny. Keep stirring and heating in 10-second increments until smooth and melted.
Spoon a heaping teaspoon of ganache in the center of the marshmallow cream and spread it out into a circular layer. Allow it to set up for a few minutes.
Let the ganache cool completely and set before heating ¼ cup white candy coating chocolate in a small bowl in the microwave in 20-second increments until fully melted. Add the melted chocolate to a small ziplock bag with the corner barely snipped off. You can also use a piping bag fitted with a small round piping tip (size #1 or #2). Pipe the signature swirls over the top of the ganache.",12,▢ 1 (15.25-ounce) dark chocolate fudge cake mix Duncan Hines,▢ 2 tablespoons unsweetened cocoa powder,▢ ½ cup vegetable oil,▢ 2 large eggs room temperature,▢ ½ cup softened unsalted butter,▢ 2 cups powdered sugar,▢ 1 pinch salt,▢ 1 (7-ounce) container marshmallow creme,▢ ½ teaspoon vanilla extract,▢ ½ cup milk chocolate chips,▢ 3 tablespoons heavy whipping cream,▢ ¼ cup white candy coating chocolate,NA,The Recipe Critic,https://therecipecritic.com/hostess-cupcake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Sprinkle Cookies,Alyssa Rivers,11/22/25,NA,NA,Desserts,15 minutes,12 minutes,NA,27 minutes,12 Cookies,5,"Preheat the oven to 350 degrees Fahrenheit. Line two baking sheets with parchment paper and set aside.
In a large bowl, whisk together 1 ½ cups all-purpose flour, 1 ½ teaspoons baking powder, ¼ teaspoon salt, and 1 teaspoon cornstarch Set aside.
In another bowl or in the bowl of a stand mixer, beat ½ cup softened unsalted butter and ¾ cup granulated sugar until smooth. Add in 1 large egg, 1 teaspoon vanilla extract, and ¼ teaspoon almond extract, and mix until combined.
Add the dry ingredients to the sugar mixture and mix until combined. Mix in ⅓ cup of the ½ cup sprinkles by hand. Use a cookie scoop to scoop the dough and roll it into balls by hand. Then, press the tops of each ball of dough with the remaining sprinkles.
Place the cookies on a cookie sheet, leaving 2 inches of space between each one. Bake for 10-12 minutes. The middle should still be gooey when removed from the oven. Allow them to cool on the tray. They will finish cooking there.",10,▢ 1 ½ cups all-purpose flour,▢ 1 ½ teaspoons baking powder,▢ ¼ teaspoon salt,▢ 1 teaspoon cornstarch,▢ ½ cup softened unsalted butter,▢ ¾ cup granulated sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ ¼ teaspoon almond extract,▢ ½ cup sprinkles,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/sprinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twix Thumbprint Cookies,Alyssa Rivers,11/20/25,5,4,Desserts,25 minutes,10 minutes,NA,35 minutes,24 cookies,10,"Add 1 cup softened unsalted butter and ⅔ cup granulated sugar to a large bowl and beat on medium-high speed with a hand mixer or a stand mixer fitted with the paddle attachment for 2-3 minutes, until light and fluffy.
Add 1 large egg and 1 tablespoon vanilla extract and mix again until fully combined, scraping down the sides and bottom of the bowl as needed.
Add 2 cups all-purpose flour and ½ teaspoon salt and beat at low speed until fully combined and all the flour has been absorbed.
Use a small cookie scoop to portion the dough into balls and lay them out on one or two parchment-lined baking sheets. Use the back of a 1-teaspoon measuring spoon to press an indent into the center of each ball. Place the baking sheets in the refrigerator to chill for 30 minutes to 1 hour.
About 15 minutes before the dough is finished chilling, preheat the oven to 375 degrees Fahrenheit.
Arrange the chilled dough on parchment-lined baking sheets so there is 2 inches between each cookie, then bake for 8-10 minutes, until the centers of the cookies still look slightly underbaked, but have lost their sheen and turned matte.
Remove the cookies from the oven and immediately use the same 1-teaspoon measuring spoon to reform the indent in the top of the cookie since it will puff up while the cookies bake. Let the cookies cool on the baking sheet for 2 minutes before transferring them to a cooling rack to finish cooling.
Meanwhile, heat 24 soft caramel candies and 2 tablespoons heavy cream in the microwave in 15-20 second increments, stirring between each increment until they are fully melted and smooth.
Use a teaspoon to fill the indentation in each cookie with caramel, about ½ teaspoon or so. Warm the caramel for 5-10 seconds in the microwave as needed to keep it liquid enough to spoon into the cookies.
Melt 4 ounces milk chocolate melting chocolate in the microwave in 30-second increments, until fully melted and smooth, stirring between each increment. Add the melted chocolate to a small ziplock bag, then barely snip the corner of the bag off, and quickly drizzle the chocolate over the tops of the cookies. Sprinkle with coarse salt, if desired, and let them sit until the caramel and chocolate is fully set.",9,▢ 1 cup softened unsalted butter,▢ ⅔ cup granulated sugar,▢ 1 large egg,▢ 1 tablespoon vanilla extract,▢ 2 cups all-purpose flour,▢ ½ teaspoon salt,▢ 24 soft caramel candies about 130 grams,▢ 2 tablespoons heavy cream,▢ 4 ounces milk chocolate melting chocolate or chopped baking chocolate,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/twix-thumbprint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Crack Cookies,Alyssa Rivers,11/13/25,4.50,2,Desserts,20 minutes,10 minutes,NA,NA,28 cookies,9,"Preheat the oven to 350°F. Line two or three baking sheets with parchment paper and set aside.
Cut 1 cup unsalted butter into pieces, add it to a small saucepan, and heat over medium heat. Cook for about 8 minutes, whisking frequently as the butter browns. It will get quite foamy and bubble up a bit before it starts to smell very nutty and turn golden brown in color.. Remove from the heat and transfer to a small heat-safe dish to cool to room temperature.
Add 2 ¼ cups all-purpose flour, 1 ¼ teaspoon baking soda, and ½ teaspoon salt to a medium bowl and whisk to combine. Set aside.
Add 1 cup packed light brown sugar, ½ cup granulated sugar, and the cooled browned butter to a large bowl and beat with a hand mixer or stand mixer fitted with the paddle attachment on high speed for 1-2 minutes, until combined.
Add 1 large egg, 1 egg yolk, 2 ½ teaspoons vanilla extract, and 1 tablespoon sour cream to the sugar mixture and mix until combined, scraping down the sides and bottom of the bowl as needed.
Add the flour mixture to the sugar mixture and mix just until all the flour has been incorporated, again scraping down the sides and bottom of the bowl as needed.
Stir in the ¾ cup semi-sweet chocolate chips or chunks, ¾ cup toffee bits, and ½ cup lightly crushed saltine crackers. Cover the bowl tightly with plastic wrap and chill the dough in the refrigerator for 30 minutes.
Once chilled, use a medium cookie scoop to scoop 1 ½ tablespoon-sized balls of dough onto the baking sheets, leaving about 2 inches between them.
Bake for 10-12 minutes, until the edges are golden brown and the centers still look slightly underbaked. Immediately upon coming out of the oven, sprinkle each cookie with a pinch of flaky sea saltflaky sea salt before letting the cookies cool on the baking sheet for 2-3 minutes before transferring to a cooling rack to finish cooling.",14,▢ 1 cup unsalted butter,▢ 2 ¼ cups all-purpose flour,▢ 1 ¼ teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 cup packed light brown sugar,▢ ½ cup granulated sugar,▢ 1 large egg,▢ 1 egg yolk,▢ 2 ½ teaspoons vanilla extract,▢ 1 tablespoon sour cream,▢ ¾ cup semi-sweet chocolate chips or chunks,▢ ¾ cup toffee bits or crushed toffee candies,▢ ½ cup lightly crushed saltine crackers,The Recipe Critic,https://therecipecritic.com/crack-cookies/,▢ flaky sea salt for topping,NA,NA,NA,NA,NA,NA,NA,NA
Congo Bars,Alyssa Rivers,10/01/25,4.50,2,Desserts,15 minutes,35 minutes,NA,50 minutes,16 Bars,6,"Preheat the oven to 350°F. Spray a 9x13x2-inch pan with nonstick cooking spray and set aside.
Whisk together 2 ¾ cups all-purpose flour, 2 ½ teaspoons baking powder, and ½ teaspoon salt in a medium bowl.
Add ⅔ cup melted unsalted butter and 2 ¼ cup packed brown sugar to a large bowl and mix until combined. Add 3 large eggs and 1 teaspoon vanilla extract, and mix until fully combined.
Add the flour mixture to the butter and sugar mixture and mix until combined. Stir in 2 cups milk chocolate chips and 1 cup chopped walnuts by hand.
Add the dough to the prepared pan and bake for 30-35 minutes, until the edges are golden brown. The center will still look underbaked, and it should! If it is baked any longer, the bars will become dry and crumbly.
Let the bars cool completely before slicing and serving.",9,▢ 2 ¾ cups all-purpose flour,▢ 2 ½ teaspoons baking powder,▢ ½ teaspoon salt,▢ ⅔ cup melted unsalted butter,▢ 2 ¼ cup packed brown sugar,▢ 3 large eggs,▢ 1 teaspoon vanilla extract,▢ 2 cups milk chocolate chips,▢ 1 cup chopped walnuts optional,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/congo-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Blossom Cookies,Alyssa Rivers,02/25/25,NA,NA,Desserts,20 minutes,10 minutes,NA,30 minutes,24 cookies,8,"Preheat the oven to 375 degrees Fahrenheit and line 2 baking sheets with parchment paper.
Add ½ cup unsalted butter, ¾ cup creamy peanut butter, ½ cup packed brown sugar, and ⅓ cup granulated sugar to a large bowl or the bowl of a stand mixer and beat with the paddle attachment for 2-3 minutes on medium-high speed or until light and fluffy.
Add 1 large egg and 2 teaspoons vanilla extract and mix until combined. Scrape down the bottom and sides of the bowl as needed.
Add 1 ⅓ cup all-purpose flour, ¼ teaspoon salt, ½ teaspoon baking soda, and ¼ teaspoon baking powder to a medium bowl and whisk to combine.
Add the flour mixture to the peanut butter mixture and mix just until combined and all the flour is absorbed.
Scoop the dough using a small cookie scoop or 1 ½ tablespoon portions and roll them into balls with your hands. Roll the dough balls in a bowl with about ½ cup of granulated sugar, adding more as needed to coat all of them evenly.
Place the dough balls on the prepared sheet pans, leaving about 2 inches between them. Bake for 8-10 minutes, until the tops are beginning to crack and the edges of the cookies have set.
Remove the cookies from the oven and immediately place one of the unwrapped 24 Hershey’s chocolate kisses in the center of each cookie. Let the cookies cool on the sheet pans for at least 3 minutes before transferring them to a cooling rack to finish cooling.",11,▢ ½ cup unsalted butter room temperature,▢ ¾ cup creamy peanut butter,▢ ½ cup packed brown sugar,▢ ⅓ cup granulated sugar plus more for rolling,▢ 1 large egg room temperature,▢ 2 teaspoons vanilla extract,▢ 1 ⅓ cup all-purpose flour,▢ ¼ teaspoon salt,▢ ½ teaspoon baking soda,▢ ¼ teaspoon baking powder,▢ 24 Hershey’s chocolate kisses,NA,NA,The Recipe Critic,https://therecipecritic.com/peanut-butter-blossom-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
