title,author,datelisted,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,source,link,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21
Christmas Sugar Cookie Martini - Is the Only Holiday Drink You Need This Year,Anjali,"Nov 29, 2025",NA,NA,5 minutes,5 minutes,no resting time required: 0 minutes minutes,Total Time: 10 minutes minutes,Servings: 1 cocktail,5,"Rim the Glass: On a small plate, spread out the holiday sprinkles. Take your martini glass and either dip the rim in vanilla frosting or brush melted white chocolate around the edge. Immediately dip the rim into the sprinkles to coat evenly. Set the glass aside.
Combine Ingredients: Fill a cocktail shaker halfway with ice cubes. Add the whipped cream vodka, Irish cream, amaretto, and half-and-half.
Shake: Secure the lid on the shaker and shake vigorously for 15 to 20 seconds, until the outside of the shaker feels very cold and frosty.
Serve: Strain the cocktail mixture into the prepared, rimmed martini glass.
Garnish: Hook a mini candy cane on the side of the glass and serve immediately.",8,1.5 oz Whipped Cream Vodka (or Vanilla Vodka),1 oz Irish Cream Liqueur Baileys,0.5 oz Amaretto Liqueur,1 oz Half-and-Half (or heavy cream for extra richness),ice cubes,1 tablespoon Vanilla frosting or melted white chocolate,"¼ cup Holiday Sprinkles (red, green, and white)",1 Mini Candy Cane optional,Recipe Magik,https://www.recipemagik.com/christmas-sugar-cookie-martini-easy-5-minute-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mini Eggs Easter Cookies,Anjali,"Jan 18, 2024",5,1,5 minutes,10 minutes,5 minutes: 5 minutes minutes,Total Time: 20 minutes minutes,Servings: 20 cookies,7,"Preheat the oven to 350°F and line a baking dish with parchment paper or silicone mat and set aside.
In a medium sized mixing bowl, whisk together, Flour, Baking Powder and Salt. Set aside.
Use a stand mixer or hand held mixer to beat together Butter, Brown Sugar, Vanilla, and Eggs. Beat for about 1 minute until creamy.
Stir in the dry ingredients, chocolate chips and lightly cracked Cadbury Mini Eggs. Beat lightly for about a minute on low.
Take 1.5 tablespoon of the cookie dough and roll into balls. Place them on the baking dish, about 2 inches apart. Bake for 10-12 minutes.
After the cookies gets baked and are crispy and golden brown around the edges, stuff in more whole mini eggs on the top. Bake for 2 more minutes.
Allow the baked cookies to stay in the hot oven for 5 more minutes.
Remove from the baking dish and cool them on a wire rack. Sprinkle flaky Sea Salt on top. Serve with milk.",10,2 cup All Purpose Flour,½ teaspoon Baking Powder,¼ teaspoon Kosher Salt,½ cup Unsalted Butter 1 stick (softened to room temp),1½ cup Light Brown Sugar,1 teaspoon Pure Vanilla Extract,2 large Eggs,1 cup Chocolate Chips,Recipe Magik,https://www.recipemagik.com/cadbury-mini-eggs-easter-cookies/,1 cup Mini Cadbury Eggs halved or lightly cracked,Flaked Sea Salt to sprinkle on the cookies (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spooky Jack Skellington Linzer Cookies,Anjali,"Oct 19, 2023",NA,NA,10 minutes,10 minutes,10: 10 minutes minutes,Total Time: 30 minutes minutes,Servings: 6 cookies,7,"Preheat the oven to 350F or 180C and line a baking dish with parchment paper
Combine all the ingredients to make the shortbread cookie dough. Roll them out and cut into circles using a cookie cutter. Bake them for 10 min
Combine icing sugar with milk and green food color to make green glaze.
Once the baked cookies cool down, dip half of them in the green glaze and let the excess drip off.
Use the back of a nozzle to cut out eyes. Apply some melted dark chocolate over the other halves of the cookies.
Place them over each other to bring these Jack Skellington Cookies to life. Use the leftover melted dark chocolate to make the eyes and mouth of these Jack Skellington Cookies.
Serve when sets",8,1 cup AP Flour,½ cup Granulated Sugar,½ cup Coconut Oil melted,Cold Water as per requirement,1 cup Icing Sugar,¼ cup Milk,1 drop Green Food Color,½ cup Dark Chocolate melted,Recipe Magik,https://www.recipemagik.com/spooky-jack-skellington-linzer-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Halloween Blood Splatter Cookies,Anjali,"Oct 14, 2023",NA,NA,5 minutes,10 minutes,no resting time required: 0 minutes minutes,Total Time: 15 minutes minutes,Servings: 12 cookies,5,"Preheat the oven to 350F or 180C and line a baking dish with parchment paper.
Whisk the melted butter and sugar until combined through. Add the Almond Flour, Almond Extract & Eggs. Combine everything to make your sugar cookie dough
Roll them into cookies and bake @350F or 180C for 15 min. Allow them to cool down to room temp.
Dip the cookies in melted white chocolate and allow them to sit for 5-10 min so that the chocolate sets on top.
Use the leftover melted white chocolate along with a drop of red food color to make fake blood. Splatter it unevenly over the cookies & serve.",7,½ cup Melted Unsalted Butter,½ cup Granulated Sugar,1 cup Almond Flour,1 teaspoon Almond Extract,2 large Eggs at room temp,1 cup White Chocolate melted,1 drop Red Food Color,NA,Recipe Magik,https://www.recipemagik.com/easy-halloween-blood-splatter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy Dark Chocolate Whey Protein Cookies,Anjali,"Jul 14, 2023",NA,NA,5 minutes,15 minutes,no resting time required: 0 minutes minutes,Total Time: 20 minutes minutes,Servings: 16 cookies,6,"Preheat the oven to 350F or 180C and line a baking dish with Parchment Paper.
Mash the Bananas in a bowl using a fork. Add the melted peanut butter to it and whisk until combined.
Next add the chocolate protein powder and unsweetened cocoa powder to it and fold until combined. Do not over mix.
Next melt dark chocolate in a microwave safe bowl in the oven for 30 seconds and pour this melted dark chocolate over the cookie dough. Also add the chocolate chips. Fold everything well until combined.
Scoop out cookie dough using a melon scooper and transfer to a lined baking dish. Flatten out the top using the back of a spoon.
Bake @350F or 180C for 12-15 min. Once the cookies gets baked, allow them to stay in the oven for 5 more minutes so that they firm up. Allow the cookies to cool down to room temperature for 5 min and serve hot.",6,4 scoops Chocolate Protein Powder 116gm or 4.09Oz,1 tablespoon Unsweetened Cocoa Powder 21.25gm or 0.7Oz,2 large Bananas peeled and mashed,2 tablespoon Peanut Butter (melted) 32gm or 1Oz,1 cup Melted Dark Chocolate 170gm or 6oz,¼ cup Dark Chocolate Chips 50gm or 1.8Oz,NA,NA,Recipe Magik,https://www.recipemagik.com/healthy-dark-chocolate-whey-protein-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 ingredient Blueberry Cookies (with whey protein) - fresh blueberry cookies recipe,Anjali,"May 22, 2023",5,1,1 minute,12 minutes,0 minutes minutes,Total Time: 13 minutes minutes,Servings: 12 cookies,7,"Preheat oven to 180C/350F. Line a large 9x13-inch baking pan with parchment paper. Set aside.
Combine oats, peanut butter, protein powder, and bananas in a large mixing bowl. Mix well until you see no specs of dry oats and the bananas are mixed completely.
Add in blueberries and fold lightly.
Use a cookie scoop (any size you prefer) to scoop out a portion of the blueberry cookie dough. Place them on the prepared baking sheet.
Press the cookies so that they resemble actual old-fashioned blueberry cookies. Make sure there is at least a 1-inch gap between each cookie.
Bake them in the oven for 10 to 12 minutes or until golden brown on the edges.
Remove from oven and allow them to cool down completely before transferring to a wire rack for further cooling.",5,2 cups rolled oats use gluten-free if needed,½ cup peanut butter see notes for replacements,1 scoop protein powder unflavored or vanilla protein powder,2 medium bananas,¼ cup blueberries fresh (see notes),NA,NA,NA,Recipe Magik,https://www.recipemagik.com/fresh-blueberry-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowman Cookies Starbucks recipe,Anjali,"Oct 11, 2022",4,6,NA,12 minutes,2 hours before baking: 2 hours hours,Total Time: 4 hours hours 12 minutes minutes,Servings: 24 cookies,31,"Whisk dry ingredients in a medium-size mixing bowl.
In a large mixing bowl using a hand held mixer or stand mixer combine unsalted butter and sugar on high speed for 2-minute. Add the egg, vanilla extract, and almond extract.
Combine wet ingredients and dry ingredients and form a dough. If you feel the dough is too soft and isn't in a rolling consistency then add 1 tablespoon more flour or until it is in a better consistency for rolling.
Divide the dough into two equal parts.
Lightly flour a nonstick silicone mat or a piece of parchment paper. Roll the dough until its about 1/4 inch thick. The shape of the rolled dough doesn't matter.
Stack the rolled out dough with a piece of parchment paper in between the two onto a 15x21 inch large baking sheet.
Refrigerate for at least 2 hours or for 2 days. If you are chilling for more than 2 hours then top the rolled out dough with a piece of parchment paper.
Once the dough is chilled, preheat oven to 350 degrees F (180 degrees C).
Line a 15x21 inch large baking sheet with a piece of parchment paper.
Remove one of the dough pieces from the refrigerator and use a snowman cookie cutter to cut out as many snowmen as you can. Re-roll the remaining dough to make more snowmen. Repeat the same with the other piece of dough.
Arrange the snowmen cookies on a lined baking sheet keeping a gap of at least 3-inches between each cookie.
Bake for 12-minutes or until lightly browned on the edges.
Allow the cookies to cool down on the baking sheet for 5 minutes before transferring them onto a wired rack for further cooling. I like to wait until the cookies cool down completely before decorating them.
Finally, bring them back to the baking sheet. I prefer decorating them on the baking sheet. That way, I can keep them in the refrigerator to speed up the chilling process.
Whisk all of the ingredients for icing using a hand-held mixture or a stand-mixer with a whisk attachment. Whisk on high for 1-2 minutes.
The consistency should be silky smooth. Lift up the icing using a spatula and it should flow down slowly taking 5-10 seconds to fall into the icing bowl.
If the icing is too thick then add more water. I generally add 10-12 tablespoons or more of water if my icing is too thick.
If the icing is too watery, then add a little more confectioners' sugar.
You will need five small bowls. Arrange the icing in each bowl. Remember you will need significantly more white icing than any other color. So divide the icing accordingly.
Use red food color for the first, orange for the second, black for the third, brown for the fourth and leave the last one white.
Spoon the icing in individual reusable or disposable piping bags.
Use round tip #5 or round icing tip #4 to cover the snowmen with white, leaving space for the hat. Allow the white to set. Put the baking sheet in the refrigerator to speed up the cooling process.
Next use the same icing tip (i.e. #5 or #4) to pipe the red scarf.
Now use round icing tip #1 to pipe the hats with brown icing.
Use the same round icing tip #1 to pipe the black buttons and eyes.
Finally use the same round icing tip #1 to pipe the orange nose.
And, lastly, use the same icing tip i.e. round icing tip #1 to pipe white polka dots on the scarf.
Leave out the decorated snowman cookies at room temperature for 2 hours.
Enjoy the snowman cookies right away. Or wait until the icing sets completely. Once the icing has set you can send these to your neighbours or keep them in your snowman cookie jar or send them to someone as a christmas gift.
These decorated snowman sugar cookies will stay soft and fresh for up to 5 days when kept tightly closed in a container at room room temperature.
If you want to keep them for a longer duration, cover tightly and refrigerate for up to 10 days.",13,2 and ¼ cups all purpose flour 280g (spooned and leveled),½ teaspoon baking powder,⅛ teaspoon salt,¾ cup (1 and ½ stick) unsalted butter softened to room temperature (170g),¾ cup granulated sugar 150g,1 large egg at room temperature,2 teaspoons pure vanilla extract,¼ teaspoon almond extract,Recipe Magik,https://www.recipemagik.com/snowman-cookies-starbucks-recipe/,1 pound confectioners' sugar 500g,3 Tablespoons meringue powder,1 teaspoon vanilla extract,8-9 Tablespoons room temperature water,"black, orange, red, and brown food coloring",NA,NA,NA,NA,NA,NA,NA,NA
Easy Pumpkin Crinkle Cookies with Cake Mix,Anjali,"Oct 8, 2022",5,1,15 minutes,12 minutes,0 minutes minutes,Total Time: 27 minutes minutes,Servings: 30 cookies,13,"Preheat oven to 375 degrees and set aside. Line a cookie baking sheet with parchment paper or silicone mat and set it aside.
In a medium sized mixing bowl combine cake mix, kosher salt, and pumpkin pie spice. Whisk until combined and set aside.
In a large bowl using a hand held mixer or stand mixer fitted with paddle attachment beat butter, brown sugar, and granulated sugar until light and fluffy at medium high speed for 2-3 min. Add the egg, pumpkin puree, and vanilla extract and beat on high speed until combined. Scrape down the sides and bottom of the bowl as per requirement.
Add wet ingredients to the dry ingredients.
Beat on low or Gently fold using a spatula until well incorporated. Your dough should be lightly wet and somewhat sticky.
Cover the cookie dough with a plastic wrap. Refrigerate for 3 hours. Allow to sit at room temp for 10 min. This will make the cookie dough easier to scoop and roll.
Add confectioner's sugar in a shallow bowl.
Use about 1.5 to 2 tablespoon size scoop to scoop the dough. Coat them with granulated sugar.
Place them directly into the bowl with powdered sugar and roll them generously.
Gently roll it around with your fingers or using a fork until thoroughly coated. Make sure there is a heavy coating of confectioner's sugar to get a nice crinkle effect. Do not shake off any excess sugar.
Place them on the prepared baking sheet 3-inches apart.
Bake at 375 degrees for 10-12 minutes or until firm.
Remove the cookies from oven and let them cool down for 2 minutes in the hot baking dish. Transfer to a wire cooling rack and cool before you serve them.",11,2½ cups Cake Mix,2 tablespoons pumpkin pie spice,⅛ teaspoon kosher salt,"½ cup unsalted butter softened to room temp ( 1 stick, 115g)",½ cup packed light brown sugar 100g,½ cup Granulated sugar 100g,1 large eggs at room temperature,1 cup pumpkin puree not pie filling,Recipe Magik,https://www.recipemagik.com/pumpkin-crinkle-cookies/,1 teaspoon pure vanilla extract,1 cup confectioner's sugar,3 tablespoon Granulated Sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Christmas Tree Cookies,Anjali,"Dec 1, 2021",NA,NA,10 minutes,10 minutes,Chilling the Cookies: 15 minutes minutes,Total Time: 35 minutes minutes,Servings: 10 Cookies,5,"PreHeat Oven to 350F or 180C. Grease a baking ray with cooking spray and keep it aside.
In a large mixing bowl mix All Purpose Flour with Granulated Sugar, melted Unsalted Butter, Vanilla Extract, Corn Starch, and a pinch of salt. Mix well. Add 1 teaspoon of ice-cold water and knead the dough with your hands. Add water as per requirement. Make a soft dough. See the image for reference. Chill the dough covered with a plastic wrap, in the refrigerator for 15-minutes
Now, flour the surface. Roll the dough lightly making sure that it is about 3/8 inches thick. Now use a Christmas tree shaped cookie cutter to cut out small christmas tree shaped cookies. Place it on a baking sheet greased with cooking spray. Bake it in a preheated oven at 350F or 180C for 10-11 minutes. Do not touch after it is baked. Let it stay in the baking tray for another 10-minutes at room temperature. Then transfer to wire rack and let them cool down for another 10-minutes.
In a small bowl mix powdered sugar with honey, milk, and vanilla extract. Mix well. Add a few drops of green gel food color and stir well until smooth.
Now dip the sugar cookies individually in the glaze. Drip the excess by holding it vertically. Place it on a baking sheet.
Now add red and green Christmas Nonpareils Sprinkles and let the cookies sit for a while. And, then Enjoy!",13,1 Cup Melted Unsalted Butter (2 Sticks),½ Cup Granulated Sugar 100g or 3.55 Oz,1 Teaspoon Pure Vanilla Extract you can replace this with Almond Extract or Peppermint Extract,2 Cups All-Purpose Flour more for dusting the surface,⅛ Teaspoon Salt,1 Teaspoon Corn Starch,Ice Cold Water as per requirement,1 Cup Powdered Sugar,Recipe Magik,https://www.recipemagik.com/buttery-holiday-shortbread-christmas-tree-cookies/,4 Tablespoons Milk,½ Teaspoon Pure Vanilla Extract,1 Teaspoon Honey or Corn Syrup,2 Drops Green Gel Food Color,Red and Green Christmas Nonpareils Sprinkles,NA,NA,NA,NA,NA,NA,NA,NA
Best Gingerbread cookies Recipe,Anjali,"Nov 29, 2021",NA,NA,10 minutes,10 minutes,chill dough for 3-4 hours: 4 hours hours,Total Time: 4 hours hours 20 minutes minutes,Servings: 24 cookies,6,"Take a large bowl and beat the butter for about 1 -2 minutes using a stand mixer or a handheld mixer. Beat the butter until it gets smooth and creamy. Add the Brown Sugar, Molasses, Vanilla Extract, and Eggs. Beat on high speed for about 2 minutes. Scrape down the sides and beat until smooth and creamy.
In a separate mixing bowl whisk the dry ingredients - Flour, Baking powder, Baking Soda, Ground Cinnamon, Ground Cloves, Ground Ginger, Kosher Salt, and Allspice.
Combine the wet mixture with the dry mixture to make a dough. The Gingerbread cookie dough will be slightly sticky to touch. Pat it down to make a disc shape. Divide the cookie dough into two halves. Wrap each with plastic foil and refrigerate for at least 3-4 hours or for about 3 days.
First of all, preheat your oven to about 350 degrees Fahrenheit. Then take a baking sheet and line it up with parchment paper. You can also alternatively use silicone baking mats as they are best for baking cookies. 
Now take out your chilled discs of cookie dough and place them on the kitchen surface. Spread plenty of flour underneath so that the dough does not stick to the surface. Then take a large rolling pin and roll out the dough into a flat sheet of about ¼ of an inch thickness. 
Once you have rolled out the dough into a flat sheet you can start cutting shapes into it. Use a cookie cutter for making fun shape with your family. This is the most fun part of making gingerbread cookies! 
Once you have cut all the shapes you can place them on the baking sheet. Make sure each shape is spaced evenly and has space to breathe and expand. Now all you need to do is slide the baking sheet into the oven and let the cookies bake for about ten minutes. 
Once the baking time is over take the cookies out of the oven and let them rest for about five minutes on the countertop. This way the cookies can cool down. When they are sufficiently cooled down you can decorate them with any icing of your choice. 
Your gingerbread cookies are now ready! Serve them to your family or hang them on your Christmas tree! ",14,2 sticks Unsalted Butter softened,1 cup Light Brown Sugar packed,⅔ cup Molasses,1 large Egg at room temp,1 teaspoon Pure Vanilla Extract,4 cups AP Flour,1 teaspoon Baking Soda,1 teaspoon Baking Powder,Recipe Magik,https://www.recipemagik.com/best-gingerbread-cookies-recipe/,¼ teaspoon Kosher Salt,1 tablespoon Ground Ginger,1 tablespoon Ground Cinnamon,½ teaspoon Ground Cloves,½ teaspoon Allspice,Royal Icing for decoration,NA,NA,NA,NA,NA,NA,NA
