title,author,recipesubmitter,tester,rating,ratingnum,description,category,times1,timesyield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25
Chewy Oatmeal Cookies,By Lisa A. Kaminski,"Recipe by Janis Plageman, Lynden, Washington",Tested by Taste of Home Test Kitchen,4.5,70,What's better than a perfectly chewy cookie full of delicious mix-ins? Nothing's better than that in my book. Here's how to make the best oatmeal cookies.,Cookies,Total Time:Prep: 15 min. Bake: 10 min./batch,"Yield:about 5 dozen
Prep:15 min
Cook:10 min",3,"In a large bowl, cream butter and sugars until light and fluffy, 5-7 minutes. Add the eggs, molasses and vanilla; beat well. 
   Combine the flour, oats, baking soda, cinnamon and salt; gradually add to creamed mixture and mix well. Stir in the raisins, pecans and chocolate chips. Drop by tablespoonfuls 2 in. apart onto greased baking sheets.  
   Bake at 350° for 9-10 minutes or until lightly browned. Cool on pans for 2 minutes before removing to wire racks.",13,"1 cup butter, softened",1 cup sugar,1 cup packed brown sugar,"2 large eggs, room temperature",1 tablespoon molasses,2 teaspoons vanilla extract,2 cups all-purpose flour,2 cups quick-cooking oats,1-1/2 teaspoons baking soda,1 teaspoon ground cinnamon,1/2 teaspoon salt,1 cup each raisins and chopped pecans,1 cup semisweet chocolate chips,Taste of Home,https://www.tasteofhome.com/recipes/chewy-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookies,By Lisa A. Kaminski,"Recipe by Helen Wallis, Vancouver, Washington",Tested by Taste of Home Test Kitchen,4.8,157,Think sugar cookies are just for the holidays? Think again! Learn how to make sugar cookies from scratch that you can enjoy all year long.,Cookies,Total Time:Prep: 30 min. Bake: 10 min./batch,"Yield:5 dozen
Prep:30 min
Cook:10 min",2,"Preheat oven to 350°. Cream butter, shortening and sugar until light and fluffy, 5-7 minutes. Beat in egg and vanilla. In another bowl, whisk flour, baking powder and baking soda; gradually beat into creamed mixture.
   Shape into 1-in. balls. Roll in additional sugar. Place on greased baking sheets; flatten with a glass. Bake until set, 10-12 minutes. Remove to wire racks to cool.",9,"1/2 cup butter, softened",1/2 cup shortening,1 cup sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,2-1/4 cups all-purpose flour,1/2 teaspoon baking powder,1/2 teaspoon baking soda,Additional sugar,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
First-Place Coconut Macaroons,By Taste Of Home Editorial Team,"Recipe by Penny Ann Habeck, Shawano, Wisconsin",Tested by Taste of Home Test Kitchen,4.5,138,"These coconut macaroon cookies earned me a first-place ribbon at the county fair. They remain my husband's favorites—whenever I make them to give away, he always asks me where his batch is! I especially like the fact that this recipe makes a small enough batch for the two of us to nibble on. —Penny Ann Habeck, Shawano, Wisconsin",Cookies,Total Time:Prep: 10 min. Bake: 20 min./batch,"Yield:about 1-1/2 dozen
Prep:10 min
Cook:20 min",2,"Preheat oven to 325°. In a small bowl, combine the coconut, sugar, flour and salt. Add egg whites and vanilla; mix well.
   Drop by rounded teaspoonfuls onto greased baking sheets. Bake until golden brown, 18-20 minutes. Cool on a wire rack.",6,1-1/3 cups sweetened shredded coconut,1/3 cup sugar,2 tablespoons all-purpose flour,1/8 teaspoon salt,"2 large egg whites, room temperature",1/2 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/first-place-coconut-macaroons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Pumpkin Cookies,By Joy Manning,"Recipe by Amy Stedman, Ashland, Maine",Tested by Taste of Home Test Kitchen,0,0,"These vegan pumpkin cookies bake up soft and pillowy with crisp edges, pockets of melted chocolate and a warm cinnamon-ginger aroma.",Cookies,Total Time:Prep: 25 min. Bake: 15 min./batch,"Yield:about 4-1/4 dozen
Prep:25 min
Cook:15 min",3,"Preheat oven to 375°. In a small bowl, mix flaxseed and water; let stand three minutes or until thickened.
   In a large bowl, combine pumpkin, sugar, oil, applesauce, vanilla and flaxseed mixture until well combined. In another bowl, whisk flour, cinnamon, baking powder, baking soda, salt, ginger and allspice; gradually beat into wet ingredients. Stir in chocolate chips.
   Drop dough by tablespoonfuls 2 in. apart onto parchment-lined baking sheets. Bake 12-14 minutes or until edges begin to brown. Remove from pans to wire racks to cool.",15,1 tablespoon ground flaxseed,3 tablespoons warm water,1 can (15 ounces) pumpkin,3/4 cup sugar,1/4 cup canola oil,1/4 cup unsweetened applesauce,1-1/2 teaspoons vanilla extract,2-1/4 cups all-purpose flour,1-1/2 teaspoons ground cinnamon,1-1/2 teaspoons baking powder,1-1/2 teaspoons baking soda,1 teaspoon sea salt,1/2 teaspoon ground ginger,Taste of Home,https://www.tasteofhome.com/recipes/vegan-pumpkin-cookies/,1/2 teaspoon ground allspice,1 cup vegan chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Latte Cookies,By Val Goodrich,"Recipe by Margaret Knoebel, Milwaukee, Wisconsin",Tested by Taste of Home Test Kitchen,5,1,"Real espresso powder awakens the cozy spices and molasses in our gingerbread latte cookies, with a matching espresso glaze for an unmistakable latte flavor.",Cookies,Total Time:Prep: 30 min. Bake: 15 min./batch,"Yield:about 7-1/2 dozen
Prep:30 min
Cook:15 min",3,"In a large bowl, cream butter and sugars. Add the eggs, one at a time, beating well after each addition. Add molasses and vanilla; mix well. Combine dry ingredients; gradually add to creamed mixture. 
   Drop by tablespoonfuls 2 in. apart onto ungreased baking sheets. Bake at 325° for 12-15 minutes or until cookies spring back when touched lightly (do not overbake). Remove to wire racks. 
    For icing, in a small bowl, add 3 tablespoons milk; add instant espresso powder to milk and whisk until dissolved. Add vanilla and salt to espresso mixture. Gradually whisk confectioners' sugar into espresso mixture. And enough remaining milk (1 teaspoon at a time) until desired consistency is reached. Dip tops of cookies into icing, gently remove excess icing with a small offset spatula. Let set until icing is firm before stacking.",20,"1-1/2 cups butter, softened",1 cup sugar,1 cup packed brown sugar,2 large eggs,1/2 cup molasses,2 teaspoons vanilla extract,4-1/2 cups all-purpose flour,1 tablespoon ground ginger,2 teaspoons baking soda,2 teaspoons ground cinnamon,3/4 teaspoon instant espresso powder,1/2 teaspoon salt,1/2 teaspoon ground cloves,Taste of Home,https://www.tasteofhome.com/recipes/gingerbread-latte-cookies/,1/8 teaspoon ground nutmeg,icing:,"5 tablespoons whole milk, divided",1 teaspoon instant espresso powder,3 cups confectioners' sugar,1 teaspoon vanilla extract,Pinch salt,NA,NA,NA,NA,NA
Tam To’s Matcha Cranberry Thumbprint Cookies,By Tam To,"Recipe by Tam To, Los Angeles, California",Tested by Taste of Home Test Kitchen,0,0,"These matcha cranberry thumbprint cookies are a festive holiday treat that combines matcha tea flavor with tart cranberry jam. The cookies are perfect for Christmas gatherings because of the vibrant green and ruby red color. Each bite is soft, slightly crumbly and mildly sweet, making it a great cookie gift for any occasion! —Tam To, Los Angeles, California",Cookies,Total Time:Prep: 15 min. Bake: 15 min./batch,"Yield:10 servings
Prep:15 min
Cook:15 min",4,"Preheat oven to 350°. In a medium bowl, combine first 6 ingredients.
   In a large mixing bowl, combine the butter, egg yolk and vanilla extract. Whisk until the mixture has soft peaks. Gradually add dry ingredients into butter mixture until well combined. 
   Scoop by 2 tablespoonfuls onto parchment-lined baking sheets, placing 1 inch apart. Press a deep indentation in center of each with the end of a wooden spoon handle. Fill each with 1 teaspoon of cranberry jam.
   Bake 15-20 minutes or until set. Remove from pans to wire racks to cool completely.",10,1 cup all-purpose flour,1 cup almond flour,1/4 teaspoon sea salt,1/3 cup sugar,4-1/2 teaspoons culinary grade matcha (green tea powder),1 tablespoon packed brown sugar,"1/2 cup butter, softened","1 large egg yolk, room temperature",1 teaspoon vanilla extract,1/4 cup cranberry jam,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/tam-to-matcha-cranberry-thumbprint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3D Meringue Snowmen,By Lauren Habermehl,"Recipe by Lauren Habermehl, Pewaukee, Wisconsin",Tested by Taste of Home Test Kitchen,0,0,These whimsical 3D meringue snowmen are so cute that they're guaranteed to make even the biggest Grinch crack a smile.,Cookies,Total Time:Prep: 20 min. + resting Cook: 2 hours + cooling,"Yield:12 snowmen
Prep:20 min
Cook:1 hour",7,"Place egg whites in a small bowl; let rest at room temperature for 30 minutes.
   Preheat the oven to 200°.
   Add cream of tartar to the egg whites; beat on medium speed until foamy. Gradually add sugar, 1 tablespoon at a time, beating on high after each addition until sugar is dissolved. Continue beating until stiff glossy peaks form.
   Line a 15x10x1-in. baking sheet with parchment paper. Fit a pastry bag with a large round tip. Transfer the meringue to the bag. 
   With the nozzle positioned 1 in. above the prepared baking sheet, pipe 12 1-1/2-inch balls onto the parchment paper. Pipe a smaller ball on top of the first ball to make a snowman. Use a sharp knife dipped in warm water to smooth the tops of the heads.
   Bake for 60 minutes or until fully set and dry. Turn off the oven; let sit 1 hour in the oven. Remove to wire racks to cool completely.
   To decorate, wrap a single strand of Twizzlers Pull 'n' Peel around the necks to make a scarf. Pipe a tiny dot of white royal icing onto the middle of each face and adhere an orange sprinkle for a carrot nose. Apply small dots of black icing to make eyes. Use the black royal icing to dot a mouth and black coal buttons down the front of each. Let icing set; serve.",4,2 large egg whites,1/4 teaspoon cream of tartar,3/4 cup superfine sugar or sugar,"Twizzlers Pull 'n' Peel, black and white royal icing, and orange sprinkles, for decorating",NA,NA,NA,NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/3d-meringue-snowmen/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hetal Vasavada’s Peppermint Patty Thumbprint Cookies,By Hetal Vasavada,"Recipe by Hetal Vasavada, San Francisco, California",Tested by Taste of Home Test Kitchen,1,4,"If you’re a peppermint patty lover, you will adore these thumbprint cookies. There’s something about the combination of peppermint and dark chocolate that just feels like the holidays, and these thumbprint cookies lean all the way into that nostalgia. The base is a soft, black cocoa-rich cookie with just enough chew, but the real magic is the homemade peppermint patty filling nestled in the center. It’s creamy, cool and kind of like the inside of a York patty but richer. A quick drizzle of dark chocolate on top makes them look bakery-level without any extra fuss! These are the cookies you bring out when you want something classic but still a little extra. —Hetal Vasavada, San Francisco, California",Cookies,Total Time:Prep: 30 min. + freezing Bake: 10 min./batch,"Yield:2 dozen
Prep:30 min
Cook:10 min",5,"Preheat oven to 350°. Into large bowl, combine first 11 ingredients. Mix for 3 minutes, scraping the bowl halfway through. Gradually add flour and mix on low until just combined. 
   Scoop dough by tablespoonfuls; roll each into a ball. Place on parchment-lined baking sheets. Press a deep indentation in center of each with the end of a wooden spoon handle. Freeze for 15 minutes. 
   Bake until edges are set, 9-11 minutes. Immediately press the indentations down and slightly widen them while cookies are still warm. Cool completely on wire racks.
   Meanwhile, for the filling, in a small mixing bowl, combine confectioners' sugar, coconut oil, milk, corn syrup, mint extract and salt until mixture comes together into a smooth ball. Press 1/2 teaspoon of filling into the indentation of each cookie.
   Drizzle melted chocolate over cookies. If desired, top with sprinkles.",20,"1 cup (113g) unsalted butter, softened",1/2 cup (116g) packed light brown sugar,2-1/2 tablespoons (30g) sugar,"5 tablespoons (28g) unsweetened black baking cocoa, sifted",1 tablespoon heavy whipping cream,2 teaspoons vanilla extract,1 teaspoon instant coffee granules,1 teaspoon cornstarch,1/2 teaspoon salt,1/4 teaspoon baking powder,1/4 teaspoon peppermint extract,3/4 cup (93g) all-purpose flour,peppermint patty filling:,Taste of Home,https://www.tasteofhome.com/recipes/hetal-vasavada-peppermint-patty-thumbprint-cookies/,1 cup (113g) confectioners' sugar,"1 teaspoon coconut oil, melted",2 teaspoons milk,2-1/2 teaspoons light corn syrup,1/4 teaspoon mint extract,1 pinch salt,"1/4 cup (42g) dark chocolate, melted",NA,NA,NA,NA,NA
Almond Joy Cookies,By Joy Manning,"Recipe by Margaret Knoebel, Milwaukee, Wisconsin",Tested by Taste of Home Test Kitchen,0,0,"With just four ingredients and no mixer required, Almond Joy cookies transform pantry staples into chewy, coconut-studded treats that taste just like the iconic candy bar.",Cookies,Total Time:Prep: 10 min. Bake: 25 min./batch,"Yield:about 4-1/2 dozen
Prep:10 min
Cook:25 min",1,"Preheat oven to 325°. In a large bowl, combine all ingredients. Drop by tablespoonfuls onto parchment-lined baking sheets. Bake until golden brown, 23-25 minutes.",4,1 package (14 ounces) sweetened shredded coconut,1 can (14 ounces) sweetened condensed milk,1-1/4 cups chopped toasted almonds,1-1/2 cups semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/almond-joy-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Cream Pie Cookies,By Nancy Mock,"Recipe by Nancy Mock, Southbridge, Massachusetts",Tested by Taste of Home Test Kitchen,0,0,Can't get enough of Boston cream pie? Neither can we—that's why we created Boston cream pie cookies! They have the same vanilla filling and chocolate topping but a sweet and crunchy sugar cookie base.,Dishes & Beverages,Total Time:Prep: 55 min. Bake: 30 min. + cooling,"Yield:19 cookies
Prep:55 min
Cook:30 min",9,"In the bowl of a stand mixer fitted with the paddle attachment, cream softened butter and sugar until the mixture is light and creamy, 4-5 minutes, scraping down the sides of the bowl as needed. Beat in egg and vanilla extract until incorporated.
   In a large bowl, whisk together flour, baking powder and salt. Slowly beat dry ingredients into the creamed mixture until a dough forms. Cover; refrigerate 1 hour.
   Preheat the oven to 325°. Place the oven rack one level below the center of the oven.
   Lightly grease 19 wells in a 24-cup mini muffin pan. Scoop 1-1/2 tablespoonfuls of dough into each well. Press the dough down to the bottom and up the sides of each well to form a cup. Chill for 15 minutes. 
   Bake 20-21 minutes or until the tops are set, the edges are golden brown and the dough puffs up around the top. Remove the pan to a wire rack. Use the end of a wooden spoon to press the cookie centers into a cup shape. Allow to cool in the pan for 5 minutes; transfer to the wire rack to cool completely, about 15 minutes.
   To make the pudding, in a large bowl, whisk instant vanilla pudding mix and cold milk until slightly thickened, about 2 minutes; set aside.
   To make the ganache, pour heavy whipping cream into a small heavy-bottomed saucepan. Heat over medium-low heat for 2-3 minutes, stirring occasionally, until just hot (not simmering or boiling). Remove from the heat. Add chopped chocolate; let sit 1-2 minutes. Stir until smooth, thick and uniform. 
   Fill each cooled cookie cup with about 1 tablespoon of vanilla pudding, enough to fill the cup. Slowly spoon about 1-1/2 teaspoons ganache over each cookie cup, letting it drip down the sides.
   Place in an even layer in a covered container; chill at least 2 hours to let the ganache set before serving.",13,"1/2 cup plus 3 tablespoons butter, softened",2/3 cup sugar,"1 large egg, room temperature",1-1/4 teaspoons vanilla extract,1-3/4 cups all-purpose flour,3/4 teaspoon baking powder,1/4 teaspoon salt,filling:,1 package (3.4 ounces) instant vanilla pudding mix,1-1/2 cups cold whole milk,ganache:,1/2 cup heavy whipping cream,"4 ounces semisweet chocolate, chopped",Taste of Home,https://www.tasteofhome.com/recipes/boston-cream-pie-cookies-2/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cheesecake Cookies,By Molly Allen,"Recipe by Molly Allen, Hood River, Oregon",Tested by Taste of Home Test Kitchen,0,0,"If you're a fan of gingerbread cookies, you'll love these gingerbread cheesecake cookies. They have crisp edges but an overall chewy texture and a surprising cream cheese filling.",Cookies,Total Time:Prep: 20 min. Bake: 30 min. + cooling,"Yield:12 cookies
Prep:20 min
Cook:30 min",5,"Line parchment paper on a 15x10x1-in. baking sheet. In a small bowl, beat cream cheese and confectioners' sugar until smooth. Scoop heaping tablespoonfuls of filling; line on the parchment paper. Freeze 1-1/2 hours.
   In a large bowl, cream butter and sugars until light and fluffy, 3-5 minutes. Beat in egg, molasses and vanilla extract, scraping the sides of the bowl as needed. 
   In a small bowl, combine flour, ginger, cinnamon, salt, baking soda, nutmeg, allspice, cloves and baking powder. Gradually beat dry ingredients into the creamed mixture until just combined. 
   Line another 15x10x1-in. baking sheet with parchment paper. Scoop 1/4 cupfuls onto a parchment-lined baking sheet; flatten each ball with the bottom of a cup. Working quickly, place a frozen filling portion into the center of each dough piece; wrap dough around to cover completely, shaping into a ball. Roll balls in sugar. Chill 45 minutes.
   Preheat the oven to 350°. Make sure cookie dough balls are at least 2 in. apart. Bake until edges are slightly crinkly, 15-16 minutes. Let cool 10 minutes; transfer to a wire rack to cool completely.",19,filling:,"5 ounces (2/3 cup) cream cheese, softened",2/3 cup confectioners' sugar,cookies:,"1 cup unsalted butter, softened",1-1/4 cups packed brown sugar,1/4 cup sugar plus more for rolling,"1 large egg, room temperature",1/3 cup molasses,1 teaspoon vanilla extract,2-3/4 cups all-purpose flour,2-1/2 teaspoons ground ginger,2 teaspoons ground cinnamon,Taste of Home,https://www.tasteofhome.com/recipes/gingerbread-cheesecake-cookies/,1/2 teaspoon salt,1/2 teaspoon baking soda,1/2 teaspoon ground nutmeg,1/4 teaspoon ground allspice,1/4 teaspoon ground cloves,1/4 teaspoon baking powder,NA,NA,NA,NA,NA,NA
