title,author,rating,ratingnum,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19
Pecan Sandies,Lauren Allen,4.90,79,Dessert,10 minutes,15 minutes,Chill Time: 20 minutes mins,Total: 45 minutes mins,24 cookies,3,"Dough: Cream butter and sugar together until well combined. Add vanilla and mix. Add flour, salt, and pecans and stir to combine. 
Chill cookie dough for 20 minutes. Roll into 1 ½ inch balls. Get a glass cup and wet the bottom of it slightly. Gently press the cookies using the bottom of the glass. 
Bake at 350 degrees for 15-17 minutes. ",7,▢ 1 cup unsalted butter,▢ 1/2 cup light brown sugar,▢ 1/4 cup granulated sugar,▢ 2 cups all purpose flour,"▢ 1 1/2-2 cup pecans, , corsely chopped",▢ 2 teaspoon vanilla extract,▢ 1/4 teaspoon kosher salt,Tastes Better from Scratch,https://tastesbetterfromscratch.com/pecan-sandies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cookies Recipe,Lauren Allen,3.80,255,Dessert,25 minutes,10 minutes,refrigerate: 2 hours hrs,Total: 35 minutes mins,24 (depending on size of cookie cutter),11,"Add flour, brown sugar, baking soda, cinnamon, ginger, cloves and salt to a mixing bowl and mix.
Add the butter pieces and use a pastry blender to cut the butter in until the mixture resembles fine meal.
With a mixer running on low speed gradually add the molasses and milk and mix until combined, about 30 seconds.
Divide the dough in half, forming each into a ball. Wrap each in plastic wrap and refrigerate for 2 hours or overnight, or place in the freezer for about 20 minutes, until firm, if you’re in a hurry. (Refrigeration is mandatory or the dough will be too sticky to handle).
Preheat the oven to 350 degrees. Line 2 baking sheets with parchment paper.
Remove one dough sheet from the fridge/freezer and place on a well floured counter. Lightly flour the top of the dough and the rolling pin and roll out the dough (dust with a little more flour if needed), until it’s about ½ inch thick. Cut gingerbread men and place them on prepared baking sheets.
Refrigerate the gingerbread men for 5 minutes (meanwhile you can roll out the other dough ball).
Bake the cookies until set in the centers and the dough barely retains and imprint when touched very gently with fingertip, 8 to 11 minutes (depending on the size of your cookie cutter). Do not overbake!!
Remove the cookies to a wire rack. Allow to cool to room temperature before frosting.
Store gingerbread cookies in an airtight container with parchment paper between the layers. Freeze for up to 3 months.
Add butter, milk, and 1 cup of powdered sugar to a bowl.  Mix until smooth.  Add additional cup of powdered sugar and mix until smooth.  Add frosting to piping bag if desired.",13,▢ 3 cups all-purpose flour,"▢ 3/4 cup dark brown sugar, , packed",▢ 3/4 teaspoon baking soda,▢ 1 Tablespoon ground cinnamon,▢ 1 Tablespoon ground ginger,▢ 1/2 teaspoon ground cloves,▢ 1/2 teaspoon salt,Tastes Better from Scratch,https://tastesbetterfromscratch.com/gingerbread-cookies/,"▢ 12 Tablespoons butter, , room temperature, cut into 12 pieces","▢ 3/4 cup molasses, (dark molasses)",▢ 2 Tablespoons milk,"▢ 2 Tablespoons butter, , room temperature",▢ 2 cups powdered sugar,▢ 2 Tablespoons milk,NA,NA,NA,NA,NA,NA
Oatmeal Cookie Bars,Lauren Allen,4.92,1389,Dessert,15 minutes,30 minutes,NA,Total: 45 minutes mins,NA,6,"Preheat oven to 350°F (180°C). Lightly grease a 9 x 13 inch pan with cooking spray or line with parchment paper.
Beat Butter and Sugar: In a large mixing bowl beat together the butter, brown sugar, and granulated sugar until smooth and light.
Add the eggs one at a time, mixing after each addition. Add the vanilla.
Mix Dry Ingredients: In a separate bowl combine the dry ingredients: salt, baking soda, baking powder, flour and rolled oats.
Combine: Add dry ingredients to the creamed mixture and stir until combined. Stir in chocolate chips.
Bake: Press into prepared pan and bake for 25 to 30 minutes or until golden brown. Allow to cool completely before cutting.",11,"▢ 1 cup butter, (227g), room temperature","▢ 1 cup light brown sugar, (220g), packed","▢ 1/2 cup granulated sugar, (100g)",▢ 2 large eggs,▢ 2 teaspoons vanilla extract,▢ 1/2 teaspoon salt,▢ 1 teaspoon baking soda,Tastes Better from Scratch,https://tastesbetterfromscratch.com/oatmeal-chocolate-chip-cookie-bars/,▢ 1 teaspoon baking powder,"▢ 1 1/2 cups all-purpose flour, (188g)","▢ 2 cups old-fashioned rolled oats, (170g)","▢ 2 cups chocolate chips, (340g) semi-sweet, milk chocolate, or a little of both!",NA,NA,NA,NA,NA,NA,NA,NA
Monster Cookies,Lauren Allen,4.89,1103,Dessert,15 minutes,10 minutes,NA,Total: 25 minutes mins,NA,7,"Preheat oven to 350 degrees F.
Cream the butter and sugar together really well—at least 2-3 minutes until light and fluffy.
Add peanut butter and mix well. Add egg and vanilla and mix.
In a separate mixing bowl stir together the flour (be careful to measure correctly, spooning the flour into a measuring cup, then leveling off), oats, salt, baking powder and baking soda.
Add to the wet mixture and mix to combine. Stir in chocolate chips and M&M’s.
Bake at 350 degrees for 10-12 minutes, or a little longer if you make them bigger than a 1 inch cookie scoop. Don't over bake--they will look just set. 
Remove them from the oven and allow them to cool completely on the pan.",13,▢ 1/2 cup butter,▢ 1/2 cup granulated sugar,▢ 1/2 cup light brown sugar,▢ 1/2 cup peanut butter,▢ 1 egg,▢ 1 teaspoon vanilla extract,▢ 1 cup all-purpose flour,Tastes Better from Scratch,https://tastesbetterfromscratch.com/monster-cookies/,▢ 1 1/4 cups old-fashioned rolled oats,▢ 1/4 teaspoon salt,▢ 1/2 teaspoon baking powder,▢ 1/2 teaspoon baking soda,▢ 3/4 cup M&M candies,▢ 1/2 cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookies,Lauren Allen,4.83,167,Dessert,15 minutes,12 minutes,NA,Total: 27 minutes mins,NA,6,"Heat oven to 350 degrees F* (see note about oven temp). Line a baking sheet with parchment paper or a silpat baking mat.
Melt the butter for about 45 seconds in the microwave, until it's almost completely melted. Remove and stir it, allowing any remaining butter to melt. Allow the butter to cool until it's almost room temperature, but still a liquid.
Add melted butter and both sugars to a mixing bowl and mix until well combined. Add the egg, egg yolk, and vanilla and stir combined. 
 In a medium bowl mix together flour, salt, and baking soda. 
Stir the dry ingredients into the bowl with the wet ingredients and begin to mix. Add chocolate chips, stirring just until combined. The dough will be soft. Refrigerate dough for 30 minutes or up to 2 days (or freeze for longer). 
Scoop dough into balls and place on a cookie sheet. Bake for 8-14 minutes (depending on size) or until set on top. Cool for 10-15 minutes on a baking sheet before moving to a wire cooling rack. ",9,▢ 2 cups + 2 Tablespoons all-purpose flour,▢ 1/2 teaspoon baking soda,▢ 1/2 teaspoon salt,"▢ 12 Tablespoons butter, (1 ½ sticks) melted and cooled until warm",▢ 1 cup light brown sugar,▢ 1/2 cup granulated sugar,▢ 1 large + 1 egg yolk egg,Tastes Better from Scratch,https://tastesbetterfromscratch.com/perfect-chocolate-chip-cookies/,▢ 2 teaspoons vanilla extract,"▢ 1 1/2 cups semi-sweet chocolate chips, (or milk chocolate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranger Cookies (Cowboy Cookies),Lauren Allen,4.97,128,Dessert,10 minutes,10 minutes,NA,Total: 20 minutes mins,24 cookies,5,"Preheat oven to 350 degrees F (180 degrees C). Line two baking sheets with parchment paper.
In a large bowl or in the bowl of a stand mixer, cream the butter and sugars together. Add eggs and vanilla then mix until incorporated. 
Add flour, baking powder, baking soda, salt, and oats then stir well to combine. Stir in corn flakes and chocolate chips.
Scoop cookie dough into 24 balls (about 3-Tablespoons-size/55 grams)and place on prepared cookie sheets. 
Bake at 350 degrees F (180 degrees C) for 10-15 minutes or until set on the top.",12,"▢ 1 cup granulated sugar, (120g)","▢ 1 cup light brown sugar, (220g)","▢ 1 cup butter, (227g), softened",▢ 2 large eggs,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon baking powder,▢ pinch of salt,Tastes Better from Scratch,https://tastesbetterfromscratch.com/ranger-cookies/,▢ 1 teaspoon vanilla extract,"▢ 2 cups old-fashioned rolled oats, (170g)","▢ 2 cups cornflakes cereal*, (56g)","▢ 2 cups all-purpose flour, (250g)","▢ 6 ounces chocolate chips, (170g), milk or semi-sweet",NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Cookies,Lauren Allen,4.89,53,Dessert,15 minutes,11 minutes,NA,Total: 26 minutes mins,NA,5,"Preheat oven to 350 degrees F. Line a baking sheet with parchment paper. Set aside.
In a large mixing bowl or stand mixer cream together the butter and sugars.  Add the eggs and vanilla and mix until smooth.
Add the oats to a blender and blend until they're the texture of flour. In a separate bowl, combine the flour, blended oats, salt, baking powder, and baking soda.
Gently mix the dry ingredients into the wet ingredients. Stir in the chocolate chips.
Scoop cookies onto prepared baking sheet. Bake at 350 degrees F for 9-11 minutes (a little longer for larger cookie scoops) or until the tops of the cookies are set. Cookies will set up as they cool, so don't over-bake them. Allow them to cool on the baking sheet for a few minutes before transferring them to a cooling rack to cool completely.",11,"▢ 1 cup unsalted butter, , room temperaure",▢ 1 cup granulated sugar,▢ 1 cup light brown sugar,▢ 2 large eggs,▢ 1 teaspoon vanilla extract,▢ 2 1/2 cups old-fashioned rolled oats,▢ 2 cups all-purpose flour,Tastes Better from Scratch,https://tastesbetterfromscratch.com/mrs-fields-oatmeal-chocolate-chip-cookies-2/,▢ 1/2 teaspoon salt,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,"▢ 12 ounce bags semi-sweet chocolate chips, , or milk chocolate",NA,NA,NA,NA,NA,NA,NA,NA
Jumbo Chocolate Chip Cookies,Lauren Allen,4.96,133,Dessert,20 minutes,15 minutes,NA,Total: 35 minutes mins,20 cookies,9," Preheat oven to 375 F. Line a cookie sheet with parchment paper or silplat mat.
Combine flour, baking powder, baking soda and salt in medium bowl; set aside.
Add butter, sugar and brown sugar to a large mixing bowl or stand mixer and beat well until creamed together
Add eggs and vanilla and mix until combined
Gradually mix in the flour and mix until combined
Stir in chocolate chips
Use a ¼ cup measuring cup to scoop spoonfuls of dough onto prepared cooke sheet, about 2 inches apart
Bake for 12 to 15 minutes or just until light golden brown around the edges. (Do not over bake.)
Let stand 1 minute on cookie sheet, then transfer to cooling rack to cool completely",10,▢ 4 cups all-purpose flour,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ 3/4 teaspoon salt,"▢ 1 1/2 cups butter, , softened",▢ 1 cup granulated sugar,"▢ 1 1/2 cups light brown sugar, , firmly packed",Tastes Better from Scratch,https://tastesbetterfromscratch.com/jumbo-chocolate-chip-cookies/,"▢ 2 eggs, , room temperature",▢ 1 Tablespoon vanilla extract,"▢ 2 cups chocolate chips, (I use 1 cup mini chocolate chips and 1 cup chocolate chunks",NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Skillet Cookie,Lauren Allen,4.95,232,Dessert,10 minutes,25 minutes,NA,Total: 35 minutes mins,NA,9,"Heat oven to 325 degrees F.
Add butter to a microwave safe bowl and microwave for about 45 seconds, or until most of it has melted. Allow it to cool for a few minutes.
Add melted butter, granulated sugar and brown sugar to a medium bowl and beat with an electric mixer until well blended. 
Add the egg, egg yolk, and vanilla and mix until combined. 
Stir in the flour, baking soda, and salt, just until combined. Gently stir in the chocolate chips.
Press the cookie dough into a 10’’ or 12’’ cast iron skillet (or a regular, oven-safe skillet would work). 
Bake for 28-35 minutes or until it looks just barely golden. Don’t over-bake it, especially since it will continue to cook in the hot skillet when you take it out of the oven. 
Allow to cool in the skillet for at least 20-30 minutes before cutting.
Slice cookie into pieces and serve warm with a scoop of vanilla ice cream, if desired.",10,"▢ 12 Tablespoons butter, 1 ½ sticks melted and cooled until warm (170 g)","▢ 1 cup light brown sugar, (200 g)","▢ 1/2 cup granulated sugar, (100 g)",▢ 1 large egg,▢ 1 egg yolk,"▢ 2 teaspoons vanilla extract, (10 ml)","▢ 2 cups + 2 Tablespoons all-purpose flour, (255 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/chocolate-chip-skillet-cookie/,"▢ 1/2 teaspoon baking soda, (2.5 g)","▢ 1/2 teaspoon salt, (3 g)","▢ 1 1/2 cups semi-sweet chocolate chips, (I use half semi-sweet and milk chocolate (255 g)",NA,NA,NA,NA,NA,NA,NA,NA,NA
Browned Butter Chocolate Chip Cookies,Lauren Allen,4.97,30,Dessert,20 minutes,20 minutes,Cool: 45 minutes mins,Total: 40 minutes mins,NA,6,"Brown Butter: Place ½ cup (1 stick) of butter in a medium skillet. Melt over medium heat, swirling the pan frequently, as it begins to foam and froth and develop a nutty smell. Once it turns light golden/amber colored, remove from heat and pour into a small bowl. Allow it to cool to room temperature before making the cookie dough.
Cookie Dough: Add remaining stick of butter to a mixing bowl with brown sugar and mix for 3 minutes, until fluffy and smooth. Add granulated sugar, cooled browned butter and vanilla extract and mix well. Add egg and egg yolk and mix. Add the flour, salt, baking powder, and baking soda, mixing on low speed just until incorporated. Stir in chocolate chunks.
Chill dough: Cover the dough with plastic wrap and refrigerate for at least 20 minutes. Preheat oven to 350°F and line two baking sheets with parchment paper.
Scoop 2 tablespoon-size portions of dough and roll into balls. Place on prepared baking sheets, 2 inches apart.
Bake for 11 to 14 minutes, or until just barely golden on the edges. 
Remove from oven and cool on the baking sheet for 5 minutes before transferring to a wire cooling wrack to cool completely. Sprinkle the tops with a sea salt or flake salt, if desired. ",13,"▢ 1 cup unsalted butter, (2 sticks), room temperature (227 g)","▢ 1 cup light brown sugar, , packed(200 g)","▢ 2 teaspoons vanilla extract, (10 ml)","▢ 1/2 cup granulated sugar, (100 g)",▢ 2 large eggs,▢ 1 large egg yolk,"▢ 2 1/4 cups all-purpose flour, (280 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/browned-butter-chocolate-chunk-cookies/,"▢ 1 teaspoon salt, (5 g)","▢ 1 teaspoon baking soda, (5 g)","▢ ¼ teaspoon baking powder, (1 g)","▢ 1 cup semi-sweet chocolate chips, (175 g)","▢ ½ cup chocolate chunks, (85 g)","▢ fine sea salt, , or finishing salt for topping",NA,NA,NA,NA,NA,NA
