title,author,dateinfo,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Pie Crust Cookies,Julie Clark,Posted: 12/13/2025,5,1,Cookies,American,"christmas cookies, easy cookie recipes",15 minutes,10 minutes,NA,25 minutes,24,6,"Preheat the oven to 350ºF.
Sift the flour and salt into a large bowl. Cut in the shortening and the butter to the dry ingredients until the flour mixture resembles coarse crumbs. 3 cups all-purpose flour, ½ teaspoon salt, ½ cup shortening, ½ cup cold unsalted butter
Mix the water and vinegar together in a cup. Add the mixture to the crumbs. Mix together just until the dough is combined and handles well. ½ cup ice cold water, 1 tablespoon white vinegar
Sprinkle flour on the counter before rolling out the dough. Split the dough into two discs. Roll out one disc on a floured surface to between 1/8-1/4"" thick. Use cookie cutters to cut shapes. Then repeat with the other disc and re-roll any scraps.
Place cookies on a parchment paper lined baking sheet. Sprinkle the tops with sugar and cinnamon, if desired. granulated sugar and cinnamon
Bake for 10-12 minutes, depending on how big the cookies are and how thick they are. I don't let them get browned, which will ensure they are soft.",7,3 cups all-purpose flour 390 grams,1/2 teaspoon salt,1/2 cup shortening,1/2 cup cold unsalted butter,1/2 cup ice cold water,1 tablespoon white vinegar,granulated sugar and cinnamon for sprinkling on the top,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pie-crust-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Fashioned Pecan Tassies,Julie Clark,Posted: 12/1/2025,4.64,30,Cookies,American,"christmas cookies, pecan pie recipes",30 minutes,18 minutes,NA,48 minutes,36,6,"In a small bowl, use hand mixer to cream together the butter and cream cheese until well combined. Add the flour and mix until smooth. ¾ cup salted butter, 5 ounces cream cheese, 1 ½ cups all-purpose flour
Spray three mini muffin pans (36 tarts total) with cooking spray. Using a mini cookie scoop, scoop dough balls into the muffin pans, dividing the dough between the 36 cups evenly. Refrigerate the dough while making the filling.
In a medium bowl, mix together the brown sugar, melted butter, eggs, maple extract and finely chopped pecans. 1 ½ cups dark brown sugar, 2 tablespoons salted butter, 2 large eggs, ½ teaspoon maple extract, ½ cup finely chopped pecans
Preheat the oven to 350ºF. After the tarts have refrigerated about 15 minutes, remove one pan from the fridge. Press the dough on the bottom and up the sides of each muffin cavity to create a “cup” with the dough. After the first pan is done, remove the other pan and do the same. (I use the end of a wooden kitchen tool to start the process and make it a little faster. Then use my fingers to finish forming the cups.)
Fill the dough shells ⅔ full with the filling. (They rise slightly so if you fill them too much they will overflow.) Place a pecan half on top of each cup. 36 pecan halves
Bake for 18 minutes or until the tarts are golden brown on top. Allow the tarts to cool, then loosen them with a small knife and remove to a cooling rack.",9,3/4 cup salted butter room temperature,5 ounces cream cheese room temperature,1 1/2 cups all-purpose flour,1 ½ cups dark brown sugar,2 tablespoons salted butter melted,2 large eggs,½ teaspoon maple extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pecan-tassies/,½ cup finely chopped pecans,36 pecan halves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cookies with Icing,Julie Clark,Posted: 11/8/2025,4.75,8,Cookies,American,"canned pumpkin recipe, easy cookie recipes, thanksgiving",20 minutes,10 minutes,NA,30 minutes,31,8,"Preheat the oven to 350º Fahrenheit. Line 2 baking sheets with silicone baking mats or parchment paper. I use a dark baking sheet which makes the cookies slightly taller with a firmer bottom. If you use a light baking sheet, the cookies will spread a little more and be softer.
In a large mixing bowl, use an electric mixer on medium speed to cream together the sugar, butter and egg. Mix until well blended. Add the pumpkin and mix until combined. 1 cup packed brown sugar, 1 cup unsalted butter*, 1 large egg, 1 cup solid pack pumpkin purée
In a small bowl, whisk together the flour, baking soda, baking powder, salt, cinnamon and pumpkin pie spice. 2 cups all-purpose flour, 1 teaspoon baking soda , 1 teaspoon baking powder , ½ teaspoon salt , 1 teaspoon cinnamon , 1 teaspoon pumpkin pie spice
Add the dry ingredients to the wet ingredients and stir until combined, scraping the sides of the bowl as needed. The batter will be like thick cake batter.
Use an cookie scoop to dollop cookie batter onto the prepared baking sheets. Don’t flatten them, just leave them in the little ball that the cookie scoop makes them in.
Bake for 10-11 minutes or until the cookies are baked through. The darker sheet may be closer to 10 minutes, a lighter sheet may need a minute or two longer. Allow the cookies to cool for 5 minutes on the baking pan, then move to a wire rack to finish cooling.
In a small bowl, melt the butter. Add the milk and vanilla extract. Whisk these ingredients together. Add the powdered sugar and whisk until well combined. The icing will be a little runny so that it can easily cover the top of the cookies. 2 tablespoons unsalted butter , 2-3 tablespoons 2% milk, 1 teaspoon vanilla extract, 1 ½ cups powdered sugar
Spoon or drizzle the icing overtop the cookies. Allow the cookies to set, then store them in an airtight container at room temperature.",14,1 cup packed brown sugar,1 cup unsalted butter* room temperature,1 large egg,1 cup solid pack pumpkin purée,2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon baking powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-cookies/,½ teaspoon salt,1 teaspoon cinnamon,1 teaspoon pumpkin pie spice,2 tablespoons unsalted butter melted,2-3 tablespoons 2% milk,1 teaspoon vanilla extract,1 1/2 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Oatmeal Chocolate Chip Bars,Julie Clark,Posted: 11/6/2025,NA,NA,Cookies,American,"canned pumpkin recipe, cookie bars, easy pumpkin recipes",15 minutes,30 minutes,NA,45 minutes,18,4,"Preheat the oven to 350º F. Spray a 9×13-inch baking dish with cooking spray. Line with parchment paper if desired.
In a large mixing bowl, use an electric mixer to cream the butter and sugar together for 2-3 minutes. Add in the pumpkin puree, molasses and vanilla. Mix for another 2 minutes. 1 cup salted butter, 1 ¾ cups light brown sugar, ½ cup solid pack pumpkin puree, 1 tablespoon molasses, 1 teaspoon vanilla extract
Add the flour, pumpkin pie spice, salt, baking soda, baking powder and quick oats. Mix until combined. The batter will be very thick. Fold in the chocolate and pumpkin spice baking chips. 2 ½ cups all-purpose flour, 1 ½ tablespoons pumpkin pie spice, 1 teaspoon salt, 1 teaspoon baking soda, 1 teaspoon baking powder, 1 ½ cups quick cook oats, 1 cup dark chocolate chips, 1 cup Nestle pumpkin spice baking chips
Spread the cookie dough in the prepared pan. Press extra baking chips into the top of the bars. Bake for 30 minutes or until the edges are golden brown and the bars look slightly puffed all over. The bars will be very gooey right when they come out of the oven. Allow them to cool slightly before you slice them. Extra baking chips, Flaky sea salt",15,1 cup salted butter room temperature,1 3/4 cups light brown sugar,½ cup solid pack pumpkin puree,1 tablespoon molasses,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1 ½ tablespoons pumpkin pie spice,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-oatmeal-chocolate-chip-bars/,1 teaspoon salt,1 teaspoon baking soda,1 teaspoon baking powder,1 1/2 cups quick cook oats,1 cup dark chocolate chips,1 cup Nestle pumpkin spice baking chips,Extra baking chips for topping,Flaky sea salt for topping,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Spice Chocolate Chip Cookies,Julie Clark,Posted: 11/3/2025,NA,NA,Cookies,American,"chocolate chip cookies, pumpkin cookies",10 minutes,20 minutes,NA,30 minutes,27,6,"Preheat the oven to 375º Fahrenheit. Cover light colored baking sheets with parchment paper.
In a large bowl, melt the butter. You don't want it super hot and boiling. Just melt it mostly and then stir until any leftover butter chunks melt in. 1 cup salted butter
Add the brown sugar and pumpkin to the melted butter. Mix well until they are both incorporated into the butter and the mixture is smooth and even. Add the molasses and vanilla. Mix again. 1 cup light brown sugar, ¼ cup pumpkin puree, 1 tablespoon molasses, 2 teaspoons vanilla extract
Add the flour (Measure it carefully! Do not pack it into the cup.), pumpkin pie spice, cornstarch, baking soda and salt. Mix just until combined. Fold in the chocolate chips and pumpkin spice chips. Scoop cookies with a 1 1/2"" cookie scoop onto prepared cookie sheets (about 2 ½ to 3 tablespoons for each cookie) The cookies will spread slightly so don't pack them too close. 2 ½ cups all-purpose flour*, 1 tablespoon pumpkin pie spice, ½ tablespoon cornstarch, 1 teaspoon baking soda, ¼ teaspoon salt**, 1 cup dark chocolate chips, 1 cup Nestle pumpkin spice baking chips
Press the extra baking chips in the tops of the cookies. This gives them a pretty look. Bake for 7-8 minutes until the edges are set. Do not overbake.
Sprinkle the tops of the cookies with sea salt right as they come out of the oven. This is optional, but gives that sweet and salty flavor. Allow to cool a few minutes on the pan before transferring to a cooling rack.",12,1 cup salted butter,1 cup light brown sugar,¼ cup pumpkin puree,1 tablespoon molasses,2 teaspoons vanilla extract,2 1/2 cups all-purpose flour*,1 tablespoon pumpkin pie spice,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-spice-chocolate-chip-cookies/,1/2 tablespoon cornstarch,1 teaspoon baking soda,1/4 teaspoon salt**,1 cup dark chocolate chips,1 cup Nestle pumpkin spice baking chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Sheet Cake Cookies,Julie Clark,Posted: 10/22/2025,NA,NA,Cookies,American,"chocolate cookies, EASY COOKIE RECIPE",15 minutes,10 minutes,Cool Time 10 minutes minutes,35 minutes,12,7,"Set your oven to 350°F and line two cookie sheets with parchment paper.
Add the butter into a small saucepan and heat over medium-low until the butter is about half melted. Whisk in the cocoa powder and slowly stir continuously until the butter is fully melted and the powder is totally incorporated. Remove from heat and set aside.
Combine the sugar, egg, vanilla extract and sour cream in a mixing bowl until totally smooth. Slowly pour in the cocoa butter mixture and gently stir to combine.
In a larger bowl, add the flour, baking soda and salt and whisk together. Pour in the wet mixture and whisk together until just combined. Do not overmix. The mixture will thicken and should resemble a cross between cake batter and brownie batter.
Scoop 6 even portions of cookie dough onto two separate baking sheets (for a total of 12 cookies), leaving at least 2 inches of space between cookies as they will spread. I highly recommend using a 2 tablespoon cookie scoop, so that your cookies are the same size. Bake cookies in two batches. Bake in the preheated oven for 8-9 minutes, until the tops are uniform in color and the edges hold shape. Leave them on the sheet for 5-7 minutes and then move them to a wire rack.
Prepare the ganache while the cookies are cooling. Place the chocolate chips and butter into a heat safe mixing bowl. Heat the heavy cream in a microwave for about 1 minute and 30 seconds. The cream should be hot but frothing. Pour the heavy cream over the chocolate and wait 2 minutes. Then stir continuously until the chocolate is fully melted and the ganache is nice and glossy. Stir in the vanilla extract and salt until combined.
Top the cookies with an even sprinkle of chopped, toasted pecans. Then spoon a tablespoon or so of ganache over the pecans and cookies. Allow the ganache to set and cool for a few minutes before serving.",15,1/2 cup unsalted butter,1/4 cup unsweetened cocoa powder,3/4 cup granulated sugar,1 large egg,1 teaspoon pure vanilla extract,1/4 cup sour cream,1 cup all-purpose flour,Tastes of Lizzy T,https://www.tastesoflizzyt.com/texas-sheet-cake-cookies/,1/2 teaspoon baking soda,1/4 teaspoon salt,1/2 cup semi-sweet chocolate chips,2 tablespoons unsalted butter,1/2 cup heavy cream,1/2 teaspoon pure vanilla extract,Pinch of salt,"1/4 chopped pecans toasted, or walnuts",NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Brownie Cookies,Julie Clark,Posted: 8/22/2025,4.61,224,Cookies,American,"brownie cookies, chocolate peanut butter cookies, make cookies from brownie mix",30 minutes,12 minutes,NA,42 minutes,24,6,"Heat oven to 350ºF. Line a baking sheet with parchment paper or a silicone baking mat.
In a medium mixing bowl, beat the brownie mix, almost melted butter, cream cheese, and egg using a hand mixer. The dough will be a little sticky. Use a cookie scoop to scoop the dough onto the prepared baking sheet, making about 24 cookie dough balls. Smooth the edges of each to form a round dough ball. 1 box fudge brownie mix, ¼ cup salted butter, 4 ounces cream cheese, 1 large egg
Bake for the cookies 12 minutes, keeping an eye out to make sure the cookies don't overcook or undercook.
While the cookies are baking, make the peanut butter filling. In a separate bowl, use a hand mixer to mix the powdered sugar and the peanut butter until it is completely combined. Form the mixture into 24 balls, about 1 inch each. You should have one ball for each cookie. Set aside. 1 cup powdered sugar, 1 cup creamy peanut butter
As soon as the cookies come out of the oven, press a peanut butter ball lightly into the center of each cookie. The peanut butter mixture will soften slightly, but that is OK. Let the cookies cool for 5 minutes, then transfer them to a wire rack to cool completely.
Place the chocolate into a glass microwave-safe bowl. Melt the chocolate in the microwave for 30 seconds. Stir, then melt for additional 15 second-intervals or until the chocolate is completely melted. Spoon about ½ a tablespoon of melted chocolate on top of each cookie so it covers the peanut butter ball. Let the chocolate set. 4 ounces dark chocolate melting wafers",7,1 box fudge brownie mix (19.5 ounce or family size),1/4 cup salted butter melted,4 ounces cream cheese softened,1 large egg,1 cup powdered sugar,1 cup creamy peanut butter,4 ounces dark chocolate melting wafers or dark / semi-sweet chocolate chips,Tastes of Lizzy T,https://www.tastesoflizzyt.com/buckeye-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Pan Cookies,Julie Clark,Posted: 4/22/2025,5,2,Cookies,American,"cookie bars, EASY COOKIE RECIPE",10 minutes,20 minutes,NA,30 minutes,32,6,"Preheat the oven to 350ºF. Line a half sheet pan (13×18”) with parchment paper and spray with cooking spray.
Melt the butter in a large mixing bowl. Add the sugars and vanilla. Stir to mix well. Add in the eggs and mix again. 1 ½ cups salted butter, 1 cup granulated sugar, 1 cup packed brown sugar, 2 teaspoons vanilla extract, 3 large eggs
Add the flour, baking soda and salt. Mix again just until barely combined. 3 &frac13; cups all-purpose flour, 2 teaspoons baking soda, 1 teaspoon salt
Mix in the chocolate chips and continue to mix until the cookie dough is evenly mixed. 3 cups semi-sweet chocolate chips
Carefully spread the dough into the prepared pan, pressing it to be in an even layer. Sprinkle extra chocolate chips on top if desired.
Bake for 18-20 minutes, until golden brown on top and to the desired doneness you’d like.",9,1 1/2 cups salted butter melted,1 cup granulated sugar,1 cup packed brown sugar,2 teaspoons vanilla extract,3 large eggs,3 1/3 cups all-purpose flour,2 teaspoons baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/sheet-pan-cookies/,1 teaspoon salt,3 cups semi-sweet chocolate chips plus extra for topping if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Bars,Julie Clark,Posted: 2/24/2025,5,4,Cookies,American,"chocolate chip cookie bars, cookie bars, oatmeal bars",15 minutes,30 minutes,NA,45 minutes,18,5,"Preheat the oven to 350º F. Spray a 9×13-inch baking dish with cooking spray. Line with parchment paper if desired.
In a large mixing bowl, use an electric mixer to cream the butter and sugar together for 2-3 minutes. Add in the eggs and vanilla. Mix for another 2 minutes. 1 cup salted butter, 2 &frac13; cups light brown sugar, 2 large eggs, 1 teaspoon vanilla extract
Add the flour, salt, baking soda, baking powder and quick oats. Mix until combined. The batter will be very thick. Fold in the chocolate chips. 2 ½ cups all-purpose flour, 1 teaspoon salt, 1 teaspoon baking soda, 1 teaspoon baking powder, 1 ½ cups quick cook oats, 2 cups mini chocolate chips
Spread the cookie dough in the prepared pan. Press extra chocolate chips into the top of the bars. ¼ cup semi-sweet chocolate chips
Bake for 30 minutes or until the edges are golden brown and the bars look slightly puffed all over. The bars will be very gooey right when they come out of the oven. Allow them to cool slightly before you slice them.",11,1 cup salted butter room temperature,2 1/3 cups light brown sugar,2 large eggs,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1 teaspoon salt,1 teaspoon baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/oatmeal-chocolate-chip-bars/,1 teaspoon baking powder,1 1/2 cups quick cook oats,2 cups mini chocolate chips,¼ cup semi-sweet chocolate chips for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Monster Cookies,Julie Clark,Posted: 2/18/2025,4.82,16,Cookies,American,"apple dessert, bake sale",20 minutes,10 minutes,NA,30 minutes,72,6,"Preheat oven to 350ºF.
In a large bowl, use a hand mixer to cream together the butter, sugars, and peanut butter until smooth. 1 cup salted butter, 2 cups granulated sugar, 2 cups light brown sugar, 3 cups peanut butter
Beat in the eggs, two at a time. Stir in the corn syrup and vanilla. 6 large eggs, 1 ½ teaspoons corn syrup, 1 ½ teaspoons vanilla extract
Mix in baking soda and oats until well blended. Then fold in the Peanut Butter M&Ms and chocolate chips. 4 teaspoons baking soda, 9 cups quick cook oats, 2 cups Peanut Butter M&M’s, 2 cups semi-sweet chocolate chips
Use a cookie scoop to put large 2-inch cookie dough balls on a parchment lined baking sheet pan. If you like a flat cookie, flatten the dough slightly. If you'd like the cookie thick and rounded, just leave the dough in a ball. Press extra candy pieces or chocolate chips in the tops of the cookies for a pretty look. This is optional.
Bake for 10 to 12 minutes. After cooling for a few minutes on the cookie sheet for 5 minutes, transfer them to wire racks to cool completely.",11,1 cup salted butter room temperature,2 cups granulated sugar,2 cups light brown sugar,3 cups peanut butter,6 large eggs,1 1/2 teaspoons corn syrup,1 1/2 teaspoons vanilla extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-mm-monster-cookies/,4 teaspoons baking soda,9 cups quick cook oats,2 cups Peanut Butter M&M’s,2 cups semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
