title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29
Stuffed Chocolate Chip And Hazelnut Cookies Recipe,Jennine Rye,Cookie Recipes,5,1,NA,"Prep Time
3.25
hours","Cook Time
12
minutes",NA,"Total time: 3 hours, 27 minutes","servings
20
cookies",20,"Line a plate or baking sheet that will comfortably fit into your freezer with baking paper.
Scoop out 20 heaped teaspoons of Nutella onto the prepared baking sheet.
Place the baking sheet into the freezer for an hour to harden the Nutella.
To make the cookie dough, start by whisking together the flour, baking powder, baking soda, and salt.
In a separate bowl or stand mixer combine the melted butter, brown sugar, and white sugar.
Beat in the eggs and the vanilla extract.
Mix in the whisked flour until just combined to form a cookie dough.
Mix in the chocolate chips and the chopped hazelnuts, reserving a small amount of each addition to top the cookies at the end.
Place the cookie dough into the fridge to harden for at least 1 hour.
Scoop heaped tablespoons of cookie dough and form them into flattened disk shapes.
Working swiftly so it doesn't melt, place the frozen Nutella dollops into the centre of each flattened cookie disk.
Roll the cookie dough into balls around the frozen Nutella, encasing it in the center of each cookie dough ball.
Repeat this process with all the dough and Nutella.
Top the balls with a sprinkling of extra chocolate chips and chopped hazelnuts.
Place the cookie dough balls into the freezer for 45 minutes.
Preheat the oven to 375 F.
Prepare baking sheets with baking paper.
Transfer the cookie dough balls from the freezer onto the prepared baking sheets, leaving at least 2 inches between each cookie.
Bake the cookies for 11 to 12 minutes until they begin to turn golden at the edges.
Cool the cookies completely before serving.",12,20 heaped teaspoons Nutella (about 1 ½ cups),3 cups all-purpose flour,1 teaspoon baking powder,1 teaspoon baking soda,½ teaspoon salt,"¾ cup + 2 tablespoons unsalted butter, melted",¾ cup packed brown sugar,¾ cup white sugar,"2 large eggs, room temperature",1 tablespoon vanilla extract,1 cup semisweet chocolate chips or chunks,¾ cup chopped hazelnuts,Tasting Table,https://www.tastingtable.com/2072483/stuffed-chocolate-chip-hazelnut-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Bark Cookie Bars Recipe,Ksenia Prints,Dessert Recipes,5,9,NA,"Prep Time
2.67
hours","Cook Time
25
minutes",NA,"Total time: 3 hours, 5 minutes","servings
20
bars",19,"Preheat oven to 350 F.
Line a 9x13-inch pan with parchment paper, leaving some overhang.
To start the cookie bars, whisk the flour, cocoa powder, baking soda, and salt in a bowl.
In a separate bowl, use an electric mixer to cream the butter and both sugars until light and fluffy, about 3-4 minutes.
Beat the eggs into the creamed butter one at a time, followed by the vanilla.
Mix in flour mixture on low speed until just combined.
Fold in the dark chocolate chunks.
Press dough evenly into the prepared pan.
Bake for 25-28 minutes, until the edges are set and the center is just firm. Let cool completely in the pan.
To start the frosting, microwave the chopped white chocolate in 30-second intervals, stirring between each, until melted and smooth. Let cool for 10 minutes.
Meanwhile, beat the butter until creamy, about 2 minutes.
Beat in the melted and cooled white chocolate.
Add the powdered sugar, vanilla extract, peppermint extract, and salt. Beat on low until combined.
Add the cream, 1 tablespoon at a time, beating until the mixture is spreadable. Add an extra tablespoon of cream if needed to get the proper frosting consistency.
Fold in the crushed candy canes, reserving about 2 tablespoons for garnish.
Spread the frosting evenly over the cooled cookie base.
Refrigerate for 2-3 hours, until set.
Lift bars from the pan using the parchment overhang. Cut into 20 bars with a sharp knife, wiping the blade between cuts if needed.
Finish by sprinkling with remaining crushed candy canes.",20,For the cookie bars,1¾ cups all-purpose flour,½ cup Dutch-process cocoa powder,½ teaspoon baking soda,½ teaspoon salt,"¾ cup unsalted butter, room temperature",¾ cup granulated sugar,¾ cup packed light brown sugar,2 large eggs,2 teaspoons vanilla extract,"8 ounces dark chocolate, coarsely chopped",For the white chocolate peppermint frosting,Tasting Table,https://www.tastingtable.com/2055771/peppermint-bark-cookie-bars-recipe/,"8 ounces white chocolate, coarsely chopped","½ cup unsalted butter, room temperature",3 cups powdered sugar,1 teaspoon vanilla extract,½ teaspoon peppermint extract,¼ teaspoon salt,3 tablespoons heavy cream,½ cup crushed candy canes,NA,NA,NA,NA,NA,NA,NA,NA,NA
High-Protein Chocolate Brownies,Ksenia Prints,Vegan Recipes,5,40,NA,"Prep Time
10
minutes","Cook Time
25
minutes",NA,Total time: 35 minutes,"servings
16
Squares",8,"Heat the oven to 350 F.
Prepare an 8x8-inch pan with parchment paper.
Blend the black beans and tofu in a food processor until smooth, for about 3 minutes.
Add the oil, vanilla, cocoa, sugar, baking powder, salt, and coffee, if using. Process until uniform.
Stir in the chocolate chips and walnuts.
Transfer the batter to a pan and smooth the surface. Dot with more chocolate chips and walnuts.
Bake for 22-25 minutes until the center is just set.
Cool fully before slicing and serving the high-protein chocolate brownies.",11,"1 (15-ounce) can black beans, drained and rinsed",9 ounces silken tofu,3 tablespoons vegetable oil,1 teaspoon vanilla,¼ cup cocoa powder,⅔ cup granulated sugar,½ teaspoon baking powder,¼ teaspoon salt,½ teaspoon instant coffee (optional),"½ cup vegan chocolate chips, plus more, for topping","½ cup chopped walnuts, plus more, for topping",NA,Tasting Table,https://www.tastingtable.com/2043571/vegan-gluten-free-high-protein-chocolate-brownies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vintage Coconut Cookies Recipe,Ksenia Prints,Cookie Recipes,5,29,NA,"Prep Time
50
minutes","Cook Time
30
minutes",NA,"Total time: 1 hour, 20 minutes","servings
12
Cookies",14,"Preheat oven to 350 F.
Line two baking sheets with parchment paper.
Toast the coconut in a dry skillet until golden, about 4 minutes.
Transfer it to a baking sheet to cool completely.
Whisk the flour, salt, baking soda, and baking powder in a medium bowl.
Cream the butter and both sugars for 3 minutes until light and fluffy.
Mix in the egg, vanilla, and rum until just combined.
Add the dry ingredients and 1 ½ cups toasted coconut, mixing until just combined.
Scoop 1 ½ tablespoon portions onto the prepared baking sheets and flatten each cookie slightly.
Roll each cookie in the reserved coconut, coating them all sides, and arrange them on the baking sheets, spacing them 2 inches apart.
Chill for 30 minutes.
Bake one sheet at a time for 13-15 minutes until golden brown at edges.
Cool on the pan for 15 minutes before transferring to a wire rack.
Serve the coconut cookies.",11,"2 cups unsweetened shredded coconut, divided",1 ½ cups all-purpose flour,½ teaspoon salt,¼ teaspoon baking soda,½ teaspoon baking powder,"¾ cup unsalted butter, softened",½ cup light brown sugar,½ cup granulated sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,2 tablespoons coconut rum,NA,Tasting Table,https://www.tastingtable.com/2023894/vintage-coconut-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mini Apple Pie Cookies Recipe,Michelle McGlinn,Cookie Recipes,5,25,NA,"Prep Time
15
minutes","Cook Time
10
minutes",NA,Total time: 25 minutes,"servings
12
Cookies",12,"Preheat the oven to 350 F.
In a large bowl, whisk together the flour, baking soda, ½ teaspoon cinnamon, and salt.
In another large bowl, beat 12 tablespoons (1 ½ sticks) butter, granulated sugar, and ¼ cup brown sugar together until fluffy, about 2 minutes. Scrape down the sides of the bowl as needed.
Add the egg, egg yolk, and vanilla and beat until smooth.
Add the dry ingredients to the butter/sugar mixture and beat on low speed until just combined, then switch to a spatula to form a dough.
Scoop heaping 1-inch dough balls onto a parchment-lined baking sheet.
Deeply indent the cookies in the middle using your finger or knuckle to create a well.
Bake until cookies are golden, about 10-12 minutes. Remove from the oven and let cool slightly for 2 minutes.
While the cookies are baking, prepare the apple filling. Add 1 tablespoon butter and ½ teaspoon cinnamon to a skillet over medium heat. Stir to melt and combine.
Stir in the apples, ¼ cup brown sugar, and 1 tablespoon water. Simmer for about 5 minutes, or until softened.
Mix the cornstarch into the remaining 1 tablespoon water and add to the mixture. Stir until thick, about 2 minutes.
While the cookies are still warm, spoon the filling into the wells, pressing down to collapse the centers. Serve warm.",13,2 cups all-purpose flour,¾ teaspoon baking soda,"1 teaspoons cinnamon, divided",½ teaspoon salt,"13 tablespoons butter, room temperature, divided",¾ cup granulated sugar,"½ cup brown sugar, divided",1 egg,1 egg yolk,1 teaspoon vanilla extract,"2 medium apples, peeled, cored, and diced","2 tablespoons water, divided",Tasting Table,https://www.tastingtable.com/2019231/mini-apple-pie-cookies-recipe/,2 teaspoons cornstarch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Cherry Biscotti Recipe,Michelle McGlinn,Cookie Recipes,5,21,NA,"Prep Time
25
minutes","Cook Time
45
minutes",NA,"Total time: 1 hour, 10 minutes","servings
24
Pieces",12,"Preheat the oven to 350 F.
Sift the flour, cocoa powder, baking soda, and salt into a large bowl.
In another bowl, cream the butter and sugar together with an electric beater until fluffy.
Add the vanilla and eggs and beat until incorporated.
Add the dry ingredients into the wet mixture and stir with a spatula until fully combined.
Incorporate the chocolate chunks and cherries.
Turn the mixture onto a floured work surface and knead it into a smooth ball.
Slice the ball in half and roll each half into a log about 10 inches long. Gently pat the tops down to flatten them, making an oblong shape.
Add the flattened logs to a baking sheet about 3 inches apart. Bake for 35 minutes, until hard to touch. If in doubt, overbake slightly.
Remove the biscotti from the oven and let them cool for 5 to 10 minutes, until hardened slightly and cool enough to handle.
Slice the biscotti diagonally and place the pieces on their sides back onto the parchment-lined sheet tray.
Bake until crisp, 10 minutes. Cool completely, then serve.",10,1 ½ cups all-purpose flour,½ cup cocoa powder,1 teaspoon baking soda,½ teaspoon salt,8 tablespoons butter,¾ cup granulated sugar,2 teaspoons vanilla extract,2 eggs,½ cup chocolate chunks,½ cup dried cherries,NA,NA,Tasting Table,https://www.tastingtable.com/1998918/double-chocolate-cherry-biscotti-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Cereal Ice Cream Sandwich Recipe,Ksenia Prints,Dessert Recipes,5,21,NA,"Prep Time
2.75
hours","Cook Time
15
minutes",NA,Total time: 3 hours,"servings
12
Sandwiches",13,"Preheat the oven to 375 F.
Line two 9×13-inch sheet pans with parchment paper.
Mix the flour, baking soda, and salt.
Cream the butter and sugars, and add the eggs and vanilla.
Combine the wet and dry ingredients, and fold in the crushed cornflakes.
Divide the dough between the pans, and press to spread out evenly.
Bake 12-15 minutes until golden. Cool completely.
Mix the softened ice cream with the Fruit Loops.
Spread the ice cream over one cookie sheet, and top with the second sheet.
Freeze for 2 hours.
Cut into rectangles.
Roll the edges of the ice cream sandwiches in crushed Fruit Loops for coating.
Serve immediately or freeze until needed.",15,For the cookie base,2 cups all-purpose flour,¾ teaspoon baking soda,¾ teaspoon salt,"¾ cup + 2 tablespoons butter, softened",½ cup + 2 tablespoons granulated sugar,½ cup + 2 tablespoons brown sugar,2 large eggs,1 ¾ teaspoons vanilla extract,1 cup crushed cornflakes,For the ice cream layer,"1 quart vanilla ice cream, softened",Tasting Table,https://www.tastingtable.com/1991866/double-cereal-ice-cream-sandwich-recipe/,"1 cup Fruit Loops cereal, crushed",For the coating,"2 cups Fruit Loops cereal, crushed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Soft Caramel Cookies Recipe,Jennine Rye,Cookie Recipes,5,31,NA,"Prep Time
2.33
hours","Cook Time
10
minutes",NA,"Total time: 2 hours, 30 minutes","servings
24
Cookies",14,"In a medium-sized bowl, add the flour, baking soda, baking powder, and salt. Whisk together and set aside.
In a large bowl or the bowl of a stand mixer fitted with a paddle attachment, add the butter, brown sugar, and granulated sugar.
Using an electric mixer, cream together the butter and sugars by beating on medium-high, for 2 to 3 minutes until light and fluffy. Scrape the sides with a spatula when necessary.
Add the egg and vanilla extract. Mix well.
Place the whisked flour mixture into the bowl and fold until well combined. 
Toss the cut soft caramels in a bit of flour until evenly coated.
Gently fold the cut and floured caramel pieces into the cookie dough. 
Transfer the cookie dough to a sealed container and chill in the fridge for at least 2 hours.
Preheat the oven to 375 F.
Line a baking sheet with parchment paper.
Scoop out individual tablespoons of the cookie dough and arrange them on the baking sheet, leaving 2 inches between each cookie.
Bake the cookies for 10 minutes, or until lightly golden around the edges.
Cool the cookies for 5 minutes before transferring them to a wire rack.
Allow the cookies to cool further before serving.",10,"1 ⅔ cups all-purpose flour, plus more for dusting/coating",½ teaspoon baking soda,½ teaspoon baking powder,½ teaspoon sea salt,½ cup unsalted butter at room temperature,½ cup light brown sugar,¼ cup granulated sugar,1 large egg at room temperature,2 teaspoons vanilla extract,"5 ounces soft caramels, cut into small pieces ",NA,NA,Tasting Table,https://www.tastingtable.com/1963643/easy-soft-caramel-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Classic Ice Cream Sandwich Recipe,Miriam Hahn,Dessert Recipes,4.9,32,NA,"Prep Time
10.83
hours","Cook Time
10
minutes",NA,Total time: 11 hours,"servings
8
Servings",16,"Line a 9x13-inch baking dish with parchment paper.
Grease a 13x18-inch baking sheet, then line it with parchment paper so it sticks to the pan.
Let the ice cream sit at room temperature for 30 minutes, then spread it into the 9x13-inch pan and freeze it for 2 hours.
Preheat oven to 350 F.
In a medium bowl, whisk together the flour, cocoa powder, baking soda, and salt.
In a large bowl, beat the butter and sugar for 3 minutes.
Add the eggs and vanilla extract and beat until smooth.
Add the dry ingredients to the wet ingredients and mix until just combined.
Spread the dough evenly in the 13x8-inch pan.
Bake for 10 minutes, or until set but still soft.
Measure and cut the cookie into two 9x13-inch pieces.
If desired, use a fork to poke the top to copy the holes in a classic ice cream sandwich. Let it cool for 30 minutes.
Transfer one of the 9x13-inch cookie pieces to a cutting board and layer on the frozen ice cream.
Top with the other cookie half, cover, and freeze overnight.
Score the large sandwich into 4 equal vertical sections and one horizontal line splitting those sections in half, to leave you with 8 ice cream sandwiches. (Or cut smaller rectangles to make 12 servings.)
Dip a large knife in hot water and slice on the score lines. Serve cold.",9,1 (1 ½-quart) container vanilla ice cream,1 cup all-purpose flour,1 cup Dutch-processed cocoa powder,½ teaspoon baking powder,½ teaspoon salt,"1 ¼ cups unsalted butter, softened",1 ¼ cups granulated sugar,2 large eggs,1 tablespoon vanilla extract,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1959106/homemade-classic-ice-cream-sandwich-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Ingredient Peanut Butter Thumbprint Cookies Recipe,Michelle Bottalico,Cookie Recipes,4.9,14,NA,"Prep Time
20
minutes","Cook Time
10
minutes",NA,Total time: 30 minutes,"servings
18
cookies",12,"Preheat the oven to 350 F.
Mix ¾ cup peanut butter, ½ cup brown sugar, and egg in a mixing bowl until well combined.
Roll the mixture into 18 balls (using about 1 tablespoon of dough for each ball) and place them on a greased cookie sheet.
Press the tip of your thumb into the center of each ball to make a depression. Set aside.
To make the filling, mix ¼ cup peanut butter and ¼ cup brown sugar in a mixing bowl until smooth.
Roll the filling into 18 small balls using 1 teaspoon of dough each.
Place the remaining ¼ cup of brown sugar in a small shallow bowl.
Roll each of the filling balls in the sugar until evenly coated.
Place the filling balls into the depressions in the cookies, pressing lightly to shape them to the depressions and allow them to adhere to the cookies.
Bake the cookies for 10-12 minutes, until slightly browned.
Let the cookies cool on the baking sheet for 5 minutes before transferring them to a wire rack to cool completely. Don't touch them before that or they will fall apart.
Serve or store the cookies in an airtight container for up to 3 days.",3,"¾ cup + ¼ cup creamy peanut butter, divided","1 cup packed brown sugar, divided",1 large egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1946835/3-ingredient-peanut-butter-thumbprint-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
